CK	D	LN	LP	
X1	78.76085531	54.88490479	42.1085652	56.83490282
X10	45.3794716	36.51845364	56.03091925	66.00329644
X100	52.50560343	47.05137805	49.51703781	57.2805682
X101	99.67768223	48.3165804	35.26689288	53.28930847
X102	56.99377992	41.159647	52.61469541	45.35246749
X103	99.72540317	59.87201119	91.33026472	59.29298313
X104	57.92464722	48.9249041	49.44789833	50.71545155
X105	110.7032341	79.68947204	128.6293281	63.58480694
X106	67.0388464	48.24647353	45.53347066	38.41750593
X107	72.6720528	40.62653387	51.32781713	32.09519196
X108	94.12855601	78.90285624	51.55105433	174.7478297
X109	60.52557317	102.712397	48.67043191	55.3336231
X11	60.35859697	51.32569629	44.80666725	52.01352095
X110	73.84575933	51.15357723	41.83866237	106.0300238
X111	59.54735555	63.07669171	47.78068074	84.46351285
X112	64.49379119	65.98648696	67.93290843	43.29656917
X113	56.08936097	53.98958232	59.51328052	41.81481429
X114	132.2191045	45.33936524	58.19514309	59.66779212
X115	82.50071663	57.64873587	57.3238865	40.67962153
X116	85.55488562	51.63593808	38.56945652	41.81666168
X117	57.97868837	47.12707876	43.71061973	39.48103716
X118	88.48859956	59.42909347	48.81787091	45.7129068
X119	130.3382043	41.05705158	80.64350444	84.30144771
X12	103.4097819	63.48691321	69.84881732	129.4880897
X120	180.8351716	56.94826069	131.7038787	61.35140995
X121	92.03962468	102.4499042	92.10614507	168.6766195
X122	78.72289705	55.77480057	90.72869867	106.549694
X123	152.6372666	31.5134927	38.75505019	48.62304185
X124	69.16147887	77.87252639	101.3933158	99.23183756
X125	95.21907651	84.20959934	80.42940001	69.05082164
X126	56.74799147	45.62687224	67.298331	35.36397462
X127	68.60456575	50.20577122	89.82718986	60.84654088
X128	53.63990527	71.21873297	109.6109236	34.59342744
X129	60.18215473	46.77234395	251.600783	62.67617744
X13	53.14615499	60.49722548	58.83991038	66.68572544
X14	68.97780352	68.77036995	55.69761229	71.45430538
X15	66.31209217	46.49564914	45.58797202	49.21303829
X16	115.672621	61.12699634	69.65299802	88.99171332
X17	69.76149454	72.10717072	74.05540858	151.2638891
X18	55.31406395	62.50011947	60.36314046	67.67286179
X19	61.67227158	72.39145616	42.22366796	102.6484249
X2	45.65076695	49.88735132	59.02193808	55.45179855
X20	58.24555765	72.57758326	44.86746695	74.53227653
X21	48.57206677	54.68960845	51.44318633	55.94997426
X22	59.47446171	42.54568838	44.60495032	55.60872213
X23	71.63132441	56.70147747	28.29371861	41.68218151
X24	41.46301265	105.5702165	36.65843088	47.11045767
X25	87.39601162	61.92488782	41.34580581	55.12344188
X26	48.61133493	145.0120245	45.71373168	43.21590043
X27	68.41614943	73.22123319	64.26357374	57.86976847
X28	50.68880923	32.97781876	50.9332336	47.49963327
X29	83.91882499	78.26559966	91.0612552	50.49175852
X3	107.1493734	67.95441637	69.12499597	110.414563
X30	47.55373651	54.17634905	105.7239473	62.39975344
X31	119.7870209	122.4591829	57.95752314	144.7183067
X32	94.57144178	136.8011083	69.70724741	75.32394118
X33	70.21998342	81.12866809	54.48547311	192.1595872
X34	94.56347688	89.30464128	75.11969313	94.15086854
X35	128.6063561	78.69978586	87.38514067	50.79822201
X36	105.2614786	48.83732731	104.4996679	69.36426098
X37	62.22379884	47.85357124	269.6680355	46.93408563
X38	83.12769311	68.17069839	77.81328479	72.28370139
X39	66.14316969	56.2457374	60.75747081	40.40402578
X4	63.37667256	31.87390626	47.83968624	42.79530741
X40	99.28222608	85.02777558	156.10001	117.3204112
X41	62.83795444	59.41319886	48.99940518	79.06741555
X42	57.8805839	64.19566585	50.26552748	47.62501617
X43	98.79258017	61.28807538	57.85308675	80.53225932
X44	62.90581377	69.25853323	103.1380311	109.9712527
X45	81.95422625	76.26244514	55.19085539	53.55450467
X46	75.22679027	83.47030918	59.18539438	111.0143949
X47	68.28411392	70.3062968	49.32160695	84.54763559
X48	94.64809517	107.7086782	95.53984584	41.95014736
X49	110.5062013	59.84770177	40.93363113	54.1697397
X5	57.86277138	39.03972355	47.45923991	127.2209917
X50	35.35515834	94.45134215	46.97056096	48.70308058
X51	62.70930929	120.2919445	76.66344112	79.52878335
X52	100.0217701	56.31326719	56.80444189	83.76454845
X53	55.41030212	50.09989895	62.83777821	72.03802031
X54	63.63605321	96.41041405	49.89950307	46.06910792
X55	44.69558966	70.28604658	98.72711152	85.8374086
X56	58.88633979	62.37711863	41.48025622	42.20536333
X57	57.45987567	79.54054456	67.45045584	65.14614837
X58	85.50369921	37.89742367	42.62319079	67.34443949
X59	67.77261192	52.06814524	73.79041413	71.27244455
X6	57.01105718	79.57989497	102.3386605	83.18695878
X60	62.72499127	47.86353804	58.86101114	74.02680837
X61	80.55535596	50.98346272	48.19324265	54.79797566
X62	53.78952459	99.45520327	46.59450382	130.1662598
X63	43.66945176	76.23796176	66.84199119	61.27656015
X64	47.45534548	77.49960181	107.7263474	62.16787729
X65	37.64390568	176.0935009	44.31559163	79.42818488
X66	117.4228241	72.04957541	73.04699776	53.16535148
X67	87.48755856	148.6478327	122.4263926	48.95085121
X68	45.23385023	84.44557723	54.96997651	50.49847786
X69	59.26169507	112.3082829	57.79741684	48.65367563
X7	65.2218205	89.81380962	48.27922425	63.4572569
