CK	D	LN	LP	
X1	39.39152697	16.2195436	29.25111572	29.30222819
X10	27.32944528	11.89043534	38.80660658	38.81373891
X100	18.40111258	11.51105095	15.53466121	14.31464079
X101	39.6702828	12.72434983	17.78806393	19.91238095
X102	31.74262163	13.79775438	32.42247171	27.90393611
X103	45.96255047	15.14872412	34.66616741	20.53072209
X104	32.10115625	17.91464067	30.06930683	22.94541705
X105	41.84984824	20.47372008	38.64946044	15.26503709
X106	24.4415717	13.77089335	18.41775568	15.2673542
X107	31.46536786	12.351661	23.53168153	14.46299827
X108	43.16816663	20.16034616	17.44293509	77.84304017
X109	31.09762142	34.09787448	27.35907547	28.89694878
X11	33.3128391	17.21029929	21.86573302	21.46174735
X110	38.08748567	16.23772072	24.74352587	50.11370271
X111	32.38940977	18.2304104	29.46631508	28.85653631
X112	38.16482786	21.80832084	38.39114823	19.50060715
X113	31.81312601	17.62714041	31.48727951	17.80675666
X114	77.79705744	16.90184543	27.38638519	33.20533044
X115	43.19251863	16.10844041	29.50024647	17.34048214
X116	58.77393483	19.93300668	23.51509739	22.41727364
X117	23.74996828	11.09309728	17.89497684	17.45843175
X118	52.12644102	21.89351445	24.28218154	25.64289424
X119	31.90375584	8.173500765	26.09918675	13.78869558
X12	65.15501606	21.61586695	27.43579179	66.15858055
X120	45.80522643	7.817722442	28.8954833	10.11050555
X121	19.21092386	13.34891412	15.6550972	17.06842131
X122	13.28245833	9.664505135	8.825861924	10.85852966
X123	42.48546259	5.352030103	7.832560598	8.564178398
X124	20.89311919	15.80545304	30.61962332	12.04635263
X125	31.52533453	16.37196094	17.42904911	16.05821761
X126	15.51264725	5.383624568	15.38450417	7.133301008
X127	19.21402346	7.37318225	18.13353274	12.75346816
X128	16.64788561	13.55305566	30.56996262	7.756150419
X129	15.84505575	8.069560112	72.75260532	17.40786406
X13	32.04280676	22.49362042	26.96325027	33.57927494
X14	36.75212328	29.35275361	32.2869923	24.87463276
X15	33.82467183	14.35175187	24.01939652	20.17429502
X16	74.18538474	17.27457836	33.11402673	33.9606951
X17	32.06578459	19.19055278	29.10419615	60.73591067
X18	29.19147003	18.64476277	26.37023752	26.75853851
X19	18.9508222	17.25582926	14.96496862	31.14295943
X2	20.40528831	18.96264391	18.84375971	22.92931466
X20	31.83059411	21.37333038	20.29373845	33.51611103
X21	19.86544402	11.46313882	20.67423326	17.65853852
X22	26.53693327	15.77601996	16.59340348	26.95686792
X23	30.02288915	12.44948851	12.41899332	18.82693752
X24	13.7175472	30.36023783	16.66909059	22.66746472
X25	31.61418169	13.91976734	13.60576423	13.7440303
X26	20.7661228	49.18878482	12.19644001	18.93297568
X27	38.35307076	21.14081194	31.35591495	31.78330961
X28	21.20647151	12.5173051	19.4581717	22.20964812
X29	39.81665441	27.69939271	35.85110803	22.95753368
X3	31.41732974	13.73466512	20.85846912	25.69372565
X30	24.52416963	15.57489664	49.71803365	24.66785082
X31	57.74472654	55.28494897	32.57137566	49.5919815
X32	48.69930648	35.0928972	25.7405661	23.52417162
X33	38.73577583	29.22019219	18.89233856	78.25999062
X34	37.93758686	20.12307347	28.0792287	31.06353672
X35	58.18200171	20.38966443	36.44564197	20.84320629
X36	49.01636468	12.56522404	38.1706837	26.56059353
X37	34.64787025	15.39637361	120.2178273	22.72910981
X38	49.91007269	19.45767633	35.31066828	33.49957435
X39	36.24036312	22.27505003	27.15035052	22.94019604
X4	33.09092744	12.20348069	29.02277068	23.72629171
X40	43.84159372	24.69679117	44.83945417	39.67354547
X41	22.40500076	16.45307358	19.79143683	30.31003942
X42	32.1202223	21.97077092	25.55974382	29.81493116
X43	48.62064759	20.12134757	26.73170919	32.13097869
X44	36.30021507	22.52532501	49.76827732	67.60830824
X45	43.84713123	25.25129222	25.67743896	31.02299656
X46	38.76894351	27.41939569	34.32752874	50.11860991
X47	42.39028774	25.78093462	25.31873317	43.99647546
X48	50.09256945	32.6512701	39.28756099	23.37807848
X49	70.63208365	22.46396158	24.32326027	32.406782
X5	30.69369048	10.87962447	18.89315228	65.72689337
X50	18.62866881	27.52350118	25.62879263	25.53063417
X51	40.5587298	45.44187087	51.78195948	32.12594303
X52	49.82131365	19.96740771	30.37193229	40.66038093
X53	39.04737195	19.89928199	32.33445487	39.10367599
X54	37.14520052	36.24489439	31.70013755	27.05869285
X55	23.12340676	18.65517784	60.62701144	25.39461162
X56	34.8460274	24.13825606	23.85170372	20.94224705
X57	29.21620385	28.94675192	19.87952838	30.26936968
X58	55.83713397	14.2966473	24.63295309	34.1611486
X59	41.18990643	12.88020916	34.85740329	49.63769446
X6	26.26871465	19.82925252	45.60035462	38.94065555
X60	28.64010688	19.5717353	29.59015508	26.74364921
X61	34.00503875	13.67018007	25.29137567	21.68712897
X62	31.42308835	26.96845608	30.83991408	64.01046079
X63	21.94005399	24.53273983	23.28985051	28.75496316
X64	20.03150125	29.22139163	51.93484315	41.76483806
X65	20.17313509	56.34376404	23.02037043	39.30847411
X66	45.99659216	23.35686267	24.79384285	19.36893047
X67	40.72763425	55.84019804	76.77238156	26.46115158
