CK	D	LN	LP	
X1	9.079455383	13.74682398	10.48078875	9.438947864
X10	8.440724407	10.56653392	10.20420131	8.708770405
X100	14.64093153	13.54019311	12.62236446	14.18804991
X101	15.50288314	15.26825794	14.00922015	13.84560605
X102	8.96603142	10.32792795	8.644603185	8.824048025
X103	10.53568297	12.52432174	12.47387221	13.08092735
X104	11.40646445	10.082206	10.19049606	10.17393355
X105	11.19159849	13.14588503	12.3781081	10.90387844
X106	11.94545082	14.67084026	11.10954543	11.43856926
X107	12.77637857	13.21970646	11.12321178	10.54348214
X108	9.77469189	9.224579153	10.17595142	8.629164804
X109	8.57745451	10.96634794	9.03953343	10.13698556
X11	8.952829996	8.39149661	11.48881162	9.109456253
X110	11.39917271	10.86548564	11.3592878	11.30606833
X111	9.477165493	11.29118746	12.27107199	11.48591092
X112	9.597429672	11.8162366	10.50914128	10.47331921
X113	9.20006992	11.10657991	10.53046497	11.19761036
X114	10.60416914	11.72925186	10.41331726	11.14922521
X115	9.252135474	11.94605701	10.45854385	10.93746084
X116	9.861751465	11.84034247	10.89494701	11.44451961
X117	12.65272392	14.08519391	11.71796664	13.2614894
X118	9.362194011	10.55944195	10.19075396	10.27579821
X119	8.085407277	7.779866674	8.637901313	10.13978553
X12	8.176762479	10.63595882	8.745884987	9.898064487
X120	8.10359365	11.3226907	9.698414897	13.16643473
X121	9.015763455	11.44559777	11.20979433	23.06523729
X122	12.57213782	9.875353601	17.61051815	28.88179383
X123	7.712623067	8.261328361	8.877755949	9.975586172
X124	8.208116813	8.444673996	8.539818814	10.32731289
X125	7.116621102	7.411211128	8.841587882	8.884407258
X126	7.910146091	10.47081461	8.005629261	9.6776649
X127	7.555909291	11.03476432	9.85751714	8.967111772
X128	6.942782071	9.970014855	7.862857554	8.572478146
X129	6.470704219	9.411708437	9.648947416	7.801959182
X13	8.11008908	10.29395026	10.38021734	9.085101565
X14	8.515376207	11.91966014	10.10579071	9.143888871
X15	8.746291182	11.4042003	10.45646066	10.56776177
X16	9.047581848	10.35021968	10.52294028	9.363161587
X17	9.067095019	11.60586305	9.205951834	10.01880875
X18	10.11845809	11.97780977	10.37098532	10.45235188
X19	8.680882606	9.073918847	8.762881334	9.002458521
X2	9.303836297	11.06125336	10.36042553	9.297941654
X20	9.059490636	8.933593567	8.882814226	8.363694855
X21	8.608552556	11.44434804	9.190286861	8.885358731
X22	7.918778172	8.538887416	9.351042205	7.911152048
X23	8.193554421	11.45888597	12.39507829	9.59163129
X24	8.955453923	9.991248961	8.530096517	8.937456871
X25	9.396124613	10.15418512	8.43433976	10.53006295
X26	8.55368026	10.25946385	9.502358884	8.61843581
X27	10.27392948	11.12109653	9.500835176	9.200035008
X28	8.418470813	10.37262338	8.330888368	8.077534077
X29	9.226947936	10.30473402	8.599850865	8.12338461
X3	9.844769668	11.7059085	10.99014569	12.89265647
X30	7.85360767	10.66544826	9.09901522	7.799136741
X31	8.22926252	9.659745246	8.954503657	9.992292772
X32	8.590162927	9.779538694	10.58136683	9.432652573
X33	7.617567107	11.28497777	9.73416452	8.22070071
X34	9.142690174	11.1448036	9.423578599	9.634992198
X35	12.11696396	11.78878258	13.60911879	11.1213173
X36	12.82662479	14.68455149	14.34235401	11.20308138
X37	11.17802014	11.42271697	11.3813759	9.504953844
X38	8.869850483	10.03997688	10.33885374	10.14930956
X39	9.495695318	11.62878137	11.07255361	13.86566519
X4	9.413418261	9.981772549	12.6712124	10.23494253
X40	9.725987237	12.16243244	11.32507274	10.3073632
X41	10.3464262	12.71583119	10.97103063	10.75078746
X42	9.245399188	12.27196422	14.05461921	12.772898
X43	9.437075086	10.82582228	10.94046704	9.97126433
X44	10.34899938	14.36249546	10.9433004	11.01412256
X45	9.696350131	11.44522529	9.44363898	9.964805152
X46	9.581716371	11.34969298	10.53625317	10.91119291
X47	9.369751394	10.66884456	12.05155263	9.830251824
X48	9.802911912	12.00773844	10.18798606	10.16770489
X49	9.575325249	10.65056306	8.958706934	8.78247557
X5	9.741195602	11.71039784	10.01026279	10.02076621
X50	8.694261905	9.742289488	8.857247575	8.198835701
X51	8.335764028	9.592127749	8.596585843	9.815308299
X52	8.486572549	10.5431537	9.245006018	9.570733904
X53	8.717097918	12.19230189	9.681458071	9.089842572
X54	6.983553362	9.433236808	8.633707182	7.781474018
X55	10.43720663	12.17535628	11.24247991	10.85333351
X56	9.726540633	11.78453926	10.91312415	8.363691308
X57	9.25969728	9.056435908	11.06927389	11.61842777
X58	8.468976448	9.348635358	8.878162495	9.527031833
X59	8.775928034	8.260950006	8.9281439	8.556783872
X6	8.820092041	12.78157532	9.259106511	8.626491982
X60	8.484945107	9.730716074	8.752669173	8.772732138
X61	10.95101475	9.302419786	8.376675999	8.528442149
X62	10.12292366	10.21685143	9.429630773	7.974761439
X63	10.42054792	10.01832711	11.20477013	10.90732719
X64	12.02378997	11.72199137	10.60219212	10.85259552
X65	8.699441439	11.64136116	8.808599127	8.609559654
X66	9.710003742	8.47326241	9.905547151	9.805390973
X67	8.550909713	10.39774604	10.97023171	9.858528436
X68	6.424123181	7.523930593	6.895700608	6.974840042
X69	8.450148228	9.715190564	9.031799097	9.403452732
X7	9.116815986	12.43038608	9.326664285	9.380810569
X70	9.122469831	9.033340631	8.768241292	9.286416646
X71	8.80191354	10.10230768	10.23585794	9.070615223
X72	8.092352005	10.54138255	10.04024318	9.300692416
X73	9.901341692	9.459044508	11.11945957	9.082953675
X74	8.600927566	9.660786423	8.920426326	9.043596884
X75	8.660036731	10.71623334	9.605945611	9.486315628
X76	8.335827232	11.31433642	8.840338142	8.346035188
X77	9.241604087	7.592951359	8.678685931	8.082661301
X78	10.96789215	11.6975625	10.7001579	12.58336267
