CK	D	LN	LP	
X1	4.727038738	3.851045786	7.077869511	4.646769151
X10	5.057331822	3.617051451	6.670866481	5.102970447
X100	5.119803187	3.032738512	3.983165427	3.538992926
X101	6.394548117	3.726724242	7.122313343	4.540959172
X102	5.127568102	3.196824978	5.253635678	5.267402693
X103	4.861418625	3.184531516	4.407694989	4.654714105
X104	6.362200923	3.37262739	5.962240448	5.042234506
X105	3.858135231	3.451743656	3.87232893	2.885070939
X106	4.348439411	4.183969584	4.612009884	4.553361277
X107	5.44233588	3.818470001	5.049796302	4.680405444
X108	4.47101221	2.745041205	3.442365615	3.768216367
X109	4.316458497	3.154206563	5.105053189	5.244824073
X11	4.86359673	2.57396992	5.723826233	4.161994204
X110	5.903599045	3.138867018	6.65354981	5.136991875
X111	5.24714318	3.326399955	6.970289685	4.413661428
X112	5.699400551	3.602737328	5.932621187	4.501321575
X113	5.358382754	3.619123031	5.757323601	4.872011886
X114	6.530416165	4.268601348	4.963019992	5.883916518
X115	4.866125972	2.734473328	5.316415456	4.834191496
X116	6.496458526	4.448198963	6.558240863	6.011717099
X117	5.453754382	3.407032739	4.694748474	5.666165695
X118	5.148339976	3.787996258	4.880844047	5.483873439
X119	1.923217332	1.534978237	2.998709982	1.582562254
X12	5.060821176	3.61418956	3.656256526	5.105304778
X120	1.989454867	1.438201656	2.27805471	2.105820039
X121	2.084389408	1.428881181	1.729360645	2.268825713
X122	1.989412167	1.849894062	2.059157991	2.588357159
X123	1.766444895	1.448410292	1.79487807	1.63855203
X124	2.409177318	1.492710434	2.069841353	1.52317934
X125	2.212275348	1.386583321	2.198134378	1.864645754
X126	2.051241951	1.321034036	2.022472835	1.941778269
X127	2.198770431	1.566970207	1.981218607	1.887391026
X128	2.288410049	1.805922409	2.192503529	1.750826388
X129	1.682138238	1.766188684	2.449944179	2.002261802
X13	4.678144644	4.193593168	4.857110505	4.397244828
X14	5.235933655	4.786787834	5.54809225	4.008441454
X15	4.48483265	3.234697791	5.577435739	4.26153385
X16	5.981857101	3.345023727	5.168507332	3.572468074
X17	4.154811626	3.365374718	3.677660549	3.118106112
X18	4.920113841	3.215555017	4.475294855	4.201823816
X19	2.530362112	2.228520874	3.053562386	2.463353371
X2	4.391909507	4.162754422	3.403608238	4.010123857
X20	4.463587537	2.652887787	3.921380617	3.303211516
