CK	D	LN	LP	
X1	8015.907502	8560.180736	5710.340399	8146.17767
X10	6934.314478	7165.571657	7311.931556	7071.442661
X100	9795.43855	9610.084227	10228.43414	11595.68395
X101	10711.93306	9181.208733	8965.217389	12884.46326
X102	7327.142367	7885.451067	6728.568671	7620.158045
X103	8690.7487	8537.754131	8267.170431	9725.82734
X104	7833.050621	6865.785513	6827.95115	7457.774169
X105	10654.83387	9273.404625	9484.30935	11917.31443
X106	9953.141233	8178.768892	9319.552306	9670.794308
X107	9814.352004	8052.135176	8432.494077	10165.63977
X108	9150.928494	8447.254566	8462.169717	9828.756136
X109	7689.281869	8796.146392	6356.711458	8380.900193
X11	7580.748804	8287.09536	7267.512252	7061.526209
X110	7094.857752	8425.482558	6587.018599	7454.558051
X111	7539.062859	7795.344066	6593.831275	8412.021766
X112	7041.007982	8192.317328	7206.845488	7067.884978
X113	7364.307858	7804.041832	7563.041437	8388.913191
X114	7852.776954	8792.046371	6937.618784	7968.773384
X115	6562.901525	6694.115451	6877.857032	6959.666823
X116	6803.179212	6630.6283	6077.93753	6588.839296
X117	8373.89508	8378.60778	8718.258551	9781.672917
X118	6928.278546	6994.836135	6517.581774	6691.143718
X119	6887.387565	5983.34599	6647.17339	8027.554029
X12	7050.505194	7298.142287	7948.306567	8363.453751
X120	9278.012882	6981.066095	7244.799758	10281.84222
X121	7620.636436	6043.11735	7168.413061	8210.344089
X122	10085.95955	8296.042928	8013.110398	11722.09566
X123	7021.764704	6080.918578	6524.590857	7038.823659
X124	6979.433535	5320.261204	6418.833333	8418.016314
X125	6460.563972	6565.584714	5230.034571	7861.662691
X126	5982.096457	6051.724878	5783.537599	7735.233549
X127	8069.528825	7554.84431	5818.856427	6563.74707
X128	5556.841479	6753.859842	3870.146826	5748.359951
X129	5885.876244	5555.911688	4525.362629	6480.118054
X13	6767.687321	5915.226395	7729.822809	7913.696945
X14	8256.363369	8516.674498	8679.371285	7772.97003
X15	7884.749744	9515.616444	8409.896047	7207.068375
X16	5939.229476	6644.269083	7297.520043	8981.403812
X17	8670.070189	8635.866516	8061.9827	8688.559375
X18	8908.375736	11747.82497	8275.594534	10696.01754
X19	8584.586476	7410.926836	8579.883405	10104.27528
X2	9325.49807	10921.57565	9943.935563	11131.54776
X20	6999.002827	8748.126538	6965.874062	8168.556063
X21	8135.377132	9304.790133	9163.615026	8961.901779
X22	8451.58366	7178.501308	6740.43874	7774.439804
X23	7022.711873	8641.260587	6517.904449	8003.074259
X24	7292.230811	9167.667269	7820.618609	8468.027052
X25	10306.01939	9971.64837	7753.416351	9596.769707
