CK	D	LN	LP	
X1	4174.150267	2387.429551	3856.37515	3924.305691
X10	4228.449967	2396.354789	4268.558945	4250.694915
X100	3433.428008	2052.969172	3237.363112	2935.315866
X101	4394.016594	2299.150673	4514.081144	4323.052167
X102	4111.193483	2474.244775	4053.887472	4493.431633
X103	3985.181781	2166.775434	2918.032406	3377.486739
X104	4414.206034	2200.020773	4077.394042	3505.281797
X105	3761.31577	2349.276763	2804.253791	3114.819692
X106	3645.185177	2334.114058	3707.237123	3910.852362
X107	4142.959827	2349.528416	3835.20496	4511.219837
X108	4312.453547	2433.486374	2719.81991	4375.971482
X109	3801.217471	2575.360013	3607.035759	4323.077227
X11	4166.181403	2463.863169	3358.39638	3174.9097
X110	3683.238677	2446.436834	3929.218272	3406.171434
X111	4061.988308	2287.238578	3805.757251	3190.588158
X112	4133.540828	2454.801431	4102.656809	3014.370489
X113	4157.373267	2421.788564	3868.130884	3706.030536
X114	4802.173824	3149.84537	3224.706184	4043.783693
X115	3450.490295	1577.281818	3416.162026	3102.483163
X116	4492.027403	2486.408738	3693.046606	3464.940919
X117	3618.623338	1991.991915	3455.995312	4146.390068
X118	3802.221732	2449.276197	3156.309621	3547.25501
X119	1642.666548	1206.342784	2532.475511	1230.565379
X12	4283.698687	2538.361653	3129.686005	4275.763425
X120	2362.488753	1090.064413	1621.101348	1732.743868
X121	1747.031877	771.1733082	1100.387907	1010.342623
X122	1658.013033	1519.938996	967.966703	1089.747704
X123	1635.283584	1090.9287	1326.867308	1195.212856
X124	2030.087751	952.7714477	1694.737565	1445.290767
X125	2030.341584	1271.637527	1327.924658	1762.277428
X126	1518.343773	775.595879	1509.822197	1552.107367
X127	2275.986297	1084.62879	1192.369448	1327.058339
X128	1937.893611	1196.632678	1020.433941	1319.370263
X129	1597.686182	1018.392049	1085.608571	1746.919914
X13	3885.74779	2375.680104	3706.622197	3807.990231
X14	4937.662251	3424.185986	4686.349861	3267.050099
X15	4008.947617	2729.895712	4550.851876	2959.473656
X16	3907.546614	2140.091839	3607.749885	3444.483342
X17	4054.966495	2343.837157	3271.316442	2650.632319
X18	4469.568893	3235.425727	3541.9319	4273.833046
X19	2520.019605	1736.477337	3047.385411	2810.574068
X2	4297.818878	4191.662797	3295.513947	4652.237266
X20	3479.637656	2530.955514	3069.994895	3352.1192
X21	3302.90272	1914.53707	3811.847773	2904.873656
X22	3960.283981	2661.392127	2393.567218	3188.213636
X23	3147.63446	1866.204592	2794.844075	3566.535442
X24	2454.726153	2697.321962	3492.877738	3909.703274
X25	3868.264376	2117.889701	2441.682207	2096.033888
X26	3454.140533	3205.748095	2553.491495	4735.060502
X27	4345.572502	2622.264296	3699.748008	4789.723146
X28	4286.415998	2971.870184	2759.394708	4807.637546
X29	4070.103818	2699.309382	2856.702577	3728.295007
X3	3251.347844	2575.044334	3680.555923	2635.808132
X30	3346.606451	2467.543837	3722.143671	3804.457691
X31	4411.81466	2677.027621	4095.587143	4217.641152
X32	3933.654142	2412.358912	2544.369177	2348.575145
X33	3558.355029	2160.883971	2715.220838	3544.519333
X34	3446.910574	2167.441025	3231.157429	2502.697232
X35	3137.324094	2112.631538	3318.484523	3197.53291
X36	3839.867987	2143.487817	3365.588632	3552.879695
X37	3995.530396	3162.729431	4106.613056	3812.394347
X38	4453.730319	2507.84846	4026.808726	3840.241719
X39	4656.810131	3566.510481	3389.44423	3849.371704
X4	4350.020912	2761.993143	5322.74672	4362.619032
X40	4306.173653	2795.51334	2626.7952	3588.525768
X41	3112.564911	2759.108991	3639.402168	3738.796393
X42	3677.754389	3666.606605	4078.8873	4993.103582
X43	3478.716567	2699.35312	3110.510642	3356.955992
X44	4885.76601	3699.195696	4064.488839	4926.615281
X45	5292.427176	2823.169272	4324.491281	4783.729508
X46	4685.403189	2575.94045	4136.100184	4092.889227
X47	5112.928339	2744.3455	4891.46644	4356.145335
X48	4635.905602	2884.522572	4145.8693	4085.404548
