CK	D	LN	LP	
X1	179.7695691	210.2701258	118.8162873	145.494512
X10	117.3740686	139.7555938	139.3277484	162.9875937
X100	153.6159402	165.471638	145.5031117	169.2449877
X101	234.4746549	170.927097	98.94467971	150.0424399
X102	118.2234492	132.6066776	110.5815889	119.9500037
X103	243.8774934	169.9629237	233.7125129	162.1216957
X104	144.7714608	139.1337036	121.9580522	170.6915815
X105	276.3059674	235.9707101	397.14293	196.8545362
X106	161.2172697	140.9831487	107.9536011	110.2226351
X107	169.9191799	134.7792577	121.0720405	104.6586867
X108	226.291867	230.8756579	135.6142937	435.2713261
X109	132.0940476	302.2372716	124.0415685	152.4744975
X11	135.2139398	158.78041	107.8765127	152.5177617
X110	162.4345714	165.4395513	105.4936432	284.7046851
X111	133.0769863	204.3923593	114.4173006	276.9555159
X112	129.3771826	183.0973927	140.5989816	123.5602283
X113	120.4686927	143.7427539	144.7695892	120.0502705
X114	242.9206343	129.6707965	143.8585183	167.194083
X115	193.7485964	175.5382935	132.374709	116.9670219
X116	154.1555366	134.3309639	104.5789285	103.9859464
X117	139.9130356	154.9420128	114.7088222	131.4689317
X118	168.8853104	148.5817761	117.4307653	112.9830684
X119	258.1804527	145.2465407	224.3139078	239.8677244
X12	199.2151897	196.2675004	204.8221697	245.9159542
X120	434.3377012	205.4062335	316.1173181	228.8776603
X121	267.4883823	386.8931745	312.9735077	275.678126
X122	276.6390508	226.9631383	347.7020637	488.962633
X123	413.1227975	102.5573216	172.0931771	157.4793416
X124	202.0758338	235.7077096	239.8721127	314.6697195
X125	223.9858135	338.5023724	216.7148469	222.1210011
X126	156.8398807	171.3987565	216.8552143	143.98393
X127	192.5645987	176.7135005	310.7891481	215.0447013
X128	165.0701088	222.5726759	303.6711292	117.5764256
X129	200.866273	153.083562	737.8480386	206.091414
X13	145.0336872	174.6303139	156.1092073	184.5376935
X14	158.9778807	179.7814552	156.6933234	184.9966305
X15	139.2175826	172.2251588	118.6778564	127.9976787
X16	206.3899438	195.894908	170.8677577	176.7661514
X17	164.8010958	249.300949	205.9276433	333.1819055
