CK	D	LN	LP	
X1	91.76493539	61.60773779	81.53263204	72.56788449
X10	69.22471821	46.36117665	96.17142748	95.94505564
X100	54.2726114	38.83645402	45.6044286	42.35817722
X101	94.21033365	44.50683434	50.07897218	52.85448458
X102	64.31416484	43.34433669	67.90941331	71.7628005
X103	113.12322	42.55443893	87.80691499	54.1735502
X104	81.74421344	47.04924731	73.41962115	71.3402445
X105	100.2656142	59.61659163	119.1951284	48.46231932
X106	58.22620189	38.25816235	43.72207091	45.30807528
X107	74.38522424	38.28002327	54.75859275	46.26073522
X108	106.0642654	59.09197371	44.97427518	197.5723065
X109	67.74410272	98.7431371	69.71798343	78.24042652
X11	73.74378538	50.00506405	52.70052883	62.81765817
X110	84.87705284	50.67025711	62.29838424	133.6833881
X111	73.45501086	59.09772317	69.12981186	91.58402516
X112	78.03363117	59.18934233	79.30042721	53.46997733
X113	66.68392239	45.80300148	77.06036053	52.7450552
X114	143.4252799	47.52645251	66.0185893	90.20245356
X115	102.033009	47.20986677	68.33485517	49.78313235
X116	104.6506598	51.66946823	64.08338286	54.52711096
X117	57.18554638	36.50855895	46.56766434	56.61825781
X118	98.1651092	54.20429924	57.41415197	61.5620517
X119	67.1674013	27.68076591	72.43543703	37.40881797
X12	123.3227359	67.98412783	79.49306275	124.8693536
X120	110.9269683	29.10928632	67.8160307	38.22640532
X121	57.02680221	51.23132391	52.10065621	31.84476635
X122	45.51460322	39.94965272	34.19323649	49.12544634
X123	113.5066419	17.13373414	34.57020094	25.37520306
X124	58.87401502	47.09303727	66.73927182	39.55146146
X125	74.16320195	64.57313585	49.70034352	49.63292354
X126	43.50843788	19.92444838	51.25039635	27.62412954
X127	54.64228328	25.84368957	63.80975262	44.41873324
X128	50.49329056	42.12005801	83.15078982	26.05796702
X129	53.15827372	26.50993424	208.0142466	57.41343765
X13	87.25783185	62.88426045	70.44755905	90.69549415
X14	82.1822155	77.70708606	75.15850678	67.30551409
X15	72.01305073	52.6926007	61.37503905	52.51854032
X16	134.5527405	57.13814281	80.99954144	68.06708594
X17	76.30392269	67.49724582	79.53327428	114.3140048
X18	72.95792382	68.91967049	64.57433477	66.39585652
X19	66.96327186	65.34822715	48.51175333	86.60106426
X2	55.53424207	67.84039599	60.6985702	87.35190268
X20	67.16744796	59.91889356	49.4291234	71.17436332
X21	54.38641751	40.3990975	55.25303706	54.94014345
X22	84.92604062	46.7633521	49.69679884	66.2682953
X23	63.77952237	50.23896541	48.17600835	49.79553022
X24	38.77007274	94.59317025	57.05553071	53.60666582
X25	99.34646739	63.48588343	48.52191123	41.86342428
X26	54.168965	141.5606626	43.97885067	44.48668674
X27	83.53619573	68.7752457	72.59956865	66.44191465
X28	46.98380262	41.92184856	52.84060474	52.11803271
X29	90.11181815	82.92351385	84.18545902	53.80228686
X3	75.35264044	55.34623636	65.98167232	67.50798128
X30	62.57668725	57.19049146	106.5510782	62.66009757
X31	132.7527007	144.0889579	78.00349879	114.3919455
X32	107.0325302	110.5556743	63.26737527	55.42247228
X33	87.56460536	76.48434897	51.17991639	99.98740849
X34	95.45456739	60.86997608	65.17677082	65.27394107
X35	120.6130282	58.35533715	90.0616093	44.67384269
X36	121.5772242	44.34872733	93.5046206	59.09149773
X37	66.81272552	49.96442666	363.6218709	50.87869623
X38	107.3149426	57.53659427	76.84583026	79.23838439
X39	76.49981339	63.10574973	74.35751661	66.25420082
X4	109.2687366	49.08310545	65.42167187	47.98368964
X40	118.0433616	65.05513636	165.3540399	83.25738506
X41	65.11873678	50.37960824	51.25867275	80.92355631
X42	62.2128472	72.30908584	67.32443486	61.86755644
X43	115.3354692	61.25358161	71.17763543	77.77675566
X44	87.39125717	58.73980255	119.2053192	142.4043705
X45	105.457973	68.26434411	63.44333222	77.35767139
X46	79.09334643	64.81221924	63.80565759	117.2966592
X47	82.75910576	63.41674035	61.53602825	103.8627726
X48	100.2913454	74.81288599	84.73650303	53.29952981
X49	144.2481359	51.89026166	52.12280722	71.45258558
X5	77.65919582	39.85613319	54.39318669	145.6278243
X50	53.13228734	72.18852227	60.90986546	62.29400144
X51	91.27108906	102.7340621	89.04908217	72.78659195
X52	108.977702	51.72479894	57.78938213	81.67887165
X53	89.86338182	60.66275529	74.90769437	84.36875639
X54	85.38047823	135.88412	80.7786489	59.38313757
X55	62.11009547	50.16996207	142.4133388	59.72631499
X56	88.35753939	61.88667662	56.24624955	55.16207127
X57	72.69784355	85.91573652	52.98880628	63.00924411
X58	103.0812169	44.72992365	68.16445364	70.56087253
X59	98.25854164	36.86732528	88.93842955	99.36217467
X6	62.93767582	70.89962724	117.3374757	80.40802625
X60	78.13460625	47.87656871	74.64952478	79.81236812
X61	89.30119561	39.80615343	59.18233968	51.30118302
X62	71.48917033	71.91137133	78.05463382	129.6302429
X63	57.19312971	63.8679328	66.85381594	70.56472889
X64	49.48415919	75.16414275	110.6968784	79.76275808
X65	49.71645756	136.4800592	60.35117648	87.43108981
X66	124.5631029	66.71420648	61.71004434	56.22956618
X67	105.1214686	128.3465257	145.5866905	70.99972971
X68	61.32435511	75.18962501	62.90809564	45.13118783
X69	67.34466975	77.90219638	65.23346971	62.57416074
X7	73.51781377	72.86052042	68.75614058	55.42219512
X70	90.40934794	40.0836951	54.85683653	59.65141607
X71	146.6634289	61.37563327	54.8683363	54.8043025
X72	60.36512902	61.17962324	64.18406643	34.44503643
X73	108.4012601	62.45443131	51.66678097	71.74243999
X74	153.549642	56.03016364	60.71259752	100.5405108
X75	117.3002314	64.41369005	40.37013776	55.58629679
X76	63.49921212	59.93537943	63.02454192	50.53716194
X77	89.5529734	60.42216588	98.04722574	47.33541973
X78	84.81517804	60.04136299	45.41977293	60.65461557
X79	67.54490824	49.35791916	47.77669904	56.58087276
X8	78.29127599	54.34567706	143.1382174	82.17800975
X80	75.28420343	43.0397449	46.54887336	63.05108534
X81	84.97801105	41.94418356	68.64269169	72.89916881
X82	122.3227967	99.90764686	54.33538892	103.2393797
X83	165.1145267	76.76477396	72.93230239	75.75558301
X84	187.3279948	67.14641576	54.2791251	95.17730759
X85	107.177188	54.09204504	55.30211911	65.99011422
X86	84.43510323	55.84473965	46.99667918	87.67712949
X87	77.64257108	66.51117152	66.4776274	60.80288116
X88	118.3426059	66.61842772	57.38869959	54.29846042
X89	93.54902874	57.33350358	62.82529079	68.25350452
X9	52.36194716	39.09190715	134.9413458	69.65448621
X90	74.68365616	39.78609584	46.9643377	79.92682415
X91	75.59236173	55.87970327	51.43755787	34.31336639
X92	74.18761046	27.94903135	66.46607163	72.15366437
X93	79.68735353	55.11945915	40.38278383	50.19489899
X94	104.3853426	53.09991036	57.98358797	71.84455831
X95	86.33588368	38.72791966	53.97021801	53.46355771
X96	100.4840961	47.63213684	69.08521783	91.75253074
X97	76.36894146	41.91074581	56.15983262	76.99864388
X98	87.32349834	39.27659337	67.53311997	63.29654527
X99	105.3719458	87.44604135	66.45104995	62.16372418
