CK	D	LN	LP	
X1	32979.393	29454.36545	28406.29857	26623.46967
X10	37846.5357	31642.96738	35360.99116	23821.3197
X100	45569.23224	38600.2676	49150.79348	39605.9206
X101	39513.31155	32029.45829	41024.47263	32491.8624
X102	41257.01266	34174.9183	40972.80873	34255.12433
X103	44963.18908	37124.97515	47503.95813	40118.27909
X104	33457.63907	26001.70705	34444.96514	22815.82971
X105	41462.43275	30297.07959	38833.91322	35272.56046
X106	37298.74607	24634.02726	36387.84891	27136.01869
X107	36199.67088	25152.4227	36014.2263	29434.0212
X108	33590.98035	31459.05243	43177.79638	33874.9529
X109	38428.55487	32338.73316	39045.65717	31332.41687
X11	39474.76168	33909.66695	37122.14741	27928.59043
X110	37641.28575	30971.83155	37344.01723	32641.34561
X111	41548.2116	34231.68037	30032.31393	30625.01648
X112	41100.90755	33813.18734	41613.93529	34186.10613
X113	41765.75674	35311.4104	41608.38032	37761.1514
X114	36595.61874	30976.04444	37516.82964	31017.91706
X115	39042.36834	34932.13061	37426.99971	31455.04942
X116	33468.31669	27363.52755	35526.59552	23055.26914
X117	28353.13646	23903.21493	35504.39214	27001.01997
X118	37458.77755	31240.03294	36174.96093	30632.63422
X119	45603.05078	33742.93243	44297.26002	34711.40978
X12	37014.281	36673.60814	41227.44184	30903.88583
X120	55104.41088	49299.47224	51452.07584	51496.2648
X121	46511.3118	40609.65508	46799.41238	57558.57624
X122	53260.21724	42471.74082	53206.0391	73243.81901
X123	41899.30188	37584.65886	44657.11575	44665.11181
X124	44600.2839	41468.42013	44656.6254	44856.766
X125	45247.66028	46840.84456	50939.46497	46385.72976
X126	43052.83324	40810.29205	43789.21519	41800.66358
X127	44098.71186	47995.12433	44886.55565	34703.24799
X128	42051.68137	49130.40786	42025.19828	42492.47747
X129	41490.72131	35458.41322	38322.80115	42337.88728
X13	40720.85909	33564.93745	36885.70859	30978.43342
X14	38664.52966	33697.85685	41527.6026	30790.02391
X15	39913.34977	30605.60565	39817.21796	29613.83429
X16	32667.40892	30955.11682	41970.71665	34773.95492
X17	40483.70658	38356.68554	42603.95431	35636.45986
X18	37727.07538	40645.46323	38409.14089	32806.61221
X19	49398.41652	40342.21513	49825.88474	43130.76779
X2	36524.68802	37135.02902	36408.01008	32133.89996
X20	38463.88155	32692.4238	44609.43146	31893.36353
X21	45486.68345	47223.29227	47691.72561	40623.93859
X22	47707.24724	39021.95477	42409.45636	40710.36436
X23	39900.20742	43883.31549	44604.36205	36109.26062
X24	37299.85965	35614.45534	43289.15767	35248.95486
X25	46355.60776	44036.41829	45752.84988	42835.07456
X26	45017.15628	42922.47499	47722.05416	36730.96245
X27	44535.45551	41700.85509	43356.0489	31024.38725
X28	40773.5914	35412.1175	47645.72939	35206.79489
X29	36727.60787	35202.21411	45996.52701	27631.30081
X3	49008.59288	46345.8658	52000.98227	42348.62787
X30	39170.82755	33513.36537	45444.16475	36306.65958
X31	41202.18647	30609.9789	37588.72223	34508.64052
X32	41755.3502	43876.55503	44086.29692	36972.8053
X33	40019.76037	35962.10699	44986.30461	34730.78474
X34	41103.4362	45234.7949	47135.56233	35546.84072
X35	43759.11466	32740.73162	43533.02289	31339.47059
X36	44130.71988	32701.96462	46016.7518	34063.50269
X37	37806.06533	35175.175	41193.79391	31908.79343
X38	39696.01359	35079.1333	43382.23084	29162.1133
X39	36468.87954	30916.33554	35387.70799	31530.66842
X4	37092.62521	29215.20211	35247.77619	24832.3824
X40	37580.30422	38930.12991	47151.91081	38493.3269
X41	42169.53016	30150.25002	43951.49797	33242.52058
X42	35965.87145	31807.47757	41801.33798	27125.65891
X43	35730.0987	35998.11276	41993.66617	33871.87957
X44	37737.66711	36640.78938	38548.74202	28710.9146
X45	36590.42021	34662.01872	38889.96369	30288.06787
X46	40033.07481	28478.31596	38154.48243	28556.63725
X47	37559.91994	30836.65949	42260.26869	33300.7131
X48	39821.82609	33753.36354	52205.84122	30775.13943
X49	37698.78187	39298.00135	39684.75375	26813.88421
X5	38545.60537	31482.8031	38450.11367	30239.04118
X50	36706.19297	35494.82931	37997.46214	27373.94631
X51	34862.54393	32594.13836	36389.59784	24941.34818
X52	39845.98004	31641.07316	44139.94502	29842.70088
X53	36890.15287	32756.79525	41075.25516	28269.46167
X54	35774.6703	29439.44843	37794.12014	27301.46203
X55	37467.2629	38302.30246	39956.40343	32845.13955
X56	35596.87545	27601.41183	36265.65098	30589.97561
X57	38437.20162	36157.07602	42998.06713	29756.37299
X58	37973.25421	32480.1867	43559.23565	30754.60687
X59	36741.85006	42853.10646	46169.27588	26419.93334
X6	41185.49803	33112.72834	40798.71944	31113.49931
X60	44276.93057	37491.14273	45966.52092	31998.88692
X61	39894.23584	30791.74316	41009.89083	28263.59182
X62	35849.5474	34526.4788	38144.62822	33358.0829
X63	37672.50828	35352.28319	43112.76839	30237.36504
X64	37268.24476	31553.22664	43337.34161	29503.56752
X65	37335.1116	44684.7243	37759.65116	37404.75753
X66	47220.05339	41503.28731	46303.81597	42753.87912
X67	42331.31157	35789.65508	38796.38277	31166.60797
X68	40004.95653	39428.42078	48683.14357	36494.92505
X69	41588.30884	37115.69619	47402.90458	31136.03186
X7	45967.49845	44144.52113	45362.35976	33918.75356
X70	40485.06974	35456.77899	43179.53735	36807.97827
X71	39722.12601	31703.23487	33924.8622	29783.59923
X72	42334.76344	37150.58565	46678.69267	24279.09966
X73	39607.97412	33784.62897	35575.13135	29233.81481
X74	39211.09457	30569.55899	40443.72659	32380.36365
X75	40523.06022	32554.79688	42567.57746	29156.40978
X76	35125.18739	30952.91792	37259.36517	23181.80851
X77	39505.89774	34950.9654	42723.30096	33274.94214
X78	39524.06435	34769.01867	42565.88648	28498.10003
X79	41714.65324	35944.39945	40677.17307	33737.11183
X8	53552.10475	33644.35967	44958.4067	33463.54958
X80	39928.59401	29020.74871	42088.52346	31560.96267
X81	36383.58326	33203.36417	38742.92204	28709.02252
X82	35773.99781	29253.83009	42042.6321	30732.55765
X83	38829.93654	29170.25769	41025.45636	29685.54242
X84	34264.15103	30361.72945	38454.36128	30196.29247
X85	39180.1019	33421.82135	40321.66061	32761.15674
X86	34972.71637	29644.28527	39434.13191	25814.74802
X87	33446.24996	35194.76949	35735.20756	35459.19307
X88	39906.16237	32925.50077	42662.45533	30995.13714
X89	35779.15929	30176.24233	39790.4122	30444.14836
X9	41965.55044	39935.73748	39488.57524	34555.80693
X90	42178.09095	33754.45221	40395.40757	32902.65311
X91	42397.35267	35834.93298	46251.29138	27760.60253
X92	36701.00637	30132.9253	38638.65869	30483.73128
X93	44974.60266	38343.3936	46560.18077	33993.02211
X94	42777.38236	31138.2915	43636.47298	30968.42533
X95	34990.37652	31905.57256	44561.66147	21351.85946
X96	42974.74155	41250.53268	43719.11131	26472.97893
X97	41106.99228	37412.10372	46653.79041	33891.6807
X98	43115.09597	33194.76647	44713.6237	32233.87092
X99	41135.46451	33733.17255	45787.95487	38782.69009
