CK	D	LN	LP	
X1	17220.03175	8390.248035	19251.73602	14124.93491
X10	22205.96359	10863.03657	21641.72935	15886.86678
X100	15772.27421	8350.551099	15391.95252	10388.65643
X101	16094.40204	7782.957709	20859.94039	11563.49989
X102	22760.02778	10786.95032	25019.36077	21114.94029
X103	20695.03395	9493.077762	16854.82726	14506.6719
X104	18395.87417	8283.299207	20399.63141	12556.65379
X105	14127.54278	7802.413054	11629.89841	9764.565366
X106	13585.26861	7555.30126	14651.00227	12065.83398
X107	15297.16244	7608.397658	16402.50218	13759.62473
X108	15437.10592	9043.002762	14183.25181	16040.17504
X109	19675.7534	9525.603039	22022.39921	17008.50957
X11	21089.32983	10481.21875	17618.47755	14053.6548
X110	19393.52816	9252.506206	21901.74228	15847.4876
X111	22075.49159	10062.90561	17313.5174	12264.26137
X112	24324.80786	10412.13441	23419.72656	15519.81122
X113	23886.09057	11513.08851	21781.66241	17640.75714
X114	22245.24831	11154.11874	18017.62389	16628.56732
X115	20361.33453	8525.23201	19295.73931	14790.6509
X116	21867.15896	10473.3635	21234.01489	12900.95494
X117	11891.97309	5915.532663	14302.82339	11894.48382
X118	20721.15963	11576.42456	17547.47481	17028.2821
X119	11086.77674	6891.523816	16553.79363	5523.258441
X12	22462.22588	12724.38933	16675.18	16536.91576
X120	14020.01344	7339.875269	11456.59509	9135.017318
X121	9826.26544	5063.925284	7459.014348	6571.916022
X122	8295.57638	7818.796183	6034.512223	7100.700155
X123	9499.726385	6876.911897	9083.080004	7522.934242
X124	12686.98448	7621.060103	10979.33575	7717.376919
X125	14252.57195	9089.241553	12417.17466	10960.15003
X126	11280.4288	5379.384037	11396.80015	8461.197656
X127	12075.3953	6694.557956	9435.774068	7374.32842
X128	13779.60706	8997.217399	11253.20535	9820.565237
X129	10853.07815	6512.743148	9772.669135	12073.01458
X13	23365.61874	13220.59728	17483.70392	15800.5316
X14	22211.74993	13654.38169	20688.82033	12938.07372
X15	19962.4654	8725.574773	21267.88126	12662.80449
X16	21207.01879	9803.809008	20782.32909	13826.69801
X17	18589.29404	10706.2533	16608.87617	12001.41984
X18	18506.84335	10923.77428	16328.89129	13856.3243
X19	14252.77476	9693.449033	17338.31594	12399.47193
X2	16264.70011	13904.50574	11834.43436	14081.03481
X20	18840.66851	9842.426663	19790.21729	13536.18219
X21	18183.04656	9775.757067	19650.54183	13546.52793
X22	21928.56536	14078.57898	15720.02433	16426.81097
X23	17543.02627	9677.035506	18644.52833	16793.26127
X24	10956.93334	10449.36189	20174.43322	16887.9414
X25	17067.68162	9478.6417	14377.11733	9708.489019
X26	19262.06071	13447.06078	13184.89876	16442.06006
X27	24452.46773	11997.25564	21437.14896	18812.19547
X28	18169.79792	12974.38926	17458.65188	17009.77015
X29	18626.98211	11159.94659	17896.28268	13794.70655
X3	14793.60656	9464.494759	15465.6232	10119.33704
X30	20579.92364	10085.26845	20485.94165	15765.87549
X31	19239.8859	12117.72074	22332.21055	15254.42306
X32	21074.23696	11122.0938	16743.83742	11896.15494
X33	21693.21389	11890.09829	15907.26419	15317.86952
X34	17991.7133	9595.910885	17241.64906	12819.17207
X35	18807.83117	7768.084708	17616.94412	14019.78384
X36	19590.41575	8156.55006	17664.41935	13605.514
X37	20324.43654	11180.45098	20190.57945	15550.39341
X38	23324.72296	9821.806181	19676.90336	14672.57254
X39	20454.50732	12381.66865	17290.64752	17081.88102
X4	18994.61717	10937.06268	21986.55727	14703.86096
X40	17204.39352	10763.37677	15353.30329	14820.18025
X41	15071.62592	8631.60769	17847.50825	13476.15166
X42	19516.59992	10700.83531	21258.24117	17527.8919
X43	17000.2395	11264.76805	18815.90036	14581.83984
X44	20844.07647	12148.92003	17832.35053	18565.2489
X45	19883.12819	10196.97706	20306.54346	19808.94875
X46	20268.19802	9207.073771	22129.59981	13430.73658
X47	20871.45741	10385.53521	21223.16372	18177.94028
X48	21054.36423	9732.82616	21741.07606	16870.85951
X49	22557.89965	12953.25521	23540.82618	17640.01715
X5	20953.32487	8880.430109	15448.30334	17015.9436
X50	19289.36266	10962.09434	20947.21528	15450.09222
