CK	D	LN	LP	
X1	87.46828315	44.53333333	101.7392975	115.8666667
X10	105.4184329	59.3	112.9286757	113.0666667
X100	79.50161649	53.06666667	79.70596414	66.46666667
X101	92.62738556	57.83333333	88.33107017	102.9666667
X102	118.3607189	67.26666667	131.6977368	101.0666667
X103	119.4775818	49.06666667	106.5001938	78.26666667
X104	118.4940522	57.66666667	115.7644035	128.0666667
X105	84.11843291	73.36666667	74.92867575	81.63333333
X106	106.8184329	58.86666667	101.2286757	115.0333333
X107	123.2775818	50.8	127.1668605	113.9333333
X108	104.7517662	61.1	120.6620091	122.6
X109	121.4442485	56.2	118.8335271	136.7
X11	131.2517662	54.53333333	91.56200908	92.06666667
X110	97.06828315	72.23333333	116.2726308	77.36666667
X111	111.8349498	80.7	105.2726308	87.73333333
X112	95.61091516	74.9	96.20019381	90.66666667
X113	108.0184329	71.96666667	137.0620091	136.2333333
X114	127.7273856	75.23333333	119.2644035	136.0666667
X115	118.2682832	58.03333333	116.3726308	116.5666667
X116	140.5775818	73.33333333	140.8335271	137.8666667
X117	115.1940522	46.26666667	92.29773683	127.0666667
X118	121.9775818	67	129.2001938	115.9333333
X119	65.44424849	31.66666667	59.53352714	69.03333333
X12	103.6607189	67.13333333	92.83107017	93.6
X120	50.81843291	23.1	50.32867575	45.33333333
X121	42.19405222	14.13333333	40.6644035	32.3
X122	26.71843291	31.43333333	22.19534241	29.46666667
X123	50.34424849	27.46666667	40.50019381	42.13333333
X124	51.70161649	24.56666667	49.73929747	55.46666667
X125	53.40161649	25.73333333	45.70596414	43.3
X126	61.64424849	28.8	38.73352714	37.1
X127	61.02738556	27.06666667	68.23107017	29.03333333
X128	61.95176625	26.7	47.32867575	51.6
X129	48.98509958	19.5	47.46200908	50.53333333
X13	100.2775818	62.8	88.26686047	84.66666667
X14	122.9940522	71.83333333	101.5977368	98.9
X15	103.1682832	67.86666667	117.0392975	93.1
X16	95.70161649	76.66666667	106.7392975	82.26666667
X17	117.0517662	58.2	90.22867575	77.53333333
X18	108.2109152	66.8	116.6668605	121.1666667
X19	76.56828315	47.76666667	100.4726308	75.3
X2	99.12738556	81.16666667	80.59773683	89
X20	78.36828315	56.43333333	87.1726308	112.4333333
X21	66.60161649	52.76666667	93.1726308	88
X22	69.86071889	60.53333333	61.3644035	91.33333333
X23	73.21638556	62.36666667	93.60019381	122.8
X24	60.59405222	63.83333333	93.49773683	86.46666667
X25	78.46071889	40.06666667	73.49773683	74.16666667
X26	99.11091516	64.4	71.86686047	79.73333333
X27	113.2442485	54.96666667	113.0001938	127.3
X28	85.66828315	86.56666667	88.10596414	96.56666667
X29	114.0184329	72.6	88.39534241	120.5666667
X3	89.61843291	49.53333333	74.72867575	79.16666667
X30	101.8850996	65.4	99.32867575	96.16666667
X31	109.3850996	85.73333333	115.6620091	96.76666667
X32	115.2775818	52.03333333	106.5001938	99.76666667
X33	104.3775818	87.53333333	88.00019381	93.86666667
X34	108.9273856	47.83333333	128.0977368	97.3
X35	108.7184329	64.26666667	89.79534241	123.8
X36	91.26828315	52	109.5059641	107.7666667
X37	110.4607189	70.26666667	114.4644035	80.63333333
X38	98.21843291	60.86666667	88.16200908	100.7666667
X39	98.96071889	86.86666667	118.8977368	98.26666667
X4	83.76828315	71.6	116.535218	79.9
X40	111.9682832	69	52.13929747	97.43333333
X41	95.08509958	71.7	75.56200908	104.9
X42	99.97758183	90.2	121.1335271	130.0666667
X43	86.93494982	65.83333333	127.1059641	93.2
X44	112.5109152	78.93333333	117.0668605	126.6
X45	108.2850996	77.4	110.0953424	109.1666667
X46	119.9607189	69.36666667	105.2310702	93.43333333
X47	97.68509958	76.1	101.8953424	109.1666667
X48	110.9940522	67.63333333	103.8310702	96.36666667
X49	127.0184329	82.76666667	121.0286757	136.3
X5	107.2775818	44.56666667	95.10019381	96.7
X50	109.4850996	67.66666667	117.3953424	114.8
X51	109.3607189	50.46666667	113.4310702	85.6
X52	118.7775818	81.96666667	132.1335271	97.83333333
X53	168.0349498	55.23333333	125.4392975	91.76666667
X54	119.2442485	58.76666667	109.1668605	105.4
X55	111.0184329	58.6	122.9953424	90.63333333
X56	137.0850996	76.83333333	130.4620091	113.5
X57	86.45176625	85.83333333	109.0286757	93.66666667
X58	123.3607189	73.06666667	110.3644035	92.23333333
X59	99.27758183	64.26666667	80.80019381	115.6666667
X6	88.62738556	63.33333333	98.19773683	94.46666667
X60	93.01091516	80.76666667	96.16686047	51.2
X61	108.9517662	68.06666667	123.9953424	112.7666667
X62	132.1940522	55.6	105.5977368	118.2333333
X63	116.1349498	78.86666667	86.00596414	115.3666667
X64	110.7016165	69.53333333	103.9392975	139.3333333
X65	113.7016165	77.93333333	116.9059641	103.8
X66	90.90161649	75.9	79.93929747	83.1
X67	89.51843291	68.83333333	103.1953424	111.2333333
X68	109.5273856	65.36666667	112.7644035	57.46666667
X69	126.2442485	42.53333333	98.80019381	119.5666667
X7	101.0349498	20.96666667	102.8059641	69.5
X70	124.4682832	51.76666667	117.8059641	117.6666667
X71	101.5607189	60.4	119.1644035	106.0666667
