CK	D	LN	LP	
X1	2448.569201	3646.049294	2056.657993	3291.562731
X10	1804.483156	2653.381922	1887.474217	2354.722149
X100	1859.058239	2134.181807	1635.782501	3275.391121
X101	2691.409616	2475.907123	1862.698104	3796.469147
X102	2701.252291	2960.564116	2287.023607	2946.416369
X103	2476.8058	2931.20585	2242.883873	3326.816364
X104	2071.5673	2017.986471	1673.82315	2577.956242
X105	2797.553071	2792.498916	2330.415514	3502.002133
X106	2165.914044	2521.643413	1954.677153	2547.248065
X107	2261.60681	2525.19163	1771.563319	2714.447902
X108	2286.787286	2605.433203	2038.242212	2842.125093
X109	2502.666173	2917.76727	1846.409455	3020.006121
X11	2008.502412	2748.761484	1858.437902	2279.293918
X110	2074.488922	2385.914862	1823.982011	2786.9638
X111	2231.967887	2702.444303	2251.925322	3192.224215
X112	1915.672572	2161.198684	1936.615254	2424.803276
X113	1914.579989	2438.458992	1838.242792	2670.505293
X114	2081.594676	2313.387247	2026.472237	2671.476135
X115	2188.246535	2854.112192	2074.69325	3057.622627
X116	1955.748286	2401.705194	1571.818843	2719.730301
X117	2132.530534	2583.691786	1788.03023	2851.363793
X118	1949.862109	2305.55626	1846.853128	2642.11044
X119	2551.214602	3181.019644	2175.882667	3989.594439
X12	1776.924523	2404.938579	2076.107301	2286.230704
X120	2081.635448	2082.353344	1955.978657	3230.397003
X121	2365.501946	2422.003663	2189.001083	3523.278536
X122	3775.529378	2499.34587	2730.420995	4703.718131
X123	1808.607255	2037.318794	1548.949537	2273.197384
X124	1675.910184	1958.362604	1848.418127	2290.353169
X125	1680.621551	1967.102891	1617.196572	2821.972373
X126	2077.797711	2136.27958	1911.90983	2839.024647
X127	2312.864395	3349.690004	2339.824805	3013.891777
X128	1627.617537	1820.360985	1422.728285	2213.061006
X129	1816.927519	1746.332608	1420.825206	2266.742933
X13	1795.049361	2220.855682	1951.154701	2492.252263
X14	1960.406802	3030.419404	2074.69467	2399.191341
X15	1998.088165	2729.414186	2022.741333	2873.977236
X16	1803.294193	2106.086431	1926.995372	2474.034973
X17	2232.348538	3453.003672	1597.673892	3197.643171
X18	2049.96916	3123.532262	2250.661425	2756.436897
X19	2508.828933	2737.216086	1997.878652	3225.490782
X2	2161.454272	2935.172353	2288.18526	2884.969308
X20	1988.691333	2524.141704	1936.127945	2931.325206
X21	2399.76673	2814.122326	2187.146632	2992.956212
X22	2157.065242	2524.308018	2186.516997	2532.19234
X23	1751.008251	2374.345636	1866.399797	2408.59506
X24	1843.126318	2598.327942	1699.857824	2449.144691
X25	1923.820497	2029.631272	1721.22522	2434.799862
X26	1920.05388	2975.849039	1856.711726	2638.18242
X27	2607.119116	3192.753108	1837.248543	2601.9166
X28	1622.720411	1782.362356	1727.476715	2180.514942
X29	2093.155483	3374.39389	2191.137521	3054.92102
X3	3159.206154	4344.661572	2684.726861	3827.791092
X30	2263.961311	2742.100813	2278.472617	3177.087854
X31	2178.526471	2611.153913	1756.310032	2689.850824
X32	2349.852556	3379.803139	2091.923012	3198.745217
X33	1857.579394	2126.4537	1642.004112	2451.168394
X34	2826.392415	2954.964691	2687.060386	3588.992336
