CK	D	LN	LP	
X1	1265.615603	1033.805752	1371.006406	1614.157042
X10	1132.770192	891.4630496	1120.280184	1356.336681
X100	651.8047512	451.9039611	514.6257208	829.3934169
X101	1087.720139	602.3825621	939.2705521	1191.050383
X102	1489.599481	921.0208573	1391.818747	1705.261049
X103	1154.409559	737.9468772	792.2268817	1121.599292
X104	1147.272908	629.5519723	994.273545	1180.225414
X105	974.628439	728.5941378	693.0086625	907.8509578
X106	785.0580404	718.4586264	775.0513906	1040.797852
X107	968.3280249	708.1258219	791.8017442	1169.036857
X108	1064.438632	758.8409609	650.9235802	1254.618745
X109	1231.808037	852.8066898	1038.535254	1529.021379
X11	1125.690853	871.335013	866.4846004	1023.917206
X110	1064.878974	695.863764	1071.115115	1275.929491
X111	1206.776276	787.8696393	1289.15985	1218.964577
X112	1144.915533	649.2950142	1098.072615	1004.281866
X113	1071.02047	772.0949344	940.0509828	1169.303302
X114	1254.549871	819.0799944	955.6165201	1328.299125
X115	1147.924378	661.8761946	998.6981471	1364.232722
X116	1310.065066	900.3765403	963.2698925	1397.540242
X117	898.58583	608.5560912	706.2643685	1181.082737
X118	1082.042459	807.4324185	882.9106268	1369.820892
X119	636.7798686	635.2681098	650.7677865	580.6444244
X12	1072.972274	819.4528366	813.5764574	1136.555465
X120	538.9445971	344.5876163	460.438107	535.2090644
X121	513.1665742	298.8224987	339.1573269	383.698697
X122	611.8911381	468.2322911	317.7895869	432.1644275
X123	434.4623083	373.4446107	314.1180358	360.8476128
X124	492.5295763	344.4954243	427.8927713	420.921869
X125	529.8291399	374.0774426	427.9429567	643.4847684
X126	548.4099869	270.6860647	472.6707624	552.310645
X127	629.1962376	471.3288638	480.2823685	586.5498441
X128	550.1910749	355.2669071	374.6059619	473.0651311
X129	483.5561057	337.3845592	330.1517048	601.3986985
X13	1044.238924	925.4422744	913.7672338	1145.999622
X14	1124.186986	1227.604683	1178.48039	983.2750608
X15	1017.519515	777.8144483	1062.580582	1175.254324
X16	1182.985708	677.9980452	942.6212222	945.1940375
X17	1051.119875	975.1874413	653.3004611	915.312253
X18	999.5996262	836.5655181	942.8144232	1074.352799
X19	755.7968353	654.4230368	682.8304402	902.3753661
X2	970.3657893	1108.301218	739.2991704	1199.474579
X20	980.7130557	749.2857536	857.0110099	1160.453352
X21	974.876718	592.6282493	903.4726237	971.4904615
X22	984.9035051	935.7487254	766.4791056	974.8935671
X23	773.013818	507.7637617	800.8412866	1039.509832
X24	597.5003633	759.465721	792.6350268	1120.339775
X25	707.0608638	423.9109457	511.2609191	494.6772691
X26	834.4727487	917.2628932	509.1071288	1098.173269
X27	1445.078577	948.3280922	919.5365768	1509.8968
X28	746.6152804	622.8397939	602.3213184	1022.743252
X29	1102.771475	1049.044506	803.8510798	1356.093549
X3	975.5922621	906.5924421	801.2653554	846.2469343
X30	1211.82217	847.2590435	1006.785003	1297.117036
X31	1055.172496	981.1828803	1054.524542	1072.013833
X32	1201.2843	846.2980335	762.6101566	930.6175365
X33	1003.789555	698.4841683	596.9452833	1029.324128
X34	1178.063105	621.6678788	979.2126698	1245.873897
X35	1236.333915	858.6790429	1054.227275	1397.870956
X36	1234.355875	769.6870784	1033.84455	1270.043296
X37	1075.119703	737.2377657	1121.786057	932.7471735
X38	1184.871263	731.365811	1160.673352	1312.298122
X39	1275.211989	1044.679817	1005.828678	1414.434927
X4	1705.861029	1131.123721	1864.46316	1689.111512
X40	976.4176095	771.6713092	632.1523771	1270.589852
X41	842.9390528	740.4267708	765.2680952	1027.824038
