CK	D	LN	LP	
X1	54.15169839	87.89135535	44.17199406	61.70111268
X10	63.78157757	94.40248823	68.6808973	67.07212161
X100	48.6125221	69.73212182	51.63276975	78.89713852
X101	67.64844693	80.23293567	50.46797794	62.98915173
X102	74.22110596	100.8912028	64.12496663	64.09115333
X103	62.80764565	83.24702108	50.79319679	62.60698655
X104	40.94052318	47.45900672	34.181066	43.07659924
X105	69.61865872	66.54929279	59.71218084	64.26286569
X106	87.84611548	90.09823319	86.101139	89.17772846
X107	91.55546227	96.892992	83.19514809	94.61597993
X108	68.29008947	75.42654485	64.04726869	81.58694127
X109	69.06535301	109.5991499	61.12276423	78.22337102
X11	69.84948382	85.80861234	64.53919923	62.13896095
X110	71.11083852	105.0936855	67.51229473	79.88450818
X111	53.64354135	64.17315771	66.06423287	53.41397223
X112	64.04874469	93.87937587	68.62049835	70.87162182
X113	58.48842814	81.15983106	74.08394149	67.81304925
X114	57.80731534	73.68577427	52.44324046	63.87913332
X115	65.97352883	69.64509746	65.1959719	77.66141011
X116	84.53009137	99.86677647	67.36183509	92.47268897
X117	98.34268673	97.72182764	80.66239307	99.2102339
X118	76.65301778	102.0660239	75.33598361	86.436875
X119	48.5415323	63.00971698	47.89782693	49.01588533
X12	66.91368614	77.11262762	64.54074444	83.11783362
X120	52.15675294	54.31454176	59.65311574	45.68517871
X121	42.87142675	43.30905405	32.14483649	31.34230608
X122	28.09671153	52.95661538	30.97626213	42.71512851
X123	51.9664788	54.19157537	38.18199175	40.45415113
X124	42.59275435	61.48040424	42.3522258	40.44708973
X125	58.57171228	62.41666915	38.70441051	53.42581169
X126	53.24418443	73.203035	41.41725452	53.7729721
X127	35.11421022	50.571829	31.62250768	32.02689374
X128	44.41821341	71.76318775	37.84009373	35.44158147
X129	47.49223217	60.44195225	54.5186679	43.94443368
X13	58.44074056	90.59780358	78.3150362	84.37940503
X14	64.56271944	96.51031205	60.26513299	76.22541231
X15	61.3096301	90.35552143	70.50361888	77.68970588
X16	59.83083583	78.93928408	71.75295227	81.64775061
X17	72.20070553	98.7327768	65.70355737	73.84383801
X18	79.96537557	139.0740801	83.90154144	95.78570345
X19	63.45986119	123.2367812	119.9112186	96.90053286
X2	60.49292877	103.6727748	57.98926122	68.35727307
X20	68.69860513	102.5372174	65.66112823	98.21060199
X21	58.77137081	91.24422805	62.98642141	58.15507253
X22	64.53539726	91.4815376	72.77580297	62.86111832
X23	45.68390671	80.46656699	44.49963828	67.66183969
X24	71.77081296	87.87703898	56.01596056	83.73429854
X25	58.78222861	86.55670233	45.8954922	48.14184317
X26	82.898991	138.0669598	73.96433769	106.2680221
X27	81.79571389	115.6638801	68.20183687	84.41536693
X28	72.43434198	120.2717961	51.02614366	81.24234297
X29	69.73498745	96.80645454	52.11074348	73.42275949
X3	75.16460578	141.7747379	68.52550402	90.98328869
X30	60.09216932	117.0200605	62.32587712	51.96172313
X31	67.71285024	85.10325306	81.49916096	83.19824169
X32	73.14447654	112.9158919	61.67882623	82.59628275
X33	61.80911549	82.51418346	65.86756934	91.17481543
X34	70.64960532	92.89989219	63.89898635	72.60835205
X35	76.60871379	111.0631236	75.30782386	79.32517959
X36	78.38160746	113.8578003	74.0470168	86.07385941
X37	93.99005486	127.1956645	100.1176876	101.9275901
X38	89.37271357	117.3372766	103.9947161	79.25626595
X39	76.56390411	107.6086749	75.65268901	77.94792
X4	71.84678721	95.16797723	80.7694348	65.92462223
X40	79.87261684	122.484046	91.02809473	95.59682823
X41	79.47524074	103.9318418	83.86619381	85.73710314
X42	90.57965763	131.6220153	107.1384312	100.1347515
X43	74.25325821	108.4665198	60.91433147	88.06581621
X44	97.87779987	135.5605533	88.39397106	105.1053827
X45	112.9990589	138.1729246	99.79954654	94.33255212
X46	89.44038215	102.7091065	70.44387886	98.93420777
X47	100.5606338	124.5749431	119.6396428	103.3581127
X48	99.09119269	117.2902691	108.4615654	96.70167365
X49	64.77379331	99.79521106	71.92902023	67.98677412
X5	64.72592254	85.60641276	60.1035158	74.15484124
X50	66.71284081	92.11526556	53.39469518	72.18138332
X51	68.56755572	95.65665165	79.19431593	112.7849587
X52	71.26706092	95.76280002	82.40111589	86.70754118
X53	72.11916218	103.9344973	60.69466916	61.5927546
X54	57.92406746	76.83383799	60.48926612	51.58207982
X55	67.78330848	102.0635965	74.59826754	80.46878423
X56	62.36257052	89.76013804	59.38790698	54.8803826
X57	82.94680035	95.3479254	91.41018683	90.69957875
X58	90.60439452	83.30362916	71.87920117	90.04891374
X59	76.30087437	96.78447489	68.00460712	75.4743202
X6	64.92836026	99.35850294	71.92088443	84.92127678
X60	56.69003041	107.723499	75.47830432	66.39031396
X61	72.96521111	91.84241233	48.09155301	69.80172312
X62	80.14597402	91.06370866	66.61258549	88.67280426
X63	54.58753674	79.45317911	39.77577502	62.04756618
X64	65.70420949	74.54030546	64.98711371	75.49352527
X65	64.92988669	94.20466546	77.37819262	84.49756906
X66	66.93903696	100.4080452	60.7664222	70.94792298
X67	78.22857194	112.4422444	96.38586074	88.45026805
X68	64.27233746	107.2214912	64.67890271	74.04819567
X69	74.01721297	101.0329477	57.43775032	80.30928809
X7	56.20049701	105.6442266	90.63567376	86.69197807
X70	63.51374876	92.86924928	56.91278244	72.2983963
X71	55.61124478	80.93333663	55.40373055	64.52674945
X72	48.24648139	87.69515053	36.47883422	62.05685816
X73	73.37632308	77.78715109	72.80098213	83.30010572
X74	83.11148663	95.49895098	105.1355892	115.1283205
X75	94.58060599	129.4028631	87.64000785	95.43841486
X76	60.66260146	93.49768486	71.11006808	59.92963809
X77	56.40425093	71.5824281	69.05885756	70.16985506
X78	58.97791588	79.29152615	66.52869526	67.05643088
X79	57.23806608	70.80723273	59.62768193	57.22113565
X8	80.52867743	108.7278186	75.74798083	64.6792899
X80	71.10563041	89.05312601	83.1416096	74.77903485
X81	78.28706333	106.2483834	50.48496147	92.53740156
X82	64.86298409	103.6824584	54.9816789	72.00489822
X83	68.60808003	99.84378286	62.27567561	77.91763383
X84	94.01576077	78.25835288	62.80309291	56.69821017
X85	97.80969909	123.1387492	59.46520771	86.67812902
X86	65.301305	102.6440724	55.65795178	70.12443694
X87	66.1497503	111.8701517	77.89194232	66.45285741
X88	86.97501048	125.248555	67.39459221	88.01753762
X89	82.25953538	105.5979846	70.70739651	91.37653855
X9	56.37499596	92.12185936	43.14906002	66.9408674
X90	67.6266284	90.6885967	57.00460101	64.36049693
X91	49.71852402	62.27035829	64.54329877	51.79476299
X92	59.13029996	82.80649003	48.4517103	62.46467576
X93	63.17809627	87.02710267	45.48971881	52.64010268
X94	54.67954676	89.89339045	82.07827128	61.69758068
X95	60.18666917	96.10753043	58.3407519	56.59273263
X96	67.6816989	103.042921	63.43931326	65.32611406
