CK	D	LN	LP	
X1	28.52890002	23.17194744	30.41040198	32.16192392
X10	39.50552027	31.65460825	41.22367217	40.795703
X100	17.17816508	14.10344229	16.19508547	19.79932943
X101	27.12201212	19.7375121	25.30306009	21.61370255
X102	40.99567768	31.62338042	38.80711337	38.28373013
X103	29.10797559	20.1483605	18.20075887	21.3613175
X104	22.54273019	15.95706885	19.67698123	19.23747102
X105	25.03325399	17.51105095	18.32262244	19.21005395
X106	32.11541791	26.62914341	34.53429608	35.78570981
X107	39.335031	27.06435281	37.31335845	41.79756172
X108	31.1466573	22.59189465	21.12665548	36.28839792
X109	34.3040655	31.31919649	34.52309803	40.15548573
X11	38.69575792	26.63036863	29.66012333	28.1994476
X110	36.73537852	28.60695993	39.20094258	36.4148965
X111	29.40918629	17.92666174	37.35943603	20.85403441
X112	38.05891417	27.32103507	38.86612164	30.26034509
X113	32.94937611	26.39275312	38.45749516	29.80449134
X114	34.73653763	27.11296898	24.48257022	33.18708483
X115	34.80611046	16.9108079	31.86153385	34.41134786
X116	56.80693136	36.78108925	41.46574123	48.22753288
X117	40.76459667	23.80257657	32.28015053	42.73011141
X118	43.05488909	35.55629827	36.23444954	45.99306802
X119	11.68572371	12.01262044	14.7324772	8.070955755
X12	41.37680706	26.69402932	25.10825618	43.21639171
X120	12.86334063	8.67077272	14.19364214	7.346486915
X121	8.840780587	5.901418307	4.533683655	4.038372704
X122	4.444179224	10.49342592	3.737692476	3.706116607
X123	12.78923709	8.950358072	7.522857572	6.859838395
X124	12.35652526	9.580531456	10.75967732	6.733083655
X125	18.89456846	10.75516192	9.713839374	11.43301858
X126	14.24299696	8.612930741	9.630597572	10.90037089
X127	9.575187267	7.206618588	5.762875152	6.864502992
X128	14.95883496	12.9759642	9.945496504	7.576074722
X129	12.53878757	11.84450899	14.65497561	11.84825265
X13	34.10220277	34.9517641	36.57921138	40.38266375
X14	39.89359062	38.76521683	33.63682984	35.45965768
X15	31.2468647	24.41219788	36.76119232	31.78569426
X16	39.22782919	24.41104505	34.84281891	31.53986661
X17	33.76516569	27.83710911	25.70238118	25.24841243
X18	39.05794593	36.48345517	36.16807043	37.64864096
X19	19.6275898	30.16035421	41.07701353	27.6926956
X2	26.92396686	40.2456701	18.12240823	29.58342656
X20	34.77325376	31.31500639	28.94101956	38.73094395
X21	24.01487046	18.32333376	26.35521549	18.70708108
X22	29.93357708	34.42871174	27.48086515	28.50102053
X23	20.77871275	16.04611442	18.34913781	29.64451278
X24	21.04662464	25.87488425	25.981763	39.18373648
X25	21.61517106	19.57217017	14.89862959	11.33931632
X26	35.98660952	42.18460508	19.84825742	45.23042738
X27	45.46739433	32.39101166	33.98012783	48.76579537
X28	34.0685682	40.82099704	19.44770971	38.15213642
X29	37.62351874	32.7802709	21.04771815	35.10800439
X3	23.54851159	29.02787103	20.61647784	20.73731587
X30	32.37703282	36.19332298	28.48719297	22.94470669
X31	32.49554501	33.22260778	49.48803399	37.29050501
X32	37.91390655	27.32869562	22.46645231	24.39200631
X33	33.62116021	26.47452119	23.81037663	38.72798759
X34	29.20539846	20.74945492	22.96772526	25.00408226
X35	33.34566879	26.34274779	30.51225511	32.63544063
X36	35.48331452	27.14256277	28.20455635	32.54442386
X37	50.02342054	41.37824568	48.57050149	47.89495556
X38	52.08510568	33.43371903	47.53340682	37.71287429
X39	43.41282148	43.5063984	36.27581554	41.98141616
X4	39.56843412	34.18151416	50.05469687	37.32098883
X40	36.79876302	32.49530731	29.43755714	34.97865796
X41	28.93129572	30.38962314	33.66613256	32.522376
X42	50.80754822	43.26475752	53.51393159	59.9319153
X43	35.47920421	33.0841654	26.78592796	36.38660618
X44	54.96295597	43.3747257	40.58921252	63.94027147
X45	63.49998887	41.51194033	54.26477687	56.85064512
X46	45.73717032	31.92281464	40.68621485	44.91236817
X47	55.68780625	40.73582142	60.89843391	53.21704764
X48	51.09238477	34.28956522	44.59256176	51.6493063
X49	40.01279901	36.02604955	42.32164832	41.80417579
X5	35.10011513	22.71121443	23.7668328	39.21358107
X50	34.41734289	29.38434467	29.49937037	37.74882531
X51	40.80348	33.47026847	49.4916339	46.835944
X52	36.59541214	32.03164644	42.43782534	42.35395791
X53	49.71508428	39.04769008	36.24039256	32.4370404
X54	33.28870226	26.16515041	36.64796985	31.51070492
X55	34.79677985	26.91780846	45.05619655	34.11072535
X56	37.18397156	38.82669041	35.38018337	27.46706019
X57	40.30067388	37.39950737	31.8665173	41.97560408
X58	59.46363893	30.66137434	41.66800074	44.64830614
X59	44.1945247	23.36349085	31.57825977	46.48504065
X6	29.18864766	25.90324527	32.37696949	38.77430888
X60	25.33552822	41.71851563	37.62178976	23.41556383
X61	30.78274901	26.51809956	26.91548007	31.8819606
X62	46.95942452	24.73549912	43.11833663	45.76107051
X63	26.91512698	25.13898448	14.91167458	28.33702547
X64	24.36605318	26.74803243	32.69130465	51.25813859
X65	33.39454669	26.9267144	40.98958389	38.32309987
X66	29.34363962	32.03469988	22.73178765	25.9836734
X67	49.41526487	40.31141163	55.159501	51.69590432
X68	33.56221194	33.14420653	30.9344486	28.38482188
X69	32.27162403	25.5856557	22.27224449	36.55225805
X7	23.21170279	17.53955074	39.78389802	28.19068181
X70	30.91702875	20.30849684	25.09703198	32.79392811
X71	32.29051896	30.50047959	31.54996749	29.57295747
X72	26.54050256	28.63356476	13.13194247	17.43542648
X73	43.70934919	30.01950096	40.95318531	30.00466762
X74	49.20417284	27.14960383	50.95844509	52.47696679
X75	43.55934567	34.78676985	37.67377641	42.14563439
X76	39.74283868	34.01753795	42.23350089	34.57474468
X77	34.8966083	24.76065394	40.72164635	30.75686411
X78	29.11771446	25.81934592	32.04512524	33.24156598
X79	32.53729647	22.01059489	30.59164524	22.64256514
X8	30.53098462	29.12938472	25.90476546	23.25378585
X80	40.4569015	33.19702013	37.85975172	38.5433963
X81	41.41980301	33.3598407	25.77767468	45.80900581
X82	39.45867648	34.53087803	24.49007773	40.25185447
X83	34.89838527	38.32157849	32.56614199	36.1300853
X84	58.02867988	27.4211679	35.08600955	35.24040667
X85	50.35309715	42.30824651	39.04860356	45.4269693
X86	39.77479305	28.7076572	23.49144311	37.95563848
X87	39.48514279	38.02654485	50.77477919	27.9389618
X88	39.72415394	35.11762863	26.38635136	40.20405544
X89	54.00211048	31.23496295	47.18474314	39.99853928
X9	19.10037892	26.82144898	17.80843826	28.54050216
X90	28.28803656	29.82595168	26.64455475	33.56597835
X91	20.75071805	22.45373441	23.78585758	17.44314244
X92	39.44862573	24.1445648	31.9278326	33.34743601
X93	27.82122881	32.57022885	22.15088216	25.58527013
X94	31.23813403	31.37864152	42.63734108	38.44108248
X95	41.24238031	32.66419038	32.14703394	34.63215415
X96	31.3994601	23.51852448	26.24908835	35.66115836
X97	41.39581991	23.73143384	34.42090473	35.5531465
X98	22.10914238	16.75393994	20.06298619	23.62800551
X99	33.69496266	31.72817284	26.01387057	24.22423912
