CK	D	LN	LP	
X1	213.066915	124.6244441	128.4063263	141.1937596
X10	214.3571837	131.7237878	134.1428145	128.9955443
X100	208.5493939	158.8680447	126.9886562	148.9813343
X101	222.0882712	153.8963799	116.9798627	126.4040597
X102	193.9037411	141.8037642	130.2262427	113.6316552
X103	210.6184189	134.7061404	130.5583212	131.1940084
X104	212.5612144	139.3682172	126.5174952	138.2494147
X105	219.6354449	141.6575017	147.72712	176.6898598
X106	221.7600528	147.2915256	123.7567149	127.5427481
X107	202.6195421	165.0830258	127.6155229	125.841289
X108	199.4998389	143.1320614	143.7565591	136.1748739
X109	215.8312686	125.5260974	119.7701362	120.5464674
X11	125.4811143	122.317598	121.2606133	158.7966237
X110	212.8309468	134.1410295	131.2630563	194.34284
X111	177.2780325	132.2939065	132.8764954	210.6399463
X112	206.0521341	132.7358904	80.12032188	181.2211124
X113	145.2177559	127.1718619	73.93792468	178.3174648
X114	136.4466474	124.2359662	78.33459121	179.3778643
X115	145.9429308	267.4940183	76.93658786	182.7288795
X116	143.0056029	178.422433	70.53194233	186.2071088
X117	147.9201705	208.9290939	79.35890964	172.0750616
X118	146.1898826	177.0705374	80.62391264	180.62977
X119	276.0018153	200.3336673	104.2304548	349.9636506
X12	124.9358364	120.254205	122.5877298	197.6429829
X120	234.9832131	456.6589291	132.6415691	418.2724016
X121	265.201403	368.8382906	169.2880081	1154.542424
X122	689.8442045	310.5734714	261.6301815	1326.060712
X123	211.0229409	224.1566405	110.5978057	362.6404667
X124	204.176191	251.9781055	140.6674513	365.5137361
X125	186.5625902	236.5607989	116.5153335	266.2350215
X126	198.1643868	343.9756352	83.26902655	248.535062
X127	177.5285681	399.0082041	141.7711534	284.6526114
X128	122.5291143	311.2277963	123.4046895	321.8786117
X129	186.7553623	243.0659996	85.79694178	260.5780583
X13	234.2741984	117.1711121	128.0470105	159.12328
X14	192.0076357	111.6272184	132.1804676	145.3228978
X15	227.8782819	116.0238785	132.8007724	168.4673278
X16	204.7261377	113.0107069	130.5794043	167.1400869
X17	219.3889143	142.4196176	128.1286402	230.5414881
X18	228.2673683	121.8258695	129.2489085	161.8438368
X19	272.5104107	154.6758192	130.3418766	205.9822774
X2	153.4725839	113.9639248	154.1678778	128.0130788
X20	213.3705344	75.87933404	117.1300857	169.0540608
X21	239.7020465	90.39396586	132.5412816	160.5158351
X22	274.6271677	79.73837473	135.3717199	170.2859406
X23	234.7378596	80.89290257	133.3071465	167.0742191
X24	123.0227354	98.6381206	128.7449889	160.3308862
X25	267.931646	123.4746918	139.809109	224.434189
X26	216.0352805	93.32409157	144.0818411	162.7507755
X27	250.8394341	78.42750925	124.2448175	167.7137884
X28	235.9960941	77.6998365	150.2895939	199.2464157
X29	211.9721954	82.10110338	147.457556	159.1606257
X3	256.8407071	178.033396	143.6336744	165.6688677
X30	115.9793305	79.73941972	188.0807723	174.9888132
X31	202.9887571	80.1519048	125.5816594	163.5545319
X32	217.4052197	85.06169978	144.9136136	162.4078923
X33	212.22577	77.65246316	117.5455882	135.2763872
X34	223.6520627	82.12642501	131.8620639	132.7800783
X35	141.4615092	84.71931894	114.9221517	148.1302317
X36	140.7232007	79.54446345	131.6985651	147.3855394
X37	140.6302226	70.60039347	117.739259	140.4709706
X38	127.2837449	72.62754173	131.3370186	129.9757652
X39	135.7503631	69.1947387	115.7788127	134.2283289
X4	350.0573494	107.2536499	119.3154802	128.4790247
X40	146.0907755	40.14708853	155.2197261	140.1741371
X41	140.712541	45.56002492	125.5651802	178.2370304
X42	141.0276579	35.35139366	112.56408	143.7225382
X43	138.5691999	39.92891967	120.0872655	161.1864941
X44	134.053211	36.9121805	124.8084145	170.2860137
X45	374.7133178	34.77432563	127.3034626	157.5061412
X46	385.5775859	38.81420411	128.050987	201.4750201
X47	376.499513	33.01193172	113.282073	157.4956356
X48	357.8822664	31.77191547	143.537782	161.0355492
X49	345.6607527	32.18146205	122.2279344	153.7874404
X5	245.9577966	129.0780377	118.0208969	129.8901643
X50	312.6038423	32.37063739	131.1293337	178.7712286
X51	355.365948	49.96847222	120.6666056	154.1046169
X52	350.0398184	31.18459497	138.6599469	164.5096821
X53	360.3301236	31.13767405	153.2191032	177.9462319
X54	349.7972374	40.43699393	123.2147601	152.2289157
X55	367.316175	38.49408189	112.7086434	273.7686708
X56	349.7693903	30.4697492	143.9382529	168.698076
X57	340.726943	92.03810221	138.0854685	181.8476264
X58	345.5265202	76.7158462	125.9547647	176.33134
X59	364.9907664	83.94353768	138.1604097	172.5332409
X6	212.4748608	133.92355	134.8327337	118.8565478
X60	409.0636087	71.0021413	133.887639	211.850685
X61	371.7246233	77.55936962	136.05307	168.8719563
X62	322.625611	176.4478272	131.0048006	171.3512979
X63	355.3943416	86.40982384	144.0976694	210.2362831
X64	363.5906631	85.15542584	130.7706802	168.9749423
X65	356.0591493	107.3181395	126.0811207	165.345377
X66	795.0318996	84.50298479	150.5517133	210.4371863
X67	349.2073717	89.28350436	149.1768347	174.7768337
X68	336.0066831	80.47117382	139.820181	160.9033475
X69	383.5408006	96.72789484	146.9342905	177.8817156
X7	220.0336117	179.5733489	145.6283099	141.2082426
X70	359.235089	76.76640634	121.6782379	168.4588095
X71	336.4115211	70.4446584	121.9338124	161.1312158
X72	340.875743	84.43243089	180.9561521	120.3863568
X73	320.8700444	77.49286422	126.565469	125.2866027
X74	361.9535624	77.98705297	129.0109536	130.1295846
X75	358.5296252	89.8939326	116.664982	126.7413624
X76	320.5639	78.13939067	120.3386713	124.968254
X77	356.6387481	70.19402345	126.4511947	132.5662794
X78	344.4810729	112.7826202	120.8933837	130.88212
X79	327.4288594	88.79919176	120.9141942	128.9114826
X8	236.5871798	123.933041	149.3842006	143.249074
X80	302.8043413	75.99461811	123.814063	116.8152251
X81	355.070161	85.33603456	150.3659168	123.6789328
X82	314.5383192	84.2116978	134.3850449	113.1765388
X83	185.3216156	88.37471488	128.1514988	120.796011
X84	199.2829733	73.4397187	132.2319625	131.6824003
X85	216.2952207	88.0756487	129.2838084	127.2584345
X86	198.445693	74.60820899	129.1636618	112.9336803
X87	209.3988859	90.20165586	131.2863684	124.0087984
X88	186.0791615	84.28593316	136.750105	123.1823196
X89	194.4069281	74.59520776	136.8471329	119.0929021
X9	312.7609953	115.4928068	145.6967593	136.96047
X90	204.5166566	77.11224647	136.5705809	126.059082
X91	199.6455851	89.52556196	129.0454719	129.8620844
X92	180.410143	76.70401303	120.5255457	127.619775
X93	221.2272214	80.56164327	131.3553736	130.5308669
X94	186.4827504	80.89569293	126.4937956	138.587117
X95	202.2720493	78.30363057	151.6884264	118.0905243
X96	221.9938647	89.85250341	148.0212092	131.4966628
X97	188.5529935	82.25236547	127.2475874	128.9303159
X98	211.9980418	159.2479379	163.5119516	128.8881645
X99	207.9489539	136.7183711	135.1965892	177.8540645
