CK	D	LN	LP	
X1	113.5166447	36.78096105	80.33376209	67.7794116
X10	137.5094546	51.49221002	73.11211262	71.14433769
X100	83.83750868	31.41753766	39.9244384	36.71305827
X101	84.05128321	31.94097824	60.17654803	34.31253955
X102	107.607916	38.22109523	80.76979837	69.05985818
X103	103.5672318	32.95444401	45.51415166	41.49546859
X104	117.8259004	35.70115443	80.90010417	62.55981266
X105	70.84604692	35.18939008	43.4767706	46.67776826
X106	70.96155954	41.16691503	48.17839971	45.9773804
X107	89.60011127	43.16479302	56.46092629	56.30369689
X108	91.47571428	45.35245523	43.25497606	63.86017863
X109	103.6557783	34.12959921	66.54178474	59.73904936
X11	64.73408572	42.20299513	56.42106103	75.60875959
X110	111.5170766	33.76026425	79.05586716	87.96289014
X111	105.7325764	39.89257809	77.76287163	81.69293024
X112	126.5779158	40.8849371	45.4461842	78.00504982
X113	69.09710145	40.26206639	38.98142357	80.0466162
X114	76.39014906	40.83548103	38.79018018	96.64753938
X115	76.45395537	42.1570313	38.36577435	80.30201753
X116	105.1998806	66.86516685	39.88539818	97.8550219
X117	65.78207003	49.85314627	32.07442986	76.09121617
X118	81.08039806	63.10951488	37.85054951	95.68725551
X119	75.45626708	40.53372078	47.09869432	53.74537472
X12	70.87611672	41.26259488	44.57634074	102.9482968
X120	64.31015677	53.61931702	31.98907715	69.25349717
X121	60.84262834	46.28368179	28.36452868	105.5912035
X122	116.6365969	56.76897053	33.86092587	120.9420428
X123	61.84492273	40.34146362	23.55203546	56.68858953
X124	63.66742192	45.08842147	43.1518401	51.31011323
X125	66.19560761	45.36756164	28.50290888	56.82219005
X126	58.3564914	44.21303582	23.8324526	48.4940494
X127	51.36097459	55.6440753	24.60716685	59.04873517
X128	44.64132935	53.43851344	34.32258094	62.5126494
X129	49.39308554	43.85414386	23.69884634	67.52363614
X13	144.5149166	48.78719091	64.47468586	77.40193372
X14	96.59263024	50.6243773	89.69923839	63.40167164
X15	121.8846732	37.81400986	64.95410975	67.98718187
X16	135.8100607	41.28278135	61.62449338	63.71168798
X17	100.6412325	45.69490512	56.63734186	69.05917563
X18	125.5299509	39.15947574	51.30368769	64.47852586
X19	80.20522326	42.07678483	46.58906801	56.92790437
X2	64.81699468	44.03293082	54.71471934	58.34417061
X20	122.916242	23.34784689	50.62227918	67.93114739
X21	98.89562589	20.6920022	51.36011232	51.11622756
