CK	D	LN	LP	
X1	3353.652366	3213.000412	2747.876518	1657.167304
X10	4110.429789	3772.64819	3812.086538	1725.246358
X100	4331.215615	2842.339258	4480.519473	2016.545806
X101	4134.196464	3177.425639	3974.953031	2158.344744
X102	4167.258556	3583.801264	3882.032779	1686.325809
X103	4140.047796	3359.565697	4532.83026	2186.824471
X104	3656.202883	2646.833286	3545.772652	1660.626084
X105	3374.870456	2289.830287	2960.350923	1490.282453
X106	4124.031402	2955.657092	4120.510182	1807.403149
X107	4212.296617	3285.152238	3937.765747	1850.687392
X108	3749.873058	3263.338763	4478.009879	1978.128876
X109	3974.608911	3104.669101	3889.156161	1660.914216
X11	4375.57738	3316.274147	3741.374047	1565.780025
X110	3974.225221	3109.670738	3536.729708	1474.08159
X111	3816.272133	2744.787959	2262.013248	1400.779252
X112	4202.588226	3007.470455	3952.92795	1571.527258
X113	4149.388625	3160.776597	4139.307618	1706.185894
X114	4231.770426	3023.581832	3626.657247	1676.350399
X115	3683.311605	2814.02521	3807.694708	1558.587552
X116	3822.318792	2660.369151	3490.457795	1340.915968
X117	3174.189414	3355.902635	3690.429462	1844.599843
X118	4216.498342	3071.344657	3709.126082	1529.978978
X119	4149.317783	2040.680036	3480.143059	1240.822871
X12	4367.960444	3594.947619	3834.664487	1764.51644
X120	4472.804168	2750.156309	3790.394354	1306.589519
X121	3516.56059	1417.789535	3018.585361	1249.481451
X122	3739.673105	2263.510859	3143.883157	2008.2321
X123	3541.403282	2008.597817	3304.970804	1387.745551
X124	3563.958887	2429.334852	2955.012477	1376.47838
X125	4411.248651	3239.832259	4066.654086	1575.1119
X126	3753.746714	2242.329842	3377.954182	1377.906302
X127	3675.135443	2831.323701	2926.420917	980.790476
X128	3513.920399	2737.725296	3499.112578	1234.9174
X129	3366.134807	2498.858613	3412.272738	1379.156468
X13	4056.943877	3283.493836	3405.256555	1667.017829
X14	4153.576797	3000.767279	3929.702219	1860.507067
X15	4003.155404	3186.867647	3789.905825	2065.99302
X16	3520.227964	3275.279239	4131.084559	1832.023937
X17	4089.903343	3406.370787	3960.833157	2593.048491
X18	3947.153002	3157.637632	3824.200575	1622.206172
X19	3794.396568	2516.310408	3378.475764	2180.030229
X2	4320.889971	3659.914726	4007.097206	1696.620209
X20	3466.955473	2803.326088	3596.134578	1745.802375
X21	4512.419344	4036.416621	4589.987089	1656.776026
X22	4060.649345	3637.06127	4064.505748	2300.575787
X23	3871.886944	3538.819227	4318.067595	1643.758591
X24	3323.927077	3167.905513	4276.251529	2125.38894
X25	4274.91021	3946.743443	4005.621732	2000.613595
X26	3962.52792	3771.424647	4820.518441	1890.222256
X27	4240.029464	3754.712922	4441.095549	1520.162842
X28	4284.284652	3011.79321	4735.415274	1596.155434
X29	3711.937637	2875.310964	4533.921475	1609.672541
X3	4989.714814	3687.900761	4832.833543	2104.44662
X30	3324.459012	2958.419215	4126.58805	1893.056749
X31	4873.396093	3338.171431	4006.436227	1752.711106
X32	4007.937567	3696.236457	3553.748031	1824.84921
X33	3996.512042	3019.424782	4284.10379	1721.973284
X34	3636.608782	3249.460506	3899.938288	1471.197016
X35	4242.472243	2942.840637	3802.973006	1508.049146
X36	3867.594379	2848.501184	4596.975689	1709.598756
X37	4451.947302	3273.54018	4416.895527	1572.619758
X38	4651.298175	3407.743242	4387.669605	1458.644638
X39	4473.74884	3310.87408	3811.30279	1575.042944
X4	3538.025153	2709.319568	3641.426774	1346.595908
X40	4416.824091	3754.444389	5777.737473	2068.8719
X41	4283.864863	2798.554832	4436.742307	1646.174134
X42	3737.663486	3220.087024	5086.555612	1588.855846
X43	3216.247586	3253.672007	4224.152102	1740.501615
X44	3995.431817	3422.251249	4700.209142	1705.633776
X45	4350.155137	3491.385603	4172.410327	1779.812595
X46	3767.525907	2610.748754	3793.916156	1508.187256
X47	4203.539892	3034.573837	4785.038538	1934.936695
X48	3823.164069	2946.023849	4966.287891	1471.679332
X49	3632.904297	3638.117669	3982.025531	1435.701549
X5	3564.568323	2835.434607	3257.212921	1271.413808
X50	3142.761125	2760.939447	3298.989319	1395.556959
X51	3790.399553	3104.065471	3660.733563	1703.979945
X52	4362.979849	3115.357461	4538.328673	1810.207963
X53	3212.603459	2569.474907	3259.73248	1410.138768
X54	3315.134248	2476.035311	3394.323853	1554.223421
X55	3468.592163	3336.781398	4024.934252	1495.007592
X56	3608.070197	2356.039116	3457.575421	1806.910675
X57	4381.622243	3559.844228	4312.311418	1931.882055
X58	4802.020583	3300.730199	4424.834909	2059.217985
X59	3936.997074	3706.563408	4329.167996	1725.523022
X6	3880.783394	3711.687956	3877.450988	1877.153866
X60	3800.540457	3474.520651	3880.100923	1767.890682
X61	4066.377168	3421.074564	3738.872853	1757.267086
X62	3894.378445	3212.991539	4110.295253	1923.911407
X63	3461.997858	3064.260086	3981.422977	1839.918476
X64	2968.009101	2624.659691	3939.830079	1661.146811
X65	3645.759914	4319.786214	4039.681757	1960.658011
X66	4287.353524	3558.975034	3906.430601	1793.347046
X67	3913.300434	3649.383055	3781.104932	1990.267583
X68	3843.056868	3103.614815	4591.624155	1825.883944
X69	4078.303507	2740.944646	3762.477701	1517.848491
X7	3898.64736	2961.185223	3499.408545	1669.102778
X70	3736.8971	3033.370608	3718.193004	1560.53
X71	3632.095389	3111.237537	3426.940757	1723.544715
X72	4412.936833	3623.19704	4299.449564	1454.416623
X73	4206.331455	3142.350498	3027.503832	1686.685887
X74	4303.112125	3324.084746	4360.823659	1841.993425
X75	4237.146201	3264.383354	4069.56949	1407.241221
X76	3640.588161	3558.192884	3689.462704	1482.226005
X77	4094.958157	3090.467645	4768.874018	1814.950299
X78	4330.212014	3437.420192	4284.016681	1624.882402
X79	4159.610659	2866.694651	3629.49207	1821.194218
X8	5977.743024	3343.32448	5104.582328	1737.394258
X80	3962.517829	2726.245274	3803.406276	1461.187416
X81	3823.774136	3373.638856	3869.329296	1782.634434
X82	3413.566493	2568.945452	3788.400324	1402.775299
X83	4278.573863	3072.188908	4202.120991	1576.378953
X84	3990.768764	3498.099807	3876.7177	1531.503683
X85	4404.258156	3792.771566	4499.853497	1869.203916
X86	3378.309959	2768.559538	3461.727881	1271.188593
X87	3255.815948	2840.467981	3555.404114	1463.108668
X88	4356.198276	2726.420861	4036.870879	1389.169159
X89	3959.97249	3431.297367	4480.694054	1866.189808
X9	3718.422335	4082.706214	3552.795642	1915.359631
X90	4440.023843	3491.761724	3943.344909	1578.090034
X91	3901.050083	3090.475641	4182.322212	1577.243213
