CK	D	LN	LP	
X1	1782.185973	916.2385821	1862.437581	800.1990054
X10	2437.946224	1236.989543	2322.690489	1043.13985
X100	1514.837571	618.0127656	1404.390227	507.837543
X101	1673.148929	775.8015946	2041.846982	734.196152
X102	2303.22325	1108.271836	2399.566766	1010.01822
X103	1917.940064	857.2460649	1590.001135	749.5737502
X104	1999.57741	812.838348	2133.006698	793.0570202
X105	1163.615522	592.5883282	888.005804	385.4927875
X106	1529.602067	879.5744905	1654.314345	716.5136607
X107	1794.849672	919.3038769	1779.505686	818.2256467
X108	1728.31549	954.5631919	1481.654248	873.9450251
X109	2012.368001	912.2726445	2177.921109	851.8957882
X11	2389.984538	983.7766754	1807.407925	727.7199818
X110	2072.565305	930.0953396	2093.970425	674.1340775
X111	2046.527626	801.7446819	1320.598352	517.8454466
X112	2496.451425	934.6685567	2210.503993	671.8063772
X113	2379.244041	1024.519194	2168.424707	747.0613003
X114	2565.799487	1100.003311	1764.1781	871.7430557
X115	1954.129426	682.6097365	1955.996906	690.9517151
X116	2563.553091	1015.444952	2053.795217	698.7097797
X117	1347.786395	788.1978676	1502.145711	792.6877317
X118	2376.733677	1144.123305	1787.002682	801.2959717
X119	966.4953801	415.6216475	1310.576858	191.3125476
X12	2639.638277	1238.045738	1589.051919	918.6501375
X120	1145.691673	400.586954	852.9543315	216.6914772
X121	764.8839338	182.0469182	484.4889978	152.1919845
X122	577.3325386	417.2439806	382.3634867	182.6385127
X123	817.1585895	359.0861697	671.1708066	229.8254992
X124	1055.732382	441.4198808	732.5531863	232.5710175
X125	1423.798183	629.2569653	941.8151099	354.134491
X126	986.5507229	292.7906671	905.487818	265.3723074
X127	1020.711883	385.8543579	626.6094734	208.2060478
X128	1183.597507	512.8432541	948.3121712	282.6707066
X129	884.5913898	472.0699175	902.6624727	371.9958283
X13	2359.445193	1316.937257	1605.007919	807.2652172
X14	2402.864571	1219.040027	1977.480904	748.9867654
X15	2047.322767	888.1497455	2003.140761	845.9470144
X16	2338.535648	1053.023015	2047.90556	701.7725148
X17	1888.25449	975.1539473	1535.351892	764.9494885
X18	1965.011445	867.165724	1643.220282	658.3053783
X19	1067.923885	599.4731584	1171.259107	599.5676389
X2	1924.498265	1356.095497	1308.730491	707.9949925
X20	1753.639707	828.5378655	1605.34728	699.2988015
X21	1828.646077	841.7049672	1898.824164	529.8406984
X22	1864.174261	1331.966096	1525.018602	902.9598036
X23	1695.436726	756.233408	1755.452621	723.5731754
X24	1004.665953	960.4268822	1999.484565	962.5119903
X25	1585.540002	837.9677297	1354.998839	437.4834858
X26	1727.836264	1207.558677	1323.565366	809.4131413
X27	2344.252476	1101.98369	2192.07209	868.6290194
X28	1915.105155	1109.428164	1665.895856	750.1953588
X29	1917.66821	924.7999246	1861.699762	732.9489042
X3	1501.352715	750.9218323	1426.622864	478.0779463
X30	1789.073635	878.5640186	1876.217197	765.2804015
X31	2207.194273	1281.783252	2327.579703	712.0909838
X32	2037.578376	928.62343	1329.572334	544.8538387
X33	2221.312048	1003.641986	1470.233869	724.086826
X34	1624.921536	702.7489214	1435.427747	513.3020223
X35	1866.935084	694.3511433	1556.908277	633.9911662
X36	1783.170765	710.0574325	1774.373306	664.4804256
X37	2437.649586	1030.425964	2210.055489	738.5005958
X38	2777.129039	958.9984359	1990.439104	699.1580126
X39	2481.176883	1320.636081	1907.201758	853.0361212
X4	1950.809373	1008.416182	2280.14631	751.6115894
X40	2079.123003	1031.092476	1896.613082	775.4560477
X41	1547.053311	793.4194525	1806.409093	616.6321486
X42	2071.827526	1077.387075	2555.429246	942.5523982
X43	1587.804467	1019.034795	1890.112641	722.6977843
X44	2217.594719	1134.576208	2176.607927	1038.515712
X45	2347.6428	1046.729328	2168.094814	1092.967641
X46	1937.86932	830.4349708	2223.713122	691.5628079
X47	2416.968357	1001.790886	2371.225158	981.8522076
X48	2004.129187	861.1405896	2084.74516	798.1941244
X49	2178.98359	1219.214667	2365.581661	862.5534931
X5	1970.22633	784.9943215	1278.3698	671.3481272
X50	1676.642151	847.59284	1816.935949	725.9852982
X51	2348.386706	1062.526747	2292.330161	708.60243
X52	2264.660736	1093.066585	2361.903063	888.3403133
X53	2275.676055	972.2073837	1867.41252	731.3955194
X54	1910.168596	878.523509	1980.111167	946.6744805
X55	1775.279911	855.446384	2426.975269	539.4818708
X56	2168.843716	1016.486467	2029.139453	890.4554619
X57	2225.684992	1386.421173	1571.877181	888.4745008
X58	3176.340939	1238.306933	2584.765046	1037.888925
X59	2243.039719	910.6647761	2052.430531	1094.568849
X6	1760.995412	918.4575306	1746.050993	887.4785857
X60	1668.95857	1357.226953	1924.752859	535.6141058
X61	1745.440564	934.3048058	1990.045909	743.5969429
X62	2285.795421	862.2798154	2741.656067	1015.205605
X63	1729.33434	1000.984155	1506.844486	809.5622496
X64	1135.686419	963.9266489	1883.641802	1114.901481
X65	1916.323744	1144.814753	2034.770924	925.0379825
X66	1835.910488	1165.846108	1421.866128	657.2721864
X67	2032.136501	1240.586954	2202.29976	1137.651235
X68	2059.121141	934.4117113	2251.671989	643.0275325
X69	1795.873488	731.2346752	1490.406956	669.6703953
X7	1614.481475	577.5459036	1605.83963	547.8650409
X70	1779.449881	698.5065881	1685.61423	702.7046645
X71	2112.056662	1223.234025	1975.507602	824.0238976
X72	2327.532824	1150.392585	1422.999557	424.5902692
X73	2613.728339	1132.118024	1813.215141	593.4924751
X74	2605.406155	1009.545722	2156.105755	855.2509767
X75	2142.89827	891.1604036	1820.757145	629.3537786
X76	2395.675861	1240.694526	2232.881307	863.3343865
X77	2536.089806	1123.610592	2874.090404	751.1162908
X78	2183.661305	1188.901726	2070.882024	779.4997531
X79	2174.036715	830.3167012	1858.387163	702.2099788
X8	2270.461879	986.3923949	1651.660781	611.6881936
X80	2196.438087	1062.68953	1737.004638	780.8466781
X81	1986.432981	1015.346818	1932.67722	872.1818825
X82	2045.550567	836.1151587	1786.219613	807.1876517
X83	2121.961903	1147.060017	2180.200197	723.1342382
X84	2498.253615	1205.928163	2179.886664	946.4472946
X85	2260.86624	1320.637905	2901.409664	982.5290389
X86	2056.289487	824.424354	1454.163326	690.808088
X87	1913.760329	986.664519	2334.942187	641.5456971
X88	1935.099907	760.9033775	1625.729337	637.9243712
X89	2641.196099	1030.600729	3003.665114	812.473762
X9	1177.538201	1263.917796	1308.114677	794.4220537
X90	1878.730965	1158.529034	1874.60928	844.3899834
X91	1635.472173	1050.864349	1537.286737	500.9431439
X92	2664.580769	961.1023745	2742.520575	829.0410488
X93	1991.409711	1140.629401	1657.466361	704.9892634
X94	2573.848901	934.1639645	2640.590933	1031.131551
X95	2552.405688	1110.682305	2310.27272	771.4648968
X96	2179.734268	847.017601	1743.096686	728.081428
X97	2310.03879	1108.956046	2092.296601	863.8886417
X98	1685.701305	738.5648263	1422.803074	654.9318198
X99	2079.429805	1048.840551	1796.636023	695.8121278
