CK	D	LN	LP	
X1	53.95329053	66.56666667	54.23296078	53.40000141
X10	63.46458513	76.13333333	50.26294533	71.90000973
X100	52.75329053	61.86666667	56.06629412	53.20000141
X101	71.49641084	67.7	46.42673427	81.83333325
X102	63.92974417	67.23333333	48.29340094	52.53333325
X103	63.65434524	61.1	65.57803016	51.76665999
X104	78.82974417	97.5	76.26006761	66.93333325
X105	80.79791846	69.53333333	75.09627866	71.9666764
X106	73.49791846	82.26666667	68.66294533	68.10000973
X107	72.38767857	82.96666667	69.04469683	76.26665999
X108	65.9312518	52.83333333	56.49627866	53.6666764
X109	65.08767857	71.5	54.9113635	71.96665999
X11	70.14759751	74.56666667	74.02961199	71.40000973
X110	40.25329053	66.36666667	37.93296078	43.60000141
X111	60.05329053	101.4666667	76.26629412	54.46666808
X112	37.62101191	52.73333333	36.87803016	33.96665999
X113	48.26458513	48.03333333	62.09627866	60.70000973
X114	65.79641084	62.23333333	53.56006761	64.29999991
X115	57.38662386	86.1	66.19962745	62.36666808
X116	79.62101191	84.96666667	69.37803016	72.56665999
X117	76.4630775	88.83333333	65.92673427	80.79999991
X118	58.55434524	52.86666667	55.64469683	57.73332666
X119	83.38767857	72.06666667	80.1113635	59.79999332
X12	55.19641084	81.23333333	63.96006761	59.53333325
X120	56.7312518	72.06666667	68.72961199	74.4666764
X121	65.42974417	65.9	70.59340094	61.53333325
X122	70.56458513	61.73333333	63.69627866	46.33334306
X123	59.18767857	62.03333333	54.57803016	45.44232302
X124	53.3199572	68.6	64.29962745	67.43333475
X125	44.75329053	61.93333333	71.43296078	81.46666808
X126	61.62101191	61.1	48.37803016	65.86665999
X127	70.89641084	82.46666667	75.22673427	67.79999991
X128	57.19791846	57.6	58.12961199	60.5666764
X129	64.69791846	64.53333333	54.19627866	52.80000973
X13	70.15434524	73.83333333	84.34469683	63.66665999
X14	67.4630775	75.23333333	62.09340094	67.69999991
X15	68.78662386	80.16666667	67.36629412	65.23333475
X16	60.9199572	69.03333333	70.13296078	64.53333475
X17	52.7312518	52.6	40.59627866	28.0666764
X18	69.58767857	65.5	67.64469683	68.29999332
X19	45.05329053	99.43333333	70.83296078	84.66666808
X2	72.12974417	82.73333333	56.72673427	50.13333325
X20	51.98662386	67.03333333	55.33296078	65.23333475
X21	55.15329053	64.06666667	65.96629412	68.90000141
X22	63.1630775	81	59.39340094	43.26666658
X23	46.05434524	83.56666667	52.4113635	68.49999332
X24	94.62974417	91.8	77.42673427	86.03333325
X25	69.2630775	55.8	52.76006761	46.56666658
X26	72.12101191	80.99191606	57.54469683	68.96665999
X27	81.12101191	87.7	57.27803016	74.76665999
X28	48.25329053	69.73333333	61.39962745	55.73333475
X29	70.2312518	72.4	59.62961199	64.2666764
X3	71.9312518	69.26666667	62.52961199	62.7666764
X30	76.36458513	79.93333333	84.92961199	87.73334306
X31	73.56458513	67.03333333	58.26294533	63.90000973
X32	47.98767857	50.53333333	45.4113635	39.36665999
X33	57.45434524	79.3	44.74469683	63.26665999
X34	49.5630775	78.9	47.16006761	39.76666658
X35	43.86458513	48.7	39.46294533	52.40000973
X36	44.55329053	47.1	41.26629412	48.66666808
X37	44.29641084	57.36666667	37.92673427	37.96666658
X38	44.69791846	61.36666667	45.89627866	49.10000973
X39	52.4630775	64.13333333	62.32673427	50.06666658
X4	56.15329053	61.2	56.99962745	53.80000141
X40	51.58662386	58.9	31.93296078	44.13333475
X41	61.96458513	66.8	42.16294533	59.73334306
X42	43.85434524	58.6	44.94469683	41.26665999
X43	43.3199572	62.1	50.26629412	51.20000141
X44	41.08767857	68.53333333	41.14469683	52.16665999
X45	53.66458513	75.3	50.59627866	48.23334306
X46	63.42974417	52.33333333	39.86006761	44.66666658
X47	44.7312518	74.1	60.72961199	46.83334306
X48	51.52974417	63.23333333	47.12673427	37.79999991
X49	66.66458513	72.56666667	66.12961199	66.80000973
X5	55.35434524	60.13333333	79.97803016	69.06665999
X50	68.1312518	72.83333333	52.49627866	49.40000973
X51	64.0630775	51.63333333	52.62673427	71.39999991
X52	62.82101191	65.2	66.44469683	37.56665999
X53	53.5199572	96.7	57.46629412	77.26666808
X54	70.68767857	54.56666667	55.64469683	59.96665999
X55	66.29791846	80.06666667	67.96294533	75.80000973
X56	62.29791846	56.4	47.52961199	67.1666764
X57	54.69791846	82.23333333	65.22961199	89.80016839
X58	73.82974417	88.23333333	81.39340094	56.56666658
X59	62.82101191	79.7	52.47803016	68.39999332
X6	71.42974417	94.03333333	65.59340094	73.63333325
X60	93.82101191	96.23333333	77.0113635	79.83332666
X61	57.96458513	77.73333333	54.39627866	59.60000973
X62	50.89641084	72.1	50.29340094	58.83333325
X63	59.35329053	85.9	84.66629412	74.96666808
X64	58.85329053	61.03333333	51.83296078	43.53333475
X65	52.48662386	67.23333333	47.99962745	69.50000141
X66	75.48662386	84.8	69.26629412	89.90000141
X67	73.0312518	78.73333333	58.86294533	57.40000973
X68	55.49641084	62.3	43.19340094	47.53333325
X69	59.38767857	41.76666667	37.97803016	44.26665999
X7	70.2199572	71.5	55.03296078	70.23333475
X70	47.58662386	59.63333333	41.96629412	49.86666808
X71	56.99641084	48.43333333	60.29340094	58.23333325
X72	67.29641084	80.2	64.62673427	69.79999991
X73	71.19791846	72.96666667	66.26294533	77.63334306
X74	61.02974417	67.96666667	42.92673427	42.09999991
X75	62.15434524	76.73333333	53.17803016	42.79999332
X76	57.92332176	69.56666667	67.62673427	74.73333325
X77	55.28662386	76.6	79.99962745	74.20000141
X78	52.05329053	59.1	56.73296078	47.10000141
X79	76.89791846	86.56666667	74.02961199	93.30000973
X8	75.38662386	63.1	61.03296078	77.20000141
X80	69.7199572	72.96666667	80.29962745	75.96666808
X81	63.09791846	84.3	52.92961199	51.2666764
X82	58.9630775	75.06666667	42.99340094	59.59999991
X83	60.76458513	50.46666667	48.36294533	53.60000973
X84	51.3630775	82.56666667	48.52673427	61.13333325
X85	64.22101191	67.43333333	58.24469683	55.53332666
X86	66.08662386	75.6	73.99962745	75.43333475
X87	48.8630775	77.5	49.69340094	75.63333325
X88	55.0630775	73.56666667	46.39340094	52.13333325
X89	57.9199572	88.96666667	51.23296078	69.30000141
X9	69.08767857	62.96666667	76.14469683	60.43332666
X90	57.72974417	93.56666667	50.96006761	55.86666658
X91	78.89791846	75.63333333	77.52961199	65.30000973
X92	47.06458513	64.4	44.76294533	49.8666764
