CK	D	LN	LP	
X1	1226.417047	1787.77817	1021.244846	1090.008869
X10	1187.917468	1537.389218	956.4526927	1129.590929
X100	1542.159328	1404.416031	1503.649593	1476.263331
X101	1813.156859	1655.902485	1394.590156	2124.035252
X102	1233.395793	1457.560926	1059.096659	1094.991829
X103	1626.699723	1536.957675	1761.577801	1829.796617
X104	1512.638277	1388.202004	1294.791002	1130.478615
X105	1710.139215	1387.048566	1530.912131	1629.603385
X106	1670.053968	1605.926516	1364.234104	1401.588056
X107	1643.334301	1685.08922	1299.707204	1413.528636
X108	1449.961309	1529.211094	1353.356262	1577.01271
X109	1263.221114	1285.307068	990.0006811	1144.648226
X11	1174.145766	1464.810148	1211.28252	1209.145875
X110	1191.379484	1353.104184	1104.276968	1134.424043
X111	1446.212212	1552.172366	1185.121988	1564.73807
X112	1171.261624	1107.656036	1211.523755	1045.340954
X113	1146.338637	1220.52054	1065.551247	1205.313545
X114	1147.749341	1176.909181	1038.326721	1092.835586
X115	1127.499968	1395.955157	1072.138809	1102.247835
X116	1232.90811	1443.58046	1023.778918	1127.892875
X117	1432.923947	1730.286298	1217.330367	1425.220914
X118	1099.039359	1118.148888	1044.873675	984.4147499
X119	1571.603036	1269.606668	1330.519883	1469.693525
X12	1155.5594	1644.56394	999.3249182	1115.149757
X120	1821.916443	1418.506851	1309.086065	1744.664669
X121	1784.687173	1350.647312	1437.411168	1830.284099
X122	2553.643367	1507.493077	1702.750299	2364.757075
X123	1532.14743	1136.907735	1069.095504	1087.828105
X124	1503.583064	1382.973519	1431.082925	1403.57738
X125	1441.88245	1228.542435	1328.657886	1655.097085
X126	1285.586237	1278.873151	1149.416165	1427.936374
X127	1709.065545	1589.693659	1385.242719	1408.190799
X128	1342.997033	1550.64215	1082.435678	1200.569714
X129	1315.821266	1327.50462	1117.293071	1339.968386
X13	1237.840367	1333.375422	1253.971535	1199.076374
X14	1492.821173	1686.750057	1672.099082	1319.723095
X15	1259.115601	1724.520304	1081.166067	1206.116573
X16	984.6129561	966.0817929	1005.941202	1143.741573
X17	1188.403053	1497.737686	1001.270713	1296.085531
X18	1144.049271	1479.172236	1042.597802	1184.938191
X19	1732.467601	1616.353067	1326.473686	1782.424953
X2	999.5913038	1520.390979	1350.710973	1486.132867
X20	1156.416017	1394.619137	1467.528671	1221.940926
X21	1449.823683	1568.345498	1357.896797	1703.248734
X22	1639.52114	1443.557847	1414.921727	1254.277375
X23	1604.386985	1751.32321	1217.168465	1416.431052
X24	1249.723887	1499.788478	1142.371226	1310.535025
X25	1553.526597	1518.907295	1240.338637	1759.541578
X26	1349.085026	1472.691422	1462.114788	1256.328703
X27	1360.803871	1835.937458	1046.134254	1025.518333
X28	1387.343786	1496.310917	1326.428966	1374.063423
X29	1350.317459	1421.520273	1355.729297	1035.791195
X3	1816.991752	1918.083816	3583.329767	2227.908855
X30	1115.077234	1347.951297	1289.602762	1414.176579
X31	1433.264893	1191.466718	1063.013541	1399.703561
X32	1103.639939	1197.908823	1017.920185	1018.805977
X33	1213.576098	1201.618205	1051.096711	1192.440521
X34	1402.435409	1302.336835	1183.147527	1001.918289
X35	1061.012837	1150.462597	1057.08716	1097.429081
X36	1072.81678	1142.047446	1228.778395	1139.289735
X37	918.9553602	1035.55932	1031.521604	995.9297181
X38	971.6385186	1246.204587	1078.253553	966.4554325
X39	1009.20848	1100.971212	904.2561362	1052.424224
X4	1357.358574	1500.646337	1145.926507	1291.491632
X40	1153.44224	1115.105862	1059.522233	1347.300508
X41	1256.104964	1231.547681	1054.904998	1285.958856
X42	963.2760038	1231.158776	1085.210999	986.4756771
X43	885.7340098	1294.380202	1045.011633	1202.487685
X44	1008.132431	1262.583872	1100.82823	1048.117188
X45	1288.449006	1229.460487	1015.425269	1026.224412
X46	1307.047963	1229.426681	933.784405	1052.864799
X47	1239.351713	1246.502796	1167.399404	1177.278166
X48	1226.025678	1373.909659	1290.707276	1082.979886
X49	1308.647647	1469.617377	995.1802166	1095.313699
X5	1179.977827	1387.602481	1133.202641	1241.185897
X50	1276.403837	1301.278705	1099.792125	1007.832833
X51	1149.356971	1100.528631	950.5864152	1216.382832
X52	1453.256373	1132.858219	1124.140912	1149.174074
X53	1233.605856	1253.510304	1309.64432	1046.041751
X54	1260.702862	1384.603758	953.40329	991.2644977
X55	1213.531643	1398.129607	1134.551757	1195.153097
X56	1286.146994	1059.072212	968.7851689	1080.138731
X57	1485.845555	1302.880868	1177.000046	1402.132331
X58	1347.99931	1451.037296	1232.386913	1198.78992
X59	1319.543018	1569.601249	1262.449095	1224.276881
X6	1278.031811	1792.610769	1273.164825	1256.379922
X60	1892.028936	1819.094751	1482.209255	1599.221475
X61	1434.104075	1118.061985	867.2204879	910.9174833
X62	1190.561665	1555.487432	999.0987582	1197.085554
X63	1253.249968	1537.506424	1479.139243	1268.713551
X64	1261.792347	1384.265497	1220.640754	1024.505953
X65	1249.823952	1648.960241	1021.104827	1537.427794
X66	2069.582316	1929.170377	1430.562158	1770.123493
X67	1768.784432	1597.852755	1318.874523	1308.893776
X68	1248.988563	1332.86235	1248.010586	1540.774897
X69	1361.139087	1147.057072	1005.809773	1025.021638
X7	1351.400935	1642.270641	1069.248431	1441.480838
X70	1213.182587	1229.538772	1051.263725	1111.026164
X71	1309.819221	1050.853928	971.1496734	1155.237871
X72	1298.294087	1525.922708	1418.018687	1340.300922
X73	1588.853406	1507.51947	1132.667369	1140.281449
X74	1395.775812	1574.316966	1398.099101	1330.400029
X75	1331.345615	1310.85319	1019.349797	1013.799579
X76	1295.180327	1308.834474	1127.985215	1143.099272
X77	1441.766516	1277.536707	1178.288945	1378.282029
X78	1431.796381	1210.156022	1040.53956	1167.090996
X79	1910.481537	1574.893473	1113.606356	1872.506054
X8	2179.946377	1680.271113	1698.98875	1547.674726
X80	1537.175846	1177.426099	1280.626187	1271.380618
X81	1325.473116	1260.047341	1017.394848	1074.201326
X82	1174.968676	1194.325203	1146.438442	1017.218142
X83	1368.151362	1203.966801	935.7518046	1086.728885
X84	1132.985802	1376.788989	1180.172839	1116.023844
X85	1128.116748	1245.269574	1035.189464	1280.416864
X86	1181.772992	1316.691046	1310.186988	933.5806327
X87	1098.384276	1433.949608	1004.929777	1313.299851
X88	1304.708954	1450.227937	1135.448532	1180.214863
X89	1212.54864	1619.711601	1137.63652	1302.379755
X9	1856.39174	1785.776966	1490.299472	1487.162422
X90	1396.222671	1292.606509	1149.408911	1155.465197
X91	1633.693628	1317.211951	1644.534776	1275.240422
X92	1312.328137	1241.463841	1123.651353	1408.302728
X93	1436.005995	1408.74027	1484.654624	1384.463424
X94	1570.01252	1351.259639	1299.122424	1094.469291
X95	1260.946175	1378.374586	1190.897679	1034.27984
X96	1357.602867	1301.398112	1122.724226	1144.056129
X97	1392.666028	1590.932013	1437.589959	1323.247383
X98	1649.780365	1508.313581	1437.149311	1526.47388
