CK	D	LN	LP	
X1	623.9319684	498.175447	681.2700447	542.6922972
X10	725.5968274	510.9793321	584.8420647	675.1894636
X100	536.5617591	292.5941937	467.6229954	376.939306
X101	736.5298421	407.2286306	712.1862736	706.7186558
X102	696.4512989	454.7299094	649.7532548	643.7045656
X103	751.9950931	389.9307511	613.0079067	632.4746393
X104	844.7144571	422.8886649	768.4973764	539.5757224
X105	590.9373507	358.2772815	452.2336089	430.3866421
X106	607.3687466	457.8488183	546.8017168	573.1759785
X107	697.3278578	459.7317996	586.183003	624.0037235
X108	666.5490832	456.6903977	446.3932539	702.1975805
X109	621.0927594	372.7568336	557.7599395	587.8040468
X11	634.627291	421.3258638	583.6578009	569.0040242
X110	613.8547027	383.5604984	640.6660934	519.9229156
X111	767.7484556	446.8927089	669.377831	583.61213
X112	692.4230587	337.838694	683.8797518	443.1670051
X113	645.1585918	387.7098505	553.2649838	534.3579828
X114	701.8080226	411.772368	502.3799154	555.1233223
X115	592.652197	329.3216454	525.5791198	494.8935167
X116	823.7608046	543.8696247	622.1876529	587.9366995
X117	611.7841929	394.8956721	492.2333197	600.7255414
X118	606.8833753	396.3691089	500.0746894	521.9391316
X119	382.4096088	256.1938829	467.143374	223.786366
X12	724.7681847	568.8056961	402.9653527	570.9219711
X120	492.6698387	221.7167318	291.7127148	295.2958945
X121	395.6931035	173.0343506	227.2766536	213.5594552
X122	415.6027551	280.490015	191.997534	222.8210572
X123	350.70333	206.811877	216.7117494	176.9809174
X124	443.5258521	243.6479887	335.2818272	233.5377783
X125	457.9994645	229.5944222	329.5099229	386.5981871
X126	334.8029906	168.8180806	298.780135	278.6174402
X127	485.6313821	228.3839659	284.7070824	285.9039019
X128	459.9533378	293.7247765	290.8375893	269.293209
X129	349.7739476	247.4177351	286.1791406	366.4363896
X13	722.5488564	543.254133	592.6289628	579.7390297
X14	821.7643938	677.6916661	740.4796457	537.5150936
X15	642.8560863	480.937334	565.2526473	496.5812805
X16	648.1693607	292.1369148	488.2284944	442.2281975
X17	553.7663839	425.2778621	395.8633076	397.8062109
X18	570.3650482	396.7818752	446.5316498	474.630956
X19	489.6477614	386.2694137	457.1424848	502.6388248
X2	461.559936	575.3639135	451.1828794	609.0639251
X20	593.0245097	398.3120705	639.4189709	505.778526
X21	585.9963436	318.5862133	552.770148	550.1394022
X22	760.9227456	532.7289067	495.5261429	483.139469
X23	697.9516294	373.8769352	504.5575508	625.3052579
X24	415.511208	428.7860001	534.0272844	599.8738622
X25	578.035136	318.334073	403.2547168	377.7766545
X26	588.5659413	467.403027	401.8139291	535.8006664
X27	747.9490303	523.6172136	524.4993604	573.8938048
X28	595.6134911	523.4288998	478.4210596	643.376699
X29	679.9407104	451.0901167	520.1790012	480.6315517
X3	560.031524	396.8441046	1072.908402	500.8839312
X30	590.6519777	413.6617696	572.1733624	566.7378686
X31	651.3136776	446.4657214	640.6937211	536.5641915
X32	560.8787308	301.2434227	373.5270328	306.3577686
X33	673.0047764	392.5513059	376.6783669	500.4372525
X34	574.4883207	277.0658216	436.3006508	345.5550507
X35	464.4302154	273.2130435	420.4163128	457.2910638
X36	482.4778705	274.6654665	461.0064974	438.1379039
X37	505.9554788	334.0187676	509.2899198	463.9223074
X38	582.8807818	351.8242765	489.2760856	456.5223559
X39	574.8253106	441.0047202	445.357741	547.2247279
X4	716.5605592	555.6767769	710.001381	729.6453224
X40	531.4628421	296.1658495	341.4556023	511.8588853
X41	451.9289332	355.2218494	434.5640157	490.4066747
X42	524.2246344	413.553622	545.7226703	596.5009208
X43	423.6782159	399.2228083	463.0434583	498.4417767
X44	556.7395078	412.1217348	504.3316105	638.4997567
X45	745.1908186	365.7609875	543.8622184	630.0554187
X46	651.7502429	391.4457302	544.8017881	469.1357791
X47	695.0750409	402.9763502	591.811366	609.5301224
X48	643.5707381	402.7232605	542.8199314	571.8212171
X49	815.2806204	475.4182241	583.9876929	672.9612427
X5	647.670246	387.823024	455.8445926	650.8995056
X50	662.8431393	404.1263873	605.0868874	526.4037927
X51	693.0347375	369.805138	592.6918519	517.9383482
X52	729.9928352	392.419758	575.838389	565.010414
X53	852.3133598	447.9880379	711.1829834	549.4052322
X54	714.0077576	488.6632863	564.6472871	609.8237139
X55	602.6630655	362.5809448	684.3593103	402.2239188
X56	766.662931	453.0857767	555.1517952	533.4427835
X57	748.8876232	511.2711424	414.4952764	636.9018131
X58	900.6963631	516.864848	698.9897191	600.4249373
X59	763.0409482	385.6474391	604.1894579	751.8083045
X6	596.2110786	448.8839993	567.0275292	576.0690244
X60	864.1490003	702.4997118	727.6397313	487.7121929
X61	600.8395922	318.2443851	481.5820989	409.850494
X62	708.923133	417.0437166	659.4634422	624.0268515
X63	623.3127748	481.5763674	536.293277	538.472785
X64	431.0460547	501.5776691	571.0407369	701.4076482
X65	645.4906434	439.6191338	522.663355	679.0014452
X66	788.2644804	599.7120302	511.6227337	657.3722561
X67	937.2479767	557.1646742	775.3567985	764.7091633
X68	670.4604303	408.4423964	608.7621369	521.2630504
X69	582.2581703	304.112494	398.0672814	456.6043385
X7	552.5197991	284.0776428	483.5856468	476.2481261
X70	578.6802908	279.0597221	466.7844117	502.8310556
X71	763.9306984	387.9164994	556.2214108	528.143552
X72	734.1116335	489.5502767	426.930391	380.5802533
X73	987.1777143	533.3407408	639.2295497	401.9431207
X74	839.568925	483.520153	685.609664	594.7439189
X75	611.630237	359.9086522	448.2862106	460.0439366
X76	859.8535362	460.8542022	679.0666688	649.6420916
X77	886.6607109	447.6694768	705.1246045	550.1748703
X78	680.531026	409.3580195	497.6465222	578.8068535
X79	975.6758439	453.2611464	556.1267336	675.721239
X8	822.226428	484.4590787	518.1763888	559.2367884
X80	856.7682426	435.0665583	574.1474677	676.7147538
X81	695.159626	392.5612893	513.0131159	530.7068145
X82	722.4986324	390.8630031	542.5958002	575.4452453
X83	692.4736942	452.6090216	485.3658389	507.323156
X84	720.6171291	474.8093873	663.2258133	642.8960279
X85	580.8612949	420.2567867	675.2959449	693.9115512
X86	715.5015601	381.6678705	519.2217892	514.5403311
X87	671.4008286	485.9900143	656.4792657	555.9229911
X88	601.9459054	403.4397446	460.8222982	531.0613498
X89	805.4785728	470.7765822	751.8107801	580.7458721
X9	564.4897725	541.7778579	498.1758682	601.2759385
X90	598.2712198	402.7284833	533.3513984	596.800551
X91	681.0623138	456.1401788	581.0389743	405.3462561
X92	864.8448569	355.5002307	733.945523	757.7499953
X93	645.6863486	498.2863898	649.9666688	641.3138335
X94	849.7239789	487.8472349	670.0382185	681.3011037
X95	864.1954998	477.0310346	661.3326299	544.070254
X96	639.2654794	273.7620012	452.0896872	628.1890912
X97	751.9017687	501.5805669	623.8209695	624.1388381
X98	668.6520861	345.0182014	491.0211378	562.9476349
X99	740.54281	427.8430159	603.2502653	561.4000324
