CK	D	LN	LP	
X1	6.680288056	4.1499	7.302387169	6.451650494
X10	8.2273052	4.453	7.561786795	7.325517889
X100	5.603154723	4.5413	5.512898313	4.400575411
X101	7.918092271	4.255966667	7.877048172	8.251524588
X102	7.127592271	4.7626	6.812366667	7.104674588
X103	7.694065913	4.3725	6.2661	6.317229254
X104	7.948692271	4.8705	11.12513333	5.391174588
X105	5.423338534	4.2801	4.481486795	4.804684556
X106	7.5078052	5.535633333	7.458136795	6.559251222
X107	7.921699247	5.505995518	7.178866667	6.773429254
X108	7.2693052	5.376733333	3.870848639	7.494351222
X109	7.176350755	5.089195518	7.246048298	6.288129254
X11	7.030033111	3.84119522	5.338748639	6.237951222
X110	5.857521389	3.713545327	5.971333333	5.633600494
X111	9.235921389	6.3686	8.350333333	6.662300494
X112	6.700065913	3.784166667	7.380833333	4.411979254
X113	6.615871867	4.096733333	6.236	5.15791406
X114	7.641892271	5.572695207	5.7617	6.307791641
X115	6.355584069	4.001395327	5.927848313	5.468742077
X116	7.66373258	6.9757	7.199398298	7.293894703
X117	5.401892271	4.602566667	6.052748172	6.419374588
X118	7.84773258	4.4673	4.732	5.76806137
X119	5.168899247	3.073966667	6.6176	3.650928036
X12	7.386525605	5.377495207	5.80213723	6.583324588
X120	4.994471867	2.732666667	3.957448639	3.779784556
X121	4.007192271	2.339795207	2.8997	3.148524588
X122	4.669571867	3.412633333	2.722966667	2.46226406
X123	3.487065913	2.472	2.602498298	2.43916137
X124	5.249021389	3.905697922	3.945866667	3.330175411
X125	4.580688056	3.2678	5.764898313	6.586000494
X126	3.421765913	1.839566667	4.099670226	2.969928036
X127	5.640292271	3.184866667	4.240766667	4.369674588
X128	5.026571867	2.52379522	3.075248639	3.710617889
X129	4.520638534	2.595766667	3.05	4.27176406
X13	7.613683058	5.864866667	8.132248298	6.451894703
X14	8.541592271	5.5494	7.766033333	5.614074588
X15	6.694488056	4.997666667	6.4834	5.701675411
X16	6.904354723	4.0669	5.969187169	5.307842077
X17	6.3584052	4.48799522	5.264833333	6.69016406
X18	7.876099247	3.784333333	5.762786815	5.566828036
X19	5.638388056	4.279833333	5.6373	5.997775411
X2	4.790783657	5.7806	3.98618723	5.904274588
X20	5.859554723	4.6099	5.123633333	5.192508744
X21	6.529883337	4.0202	6.4454	6.057500494
X22	6.364592271	5.377633333	4.540648172	5.555774588
