CK	D	LN	LP	
X1	1.285666667	1.501165909	1.03574245	1.185327101
X10	1.386666667	1.328318283	1.147012437	1.269924804
X100	1.606	2.169499242	1.726045089	1.736551308
X101	1.986	1.761860332	1.500950406	2.05866765
X102	1.315666667	1.566193665	1.11591109	1.24616765
X103	1.639	1.72194193	1.797198993	1.683943521
X104	1.472	1.949193665	2.022244423	1.25016765
X105	1.543333333	1.66898495	1.495512437	1.959258138
X106	2.051333333	1.957651616	1.807012437	1.625591471
X107	1.833	2.301679042	1.589532326	1.611443521
X108	1.587333333	1.90598495	1.291000475	1.725924804
X109	1.490580181	1.620679042	1.274432008	1.225943521
X11	1.178240798	1.64424298	1.182000475	1.360591471
X110	1.121666667	1.31151463	1.032377559	1.199327101
X111	1.698333333	2.173499242	1.465710893	1.658327101
X112	1.110333333	1.266275264	1.303865659	0.976443521
X113	1.180333333	1.290651616	1.216224223	1.316887303
X114	1.277666667	1.584556177	1.202244423	1.239445073
X115	1.248080226	2.26351463	1.332045089	1.237884641
X116	1.139666667	1.81894193	1.115932008	1.374296116
X117	1.295666667	1.989193665	1.572450406	1.68366765
X118	1.405	1.28494193	0.987532326	1.06462945
X119	2.123	1.523275264	1.860532326	2.380296116
X12	1.225	1.539556177	1.367542739	1.30966765
X120	1.873	1.717651616	1.644000475	2.270924804
X121	1.890333333	1.778556177	1.84491109	2.29916765
X122	2.914333333	1.866318283	2.370557556	2.688387303
X123	1.48	1.339275264	1.266432008	1.47262945
X124	1.767333333	2.128689351	1.657710893	2.159217974
X125	1.447333333	1.666165909	1.964045089	2.595827101
X126	1.27	1.422608597	1.284216034	1.463962783
X127	2.066333333	2.220526998	2.024244423	2.22566765
X128	1.452333333	1.64124298	1.245500475	1.685924804
X129	1.721	1.43998495	1.217224223	1.906387303
X13	1.216240793	1.525608597	1.559432008	1.31762945
X14	1.543666667	1.385526998	1.57291109	1.82416765
X15	1.308	1.753165909	1.245377559	1.398217974
X16	1.039	1.343499242	1.30974245	1.390551308
X17	1.360666667	1.77124298	1.325557556	2.715887303
