CK	D	LN	LP	
X1	0.522965797	0.281109364	0.666666667	0.499699266
X10	0.609707222	0.342531455	0.623333333	0.596417499
X100	0.34629913	0.221109364	0.313333333	0.253032599
X101	0.408763502	0.247400282	0.51	0.353923562
X102	0.555430168	0.314066949	0.613333333	0.590590228
X103	0.464165113	0.255417053	0.353333333	0.349016196
X104	0.552096835	0.310733615	0.596666667	0.497256895
X105	0.353040555	0.265864788	0.3	0.266417499
X106	0.376373888	0.292531455	0.403333333	0.419750833
X107	0.427498447	0.295417053	0.456666667	0.439016196
X108	0.473040555	0.302531455	0.33	0.446417499
X109	0.51083178	0.29208372	0.563333333	0.512349529
X11	0.553040555	0.305864788	0.48	0.466417499
X110	0.519632463	0.291109364	0.586666667	0.456365933
X111	0.542965797	0.294442697	0.566666667	0.393032599
X112	0.597498447	0.305417053	0.563333333	0.429016196
X113	0.586373888	0.329198121	0.523333333	0.443084166
X114	0.608763502	0.360733615	0.48	0.513923562
X115	0.52629913	0.257776031	0.51	0.443032599
X116	0.664165113	0.378750387	0.603333333	0.522349529
X117	0.418763502	0.247400282	0.403333333	0.427256895
X118	0.564165113	0.368750387	0.48	0.529016196
X119	0.247498447	0.20208372	0.353333333	0.152349529
X12	0.615430168	0.347400282	0.413333333	0.513923562
X120	0.256373888	0.155864788	0.226666667	0.169750833
X121	0.215430168	0.124066949	0.16	0.123923562
X122	0.163040555	0.185864788	0.12	0.096417499
X123	0.23083178	0.18208372	0.203333333	0.165682863
X124	0.289632463	0.181109364	0.246666667	0.169699266
X125	0.312965797	0.191109364	0.25	0.223032599
X126	0.264165113	0.13208372	0.263333333	0.195682863
X127	0.275430168	0.140733615	0.203333333	0.203923562
X128	0.346373888	0.189198121	0.263333333	0.239750833
X129	0.273040555	0.185864788	0.26	0.273084166
X13	0.58083178	0.405417053	0.47	0.479016196
X14	0.595430168	0.417400282	0.56	0.427256895
X15	0.509632463	0.287776031	0.53	0.409699266
X16	0.66629913	0.314442697	0.493333333	0.386365933
X17	0.469707222	0.302531455	0.396666667	0.343084166
X18	0.504165113	0.29208372	0.43	0.399016196
X19	0.292965797	0.234442697	0.35	0.286365933
X2	0.452096835	0.374066949	0.323333333	0.423923562
X20	0.50629913	0.297776031	0.413333333	0.409699266
X21	0.402965797	0.207776031	0.413333333	0.323032599
X22	0.462096835	0.370733615	0.37	0.410590228
X23	0.457498447	0.218750387	0.376666667	0.442349529
X24	0.302096835	0.304066949	0.47	0.467256895
X25	0.372096835	0.220733615	0.32	0.223923562
X26	0.43083178	0.31208372	0.276666667	0.425682863
X27	0.554165113	0.285417053	0.5	0.595682863
X28	0.442965797	0.357776031	0.373333333	0.469699266
X29	0.533040555	0.325864788	0.4	0.479750833
X3	0.316373888	0.205864788	0.296666667	0.226417499
X30	0.539707222	0.305864788	0.446666667	0.423084166
X31	0.479707222	0.385864788	0.62	0.429750833
X32	0.51083178	0.25208372	0.37	0.295682863
X33	0.554165113	0.33208372	0.356666667	0.419016196
X34	0.445430168	0.214066949	0.366666667	0.350590228
X35	0.439707222	0.242531455	0.406666667	0.413084166
X36	0.44629913	0.247776031	0.383333333	0.379699266
X37	0.545430168	0.324066949	0.486666667	0.467256895
X38	0.603040555	0.282531455	0.453333333	0.473084166
X39	0.565430168	0.397400282	0.49	0.520590228
X4	0.552965797	0.377776031	0.623333333	0.566365933
X40	0.472965797	0.274442697	0.32	0.369699266
X41	0.369707222	0.285864788	0.416666667	0.379750833
X42	0.55083178	0.338750387	0.513333333	0.605682863
X43	0.479632463	0.314442697	0.45	0.416365933
X44	0.557498447	0.335417053	0.463333333	0.605682863
X45	0.566373888	0.302531455	0.533333333	0.613084166
X46	0.512096835	0.320733615	0.58	0.447256895
X47	0.576373888	0.322531455	0.506666667	0.519750833
X48	0.528763502	0.294066949	0.416666667	0.527256895
X49	0.623040555	0.335864788	0.586666667	0.629750833
X5	0.557498447	0.278750387	0.406666667	0.529016196
X50	0.539707222	0.312531455	0.55	0.523084166
X51	0.628763502	0.334066949	0.62	0.430590228
X52	0.524165113	0.35208372	0.52	0.489016196
X53	0.709632463	0.344442697	0.59	0.529699266
X54	0.584165113	0.355417053	0.59	0.639016196
X55	0.526373888	0.255864788	0.606666667	0.389750833
X56	0.603040555	0.419198121	0.573333333	0.496417499
X57	0.499707222	0.392531455	0.353333333	0.456417499
X58	0.668763502	0.370733615	0.576666667	0.503923562
X59	0.574165113	0.245417053	0.476666667	0.625682863
X6	0.458763502	0.264066949	0.453333333	0.457256895
X60	0.444165113	0.39208372	0.503333333	0.302349529
X61	0.433040555	0.279198121	0.566666667	0.456417499
X62	0.588763502	0.270733615	0.663333333	0.533923562
X63	0.492965797	0.327776031	0.373333333	0.429699266
X64	0.352965797	0.367776031	0.5	0.686365933
X65	0.522965797	0.287776031	0.516666667	0.449699266
X66	0.42629913	0.327776031	0.366666667	0.369699266
X67	0.566373888	0.352531455	0.59	0.599750833
X68	0.535430168	0.304066949	0.48	0.363923562
X69	0.437498447	0.265417053	0.393333333	0.439016196
X7	0.409632463	0.194442697	0.45	0.326365933
X70	0.472965797	0.237776031	0.453333333	0.449699266
X71	0.585430168	0.390733615	0.57	0.463923562
X72	0.535430168	0.334066949	0.333333333	0.280590228
X73	0.629707222	0.365864788	0.573333333	0.349750833
X74	0.628763502	0.310733615	0.496666667	0.453923562
X75	0.487498447	0.278750387	0.456666667	0.459016196
X76	0.658763502	0.357400282	0.6	0.567256895
X77	0.619632463	0.361109364	0.61	0.406365933
X78	0.499632463	0.347776031	0.49	0.499699266
X79	0.526373888	0.299198121	0.513333333	0.413084166
X8	0.372965797	0.297776031	0.34	0.366365933
X80	0.55629913	0.397776031	0.463333333	0.543032599
X81	0.529707222	0.312531455	0.506666667	0.489750833
X82	0.608763502	0.327400282	0.48	0.567256895
X83	0.516373888	0.372531455	0.523333333	0.466417499
X84	0.622096835	0.344066949	0.563333333	0.590590228
X85	0.514165113	0.305417053	0.646666667	0.539016196
X86	0.60629913	0.337776031	0.42	0.559699266
X87	0.605430168	0.287400282	0.646666667	0.417256895
X88	0.455430168	0.264066949	0.413333333	0.403923562
X89	0.67629913	0.327776031	0.666666667	0.459699266
X9	0.33083178	0.308750387	0.396666667	0.432349529
X90	0.425430168	0.350733615	0.473333333	0.507256895
X91	0.426373888	0.299198121	0.366666667	0.339750833
X92	0.659707222	0.322531455	0.643333333	0.573084166
X93	0.455430168	0.314066949	0.45	0.473923562
X94	0.572965797	0.407776031	0.526666667	0.613032599
X95	0.694165113	0.35208372	0.553333333	0.602349529
X96	0.46629913	0.221109364	0.406666667	0.546365933
X97	0.544165113	0.325417053	0.446666667	0.469016196
X98	0.406373888	0.232531455	0.346666667	0.369750833
X99	0.432965797	0.281109364	0.376666667	0.333032599
