CK	D	LN	LP	
X1	18.88469592	27.12927183	14.01386209	16.26437773
X10	15.70751522	24.37550135	15.47651456	17.68137391
X100	23.62366923	21.69378021	23.20289533	30.42269084
X101	30.71992785	19.30879067	15.59275386	21.44738181
X102	22.42477331	22.41165134	21.58614809	19.35622086
X103	33.0063392	32.40551238	31.37318273	31.43845884
X104	28.42688377	30.63310445	22.36374807	30.02993053
X105	20.44799141	17.12864137	17.19160812	22.08640232
X106	25.76753016	30.17949429	23.02903321	21.06519109
X107	24.67223541	31.70283937	20.21154927	22.38649182
X108	19.11729395	19.95815903	16.78427409	20.9985367
X109	19.69190932	22.87071495	17.08314042	17.52925288
X11	17.61911193	25.56044899	17.15786607	17.04747065
X110	21.31075635	22.51540235	17.62575755	20.99806162
X111	20.57943594	19.76667624	15.70820109	18.80198125
X112	21.61716178	20.08160573	21.65368892	17.20762732
X113	21.75555599	24.35873348	24.14253129	23.06974988
X114	27.42119926	28.0716217	24.03388332	27.06418792
X115	21.012583	23.41306453	23.63662659	22.76060091
X116	28.02435712	27.57851606	19.8132706	23.25328707
X117	20.55626642	33.03650647	21.28011324	22.60046151
X118	21.22003011	23.41636387	22.0910432	21.44047246
X119	15.69710293	13.72514507	15.73821804	18.8125395
X12	19.51312396	23.69641042	19.98767155	20.35544143
X120	28.19325328	22.28661433	20.25836838	40.37906472
X121	18.91188908	14.41579856	18.9888483	34.32454366
X122	22.48419296	14.90985345	19.60020305	75.76501487
X123	16.08276382	15.31324783	14.43295074	15.85849446
X124	16.8649633	15.73190054	17.39783607	20.58131876
X125	32.54634206	33.81462009	25.11713885	29.25801493
X126	17.29928371	20.64005926	20.19456872	22.57192919
X127	14.48438431	19.50007828	14.26594677	18.61992215
X128	25.34213059	23.98020821	32.63484336	22.04168033
X129	19.85844945	23.0654184	20.65224606	25.08676685
X13	15.00071937	22.13760878	19.42176513	17.2864043
X14	21.19940461	27.05381488	20.96872432	21.2601708
X15	18.32567621	20.10866751	20.68113702	19.34892838
X16	15.34896868	19.11432036	19.46897775	20.16378243
X17	21.61462099	34.54373244	20.57190513	38.29844733
X18	19.29860095	26.87544775	19.85376155	21.86012088
X19	25.85489295	34.97663724	27.00990134	38.46996865
X2	17.24160582	22.02687099	19.75673696	23.57614601
X20	16.69430976	21.67240034	20.06225085	22.21855814
X21	18.50005166	30.94302592	22.94761207	24.71953884
X22	27.73117998	35.97721641	33.86078723	26.69674914
X23	18.25819763	23.58889614	16.74264237	18.3906095
X24	26.14412669	41.56368203	25.96557268	31.31468838
X25	21.67748837	35.52043937	22.85260784	30.58252439
X26	25.32085049	38.27856077	24.77489392	25.36470745
X27	21.36884361	32.68304212	17.67038739	15.51774987
X28	26.00886289	29.92984745	25.80891137	26.98487332
X29	18.17723146	23.21496342	21.04339973	18.22246157
X3	27.08761767	31.79899078	23.38193344	26.10033355
X30	21.04149173	26.25019726	26.37216195	28.52813754
X31	17.6961091	24.22905808	19.01253168	25.35003027
X32	19.47015904	32.55677708	18.93811475	25.14144447
X33	18.58527591	22.77780972	19.03226959	19.89858819
X34	29.30305326	29.77811534	24.93760229	21.89367659
X35	21.88711803	26.44633099	22.6523675	23.31757482
X36	22.94813631	23.10290753	26.00868761	19.46908907
X37	23.83308309	24.84684342	24.42991675	20.38947058
X38	20.62515959	27.2000585	24.10420637	22.53442743
X39	20.04579162	22.60964929	17.65589831	23.83195984
X4	22.74401447	24.79277868	19.2926518	16.00708653
X40	24.96630384	28.6959443	27.67061785	26.99335994
X41	19.08619582	22.74465788	19.72286113	21.42277936
X42	17.24492003	22.92962939	20.35721591	16.98569445
X43	17.70272702	23.24378988	16.5605857	22.98310098
X44	19.76074167	31.66185989	21.92417879	22.73566984
X45	24.30822122	29.98429268	24.04384178	21.50826679
X46	20.95926507	22.92458679	17.82979653	24.59754651
X47	24.84469731	29.58563412	25.60762271	23.30314913
X48	21.91373528	25.99026634	29.44578211	19.01139928
X49	20.00885827	25.82241236	16.40316287	45.37040053
X5	21.2614607	25.73676242	17.85927542	18.93277499
X50	19.17769645	19.52417211	14.28000451	17.44371237
X51	18.3035246	21.8477023	17.48232647	23.24517809
X52	18.99089454	21.78667493	20.0044204	23.17247899
X53	16.85488867	19.97027977	17.25234685	14.13029692
X54	19.24974736	21.1850219	16.42480274	14.8789071
X55	18.56017745	25.17146225	19.12433875	21.7548583
X56	14.36536851	23.96107147	16.60136244	16.39915932
X57	19.76350786	22.76057859	18.70047485	21.57495046
X58	25.62863178	27.85649584	23.80904552	23.70569435
X59	22.38672503	26.14617378	24.21829006	19.67970447
X6	20.41077265	31.48752891	21.18251829	18.32349483
X60	26.60816118	30.99130641	26.81105078	27.48792885
X61	22.22854569	24.48428691	13.6922476	16.41311234
X62	22.64558874	29.45847188	22.14895243	22.48749516
X63	16.42301139	23.35566149	18.23871611	22.94393278
X64	18.23587716	25.78796093	21.67905646	19.37182286
X65	16.80035794	29.05433132	15.97580332	24.61096559
X66	21.75954498	25.99786972	17.29857066	21.91923329
X67	23.75738775	30.80404426	25.25645385	24.99096897
X68	22.00254898	28.66970817	28.26902399	28.98541685
X69	23.0680466	26.59473928	20.69510062	19.79685656
X7	16.92686602	21.06987337	18.52292337	16.92328002
X70	18.94348485	23.6055676	14.94668663	20.29842081
X71	17.29088145	16.10738818	15.17625444	14.67714041
X72	16.94190194	24.90148721	20.13201077	20.37015614
X73	19.31797892	24.86778862	14.81029222	18.38274319
X74	29.53622415	33.719238	28.57325898	26.65540934
X75	21.10361486	26.21530929	21.85663669	21.19776403
X76	23.07345425	24.63169215	20.86593608	19.67089642
X77	23.02931241	21.54598959	21.05580755	21.70202564
X78	16.37320718	17.75764336	15.49747377	17.5474186
X79	24.56591088	29.70459108	17.93335693	29.14429077
X8	22.98365277	25.60675946	18.94853048	17.90474002
X80	19.78533685	18.68549255	22.44201882	21.3191788
X81	18.27449101	19.09542002	14.2539838	17.84450622
X82	16.60728705	18.60408301	17.08872745	19.4678003
X83	21.70454383	21.39137513	17.75177576	21.7627122
X84	23.9932815	20.98694675	17.5679276	16.55076327
X85	20.8550586	25.26333841	16.98667384	21.47699576
X86	17.6504748	20.74843976	18.15706948	17.67099164
X87	17.63201931	24.53697848	16.96717634	17.01788478
X88	16.80440853	18.78258193	13.11010555	17.86189021
X89	20.83060816	24.12200416	23.40992818	25.98363263
X9	20.93368401	27.31914583	20.73112013	21.567391
X90	22.15783402	23.84115625	16.76502212	22.73068479
X91	22.81167842	22.27998531	20.50626508	17.4466946
X92	19.75665373	21.35519084	16.34500554	22.96151089
X93	19.66732724	20.57207335	15.30313612	20.35584879
X94	22.45977333	22.60260127	23.30598163	20.118365
X95	17.91474709	22.40238732	18.15850683	15.4390995
X96	20.16113281	26.23189633	20.36687125	17.84457793
X97	21.9020388	24.80339115	25.4335695	25.45798158
X98	18.66770457	21.03937529	18.16487951	20.71694375
X99	30.50727721	36.09730424	27.20013962	30.98689766
