CK	D	LN	LP	
X1	9.8037687	7.502639546	9.245793761	8.205570993
X10	9.627336866	8.078437495	9.150602023	10.97435616
X100	8.160495824	4.535480946	7.195806507	7.715253881
X101	12.79667816	4.696404844	8.01783951	7.200061511
X102	12.17862995	6.982651889	13.32394971	11.41434807
X103	15.34539922	8.103362012	11.05010062	10.89172905
X104	15.58067887	9.316967851	13.2486136	13.68800576
X105	7.141586097	4.616019951	5.202163052	6.063005791
X106	9.46980742	8.724661625	9.281158659	8.586977634
X107	10.62210502	8.418845917	9.000366308	9.924350264
X108	8.770453227	6.032356371	5.520213254	9.217180601
X109	9.906387666	6.613040314	9.55881708	9.058292896
X11	9.669244409	8.298747089	8.226417298	7.81920013
X110	11.0160175	6.58877962	10.25183109	9.541763549
X111	10.94278682	5.722595968	8.860725101	6.971338777
X112	12.91104168	6.040586517	12.13594111	7.423742173
X113	12.35475703	8.177210542	12.67420921	10.07704535
X114	16.4831866	10.06705028	11.63716936	13.80854099
X115	11.11974551	5.526851202	11.89695384	10.2202395
X116	19.04164117	10.28041231	11.95162463	12.13232758
X117	8.486151967	7.534950295	8.62789306	9.58396431
X118	11.97131417	8.220913459	10.55368663	11.44774055
X119	3.817944348	2.68805195	6.090242857	2.895635609
X12	12.19904228	8.236001221	8.244983583	10.43808036
X120	7.2963682	3.471227639	4.421785153	6.666126886
X121	3.712270833	1.849666339	3.035674977	3.926808551
X122	3.595495445	2.848377822	2.261918519	6.883171082
X123	3.80356582	2.672777284	2.909149954	2.589076107
X124	4.920112978	2.693250501	4.119968518	3.514303185
X125	10.42505996	6.345047543	5.732166313	6.926975381
X126	4.627972527	2.541584015	5.04795407	4.485795904
X127	3.967172353	2.846965629	3.058734603	3.861546114
X128	8.264328176	4.432881558	7.889843954	4.805761282
X129	5.266686221	4.385416479	5.315603929	6.701096857
X13	8.796670567	8.690787868	8.989957442	8.268211413
X14	11.95330408	11.08617407	10.55108928	8.857548065
X15	9.302232521	5.567769085	10.83913601	7.990153688
X16	10.08983921	5.81040323	9.297583558	7.839138417
X17	10.16304346	9.706289952	8.2664488	11.76374379
X18	9.506497979	7.171313894	8.66900463	8.864641438
X19	7.582696428	8.301215816	9.197990775	10.3565449
X2	7.682824596	8.335185192	6.318505693	10.00994621
X20	8.562066636	6.310441742	8.868277206	8.847577041
X21	7.529860158	6.357907533	9.467526019	8.002285236
X22	12.67697624	13.18110417	11.757847	10.29645941
X23	8.051116791	5.041575702	7.070981193	8.147750832
X24	8.178717109	12.10953478	12.22089441	14.22972054
X25	7.957604321	7.689818186	7.084906394	6.609394789
X26	11.2401749	12.37649217	6.794390465	10.88806073
X27	11.90965408	9.477047462	8.676918069	9.1600025
X28	11.57061229	10.62652168	8.819783801	12.66918895
X29	9.438511402	7.520275898	8.35344827	8.522969063
X3	8.001251892	6.547376291	6.98735103	5.862146889
X30	11.22354371	8.168044965	11.85757359	11.73158461
X31	8.421477707	9.117532697	11.03337393	10.12108616
X32	9.910020183	8.135030137	6.859857867	7.785205183
X33	10.16932203	7.421482975	6.771295808	8.497310459
X34	11.71726928	6.473922881	9.160614486	7.362579709
X35	9.470641985	6.250966936	9.08430117	9.606937629
X36	10.47739687	5.639447615	10.04896068	7.622471108
X37	12.80100525	7.947672729	12.21010578	9.444086701
X38	12.26283477	7.849598058	11.03403047	10.60279062
X39	10.75500539	9.053285753	8.738040222	12.56075775
X4	12.91871622	9.087442572	11.99323598	9.213258403
X40	11.08805878	7.818960607	8.627830766	10.35248328
X41	6.924163421	6.527748895	7.987991714	8.080869457
X42	9.744129228	7.644416527	10.35152345	10.17088022
X43	8.525759994	7.244772021	7.30347204	9.44239201
X44	11.20926274	10.26652893	10.05558614	13.98651829
X45	13.85449162	9.030678004	13.20434776	12.86229175
X46	10.55519539	7.131743518	10.4522247	11.09828832
X47	13.95572015	10.16164576	13.18844067	12.07581024
X48	11.34099005	7.694389211	12.27794766	10.12194969
X49	11.75575703	8.230907621	9.684060061	31.57152643
X5	11.84030306	7.10045548	6.891599629	10.05053558
X50	9.993399843	6.096294497	7.958174304	8.979350933
X51	11.08749031	7.442670866	11.26470283	9.461624748
X52	9.970562366	7.758110623	10.16387827	11.19231284
X53	11.74850018	7.511017706	9.783553652	7.43210134
X54	11.06556673	7.575172716	9.890931322	9.456361301
X55	9.647531948	6.560659163	11.44304093	7.662369513
X56	8.614979925	10.54360377	9.886761938	8.032507661
X57	9.95150352	9.363046375	6.525013711	9.972830575
X58	16.93269587	9.852430719	13.89920662	11.82384238
X59	13.04993325	6.407013179	11.27358634	12.64068935
X6	9.313085016	7.751361436	9.610747649	8.445888995
X60	12.22659983	12.15059722	13.20562921	8.425998589
X61	9.223650597	6.980458797	7.958324006	7.355753162
X62	13.27676651	7.763881545	14.60066012	11.77417861
X63	8.155451135	7.342411504	6.657103292	10.44620504
X64	6.746045016	9.48113531	10.01131223	13.2371559
X65	8.758955932	7.712908045	8.202177528	11.50329407
X66	8.817357892	8.20011034	6.32994108	8.079975849
X67	12.63275789	10.76846419	15.1186285	14.24919046
X68	11.51878382	8.796865005	13.90436587	10.46139084
X69	10.19256909	6.96985219	8.216990182	9.073295711
X7	6.941988611	3.59716079	8.376508553	5.573762796
X70	9.087935704	5.30204325	6.634322873	9.231456878
X71	10.05447181	6.126534939	8.780581883	6.979087302
X72	9.247451474	8.005026787	6.378460188	5.829696632
X73	12.10064125	9.189599329	8.48407966	6.426486543
X74	17.03738828	9.950152601	14.01333882	12.33060411
