Pseudomonadaceae CCD24 Steroidobacteraceae PLTA13 Woeseiaceae Erwiniaceae Enterobacteriaceae KI89A_clade Moraxellaceae Xanthomonadaceae Rhodanobacteraceae SC.I.84 A21b Nitrosomonadaceae Methylophilaceae TRA3.20 Sutterellaceae Comamonadaceae Burkholderiaceae Oxalobacteraceae X0319.6G20 Haliangiaceae Myxococcaceae Sandaracinaceae mle1.27 BIrii41 Polyangiaceae Bacteriovoracaceae Oligoflexales Geminicoccaceae Inquilinaceae Sphingomonadaceae Reyranellaceae Dongiaceae Azospirillaceae Methyloligellaceae Hyphomicrobiaceae Rhizobiales_Incertae_Sedis Devosiaceae Caulobacteraceae Beijerinckiaceae Xanthobacteraceae Rhizobiaceae Rhodobacteraceae Geobacteraceae bacteriap25 RCP2.54 WD2101_soil_group Gemmataceae Isosphaeraceae Pirellulaceae Rokubacteriales WX65 Nitrospiraceae Thermoanaerobaculaceae Subgroup_7 Subgroup_25 Vicinamibacteraceae Subgroup_11 AKAU4049 Subgroup_5 Rubrobacteriaceae MB.A2.108 Streptosporangiaceae Glycomycetaceae Propionibacteriaceae Nocardioidaceae Catenulisporaceae Actinospicaceae Micromonosporaceae Pseudonocardiaceae Nakamurellaceae Geodermatophilaceae Sporichthyaceae Streptomycetaceae Thermomonosporaceae Microbacteriaceae Cellulomonadaceae Promicromonosporaceae Micrococcaceae Intrasporangiaceae Mycobacteriaceae Nocardiaceae X0319.7L14 Ilumatobacteraceae Iamiaceae IMCC26256 Solirubrobacteraceae X67.14 Gaiellaceae Blastocatellaceae Pyrinomonadaceae X11.24 Fibrobacteraceae Nostocaceae Entotheonellaceae Microscillaceae Sphingobacteriaceae Chitinophagaceae Bacteroidaceae Hymenobacteraceae Bryobacteraceae Solibacteraceae Opitutaceae Pedosphaeraceae Xiphinematobacteraceae Chthoniobacteraceae Rubritaleaceae Alicyclobacillaceae Planococcaceae Bacillaceae Lactobacillaceae Enterococcaceae Clostridiaceae Gracilibacteraceae S085 Anaerolineaceae Gitt.GS.136 KD4.96 Herpetosiphonaceae AKYG1722 Roseiflexaceae JG30.KF.CM45 TK10 Gemmatimonadaceae S0134_terrestrial_group Thermoactinomycetaceae Desulfitobacteriaceae Paenibacillaceae Limnochordia Lachnospiraceae
X1 147.557556788892 84.4134314716031 560.121358659586 142.470274708934 19.7312655489777 62.081687879101 44.2584654720914 30.927647713184 2.84490292504883 881.100294363798 173.224798885251 579.861088479123 65.7123447611981 299.860341932981 33.1541240718411 46.6177849345815 68.3210979757591 2754.47218543722 393.579373466127 3147.84507720915 8.10027872972859 86.5743822530739 406.738932975728 42.5167323448122 31.2922021043718 64.7826984896611 86.3333038891587 21.5839780577224 63.8248199510939 119.026736276326 113.765633016914 2366.6082174118 33.680102727735 115.939133464094 413.979096850933 1325.24442678194 260.602418074416 254.0126396831 181.163521637807 154.873700279077 934.922438520547 2486.19247998066 1435.10965702334 70.0751668085652 65.2538867739077 501.121416109557 35.0396212015881 48.801036299806 73.3574762078985 94.0216950260725 24.5038751141737 425.781087901097 46.2173130483249 508.55055094355 46.7549525405038 368.874251235232 43.9685459162915 1364.70803911223 104.478786605494 104.835680069813 63.7787054989082 157.398616533877 968.544481238582 196.467700402807 70.0016209127104 265.099197275464 2365.49406352062 26.7046541952347 87.638246333172 254.271327613941 765.452173116416 1.61041105652101 293.390193755692 21.4211658303996 2324.54167985938 29.3204104928439 237.152582358945 31.1611327719745 32.6229200646213 1869.28941329646 699.660128123047 616.839796779284 412.25831224517 25.1323607043806 85.9327166974101 71.2302434258894 55.4963277374582 873.546359972386 1018.37136515727 1494.68760990707 175.516525224145 1242.96936908984 35.1712686598758 15.2450045945614 122.591853534765 69.0967829000406 28.0907418721926 300.481231314916 1555.20567421285 0.00720242907089413 34.6925059566623 418.776404926394 64.5943152829682 358.764464795719 172.329639151605 425.059444209834 1042.73547507576 342.341716174315 351.556820615424 229.787317887751 1876.78484023841 0.273348346331518 0.0543354802618378 256.181754440839 40.6537456490975 47.3105245241571 32.7718838738064 25.5333041491331 697.874973402445 16.2485919989312 28.3354401523739 453.263112009974 210.374747906993 97.8265696785397 1463.43905069083 31.9560608159794 64.5189344705652 39.0328698161665 1159.79974493751 22.1511593179878 88.1666159043793
X10 147.557579706199 84.4134385551036 560.121370922505 142.47028169124 19.7312654930022 62.0816256786223 42.5455255899798 30.9276484432179 2.84490184841993 908.966650890497 173.224803685238 580.325655343197 66.8894122139858 302.482635636834 34.7512958876845 46.6177831310274 68.5167903490274 2815.26015635131 402.994167979376 3107.18530856406 11.0246184677144 86.5743880922091 406.738975981837 42.51672516527 32.1335319688438 64.8661265011003 86.3333282463597 21.5839782601101 66.6131051244472 112.141377857564 113.765616896482 2368.03240066223 33.6801092142107 115.939133427991 413.910925027221 1335.80472005491 260.945154855153 259.20365327032 208.56533897786 161.305477952327 934.922434672933 2496.76719476457 1589.41063059725 72.5341507250313 63.7386664473594 501.121432474341 35.3160143906216 48.8010368297099 73.3574783788823 93.7640054762124 24.5038760909108 425.781173296979 50.0391457461829 507.873024438367 43.9925327716405 372.009097685742 44.6226980444173 1365.18376697598 104.478771081908 105.633037953976 63.4883936235287 156.235339069725 968.544447780202 196.467701800406 69.3789233861019 265.099204927556 2359.97328318906 24.3557902344698 57.8895467531071 254.27131605767 702.59671801979 1.1773076013053 293.390182625716 21.4211647932053 2257.99170288992 29.3204109793917 239.165337810105 31.1611333994285 32.1837703905419 1845.83394807093 699.660160417856 616.839813177402 412.258220479214 26.6105078996893 85.9327282133802 71.230233943668 55.4963275422904 872.708038486943 1017.70517904747 1516.47259333576 175.516529375491 1240.7411586148 35.2101915063767 15.245003567506 122.591883132645 69.096769736028 28.0907456823777 308.457047293815 1563.16790789894 0.00719827288830076 34.6925127358076 418.776418571419 64.5943150951178 352.137677757409 172.329601946414 423.620680526147 1042.7359674853 444.521895067038 351.556832936165 226.882043544587 1876.55109945612 0.273348346585035 0.054335510146853 256.181754297832 40.6537467388534 47.2291261039994 32.7718827546581 25.5853914324336 697.874980282013 16.6550772175608 28.8909476473578 489.528082454561 210.374752362927 97.826590078269 1463.43927359885 31.9560663747694 64.518934746088 39.0328726768796 1160.06549948281 23.828456014545 88.1666191217207
X100 147.557623933344 84.4134373407892 560.121474991917 142.470280274541 19.7312658848262 62.0815988468474 42.7280872703673 30.927649027246 2.8449016525417 879.650000801515 173.22480710062 582.843310403104 70.6167957395396 303.105969697556 106.855367419091 46.6177868307692 69.1690978677777 2838.67567007742 469.988067304967 3225.16501870576 8.10027872972859 86.5743934439548 406.739040849402 42.5167603758955 37.25162776759 64.9486216289023 86.3333504385296 21.5839799803868 69.377520998598 125.158827237284 113.76561708812 2368.89934778132 33.6801168970708 115.939138847402 414.597031610872 1380.6613633521 265.465245927997 273.253255185229 261.680004536414 170.603549910908 934.922469782061 2524.01746773733 1784.2640956478 71.6120324003816 66.207914307771 501.12146441935 35.2966507720816 48.8010325497075 73.3574774222129 90.5613140245128 24.5038760909114 425.781260570744 48.1861363752347 516.56614901182 47.2397806184628 383.88853598064 45.5710015237897 1366.24761445093 104.478801653104 108.106779027455 65.4580950391001 158.524174231933 968.544485931496 196.467697648718 71.3041271813035 265.099154215818 2323.38461981745 26.3019922441693 70.6963181479729 254.271319774004 718.379798396032 1.17750199809999 293.390176937077 21.4211659954045 2258.84616002391 29.3204108172111 240.568166893806 31.1611325083993 31.9136454097818 1842.71187460555 699.660074923482 616.839786638327 412.259162227542 25.6559926383826 85.9327201755417 71.2302481268658 55.4963288662149 869.94652909093 1027.69230427853 1554.88475461004 175.516527859383 1238.74587736507 34.9592267312127 15.2450043921757 122.591897269575 69.0967714548766 28.0907549650675 317.710355257895 1545.24643636553 0.00720242907089413 34.6925107989114 418.776606583695 64.5943157525952 432.657496819424 172.329616803754 419.609590771898 1042.73619849601 513.246731254269 351.556829948796 237.785919227044 1882.86045223449 0.273348346331518 0.0543354802618378 256.181766988754 40.6537474653575 47.5445253258971 32.7718849425559 25.6089874379291 697.874981745807 17.4680493365037 28.3354401523739 500.515144981056 210.374748530495 97.8265964807174 1463.43937453854 31.9560734495868 64.5189358125124 39.0328869486148 1170.75543077115 24.0708393136304 88.1666199929269
X101 147.557597580627 84.4134361264757 560.121439197343 142.470277137562 19.7312663885985 62.0816076344747 42.6235255894733 30.9276485892252 2.84490115238911 882.550570993035 173.224817162134 580.595404468796 67.7525956220459 300.440686227801 55.8865555060917 46.6177825538798 68.5167907168218 2808.45470343235 431.675648744738 3422.18791708148 10.6734032543235 86.5743867879132 406.738989958848 42.5167611097854 33.535749754582 64.9041802292047 86.3333244574995 21.5839814982789 61.3805094251102 123.957379039108 113.765615559362 2369.78975468305 33.6801121046245 115.939136921022 414.421137046833 1358.70183971138 263.897240009834 259.542199242387 211.629597462935 170.153260308861 934.922509700547 2517.63194908468 1748.59135624903 72.0730912582034 65.7028407800705 501.121447045765 35.076622989762 48.8010352399955 73.3574787465699 89.8986874378615 24.5038759281221 425.781114763223 47.9545104210373 506.347771648297 47.7376512984889 375.267697364773 45.4111250909182 1364.30727390586 104.478791542125 106.950259112608 64.2777693983279 158.043780277688 968.544426294917 196.46769567564 72.3274678871731 265.099153736876 2310.15011549288 27.7784168868481 97.7510504860033 254.271312901334 692.48998646653 1.60981139338513 293.390167538424 21.4211655066349 2244.71582866633 29.3204114659459 232.94409158361 31.1611323983186 32.1304661074107 1922.28436487617 699.660139420094 616.839752978986 412.258874694003 24.8356840235165 85.9327161012806 71.230224730252 55.4963284451893 864.990595938408 1017.72766081956 1524.95585999876 175.516529469778 1241.36300398281 35.0226095204658 15.2450056201029 122.591880468061 69.0967433656637 28.0907523602277 305.76942376051 1552.97438493723 0.00719394675736883 34.6925074093318 418.776502233201 64.5943149542302 379.824885469356 172.32964603295 414.639328509079 1042.73602112654 425.290438284544 351.55682772215 236.586282635767 1884.96939335277 0.273348307738682 0.0543355039004028 256.181760390023 40.6537469464261 46.9320077791261 32.7718852520335 25.6022182957011 697.874974294753 17.5696709600094 28.5921593371325 442.779290464568 210.374745287346 97.8265919842163 1463.43928501478 31.9560638480502 64.51893625796 39.0328802951015 1171.36238670766 22.4768886020982 88.166616886615
X102 147.557579861952 84.4134409837332 560.121567792626 142.470290090248 19.7312665565227 62.0816236602803 43.0237783499242 30.9276491245838 2.84490115238911 910.365129669662 173.224804008313 584.529239921285 71.2053291107983 303.406889085493 54.8689840989305 46.617792982912 69.2180213967602 2890.75495862521 461.826931528296 3518.20368890352 10.9855620267619 86.5744005286151 406.739089589683 42.5167544842566 37.7424031639124 65.0365458796106 86.3333547687178 21.5839796768074 62.3900914337473 124.917827020945 113.765619888442 2371.41454503727 33.6801208242157 115.939138278551 415.086850267592 1420.23783250123 270.517716485191 274.043190984461 245.742069634386 179.770939798037 934.922593224901 2545.02456118588 1953.20427064293 76.9910611520156 67.1900013475634 501.12148941491 35.4012919209117 48.8010351992336 73.3574796573057 87.5426833516932 24.5038770269521 425.781239245992 49.9233337479471 516.626597406431 44.5862687917554 385.455962013443 48.0613401340882 1367.14034491848 104.478806288782 108.946183900322 65.7834289860862 159.075541500906 968.544531624761 196.467702170357 72.4330765035455 265.099153736876 2366.41333693101 30.2614989184175 116.287513088633 254.271320435819 730.978575208491 1.98860681950352 293.39019598167 21.4211651353737 2327.18117952014 29.3204121687415 243.80077099799 31.161132925469 32.477557959779 1898.1884638341 699.660194705917 616.8397732609 412.258962636398 25.5021246667918 85.932722188011 71.2302611628185 55.4963294903344 876.11062146948 1043.06395925569 1591.66814099427 175.516530158994 1240.76843475943 35.1728058866022 15.245006328453 122.591845037329 69.096748270734 28.0907569228962 324.834437959708 1562.91468887229 0.00719394675736883 34.6925137042555 418.776639938997 64.5943160813351 419.857842622248 172.32965226956 413.810950786513 1042.73640302513 459.801974321737 351.5568348086 257.348609516485 1911.16961676958 0.273348307738682 0.0543355039004028 256.181769396188 40.6537473615712 47.5248098102008 32.7718859867987 25.6680298511759 697.874989712895 18.6875068527841 28.3435504557141 438.644737579598 210.374746591032 97.8266157329814 1463.43977469175 31.9560835564777 64.5189443096432 39.0328949800571 1183.72768032772 23.4367285999195 88.1666189807491
X103 147.557492476856 84.4134381503316 560.121485929128 142.470280780505 19.7312661087248 62.0816007233706 42.7960643133473 30.9276483458799 2.84490113290371 884.156270185455 173.224805623688 580.97005564029 68.7334858491055 301.794821740991 68.2238732972214 46.6177881999287 68.5330979854337 2817.97081589415 422.975219134343 3128.22062266494 7.91924848556618 86.5743878836875 406.739052676134 42.5167465133713 33.8863045336461 64.9278082563424 86.3333547687035 21.5839805875446 64.8597465743594 123.486561560474 113.765617741543 2369.66071025605 33.6801083542892 115.939136306835 414.826422977838 1389.24778124842 267.517077912846 270.488473921568 229.685420282928 172.679198705996 934.9225307019 2521.39411040427 1809.3358343169 74.5320763419387 67.2461199781087 501.121468790761 35.055919641984 48.8010334057074 73.357480865036 90.7821885290591 24.5038754804506 425.781196525291 50.2707734669128 510.684340126858 47.8822110662251 383.311063526752 46.1833325194804 1365.61109478293 104.478795441371 112.30690099645 64.799931691917 157.061851810232 968.544535568973 196.467701019395 75.0419792325123 265.099171460217 2336.61749948666 30.7983829755234 105.101737652981 254.271318144929 707.096284290118 2.36760707483735 293.390193013691 21.4211652923626 2278.04986864609 29.3204117903146 241.483052052525 31.1611331290957 32.2377185393036 1876.69431998759 699.660117263336 616.839813824734 412.258749280626 25.3322926476978 85.9327381265373 71.2302592324524 55.4963288043967 872.264228948149 1037.10979430793 1545.24779273825 175.516529962174 1237.20533337924 35.1302635300174 15.2450056078628 122.59179313332 69.096753893334 28.0907475919644 328.260667239364 1546.45722284048 0.00720240457126113 34.6925078935578 418.776569154042 64.5943167388126 481.495883704274 172.329643772809 419.478792699542 1042.7360736432 419.749713944663 351.556833510107 257.936763539027 1892.92392578843 0.273348329665211 0.0543355019449714 256.181768295348 40.6537481918616 47.7297958930683 32.7718852546945 25.5864110257871 697.874980531245 17.8745360640938 28.0754692525275 462.520418660742 210.374745057546 97.8266129323276 1463.43949891047 31.956074965621 64.5189407128121 39.0328991862166 1175.90693821794 23.5560853792863 88.1666196726455
X104 147.557648560674 84.4134356205114 560.121475323337 142.470283107941 19.7312662206742 62.0816553557626 43.1414997500568 30.9276494165976 2.84490178864267 896.017582642798 173.224830085186 582.101501470606 69.204313111635 302.934016166151 53.706045347889 46.6177880844272 68.4189445754351 2892.4851672137 584.722033506851 3350.88070493575 13.7429645166343 86.5743952873164 406.739102491518 42.5167493876961 36.9711833722018 64.9973954759694 86.3333466496415 21.5839785636859 59.7651782112908 125.952155616769 113.765624606029 2370.39274547155 33.6801230041135 115.939138372174 414.233208434274 1399.56134414602 269.316656593644 273.3096777835 243.946676362204 182.737140014325 934.922509540232 2518.38438163683 2038.85227510551 72.6109942153391 66.8252261140274 501.121469127039 35.1577902225494 48.8010351177097 73.3574746988554 92.4755669071081 24.5038756432403 425.781183474142 47.9545104210373 509.836914336838 47.9800653374684 383.104824017596 43.9319352993815 1360.78644177883 104.478798163073 109.278838031608 65.030599192207 153.416487519013 968.544498600553 196.467700649442 73.6651770278904 265.099199872211 2365.27947075887 35.2947733067339 111.70322663852 254.271320944905 707.373163767828 1.77215229029301 293.390195734337 21.4211667441722 2280.43674145084 29.3204114118847 253.620576535715 31.1611330133273 33.1415597643096 1876.5341740272 699.660142201771 616.839893226266 412.259229522451 24.8356840235165 85.9327247966098 71.2302505856217 55.4963283615777 871.869724814614 1038.19529002397 1554.81690133958 175.51652894273 1234.34435349522 34.9430937972172 15.24500481056 122.591812928229 69.096768436023 28.0907495829512 330.342108728366 1567.13695130566 0.00719394675736883 34.6925093462314 418.77651623718 64.5943147663793 453.717917493061 172.329634079449 403.216435703164 1042.73594205502 422.86004842277 351.556832993777 241.947047363166 1884.3686586835 0.273348307738682 0.0543355039004028 256.181761098373 40.6537482956478 47.1348084739674 32.7718853856271 25.6515769623072 697.874974831461 18.382642518391 28.2192460150049 444.1968514537 210.374748744948 97.8265899486079 1463.43934509785 31.9560764816576 64.5189414766435 39.0328717288773 1177.28630803791 23.3656293408216 88.1666211746039
X105 147.557606439638 84.4134405789609 560.121519403657 142.470281084082 19.7312658848254 62.0816498953953 43.8698913414719 30.9276497572799 2.84490041684941 871.000037277894 173.224799946783 580.535459900663 68.8511926053224 300.935051537169 50.1602343389833 46.617787239434 69.0549441266545 2848.07644591314 454.594844338074 3123.90821207122 14.0941797300251 86.574392200254 406.739032606557 42.5167557446335 37.1114051698848 64.9183270392886 86.3333228336422 21.5839793732316 74.084011988362 125.58764960328 113.765616341472 2370.02086250367 33.6801375528823 115.93913951347 414.735899784047 1373.35796024181 266.013041714608 265.805272078969 210.498839424825 160.136974836819 934.922486935772 2516.00506488167 1696.2603021763 71.5351880903507 67.0216435491833 501.121465652296 35.167207797178 48.8010363405666 73.3574792896181 90.7453752408093 24.5038763757927 425.781171958454 49.2284537880435 509.633312641595 47.7903527156527 379.969968443609 47.5194447195101 1364.6852979114 104.478804186649 109.403118108547 65.7179280130938 158.111268566486 968.544479240106 196.467699909539 71.4206899693018 265.099218255542 2310.35686344967 30.462829825627 96.7563231779755 254.271313410419 735.824276645943 1.1773076013053 293.390181636385 21.4211642569391 2261.43948633005 29.3204128715337 239.104345229125 31.1611315544022 32.9986816961021 1866.56763036294 699.660029331345 616.839793758548 412.258446452935 25.372832419321 85.9327329958112 71.23023453129 55.4963290891052 868.146608945372 1025.10427505095 1541.85447847545 175.516529659286 1240.53613474467 35.14834594385 15.2450088295349 122.591918009771 69.0967457556843 28.0907478645235 307.65678743854 1557.8285446424 0.00719827288830076 34.6925161253819 418.776560945208 64.5943154708195 423.852045446262 172.329664832226 418.519617708238 1042.73593439864 376.179332153951 351.556839720144 237.943939013822 1890.29973154613 0.273348346585035 0.054335510146853 256.18177261374 40.6537462718151 47.6347274936821 32.7718852929381 25.6709464545509 697.87498603942 16.1469699935723 27.921373009826 449.245724346713 210.374747998413 97.8265975421666 1463.43924956562 31.9560790083767 64.5189392192453 39.0328739006259 1173.01961660858 23.828456014545 88.1666215150168
X106 147.557778031015 84.4134383527179 560.121488249129 142.47028239959 19.7312658848254 62.0815968321722 43.7639420813525 30.9276492219213 2.84490343905384 876.645822931064 173.224802392933 581.457101349532 68.615778958362 299.989305698485 49.2880302757022 46.617785501262 68.9570979852678 2785.55824224877 445.358628599313 3197.84599330796 8.00708366747664 86.5743897920897 406.739083138743 42.5167679763789 34.5173022341311 64.9556131379945 86.3333423194253 21.5839797780031 70.3485585564046 125.735410831255 113.765617951002 2369.63138207219 33.6801217486232 115.939135815371 414.64671332385 1375.52923825524 265.690806133949 266.990178018982 223.204699504879 172.810739397323 934.922497195962 2524.68854325377 1784.2640474296 71.8425612087139 65.674781148435 501.121465316033 35.3160143906216 48.8010338948502 73.3574750395178 89.3464978146468 24.5038760909108 425.781151880588 51.3130902518304 510.450589307379 51.1033445817059 381.289905564085 43.8214702406682 1361.0004126745 104.478784323804 109.624887529404 64.7913682667811 156.079011611662 968.544474025757 196.467698470836 72.1951531560328 265.099131794506 2339.99377925933 25.966438038731 80.4123453993129 254.27131992673 705.919473882405 1.71844392433157 293.390178668394 21.42116693827 2268.56959630149 29.3204128715337 265.575125374298 31.1611344537292 32.1083156400271 1861.28414375571 699.660019943186 616.839820944944 412.258779869322 24.1351569389527 85.9327416911404 71.2302539228173 55.4963292981342 873.028571373648 1031.22214230923 1562.41787739879 175.516527551095 1232.69738877653 35.1836862652938 15.2450056925561 122.591797877447 69.0967713710514 28.0907512369307 313.729347516803 1539.36798019156 0.00719827288830076 34.6925161253819 418.776506796489 64.59431617526 402.882401223319 172.329607663306 412.415781857749 1042.73569325855 383.664932928215 351.556833973207 259.812455441464 1886.54513986316 0.273348346585035 0.054335510146853 256.18175672646 40.6537465312808 47.2759262643474 32.7718814855181 25.5952631657549 697.874973109649 18.2810203343241 28.2694254438118 448.655073934575 210.374747091501 97.8265999170431 1463.43929883373 31.9560739549338 64.5189381755086 39.0328787956111 1166.82804823029 23.1174634235662 88.1666189721397
X107 147.557501180767 84.4134414896961 560.121502169254 142.470284423448 19.7312664445733 62.0815882588551 42.5782797231019 30.9276497086109 2.84490145103049 877.111987168656 173.224803269846 582.461166602281 70.5383238091352 300.591145219029 63.2813836052953 46.6177856716784 68.7287902682072 2839.48307601114 442.974297841412 3410.53705546849 7.91924848556618 86.5743895835681 406.739030456308 42.5167429457789 36.5505183595554 64.9240796464718 86.3333369067356 21.5839811947018 78.0852708875058 117.280589985529 113.765615632504 2370.81507394454 33.6801056294169 115.939137570742 414.571604520131 1390.97493421365 266.69684188935 266.764483824382 245.429638208213 172.589313850957 934.922500241963 2526.96617849315 1801.42727594806 75.9920986541642 64.9452300434971 501.121472601742 35.2047262354276 48.8010340986604 73.3574777280572 91.1871267313692 24.5038756025428 425.781267020909 50.0391471931587 511.753086535961 45.7812893950694 388.962044323788 49.0184462865925 1370.24244026902 104.478794237562 110.310976208736 66.0160413589525 159.156639748281 968.544557295426 196.467698511941 72.648183928071 265.099146171219 2336.07011581735 26.2348808634499 76.4001181392315 254.271315497677 708.480765899541 1.17710716417955 293.390187325041 21.4211646323427 2269.65322598236 29.3204130337221 241.361066890566 31.1611328655205 32.5244465912599 1860.4035696153 699.660129085462 616.839787932929 412.258666308887 24.9990723260601 85.9327329093398 71.2302668715389 55.4963285535619 875.962685333206 1041.46597204157 1586.51032259102 175.516532840665 1240.22601839922 35.3599756194024 15.2450059114414 122.591861226757 69.0967729686074 28.0907579075628 314.656249699689 1539.07299706014 0.00720240457126112 34.6925049882084 418.776490731758 64.5943157056331 476.866221992716 172.329660923485 427.152186340156 1042.73614822839 416.444383732651 351.556836750862 241.088645824346 1890.8486605673 0.273348329665211 0.0543355019449714 256.181765057176 40.6537476210371 47.4645949844296 32.7718845199293 25.5929921813346 697.874995315097 18.0777789536893 28.2494954695203 498.66822388362 210.374750442336 97.8266000401409 1463.43945925565 31.9560911366385 64.5189395199702 39.0328789944025 1172.65948736823 24.7647727839502 88.1666196726455
