Pseudomonadaceae CCD24 Steroidobacteraceae PLTA13 Woeseiaceae Erwiniaceae Enterobacteriaceae KI89A_clade Moraxellaceae Xanthomonadaceae Rhodanobacteraceae SC.I.84 A21b Nitrosomonadaceae Methylophilaceae TRA3.20 Sutterellaceae Comamonadaceae Burkholderiaceae Oxalobacteraceae X0319.6G20 Haliangiaceae Myxococcaceae Sandaracinaceae mle1.27 BIrii41 Polyangiaceae Bacteriovoracaceae Oligoflexales Geminicoccaceae Inquilinaceae Sphingomonadaceae Reyranellaceae Dongiaceae Azospirillaceae Methyloligellaceae Hyphomicrobiaceae Rhizobiales_Incertae_Sedis Devosiaceae Caulobacteraceae Beijerinckiaceae Xanthobacteraceae Rhizobiaceae Rhodobacteraceae Geobacteraceae bacteriap25 RCP2.54 WD2101_soil_group Gemmataceae Isosphaeraceae Pirellulaceae Rokubacteriales WX65 Nitrospiraceae Thermoanaerobaculaceae Subgroup_7 Subgroup_25 Vicinamibacteraceae Subgroup_11 AKAU4049 Subgroup_5 Rubrobacteriaceae MB.A2.108 Streptosporangiaceae Glycomycetaceae Propionibacteriaceae Nocardioidaceae Catenulisporaceae Actinospicaceae Micromonosporaceae Pseudonocardiaceae Nakamurellaceae Geodermatophilaceae Sporichthyaceae Streptomycetaceae Thermomonosporaceae Microbacteriaceae Cellulomonadaceae Promicromonosporaceae Micrococcaceae Intrasporangiaceae Mycobacteriaceae Nocardiaceae X0319.7L14 Ilumatobacteraceae Iamiaceae IMCC26256 Solirubrobacteraceae X67.14 Gaiellaceae Blastocatellaceae Pyrinomonadaceae X11.24 Fibrobacteraceae Nostocaceae Entotheonellaceae Microscillaceae Sphingobacteriaceae Chitinophagaceae Bacteroidaceae Hymenobacteraceae Bryobacteraceae Solibacteraceae Opitutaceae Pedosphaeraceae Xiphinematobacteraceae Chthoniobacteraceae Rubritaleaceae Alicyclobacillaceae Planococcaceae Bacillaceae Lactobacillaceae Enterococcaceae Clostridiaceae Gracilibacteraceae S085 Anaerolineaceae Gitt.GS.136 KD4.96 Herpetosiphonaceae AKYG1722 Roseiflexaceae JG30.KF.CM45 TK10 Gemmatimonadaceae S0134_terrestrial_group Thermoactinomycetaceae Desulfitobacteriaceae Paenibacillaceae Limnochordia Lachnospiraceae
X1 148.80800681147 77.1387429299959 530.450041738306 124.66351986264 18.6801402876551 91.0310047433822 97.2645179345116 26.7638909987884 5.21580702023163 1215.61191806884 105.552717196965 520.938793940963 52.0315507227146 261.41714336018 18.791366689575 41.9302325559035 62.9494743471906 2290.88362612347 291.460152168786 5279.09054450063 5.77753236841021 80.724648789326 428.246164145579 39.9828790231227 17.1847097179968 21.0310083999853 77.9275187846129 30.2616481570113 75.9123601845041 113.649838140608 354.415907166534 2605.05530561997 33.1676140873374 98.8841687191368 459.796772243254 1366.81156561643 244.481626246071 240.143125014286 134.874411681548 113.711936603857 1150.89810277814 2139.85308911761 1552.88043376973 73.1631374993174 69.3753601227526 447.658218888022 28.5951840074439 48.3295125080687 54.3903956208131 74.5936158251937 19.382422654977 335.186889005499 43.3473477670648 442.430566170906 47.9974322886452 354.468064497421 37.7103157819467 1142.3982303569 87.6378423108094 103.708020991622 58.3228845004407 164.678254518448 917.937989721056 217.851726288754 133.419239451026 268.383259978795 2925.7903144526 15.8076999287547 51.5715079606333 260.198951334999 866.184048628484 3.04710309897324 373.741724593859 21.2680348051462 3338.70944532804 26.514023154829 259.240270850459 35.0151801760733 47.9227994754282 3177.28436116288 1076.66727518727 550.731339579808 185.607191456451 29.4200228479986 81.3480715251046 71.9875244863284 48.3365429489644 935.717548018792 1058.04123749401 1492.23641288515 164.830386369318 1127.68038222934 29.6296146813654 9.40654628600561 83.0872063929027 60.7631195690833 15.7054261653763 563.790471996745 1522.08880908551 0.0810871780252574 43.7636409961492 406.554283168145 58.0667542212408 29.3730729918272 152.956059936889 339.990865718679 742.448272197306 188.804251555632 438.897687870962 256.702770986294 2131.80983990984 0.129437770383136 0.0260269174323238 258.681512992954 41.4850265701788 42.4652060809938 32.8894909442518 22.2868218732183 636.623141292675 8.92181725404917 25.2799801376177 307.215017656821 178.689710648648 88.6156826899166 1406.11943311907 31.6868674072441 67.4412047319473 40.5167943852412 1260.07838569419 20.6751669366658 92.1485117568829
X10 141.885525029752 77.1387024271981 519.402617435066 124.663517733438 17.8334322158458 91.0310069520407 95.1464864052294 24.5739761583857 5.0558373601399 1196.80175578947 105.552718972061 526.162628209428 50.1586442808356 258.058572412449 18.0782085891557 41.9302335303988 64.672813487808 2271.6858428502 344.310293929125 5160.401977029 5.77753289854549 81.2160306004136 428.246110240259 38.9011110659744 16.9160153171529 21.0310116381532 77.9275171328141 31.2433123741796 71.7197512344027 111.213035686141 354.415838454735 2490.04849279472 31.6053777080917 95.8716034355642 441.882013215138 1329.22422207495 238.13933335564 240.143116376514 134.537031871725 113.985627325728 1130.25184856046 2043.08283430845 1563.70124275591 73.1631317958687 69.3756993676768 437.061158361324 28.5951809824446 48.3295216380849 53.8249864356817 82.1031590949218 19.3824298983062 335.186883665546 43.3473463107706 437.61396544744 47.9974081281389 354.213237443206 37.710316372758 1142.39822054186 87.6862064426864 103.707999751582 58.2797532978904 161.706751787349 917.937975894222 217.851722292857 133.513297854954 258.236039822707 2925.78971790008 18.0473801762579 60.8460731207416 260.19892150426 866.184038583687 3.047103168588 373.741716626768 22.3029137864659 3298.80944187752 26.3345436960626 259.240214309272 33.7388955723021 47.9227882823591 3141.55212057598 1076.66720824365 550.969616264773 185.607199424865 29.1143021571773 81.3481080165362 71.5767783991013 48.2037097239841 935.717541229937 1058.04122360647 1489.28259629072 164.479979800917 1127.68037623071 28.9171361879947 8.14510944890442 88.8128365014353 59.9052034247391 15.7054259885965 569.798996832862 1530.50297685651 0.0809352376470802 43.8239738145219 401.171400705316 54.9087993208389 29.3730739985667 152.956057357718 340.209450386769 756.779693099039 188.804293035184 432.28327466047 238.915553499558 2130.54074670521 0.129437814982151 0.0260781944205482 241.22315692919 39.0995430021765 41.4446811992432 32.889485555056 22.2868247954074 636.377433734871 9.1084662911134 25.5106055073106 310.22127159907 179.400861796005 87.2791225802863 1406.11927926782 29.6192370649249 65.3254834911553 40.5167951165018 1232.05869699861 20.6751555336044 86.3304012468953
X100 157.542022736209 77.1386973502196 525.43813704285 124.663514308952 17.9420125025181 91.0310032709368 100.027703141996 23.7006821588731 5.79164069614748 1237.75745756334 105.552728131447 520.999519058675 50.0113869457386 256.619427100702 19.5108364666163 41.9302315371127 63.010671663046 2329.98578880248 331.568411309476 5547.16277623972 5.77753236841021 80.5978405426507 428.246136611153 39.0891514141571 15.9627888183829 21.0310087035639 77.9275180050278 31.3826728872925 63.8502213127425 109.738559213167 354.416031910783 2667.9060395239 32.7148410207533 95.7566680802416 448.55102197266 1347.16068190697 250.219885894413 240.143119218264 135.697287808942 116.996267358944 1184.93035885678 2261.62055865107 1587.46133401373 73.1631356481745 69.3825077992184 433.053072496455 28.595179420855 48.3295415954252 55.2211665730207 83.5485618411224 19.382429898307 335.186882571578 43.347346231246 431.070002448736 47.9974012251571 354.048944556482 37.7103200176966 1142.39828670758 87.0980192062497 103.70801037161 59.0440225791531 166.03659575473 917.937994269948 217.851721927578 133.047077535703 258.238661313539 2925.78987126681 16.7578362695631 60.6998423154076 260.198953029926 866.18404695627 3.77349232533407 373.741794025982 21.6279928138525 3382.32842752677 26.7870576835415 259.240374864852 34.8865856802365 47.9227980292828 3095.33898738043 1076.66730971325 552.922055962339 185.60725487197 28.4519083096599 81.3480709270818 71.7935339385308 48.1771431920645 935.717541191217 1058.04122098947 1489.84289214794 164.92966806667 1127.68038406185 29.271352281864 10.1161046241101 94.1039119381009 55.9492974359035 15.7054266515213 569.062511299133 1644.928659923 0.0810871780252574 44.4876346501031 404.443352144629 54.9130075355102 29.3730764114142 152.956056498617 340.23317812736 774.514218884212 188.804271794204 441.746415575624 246.205945081322 2130.97330042243 0.129437896456269 0.0260269174323238 247.149621342595 38.824296447053 42.5880978030399 32.8894940515701 22.2868207966217 637.776628153772 9.12487092286647 23.4620340530698 309.243334920852 182.078205588354 88.0988796874883 1406.11933866078 31.4571308359356 66.384940329947 40.516795012036 1251.35591381747 20.6751942697405 89.0191886530771
X101 160.989582069876 77.1387058920962 516.072395293584 124.663513821281 17.9528898988932 91.0309987155499 108.72790714327 24.5539511047672 5.50264743071878 1208.21461142553 105.552716799331 515.277752126786 49.0065027116177 255.124392878641 18.4887111823984 41.9302308726837 64.0817742022316 2299.63087206707 306.070330591432 5602.40633611849 5.77753190738499 80.3917769538925 428.246040916076 40.0601495282873 15.8910707929914 21.0310089059474 77.9275175136831 31.0986227591246 60.4071833863216 105.183931562253 354.416195509718 2539.49211794835 32.3067903456904 94.0346916281923 414.552229435659 1309.46827414349 244.300415204943 240.143112951964 134.355999195028 111.522381116331 1189.4679693519 1986.44267613821 1536.84952257865 73.1631324818686 69.2911813566699 432.663571700227 28.5951797548221 48.3295198476924 53.7057056838709 79.7098330669893 19.3824261191798 335.186877923011 43.347345670529 433.382827683375 47.9974046766401 353.884611700093 37.7103096822088 1142.39820821755 87.1464663863586 103.707983650281 58.3005496769287 159.310697472922 917.937972786569 217.851731128134 135.515168658565 240.910854605744 2925.79112302886 16.1456365305694 56.5158817075863 260.198981165722 866.184076726497 3.0471029859488 373.741825210735 21.9879508383129 3448.26123558894 26.614685642779 259.240432472785 34.2654003608913 47.9228477878739 3134.38118220011 1076.66721453335 547.807241291023 185.607256034009 28.0952344057068 81.3481094915616 71.4874890535975 48.2606382747256 935.717534660846 1058.04120837248 1480.81389116454 164.748624652158 1127.68035654792 28.8292470382172 9.72190561438698 85.9071656023968 56.5107104332514 15.7054265631313 565.063201156205 1571.86110672327 0.0821439727503965 45.2116284240617 387.608669536999 54.9047134875073 29.3730747162724 152.956053536094 339.95069384943 751.314336360167 188.80428385382 438.842751588071 237.676365813174 2131.83228204212 0.129438445288118 0.0260781748304125 225.599137583756 38.4572974190016 42.1000307143373 32.8894823862442 22.2868211042213 635.878108091291 9.17311266680746 25.1247895046302 306.454398434522 178.353785266533 86.780140486388 1406.11906777549 30.844499215089 65.9142881671889 40.5167958999944 1242.02723638094 20.6751575319729 88.2415721406673
X102 144.217179807324 77.1387083692579 512.864776288493 124.663516773241 17.9528898988932 91.0309991296752 97.7245089063239 23.5693482633658 4.9711086529503 1203.97323651449 105.552715775906 521.228813662536 50.5705004744378 256.891972553186 18.7537789949925 41.9302320243604 62.4294466741362 2299.38181370606 302.808514336014 5301.82825331993 5.77753190738499 81.0575202489377 428.246064079958 39.5884599568888 16.931966374144 21.0310043522685 77.9275185531298 32.7334504907846 60.8581044656398 110.330351203623 354.416066266497 2546.46692195742 32.8161600455975 94.3106475669183 437.174494514877 1327.77320691393 242.005111345606 240.143112330962 134.273711582288 115.01198254361 1169.80488806202 2039.60628315353 1511.20011312615 73.1631384980829 69.3197720625334 433.34113003798 28.5951803281457 48.329545513007 52.998666575609 81.1044558071749 19.3824292684537 335.186885071812 43.3473477359405 430.421543300818 47.9974046766401 354.050146466683 37.7103120763283 1142.39822304668 87.1310428690854 103.707999066428 58.6250618123493 158.211087900695 917.937963959016 217.851724701138 133.264475170655 245.339052435817 2925.78918228883 16.9230208094127 55.5861439492297 260.198984894561 866.184035385637 3.62056816465472 373.741761165586 20.908076812194 3334.23415640182 27.0394060207762 259.240346060828 34.972670087994 47.9227915689731 3114.91019688446 1076.66723611209 547.897580110921 185.607242587263 27.9933276121975 81.3480760022886 71.8244200050355 48.2758192039541 935.717530759375 1058.04119984964 1480.72183267465 164.707743953249 1127.68038635971 28.6859420784166 9.64306579904204 88.324095900578 58.7813812507891 15.7054260327912 568.7163151477 1525.39089922169 0.0810394536543504 44.7892987925886 399.377109993101 55.0237227964028 29.3730751756199 152.956055203134 340.300259291463 773.294151000121 188.804288508692 448.997087438559 244.069887046203 2130.96717779172 0.129437814922455 0.0260781748304125 238.041441732827 41.3015261713086 42.4195491916569 32.889493650273 22.2868226422165 637.24590398669 8.83468988544529 27.9815619232054 310.619692816015 181.984315559075 87.5820761798112 1406.11924910782 30.2318683582665 65.2541229159387 40.5167950120352 1238.15432415769 20.6751808789742 90.6312370563009
X103 138.38109605234 77.1386981982474 509.856225952143 124.663514367838 17.4133544662224 91.0309996358255 102.842203097253 24.1780656398484 5.23708482119036 1194.69479999114 105.552717859697 512.215907064658 48.7105411408968 252.986042700783 18.4507476633204 41.9302311827509 63.1935067902045 2255.66366145524 285.919819376382 5240.8235788106 5.77753345868146 81.2794348182219 428.246033040439 38.7957037517263 16.3787749161132 21.0310047570428 77.9275195914783 30.4538671039439 61.7032942262357 108.753598114866 354.415967698159 2452.07459184068 31.1687214584969 96.3460328528277 421.351991672572 1307.27982775953 240.797055884976 240.143108906712 134.520574626234 112.069769959761 1112.17694013781 1923.47096876087 1504.90229982974 73.1631357687663 69.3587370392448 424.863510916044 28.5951818970336 48.3295296603875 53.4602294742188 75.5761023701511 19.3824258042486 335.186876918202 43.3473465262218 429.369894358923 47.9973921649677 353.764223394414 37.7103088367659 1142.39815842396 86.7852237703675 103.707980909627 57.8414848691965 153.357267543016 917.937962652895 217.851718688077 133.081142408844 250.963893415362 2925.78927469323 15.7063716017284 52.8392389844217 260.198937097599 866.184020312033 3.39118210241181 373.741657827252 21.7179823723287 3364.55312302824 26.3430843098756 259.240244180037 32.8659377304901 47.9227901521936 2997.65982465024 1076.66719430668 542.950247497034 185.607224824296 26.8213993390072 81.3480691661158 71.5485680949591 48.245457301737 935.717520751059 1058.04118890051 1473.0297542109 164.22885594382 1127.68037002093 28.9574021876475 9.01234710044455 86.7100651784775 55.443360664002 15.7054266073262 571.858578726187 1578.27830987689 0.081099513264063 43.0396472966897 389.350190343399 53.1829707558233 29.3730744810901 152.956056002518 339.758307287218 747.953882941955 188.804264440252 434.996703807257 233.803564960978 2129.5409794988 0.129437814661916 0.0260780880068988 230.92291872219 36.9893094183542 42.039494869227 32.8894829064267 22.2868194124254 635.982748783724 9.0227134809976 24.6990641157683 302.578862100685 176.949787520828 87.5464346058881 1406.11908314042 29.6192371583919 64.7540187283184 40.5167942285427 1224.5486229133 20.6751508263716 86.1380250405243
X104 153.80140967164 77.1387445358196 531.24176017183 124.663519625136 17.9802279650094 91.0310048814147 110.405555304957 26.7419574189924 5.76841681960301 1231.88982711745 105.552727033575 530.8841073787 50.8311667682412 265.540487389351 19.927650736481 41.9302326001987 65.9176936778933 2294.79202391025 310.781842960368 5087.56677324589 5.77753190738499 80.7563506630839 428.246121334082 39.2905507539002 16.1626087706834 21.0310101202618 77.9275288176665 31.6591351242651 65.4800455286512 110.999385757001 354.416482625989 2558.78907570677 32.4765802456594 97.9900600832657 454.173884458798 1355.98433859545 252.152770513202 240.143122404999 135.433966921914 132.802107466996 1196.80381121773 2086.80433690642 1562.44167888505 73.1631419689758 69.4412825624533 450.505941261058 28.5951823921107 48.3295105592928 54.6071805469047 78.4620127205074 19.382425489325 335.18688836026 43.3473483714517 450.019861759918 47.9974167568854 354.189266110944 37.7103135496327 1142.39822911956 87.1079075931757 103.708010029021 58.1202651572506 162.674209105619 917.937986703476 217.851734892518 135.134145745257 251.21647864664 2925.79150039497 16.7934567629388 64.5454350752119 260.199043878023 866.184086713334 3.35295108125862 373.741873094958 22.2579193448426 3463.86195537823 26.5843484729221 259.240430872564 36.7729930297098 47.9228103688628 3185.14908869799 1076.66730649196 553.295324599838 185.607260516258 29.6747897051015 81.348097531107 72.375761561934 48.2682287393398 935.717566847983 1058.04126728827 1505.41652258839 164.532540957922 1127.68037125269 29.1158569578183 9.64306579904204 86.5254500972804 61.7786667299387 15.7054262095712 566.23677154886 1560.63380852844 0.0814812612927689 44.7289659880924 406.237635819528 57.2848996654172 29.373074512118 152.95605723484 340.093697893898 762.810357833038 188.804261894968 447.159198596842 256.475226752079 2136.34959527414 0.129437814922455 0.0260781748304125 252.152835462871 40.6592809691747 42.7144893245674 32.889493650273 22.2868223346174 637.24590398669 9.00390127612638 24.8650829211234 312.973989640337 182.407877426538 88.241445527737 1406.11938183206 31.9166032145285 68.0268169711895 40.5167958477615 1255.7003004039 20.6751774623398 90.5743402725953
X105 143.199492027279 77.1387113449805 521.474204709188 124.663516932906 17.9701225464267 91.0310139921699 99.9327179253361 25.4491786840758 6.16320981382423 1230.41986676463 105.552722634843 522.822746735283 50.5496437215406 264.181973427836 19.6686154647207 41.9302325116079 63.571261802411 2328.00861220494 293.933353984342 5283.55469516371 5.7775335453616 79.3931620544564 428.246128159489 39.2238460358787 17.1422969652296 21.0310061737386 77.9275215504628 31.8972434668436 67.9996523300276 109.051539436766 354.416202053546 2637.75934214229 31.1526046415076 95.5036621839294 435.73607992772 1330.30098282616 244.240009402825 240.143114789508 134.96492745797 117.475228753008 1198.54324242492 2065.71684521597 1540.79998431618 73.1631470677974 69.3566388971011 437.362295400326 28.5951815557682 48.3295502365783 53.736606547149 88.7092668115905 19.3824314729431 335.186883045983 43.3473469462818 442.459703527987 47.9974176197603 353.989589407495 37.7103147152907 1142.39830768064 87.1309598208536 103.708004547717 59.0008913766027 161.642068871335 917.937985037045 217.851726699941 136.401983197703 249.540669538201 2925.78981004762 16.3630475720975 53.5772142826806 260.198988962357 866.184056885146 3.047103168588 373.741841125748 21.9429557777596 3450.24673195329 26.9109499233445 259.240366863715 34.8319487869153 47.9228112399167 3153.97532593075 1076.66729206874 550.60826098518 185.607282263463 27.9933274285746 81.348097252127 72.0055996100223 48.2492525116698 935.71755083731 1058.04122320062 1492.32052645718 165.554558172251 1127.68038463343 28.8215995481277 9.72190575580331 89.6559517217311 62.2667010749782 15.7054271376665 568.529133484912 1589.16110699739 0.0871205445849384 45.9356219718873 397.05508520946 53.004650378511 29.3730738964895 152.956056315817 340.110142022555 779.554829979254 188.80429677932 446.802596510036 250.080359234846 2132.29339894835 0.129437814982151 0.0260781944205482 245.926954839205 40.7510306648063 41.4446811992432 32.8894867203003 22.2868195662239 637.474191733947 9.41304679433935 27.0688450083516 305.367798145852 182.244777191829 88.5978612761377 1406.11932373906 31.5337084924954 67.0749214069683 40.5167934450493 1254.8583628694 20.6751851444353 90.4838664574012
X106 165.459638808916 77.138717785601 531.230712516341 124.663519084335 17.8060941497296 91.0310020745656 96.0346530790637 27.9653859454348 5.2330169527294 1207.68331601204 105.552719941621 524.705225384347 51.2664760294998 262.351265907772 25.5379741721629 41.930233220332 65.3459839622172 2276.98722796318 344.793525966965 5508.84391511761 5.77753203612402 80.4551811203619 428.246133841196 39.8693159756872 16.0108887248464 21.0310060725457 77.9275236293563 31.8505341030819 62.0249480290617 108.897146847524 354.416034773553 2594.2830638191 32.3411339412908 95.1357209322947 429.197853026212 1339.2919350987 241.340678212084 240.143117549518 134.792123471217 117.954193654791 1170.7880469119 2027.29166390786 1541.94504723816 73.1631380434759 69.4376458970477 445.794132492364 28.5951828170801 48.3295086832118 54.4436456554108 78.2128956617724 19.3824280087418 335.186885762527 43.3473466814855 445.097938705173 47.997419776947 353.982545374874 37.7103137944754 1142.39828070575 87.4162948904065 103.708011399337 58.9648344726671 161.189288459241 917.937987829434 217.851719676152 137.890630858998 246.400674713241 2925.78946653162 15.8879794016933 55.52121141379 260.198964894393 866.184033706394 3.20002721624291 373.741780073363 19.7382129744336 3365.34099637283 25.8188118084946 259.240288452865 34.9605432827521 47.9227965976949 3085.05042699128 1076.66725488692 546.317167040016 185.60724706951 29.3690691409506 81.3480679490132 71.7911890045618 48.3175666931983 935.717551666372 1058.04123057355 1489.32862553567 165.12239078378 1127.68040251157 28.988788667895 10.3526242785629 91.8480512945001 59.9960302574406 15.7054287286866 577.424195230266 1530.92325005097 0.0809352376470802 44.6083002729719 404.443343791766 58.7766018599425 29.373072110138 152.956056628387 340.038640000321 761.045512387714 188.804297184091 436.694207880591 248.267271123987 2131.75474913207 0.129437814982151 0.0260781944205482 256.548433990851 39.4665402605387 42.2803449091562 32.8894979843292 22.2868226422142 637.376492027133 9.34536223806692 25.640458799064 302.542641956666 180.822819493917 87.8493879622761 1406.11922962551 32.0697604922151 66.9758966192808 40.5167940196111 1255.66662281165 20.6751771722885 89.0045500810567
X107 141.55007528167 77.1387140520826 532.309558987785 124.663518820795 18.2608345158242 91.0310020285492 105.75341608371 25.8190703755173 5.54714910822197 1219.06532304552 105.552716997866 538.813508622394 51.7733700930861 264.222799203245 19.3974184225853 41.9302328659706 66.5593591622508 2277.72311628779 259.462865304662 5363.16798093318 5.7775320788071 80.4868832765013 428.246138370545 39.7887344283548 16.6955692234205 21.0310056677785 77.9275234894036 30.0801921938501 58.8850374804971 111.378272131965 354.415996736984 2542.51455049158 32.5836372915722 95.4261797237408 437.959088002403 1353.36518791101 250.159479521746 240.143118221747 134.5946334777 121.443797323237 1180.01457058789 2092.787406945 1518.58580174748 73.1631399338378 69.3992405392181 456.63346853069 28.595184190328 48.3295137723356 54.4500842257854 73.3740664645948 19.3824280087403 335.186888785211 43.3473474794886 443.261010189823 47.9974275428292 354.186865351663 37.7103160191245 1142.39826053309 87.6566524962996 103.708003519976 58.9953057951363 168.10497239407 917.937970444561 217.851725941401 133.816605241507 252.574147171752 2925.78928096177 15.9654996946761 53.0928038276099 260.198966250345 866.184038148988 3.04710299518826 373.74183140756 22.8428511495359 3321.53295633658 26.6464560084451 259.240334325844 34.1518826888585 47.922795936775 3015.57790929655 1076.6672042661 549.454642529703 185.607254871964 29.623836160514 81.3481116257297 71.7527686715882 48.3972665940227 935.717553474648 1058.04126127698 1504.07647992725 164.92382782528 1127.68039625709 29.6500428266836 9.64306562320411 90.1387337410137 64.616870766854 15.7054261211812 567.14624222645 1568.13171418211 0.081099513264063 44.3669689956051 411.620512641493 58.0028477660909 29.3730751445921 152.956056523468 340.123762067524 757.280843759567 188.804267678424 441.31444670066 250.980189169114 2132.81572554099 0.129437814661916 0.0260780880068988 265.82206450617 42.7695162375585 41.670819703089 32.8894918399668 22.2868226422152 637.508124851404 8.68429069963542 24.5692108240149 309.207113159929 179.733194078443 88.6691445766806 1406.11944614982 33.9842320132525 67.2296384205067 40.5167963178584 1257.24947307658 20.6751832843978 91.1449420066136
