Pseudomonadaceae CCD24 Steroidobacteraceae PLTA13 Woeseiaceae Erwiniaceae Enterobacteriaceae KI89A_clade Moraxellaceae Xanthomonadaceae Rhodanobacteraceae SC.I.84 A21b Nitrosomonadaceae Methylophilaceae TRA3.20 Sutterellaceae Comamonadaceae Burkholderiaceae Oxalobacteraceae X0319.6G20 Haliangiaceae Myxococcaceae Sandaracinaceae mle1.27 BIrii41 Polyangiaceae Bacteriovoracaceae Oligoflexales Geminicoccaceae Inquilinaceae Sphingomonadaceae Reyranellaceae Dongiaceae Azospirillaceae Methyloligellaceae Hyphomicrobiaceae Rhizobiales_Incertae_Sedis Devosiaceae Caulobacteraceae Beijerinckiaceae Xanthobacteraceae Rhizobiaceae Rhodobacteraceae Geobacteraceae bacteriap25 RCP2.54 WD2101_soil_group Gemmataceae Isosphaeraceae Pirellulaceae Rokubacteriales WX65 Nitrospiraceae Thermoanaerobaculaceae Subgroup_7 Subgroup_25 Vicinamibacteraceae Subgroup_11 AKAU4049 Subgroup_5 Rubrobacteriaceae MB.A2.108 Streptosporangiaceae Glycomycetaceae Propionibacteriaceae Nocardioidaceae Catenulisporaceae Actinospicaceae Micromonosporaceae Pseudonocardiaceae Nakamurellaceae Geodermatophilaceae Sporichthyaceae Streptomycetaceae Thermomonosporaceae Microbacteriaceae Cellulomonadaceae Promicromonosporaceae Micrococcaceae Intrasporangiaceae Mycobacteriaceae Nocardiaceae X0319.7L14 Ilumatobacteraceae Iamiaceae IMCC26256 Solirubrobacteraceae X67.14 Gaiellaceae Blastocatellaceae Pyrinomonadaceae X11.24 Fibrobacteraceae Nostocaceae Entotheonellaceae Microscillaceae Sphingobacteriaceae Chitinophagaceae Bacteroidaceae Hymenobacteraceae Bryobacteraceae Solibacteraceae Opitutaceae Pedosphaeraceae Xiphinematobacteraceae Chthoniobacteraceae Rubritaleaceae Alicyclobacillaceae Planococcaceae Bacillaceae Lactobacillaceae Enterococcaceae Clostridiaceae Gracilibacteraceae S085 Anaerolineaceae Gitt.GS.136 KD4.96 Herpetosiphonaceae AKYG1722 Roseiflexaceae JG30.KF.CM45 TK10 Gemmatimonadaceae S0134_terrestrial_group Thermoactinomycetaceae Desulfitobacteriaceae Paenibacillaceae Limnochordia Lachnospiraceae
X1 156.035753463156 84.2687415031587 628.031778530773 110.476154030028 31.1142424203 61.1770873531444 65.9819039668712 26.7020185370169 9.27222938263351 1236.4488731016 236.527415633956 461.994960439964 49.7716772567596 251.795899553602 63.731024768473 36.9007251829377 69.9508932405234 3544.37870416362 596.140309972506 3946.30944105998 6.27374632792688 89.4492435439907 621.66878581719 33.8515571376495 28.486987537031 57.5189088896323 87.9145028416572 6.74152893515566 103.051293638106 117.505067207081 155.136841684866 3128.32043463294 50.3618213579633 95.7960694137703 425.667173566126 1441.70496080212 327.534259161264 330.251230537474 235.459097057148 220.282918700034 1194.40014535952 2532.63386117285 1884.41880098817 76.1563907241069 70.7343601342177 459.540571238574 32.2799928925718 42.9173097603171 63.0820011491252 96.4754492545426 34.4496201623307 438.693798414933 53.3360357035068 526.130070885214 46.0423661637724 403.633922232646 53.1333735240819 1297.1910773684 105.888570680493 169.947583958133 71.0675645556548 183.571804833012 1132.3342501469 205.554190885904 49.6470630054491 293.407675217638 2738.23984527776 14.4851697550478 109.500060168177 236.13165234526 715.704935732574 0.78405350681564 353.420363816935 32.2518917958436 2211.49638940984 23.4061002390199 307.785858589922 21.3916830985824 30.4646003496606 2243.19611789982 807.222380346913 595.876124130859 128.261148534167 34.5167382899444 91.7635544088684 73.0001906238497 61.055468984882 1014.85864484618 1164.33153227679 1629.73455708633 201.062016191732 1335.15252407194 30.469132706134 17.7717467293405 162.754523681617 69.4677207577894 33.8660425823582 513.647648158536 2240.74386443526 0.0111153185324388 40.6286861624518 472.284882420887 70.6574671167448 346.514097515708 229.708255765614 444.06412324148 1312.98967250135 792.959077977429 950.687153411212 239.251698349364 2527.84895725796 0.0681992063014815 0.375425708398144 279.610671182712 48.3712091261598 78.6564003914603 31.0143522578904 18.9130448518938 746.658496863252 21.2997395583274 26.4987160014133 399.839162912456 179.346261847268 107.992065573904 1446.07129315192 37.6892421279891 51.8733944565296 40.1736984812702 1426.8867093464 23.38937495129 95.7093768892412
X10 177.219455947007 84.2687118615906 597.081163711623 110.476152315785 29.259970071197 74.6071672001867 65.9819417622021 24.935646678369 13.937936173044 1236.44870740307 236.527363059683 452.450039126107 49.6581700027325 251.795898703586 74.4463610937164 36.6560728137584 69.9508927070969 3544.37869819017 575.602342763137 3873.02674442024 6.27374628933371 92.9433490545927 611.11932758222 32.8086571495414 29.1211625985978 57.5189107196934 86.2637877611325 6.74152289537668 132.08047169732 126.041223713071 155.136782405512 3125.68871670457 49.8916282885121 94.6731806639543 425.66715470741 1376.58879546481 316.026402867825 314.781735965352 253.089444509207 215.736636468381 1184.21113710918 2532.63300989005 1924.14325254163 75.501697315032 65.7717520357335 443.502196595504 32.009734235737 44.9089012981256 63.082018486952 96.4754541271582 34.4496323238777 415.705187611269 50.349546745038 510.198725865814 41.7822204536599 380.549025129271 50.3071175849718 1290.53962720858 100.081321975179 170.74489425547 66.8912527728316 181.026513399859 1018.49431301439 186.512486769376 49.4070461024568 284.602344275143 2680.99673448015 10.8338139522471 44.3801255661148 233.370737261155 672.535709334748 0.700840848575876 330.696393207521 28.7298616824805 2113.85398196211 21.5004925625559 308.049510613945 21.3916852797861 31.5007956101737 2234.15490810772 804.543527720689 543.138193433172 122.816345600089 34.8238821600227 82.3894324993864 65.3334120694073 59.4532933484357 968.78119673573 1097.94767755692 1544.76459746898 201.062021296238 1335.15245247432 30.4691271805834 17.7717469720367 162.754528893037 69.6777935136027 33.8660543450889 625.86971228827 2061.24896648416 0.011115321163446 39.5090813572543 472.284872635909 70.5640467139022 346.514282962278 229.708245937823 444.064125665849 1315.62435387493 815.984502520732 950.687544764108 228.84342404863 2490.46691244078 0.0653678843679149 0.375425764283668 272.172020448192 44.649356996721 77.7716285388891 25.6294612732173 15.4221995574805 689.549037855962 21.299741737313 24.4021212622197 399.83910453959 179.346254561383 99.1749210263566 1429.64074424579 34.7338791919606 51.873383690187 38.4131508624683 1363.46111083308 19.7171033886111 95.1774042277427
X100 174.943021044874 84.2687711447392 658.666575406044 110.476156561849 30.8861594632447 65.168880357615 65.9819124472635 27.3644078039107 7.90145212103436 1236.44894834457 236.527421575204 462.866162485358 49.7638491637938 251.795872919183 68.2093649621449 36.7717819003505 69.9509156446587 3544.378919817 620.048734795694 3831.89656035646 6.27374838889118 92.2895116902731 615.027599438267 33.5574058176051 29.6021818071663 57.5189121301905 90.1454506186351 6.74152753023205 100.641325159661 133.046795969138 155.137090295187 3218.65996356156 55.7220270567961 99.5390347338579 425.667168708869 1490.81142281218 353.458838115771 357.34555377663 355.946101621111 238.52868443302 1217.25477239883 2532.63378281183 2001.26873135233 79.6169195430077 68.8399639351485 464.131735581771 33.4290510543961 44.8067676041131 63.0820181382129 96.4754523128879 34.4496195832095 433.84897201751 51.1694169134861 528.013581648574 43.8171441587243 412.429274941656 53.3427096637125 1274.50799542986 105.534470205292 213.666887428824 68.1905494185134 193.330611325346 1238.44660777252 205.337258275825 66.6084925870585 302.069264293462 3109.53149836557 13.3041930132208 68.1651440968614 235.575995502287 794.370415684293 0.70084082679479 426.168665148611 33.7626442713805 2327.27602563431 22.4570304100535 321.590406554072 21.3916834021609 40.2590184506624 2257.15417485019 812.1672520853 648.463675496147 175.986574810719 37.997703767789 94.4068070857765 79.6934116955762 62.5494739710821 1181.73379193102 1299.21404808725 1792.95224264793 201.062018910436 1335.15245853919 30.4690995346711 17.7717482396872 162.754516594081 70.138674749147 33.8660600075393 645.873990295185 2192.62397051133 0.0111153185324388 42.6662397529053 472.284896039429 72.2222672071843 346.514303106692 229.70827645449 444.064113956065 1316.63393813995 801.329852794394 950.687165052717 232.63409155941 2458.70188051608 0.0681992063014815 0.375425708398144 276.742627915439 46.0243678996524 80.5321183724414 27.8573908155171 17.7547663926703 735.512781474269 21.2997414104661 23.3489022915938 399.839113024374 179.346258305518 113.641503742189 1474.71556485779 40.5116827052338 51.8733864633337 40.2803983875225 1447.05383275098 20.8410934107302 97.7554281427718
X101 172.452023007194 84.2687579119038 650.876295865947 110.476154859521 31.0690848358344 64.0065791490844 65.9819078929893 25.5980364255272 7.25524037758339 1236.4489784642 236.527480008254 466.675882612157 49.7755914261489 251.795894170069 78.9044919474334 36.5994848380366 69.9509124440741 3544.37910242423 588.093806615508 3901.45182159751 6.27374830719122 91.8723040845423 613.080897082075 33.9852621537009 29.4580697213753 57.518910172663 87.0730310198153 6.74152500734279 109.404837290564 129.999486860983 155.137245147259 3234.81533955414 54.3114463364788 96.4911920852478 425.667165461733 1491.68503357824 352.177006138266 348.965477169774 308.988882368648 236.407084785155 1212.26584123639 2532.63373199144 1990.0957169068 84.9480050589806 69.5795854667877 460.549688571977 31.3291044288309 44.5003702382161 63.0820480323842 96.4754537124685 34.4496334820732 438.659279565922 51.4819313043936 533.428690278825 40.6895613603679 403.223565279429 54.3134554804201 1307.42404018085 104.967910156101 205.693770266902 73.2949329295771 197.263357744414 1239.77244207929 202.994379475925 57.0076825285197 285.721674796326 3024.62362151318 14.7476059118714 103.109804645108 235.758251573725 796.367384314407 0.700840888666005 400.604194572999 32.5625400525138 2276.90197582799 21.965854374317 315.898976003326 21.3916842534861 35.5478417135229 2313.7276108405 809.69022972159 623.90430833087 137.43549883371 34.0048330017662 100.522072375214 84.4395133236669 62.9178031540718 1158.3837333562 1275.02585362036 1783.00327806756 201.062025457517 1335.15249181544 30.4691131646384 17.7717501318055 162.754523056244 70.20937929537 33.8660562600722 692.951898082765 2215.29731564284 0.0111153211580809 41.6975815086801 472.284889409906 72.2689783081892 346.514482035989 229.708309945568 444.064133691954 1319.17120583907 847.195190458732 950.687148683816 233.597824120254 2510.27166796177 0.0708145037852891 0.375425742826697 277.763868452529 47.127884766173 78.7979650530113 29.424894287264 17.5207009688535 757.113779643118 21.2997409201934 23.623860113455 399.839100407632 179.346247275503 103.397724074374 1477.09499842025 40.0232185281748 51.8733897258673 39.7468996316728 1510.47944068016 18.5223589933114 96.5687200758015
X102 172.718322550599 84.2687261530675 620.767870071006 110.476153292203 34.3762877131367 65.4037067006491 65.9819149076347 23.0588775691008 6.74119890448371 1236.44878597146 236.527401357447 453.208550993774 49.66991217111 251.795849118232 64.0205965978767 36.0514758870408 69.9508953742567 3544.37875059948 583.819180722337 3804.76745435763 6.27374648869332 88.4340847495688 601.618027441743 33.1562902517575 29.2749781247859 57.5189104187813 87.4362085649048 6.74151826370945 95.8213785938732 131.574662073354 155.137027386395 3164.79139847071 52.5247111035345 96.9189595504007 425.667155747218 1428.76006000097 328.176959245884 335.906901706968 286.218660123839 226.223401585349 1193.48077029382 2532.63289697644 1933.27244836615 76.3434469146868 70.6900935834835 440.709299803161 31.9674700742888 42.968377391895 63.0820042726129 96.4754510688141 34.449620741407 419.818288020388 49.3153125143729 501.722925762266 42.676366722018 382.951349889151 54.4530129068406 1272.97304355239 104.967910156101 192.139457336779 72.7380912901304 185.396649049736 1158.44812656875 192.003127231899 61.1680331806126 287.68496832018 2903.91471563274 12.7490298872412 76.9554108477717 232.72066083214 733.112683405727 0.74244722867643 387.348538798897 32.0432188890479 2170.74993810932 21.5862264427304 314.037688637374 21.3916847594504 34.6707296447765 2223.43853713737 812.332387533566 613.948412684043 134.342184167637 34.1072143393499 84.4108179635841 77.9896821090941 60.0913072342338 1083.97485247322 1178.68119947002 1686.60535339897 201.062012918189 1335.15244630212 30.4690986898182 17.7717485135769 162.754518365962 69.5994211214085 33.8660456907001 648.545056362687 2114.73453290638 0.0111153211580809 39.4336330748429 472.284881989547 70.8676647943628 346.514372426963 229.708240407956 444.064104147454 1314.18082020761 835.39262984423 950.686880929203 228.522183960969 2425.7262926177 0.0708145037852891 0.375425742826697 273.137992214991 45.0100036593249 78.7979650530113 27.4159188239355 17.5207009688535 712.530918087187 21.2997409201934 22.9239015112729 399.839091300274 179.346246162381 102.660840835033 1444.2071309061 40.4413578729518 51.873381569545 39.0533502410328 1432.13016625339 21.0206742291544 93.7860903709997
X103 179.907813224165 84.2687557946359 639.506653535783 110.476153533827 30.6676803786339 65.4035319270277 65.9819096728109 26.9228142802723 6.33453254552337 1236.44885791614 236.527650832057 460.842400787403 49.9204110487988 251.795879436138 71.0343947529233 36.4771801930287 69.950912444074 3544.37894573983 633.691450979077 3935.54219770114 6.27374646562524 87.989093758327 613.518805533339 33.2097723159284 29.3984692980808 57.5189149736902 87.5345210535745 6.74151783969057 115.8679425569 132.949243570672 155.137124773883 3235.92493907634 57.602799956258 99.218208021597 425.667164304233 1480.58209727248 355.614373762376 338.380862672873 381.564063640939 233.012521352879 1207.21237905358 2532.63387840099 2061.14685648967 81.3004189807301 70.5335002669524 452.787333856352 32.445618794405 47.1558244367191 63.0820524772713 96.47545552674 34.4496213205411 429.582774708844 49.5269638065928 513.730293246675 42.7950887888807 397.70009403898 53.4161314404674 1284.86886049063 104.826267733232 197.587747086948 68.7473911879241 186.280253748874 1074.96843869959 197.767402222941 61.4880624251648 289.023629949778 2830.30406456914 11.1911349897947 72.8174284151336 235.293011743998 693.675360372937 0.811791077885167 380.089477787089 32.8126347144009 2186.02985397347 21.0854540833426 318.627113474793 21.3916835366663 35.4603016667121 2205.74899311312 804.727009066734 622.12731978277 122.694940675905 35.2334074269459 90.3017842460603 75.9208686477354 61.1450243530441 1102.03221298798 1206.40826334449 1668.99283034609 201.062025568486 1335.1524611154 30.46910374867 17.7717485447971 162.754521336474 69.8398675695075 33.8660562755315 820.985874220856 2384.69133896046 0.0111153211350991 41.4256730562956 472.284886851352 72.2923328355976 346.514496551749 229.708294562208 444.064112747434 1321.53576412379 854.499335362507 950.686998694732 233.533570279338 2460.34823083121 0.048120492314257 0.375425740994526 276.723509722656 46.1728258912147 78.4440543462132 26.8934487545946 17.0031391319463 713.813151602997 21.2997416283642 23.5760716653186 399.839131863682 179.346248894585 104.496477049475 1463.58672331268 40.690002435577 51.8733773282537 37.559551217942 1482.24545998697 20.1798331230705 95.0546404168116
X104 177.644864103582 84.2687240358118 615.293610835563 110.476153593611 32.893748492277 60.3474355616531 65.9819124996221 24.7148507363354 5.7987895371343 1236.44882059246 236.527508865745 455.495456362934 49.8343021233927 251.795828434055 69.4209480078928 36.7606639412706 69.9509092434833 3544.37889612167 578.306387329074 3848.02259029986 6.27374871130187 91.1996089972648 591.701735451297 32.9691030480928 29.4580697213753 57.51891210059 87.9031511228769 6.74151826370945 123.864648161236 121.598552395006 155.137132637479 3182.45947619778 51.4902854423563 98.5230875447239 425.667146032703 1429.77497892963 333.271308822097 342.036437128285 315.624775708564 230.042282785276 1199.86183425351 2532.6331420897 1983.83677926182 79.6169201217551 67.6198652608541 455.138673453209 31.3291044288309 43.4790416740021 63.0820372211466 96.4754538679776 34.4496149501951 409.590321181383 49.5615191950571 518.282124556805 40.2127280735719 370.93818521343 52.6387663633749 1262.18578841996 102.347566639621 182.438821612279 64.8495013979684 182.664183231882 1094.34112109872 192.509303322084 55.4875544056396 283.065454146407 2832.04820963169 13.0215629815089 65.0670500308005 231.646390935726 746.710429620172 0.700840888666005 360.837227250694 33.1290722308401 2263.60967853613 23.5792730835599 322.219597683541 21.391682836786 39.2024753332997 2152.56936875649 807.52512818122 586.122960748041 125.172715693207 34.9262650400192 85.0401638390384 74.947308894673 61.3430411415906 1111.06093045155 1156.86984026655 1619.92003870494 201.062020020109 1335.15242333077 30.4690974835832 17.7717479741674 162.754515603908 69.196848726594 33.8660599736354 685.108898674492 2218.48641023279 0.0111153211580809 39.1506395206132 472.284886616359 72.1755574072675 346.51440975328 229.708279486945 444.064106328119 1316.42140151153 799.242940260717 950.686737350643 228.136692303302 2438.84874205541 0.0708145037852891 0.375425742826697 273.168831389907 45.4106838687286 78.2671014734883 26.9375913326668 17.3759161614505 676.923809632119 21.2997439707748 24.0438352747642 399.839117003262 179.346244644488 100.081749497337 1440.35253138025 38.9778701662323 51.8733794489012 37.452851647248 1418.71902918935 21.1206068385881 95.0546421481888
X105 178.817253207434 84.268751030822 621.294233406854 110.476151170438 32.3390899914439 93.2355345543827 65.981909777513 21.6237003438998 6.48433481309862 1236.44885027238 236.527474528812 448.348129495711 49.5133502828644 251.795851101645 64.4359536019792 35.3344041672391 69.9508761707113 3544.37864348785 617.346275623352 3811.12925411418 6.27374871399759 92.9433490545927 593.561122498219 32.4075417131172 28.8548475490132 57.5189095301214 90.0512107313508 6.74151839962112 122.002421696549 126.566282117194 155.137100578331 3172.02014377173 49.1393187167461 95.6891283936924 425.667146004823 1425.69525747487 333.34719142695 326.507803727872 294.075844549864 237.255728944162 1199.83823252068 2532.63308448973 1944.79281847271 77.5593090451892 66.0983720700558 433.418032055982 30.2223104284548 40.87465346948 63.0819958348351 96.4754478031223 34.4495952601216 417.320129743743 50.3987880811748 498.740702055374 41.6232760247279 367.999558459099 50.0280027321309 1216.05213821115 93.140952661258 184.830748869127 64.2926584554135 169.78436832069 1045.84663534827 199.311510764064 61.9681048020449 285.122039619692 2858.0364631048 14.1042110834602 67.9739493413345 234.926576421479 857.565781897242 0.700840848575876 381.825351193341 31.0432014106465 2321.93433676467 24.7273299810417 322.47448770008 21.3916833571217 41.4413990559665 2222.82663000307 810.616821024607 579.387864762642 136.846737121205 33.1857807586841 85.9137694019304 76.0425657841697 60.4627561769493 1098.45190337908 1183.05212205638 1680.15191984174 201.062006482075 1335.15238146708 30.4691048652356 17.7717469180958 162.754511538996 69.4338102440181 33.8660580586521 582.898912713369 2160.32350507864 0.011115321163446 40.0184697548677 472.284878092056 70.0268765336021 346.514127139717 229.7081068626 444.06407649536 1308.65464049079 781.805770996615 950.686851609503 230.835130946577 2436.86340126902 0.0653678843679149 0.375425764283668 274.299923517459 45.6224375052728 77.9131921600952 28.7864227155906 16.0737311907937 659.860008368495 21.299740429921 23.0721999180737 399.839079241374 179.346246061183 102.613709476617 1430.66627989945 37.5563197692053 51.8733843426928 39.2667501124868 1399.45942611024 21.1161599206831 95.6684565285901
X106 198.922868734471 84.2687632050426 673.826067223901 110.476155932672 33.8216292123036 66.7566409580612 65.9819167398103 28.0267965905402 6.65568197079851 1236.44900768251 236.527668326664 461.089459409598 49.8147318620493 251.795875469305 72.602338661028 36.4948937105243 69.9508911068015 3544.37899765031 623.419192409513 4024.41972021804 6.27374802700949 93.391812446111 671.344880771902 33.1830315568707 29.4540564105785 57.5189099813384 94.6687538046307 6.74153272984197 98.3409129990871 140.74285902853 155.13717981909 3316.20138357199 58.637227060292 101.196634507536 425.667170898268 1510.40195267505 365.498197641274 358.754490074801 288.220644544055 241.680781763125 1222.66030311122 2532.63461284302 2013.59184959391 82.1421715350848 70.4750805299742 472.360943895599 32.5204267521034 43.2747755953831 63.0820426835314 96.4754539198128 34.449627111787 433.133104790889 51.8760281652798 526.600965430073 44.245859102106 405.218916874055 54.842733943636 1293.39633113693 108.154812809739 211.274947624955 76.0791398237027 194.064278873617 1246.71525248768 203.72247383568 54.5274776742634 297.075032544329 3053.40606262241 14.8309660015075 72.9121915268456 238.779130532757 741.128784683174 0.784053528596727 414.017658073302 33.4509631685335 2303.42450221805 25.3916788613182 334.883070139765 21.3916857857504 42.9763451762728 2245.88776757325 815.203900559289 667.076330267382 149.661897880649 41.0691437526262 95.4798267088357 82.3707020701656 61.6337330580251 1206.17354683309 1335.19638840211 1805.32133109202 201.062018910436 1335.15244689249 30.4691133088807 17.7717468102139 162.754510131912 69.7143910040404 33.8660580586521 819.404007545922 2299.50976673785 0.011115321163446 40.1316671765595 472.284898694466 72.4791751827983 346.514335989347 229.708263753244 444.064123133464 1315.54464940167 857.977503056808 950.687267793303 240.793665436313 2552.98013097984 0.0653678843679149 0.375425764283668 281.177059523932 48.1409988215246 80.496728247107 29.743077698128 17.7387564759275 726.93157000131 21.2997410291423 23.1421957782919 399.83910595629 179.346252132755 111.57912222194 1472.25351882057 38.9152726397305 51.8733874420953 41.5074481437854 1535.083331006 21.2160925301169 98.2874021331094
X107 189.960620987684 84.2687213892299 654.350318001121 110.476152629606 32.4923440350766 64.0729342588708 65.9819253248928 23.7212661569521 7.19126833402283 1236.44890315425 236.527386870896 459.82599840111 49.7560210965161 251.795857618582 70.441673256702 36.6383592962627 69.9509140443693 3544.37885702389 604.240752584052 3850.61591671034 6.27374646562524 91.2778252961277 630.713109993837 33.7178518687325 29.5649162040711 57.5189096821458 87.2751085213678 6.74152795514058 127.260520818641 132.949243570672 155.13717981899 3271.09900207427 51.8664394715422 98.8973824227323 425.667179989126 1473.47766477182 337.048299751288 348.152585808307 280.724507985354 237.55880849565 1212.48652375496 2532.63362074996 1998.70532896061 79.3363350564891 70.0109082120368 467.462662739071 32.6371284880424 41.487450905331 63.0819973914416 96.4754506022857 34.4496114754809 431.466873863398 52.0875132857081 521.578254760674 43.6692831480068 407.889831933564 51.5321061837915 1250.28995174598 102.772484977072 197.986403349599 72.738089603959 189.168860470605 1128.32988896702 201.238323984212 56.1276106234298 297.800706879946 3140.68242718951 11.1911349897947 60.7461697394398 235.959799955566 778.082110948532 0.839528637892117 418.909612554101 31.9156254320508 2287.0885815149 26.7798730571411 316.57194200822 21.3916853581379 39.9189546828397 2284.50749803116 812.011291367809 610.512108194805 148.877639813736 39.0215169175415 88.0361390944248 83.4659542194998 61.7103235370117 1173.48341868942 1274.78620538729 1806.93463049946 201.062012640771 1335.15244345751 30.4691200328427 17.7717483290333 162.754517636364 70.1814441469259 33.8660637026579 785.305750152236 2224.45705300758 0.0111153211350991 42.1048575864468 472.284887855283 72.1522014842149 346.514359984828 229.708258356675 444.064101422042 1314.19852455738 811.300572248918 950.68705932757 234.818542471562 2467.12735600198 0.048120492314257 0.375425740994526 277.432810745745 46.8024662202776 79.5411724105607 27.7544382388783 16.6411771134389 702.766070863474 21.2997419552122 22.7361213427001 399.839095839022 179.346248995778 107.935265499736 1444.84417515946 38.8083753840805 51.8733867895876 39.4267995773575 1416.29896645401 21.6788222645763 96.9779285951305
