Pseudomonadaceae CCD24 Steroidobacteraceae PLTA13 Woeseiaceae Erwiniaceae Enterobacteriaceae KI89A_clade Moraxellaceae Xanthomonadaceae Rhodanobacteraceae SC.I.84 A21b Nitrosomonadaceae Methylophilaceae TRA3.20 Sutterellaceae Comamonadaceae Burkholderiaceae Oxalobacteraceae X0319.6G20 Haliangiaceae Myxococcaceae Sandaracinaceae mle1.27 BIrii41 Polyangiaceae Bacteriovoracaceae Oligoflexales Geminicoccaceae Inquilinaceae Sphingomonadaceae Reyranellaceae Dongiaceae Azospirillaceae Methyloligellaceae Hyphomicrobiaceae Rhizobiales_Incertae_Sedis Devosiaceae Caulobacteraceae Beijerinckiaceae Xanthobacteraceae Rhizobiaceae Rhodobacteraceae Geobacteraceae bacteriap25 RCP2.54 WD2101_soil_group Gemmataceae Isosphaeraceae Pirellulaceae Rokubacteriales WX65 Nitrospiraceae Thermoanaerobaculaceae Subgroup_7 Subgroup_25 Vicinamibacteraceae Subgroup_11 AKAU4049 Subgroup_5 Rubrobacteriaceae MB.A2.108 Streptosporangiaceae Glycomycetaceae Propionibacteriaceae Nocardioidaceae Catenulisporaceae Actinospicaceae Micromonosporaceae Pseudonocardiaceae Nakamurellaceae Geodermatophilaceae Sporichthyaceae Streptomycetaceae Thermomonosporaceae Microbacteriaceae Cellulomonadaceae Promicromonosporaceae Micrococcaceae Intrasporangiaceae Mycobacteriaceae Nocardiaceae X0319.7L14 Ilumatobacteraceae Iamiaceae IMCC26256 Solirubrobacteraceae X67.14 Gaiellaceae Blastocatellaceae Pyrinomonadaceae X11.24 Fibrobacteraceae Nostocaceae Entotheonellaceae Microscillaceae Sphingobacteriaceae Chitinophagaceae Bacteroidaceae Hymenobacteraceae Bryobacteraceae Solibacteraceae Opitutaceae Pedosphaeraceae Xiphinematobacteraceae Chthoniobacteraceae Rubritaleaceae Alicyclobacillaceae Planococcaceae Bacillaceae Lactobacillaceae Enterococcaceae Clostridiaceae Gracilibacteraceae S085 Anaerolineaceae Gitt.GS.136 KD4.96 Herpetosiphonaceae AKYG1722 Roseiflexaceae JG30.KF.CM45 TK10 Gemmatimonadaceae S0134_terrestrial_group Thermoactinomycetaceae Desulfitobacteriaceae Paenibacillaceae Limnochordia Lachnospiraceae
X1 175.781445452673 84.3075813085553 658.783572032099 156.809295524705 36.9721728883384 51.7026070420461 84.0896151760546 33.6289180712673 3.94182911850072 1046.32958614506 157.443753560859 644.542266789593 77.6464766655486 293.847651117223 56.4711837362145 60.5901044060787 53.7703123201159 3206.28764003101 566.786970498503 3423.3213727832 10.010453900066 92.6398785850898 543.6374469225 46.6676756838913 31.4806173635675 51.2498409511703 86.2720165601739 22.5481673295512 79.0131632485652 138.180073609386 95.656339049097 3189.55487865679 46.0844917374431 108.918131050774 434.403721537006 1582.13463864538 320.890623577012 309.088231487757 278.14779997881 256.675176610953 1181.45640602868 3120.33439599896 2018.28112035845 82.5441915596058 90.4246483242537 466.979686172916 35.0885238402919 42.6310262466434 75.2057771835393 80.3017671090667 31.7082815503955 480.37154012849 58.9214564563952 541.237772570481 57.926756405452 459.213805135806 50.7002682231881 1207.67884536204 122.461716095095 132.338187912582 67.3200505701774 175.552852797307 1039.24135341547 222.575625909326 40.1325489155487 294.105191940407 2710.84622545342 58.6355343002326 71.8365423732761 262.078015326896 624.842999970265 0.511987849970312 351.271025004154 19.6306494470577 2159.62693265414 31.7414229947903 270.815446433127 30.7145534731445 27.5499144908744 2448.85690058466 807.883851774725 723.969626499566 127.415802171903 27.2011608884156 94.7189533401272 67.2682516378992 53.0170898688218 1079.68027813308 1225.88474217182 1798.97697342027 184.114125639833 1555.3817721794 37.6572606813379 20.9914076703925 106.989262781146 62.5587631953883 29.8365025987077 380.083602624464 1708.78969001066 2.90022617841631 33.3682909140284 572.743928692073 76.560121641119 335.625776005791 206.258455802282 408.032345135562 1295.64002464802 360.907136464178 471.519008197861 220.097239170167 2304.90543364467 5.06670859084604 0.442990039363049 319.089669482612 44.9183862618286 49.5937443196494 37.1851607557709 33.5421905840474 744.865882529315 14.9521386355898 13.3307061274779 396.923352513556 192.12234041211 133.318146456841 1616.75182707875 34.7233828193846 57.1927584153676 41.9385857093677 1394.86591576427 16.3605725830293 90.7123451642412
X10 175.78149613033 86.8648930240476 672.665196547695 170.665726414188 37.1500038025596 49.5968602096055 83.5540361812949 33.6289313483169 3.96243166125633 1048.93471293808 157.443305773494 657.784916979254 79.5172178802054 309.22139269075 59.197978129231 62.9161493583144 55.7330118728809 3313.1987113972 522.414611585119 3418.42782407021 11.9968581476841 94.7052885220564 580.065738720804 42.6624520906289 32.4712964998598 50.0415808783745 86.6795219977459 22.5481671189196 88.1138628486595 135.779303994102 95.6563469463093 3230.91684487737 47.8572716024624 109.660346123117 447.894169791266 1630.59285266841 328.575433249829 326.733360337961 275.235137228798 265.87988687253 1157.05150976142 3174.64472448488 2072.31305465438 85.7343684321939 92.1277196582685 485.764251705525 35.2112896880302 46.7538904660454 85.7110153074868 93.1464052208077 33.7285667461159 493.879125322433 62.8672221766214 560.964493934642 59.2355993516368 481.437849946604 53.5257933021814 1453.37377413777 126.492113404042 134.671073477352 72.2056253630123 180.55207890623 1083.86805288944 231.120526429562 37.5486482092361 268.430309010819 2765.87495145591 67.7559020853762 70.7235087892253 268.844197924701 628.542170251307 0.511988023410457 354.283449682241 18.6191495810308 2190.99571484466 31.7414260204959 270.083531303992 30.7145551727214 27.5499143203545 2390.21888639536 783.792233258133 738.507029131783 127.135505538439 27.2584163779538 94.718960125481 67.3144750000502 54.6311442496858 1092.66820849844 1240.39642851062 1824.33149845433 203.899655957876 1826.27153745446 41.5075536219784 21.085326726639 124.222586735362 65.2800813553797 30.3732805137769 384.019249017425 1755.65905575739 2.90022500963465 32.4903127484017 613.001555669445 77.8891692305187 359.682633569253 223.347075212661 499.557160172083 1479.16043975451 381.865831918164 474.32834186938 228.408987911686 2352.65993880229 5.06670599120921 0.480308761445019 322.138284652371 46.4397916502871 48.3123037628285 39.9488827531247 36.4310720999581 819.814470468814 15.1239710514055 13.5278842937492 427.971625719024 200.92016547561 143.288447728638 1656.77631962745 35.5365114796987 57.8383391199467 43.3732617641872 1456.24493888146 16.3605730719162 91.8785730266057
X100 175.78141044672 83.5148953300152 654.575418104808 164.432793432022 36.7091322124523 48.459841532095 82.8350000655551 33.6289236403129 4.01000585188156 1033.86839297246 157.44351594448 650.946887178843 79.5372331073968 285.507836927346 65.406039632805 61.83580643723 51.0538485533043 3217.01676222709 546.657653730099 3445.46160756725 11.6344069388457 90.3139373964223 479.03095478754 42.6809093383955 31.6663698773137 44.5678662461701 85.6949816868651 22.5481663159955 74.041081416872 130.877006154631 95.6563232546556 2993.44020204868 46.2438267052311 109.597360044829 402.217275059201 1525.00546838485 309.925823201493 306.02826536546 281.983298300143 258.4193467677 1045.80605027718 3155.82263248703 1986.33070771317 79.4432947157467 89.149428384268 457.959937248465 35.5875779263337 43.0175448600854 81.4569060281309 84.1912668442725 32.0955550557824 484.918484525949 61.456459300411 539.863693485419 59.562191182101 461.362100853733 46.5578352779471 1222.12678829006 123.524315690675 124.334683268242 67.1166674965159 170.00676712955 1033.68940464931 219.352855467841 39.3460363884473 304.365630475014 2708.35740379764 55.8189490901131 62.2366462437255 264.689395989017 623.802608165764 0.51198770763052 346.183832024447 18.3872918049629 2154.99046620636 31.7414219099814 268.140410895608 30.714550627064 27.5499149851425 2262.53632267508 776.035177509798 736.30098030113 134.535842561247 27.2847191580553 94.7189603989032 66.888425833012 53.757703371747 1069.25791484845 1216.57125807706 1801.49335266414 174.834578737301 1580.27025607872 38.3335816782924 20.9700624149264 107.757025725839 62.7101470448563 29.3745296147238 374.287663681601 1732.98978763684 2.90022617841631 31.2032439311418 554.193294876524 73.8220856625436 352.346150417169 200.667724521507 430.707530719163 1333.3225229144 391.047244224982 436.909531659395 211.341811783483 2099.54245426966 5.06670629366975 0.442990039363049 313.45189067232 42.9886114696028 47.8377453956698 37.1851607557709 35.8410787717111 736.649215738556 15.2481509245986 14.2767135574996 428.555246066829 196.468073956217 130.035636633529 1601.81383273111 32.9373599713781 56.5932906466536 42.1712237774641 1332.72810916841 16.3605725290443 85.0883465105421
X101 175.78141297651 83.6840076109329 652.512797320457 163.494369565257 36.6555631376045 46.6736179687694 82.8363790600356 33.6289189277628 4.04198253970999 1039.46941341648 157.443387221426 645.993408884251 78.4338689145413 295.217323519357 59.3047977438169 59.0523102144653 50.7619798277964 3241.47132788559 518.740384381575 3462.29055631841 14.3366081385165 89.9483810631604 488.636844704426 42.1330062655181 34.5145741697736 46.6225632255253 85.6727268239818 22.5481657520317 78.162845206606 128.625903750849 95.6563493498184 3167.97462763688 44.1366906213059 108.353685211189 406.556417792909 1533.70254364803 299.501539515101 297.205373477871 288.773067758118 266.38789735439 1035.91255085467 3176.01707826104 2112.48922099265 82.5616865700205 84.9282130555631 463.633512888433 35.4922265189187 41.5358897545055 75.9486805048397 85.827358531398 30.8234113570381 487.704797876356 59.7726099801808 543.951617679096 59.5051132812897 457.596868112458 47.0209559431647 1223.14791435342 122.584878850907 126.564930661405 63.8886524794803 171.72301515303 1054.92270221744 235.955912695777 39.3186136302585 303.312798429169 2743.71622240454 79.9611029725995 113.714347059083 263.842806630494 624.925573485073 0.511987662978296 349.471336980665 16.7022526294991 2226.32983019467 31.7414235790756 274.86394487645 30.7145516396403 27.5499144950554 2282.58012398402 795.576983596258 739.597676246744 131.298771760517 26.2452612695949 94.7189580610291 67.3698037157681 54.8600805021978 1084.65095918337 1226.74394653262 1805.84146000884 181.405479809553 1672.92378726468 38.4205034579537 21.0298291801668 117.577816953674 63.0152478290919 29.1997903099829 379.266362263749 1680.2316356627 2.90022837434691 30.2095591407459 547.455487979907 73.2371034592489 366.123394365152 203.316022186389 412.372034286435 1306.71728126281 427.402789523202 427.26263039924 224.776959961988 2175.22968695881 5.06670647825211 1.27922801661833 310.964721103798 46.6890495275915 49.6723764928263 36.3341905328643 35.7091062114788 760.402010847036 15.5617196902417 13.2302086865068 410.399034863876 195.7014976273 134.834569177761 1600.77519441373 32.5398135146713 57.2388715604362 42.8031286822643 1346.15560196094 16.3605725158158 88.831010352622
X102 175.781391604455 84.6465548705888 659.009596366099 168.137772836077 37.2693247146719 49.1957689209537 83.9692777792179 33.6289271175358 3.87154070625788 1036.15511232876 157.443304032713 653.398751209321 79.0281066534078 292.768937702145 59.1824024575622 60.2980122456166 52.0353222184894 3251.29260128046 472.500170926506 3275.08323416862 9.92873560468596 90.9926811886845 478.125470984055 41.7205821608116 33.8334816193711 47.9589581665253 86.0500188565299 22.5481659654118 80.3933118226927 132.880117802163 95.6563421393126 3084.77732998315 45.3582587076806 107.547100780748 433.241907963599 1595.09508482353 315.269966721799 315.094406192839 290.646218101094 262.256968035778 1051.19015677037 3179.81117697845 2069.00436334908 82.5616865700205 85.1244007386378 464.643186275498 35.4922265189187 41.9868281368546 83.5350019181791 89.1982583019097 31.4043216151183 489.159820083542 62.3709878952971 555.669458765594 60.0725090201271 471.588332531778 47.7260509125674 1300.20360996956 123.022419860852 130.642187744371 65.8207916792649 175.527887878584 1070.42986946086 221.329492999806 38.4979049063267 310.432286391958 2776.45710039348 67.3535310796837 79.3495014938801 263.989513409264 625.817337888931 0.511987662978296 351.321225336922 18.7107534359598 2202.04155183061 31.7414268335023 269.679339917136 30.7145530626805 27.5499152089982 2267.51676744114 799.753858909691 743.103649386404 133.991224008589 26.9137274267128 94.718966688422 67.2671480928256 56.3413075080482 1087.66367357033 1237.10967522463 1829.67905257574 179.977857209164 1794.44502320504 39.0291923552127 20.9700624648618 138.595327564622 63.9235509259 28.6800707030009 377.384563905677 1624.38525652535 2.90028242686571 29.720677563965 545.056699124448 72.512329229626 385.53097180693 209.142981549451 424.075355877971 1330.02604307707 397.207781748262 432.109199824734 212.795848801264 2076.55230030604 5.06671155988452 0.607735780689084 313.372522470693 44.5914682316938 50.0855527102333 37.5974792659997 36.8257090454869 794.653509491661 15.4489531039526 13.5258360083886 428.15426666762 198.417581092367 137.664319025444 1650.36103676214 33.7575563655849 56.5702344337937 42.628650131192 1267.26015854691 16.360574405289 88.9894328499093
X103 175.781425526176 83.4827004619888 650.011940243946 164.448171393701 37.319517378956 47.2554339626036 82.6194882872753 33.6289226676762 4.1032460490641 1032.03032552844 157.443465796487 646.97279489128 79.6623936713552 293.296377703589 59.1789232015881 58.1032922975724 53.0631492797658 3070.5766494415 552.091618884253 3237.78501723944 10.0595710514385 89.6389131296146 450.459470723943 42.4902630104022 30.4280193554258 47.0529986793525 85.7802498555148 22.5481661408913 75.3640404568805 127.218395582285 95.6563067734927 3044.7404152698 44.8094028263373 108.499399174314 399.922229055093 1518.0181847612 302.229768855486 295.954299460208 289.004830955325 252.432680239891 1014.29135034336 3150.21291689235 2069.96197453495 79.9138516379195 85.2256413560671 462.390562752549 35.2729683956526 40.1830739421356 81.6947071035258 90.7190521920771 30.8493237268898 487.016868091377 58.0187889084466 540.993988267699 58.4934856298496 455.832369528334 48.6593835517425 1281.42430899748 122.181681746745 126.831401097253 62.0673564684818 171.78860404978 1040.35887926404 214.096568185525 37.7903699012967 270.128432184844 2699.86586079937 56.3554395774137 72.8104405715809 262.948513369271 618.352936901237 0.511987686331752 341.191352716261 17.7402298245734 2131.79496823797 31.741418214488 268.425153856869 30.7145539704798 27.5499130934862 2252.36306481565 745.379885125268 719.189087186909 131.483590924324 26.3869816392595 94.7189563286462 66.8399194038543 53.4275416180564 1068.85649710199 1221.28628134401 1792.4399233836 180.63446065443 1668.29939174362 39.0759363320244 20.9529863665481 115.275489195346 61.7672182148374 29.9958085249796 379.040548818207 1624.39058245868 2.90022951991645 30.2931163297158 508.834076263654 73.0359045781183 358.317706968874 206.049617264691 428.648938280835 1373.85164279264 391.972679456899 426.887879026773 209.425101925902 2057.88886975331 5.06670532495243 0.394923540133883 306.032233739102 43.0888303884393 45.5093108179246 36.0543732442432 35.6419058302195 766.16206739308 15.4491705180709 13.8292158292745 418.728769862152 194.832326980764 132.08960988499 1590.88359495202 32.5519951745087 56.6163473145094 42.1710753992316 1287.86532917982 16.3605710460008 85.6910630608759
X104 175.781419977701 80.6265045508493 647.714025298108 155.662958078649 37.4446851652625 50.0665115115887 83.7726589932441 33.6289205657174 4.43399875664985 1040.4246268304 157.443257612492 642.240701624925 74.3282263550996 282.822370319723 56.7834548469708 57.8066081833139 50.7619798277964 3178.25203863794 521.861208686754 3468.01956585822 9.92873560468596 88.666740000017 481.842908031503 41.7205821608116 32.161708995656 47.1852558322622 85.3953062118141 22.5481694861843 80.4397798771945 132.241985694466 95.6563345854493 3118.56735872306 44.8271421483873 106.06128735625 400.587294991571 1499.87980105597 297.517432780483 284.141671955756 279.674908949374 254.54589997437 1112.79340643045 3120.06370323665 2010.6400716577 78.8265153717358 82.2796793340543 449.632708587792 34.5440237554394 44.4347793553206 76.1914427900666 95.421457878239 31.7915951205052 481.702831271711 57.9347329182693 537.882768386741 57.7695498448459 452.08841755367 46.844682200814 1277.16499827352 119.647103498421 124.148778315944 62.1598963533572 172.883823781166 1025.6792479405 211.537228966063 39.147632646106 281.116747721652 2729.29822108831 57.9649137126187 69.1930896466744 264.66436459161 625.387969842629 0.511987662978296 348.739089506314 19.2846108092343 2220.9702451266 31.7414196737636 272.271642396793 30.7145502166001 27.5499126278204 2375.1843829993 815.417141335065 727.629009321696 132.854410837181 24.4069793375208 94.7189544009231 66.9386500994097 53.161025995487 1071.94870393023 1216.40060602354 1778.56934982531 186.912024125341 1672.80693992243 38.8939281558218 20.9401791072093 121.032750204788 60.8958739365397 28.6223240800029 377.051216767961 1661.04961848074 2.90022634229734 31.1873222943076 541.058717698683 73.8813472189137 358.403017404796 202.213624469053 462.842608649934 1534.10720207299 388.368879472325 454.105168755824 216.850994117201 2184.32375147839 5.0667061998065 1.80935346603615 310.553633065547 43.584629209663 44.4043797208874 34.4878454613588 34.132725739938 749.877291586962 15.3643781642358 13.7623378658941 423.241411265613 197.429914377797 129.401449470211 1598.07805654541 31.2408878070301 56.9391376760792 43.7336809546499 1316.43220234914 16.3605726237857 85.3457154123014
X105 175.781444174125 82.7882222772695 651.956649589712 162.279878716139 37.4568845910932 48.3958359466606 83.1514358100152 33.6289225033621 4.0646967613276 1032.30531577744 157.443240049815 646.426723007694 80.2194988443204 294.072005446753 58.1943367819428 59.3866602700521 51.1489792663862 3089.29018433599 524.547174860324 3265.71391352468 10.0635807205654 89.341383331864 456.236628795464 40.6003315670966 31.9140389586215 45.0476839935849 85.5809363735618 22.548166372089 79.2849324933165 133.368582698357 95.6563263448641 2980.28380257125 45.573470397501 109.320731626089 405.642143687674 1532.44058004832 308.943219244138 288.60147481395 271.845627084364 251.008541325529 1007.35561308742 3147.16625195578 1966.08081622008 80.9420733098663 86.6344645321762 466.378522673869 35.8850127041866 41.7935682602063 77.0929541819332 84.1357308342476 30.049468444941 487.877158717788 61.4095955413123 544.170194006112 59.6027377708845 462.764202552314 45.5053380252255 1257.22017060142 121.616656436085 125.610502181872 63.460153195566 168.815013888419 1048.21114055504 219.4689717565 39.3952428380827 292.720326766215 2749.52596782053 67.6217789801324 81.4364363540861 263.76814337923 631.630317353555 0.511987691284275 347.230750324011 17.6148991778004 2194.73891711442 31.7414266713813 266.167499898553 30.7145558842415 27.5499133318183 2265.76927629949 787.446999157386 732.704039107518 138.742966341234 26.9241832993949 94.7189649620498 67.7661597409971 55.1974957519227 1082.61225642304 1227.7918815266 1808.07704874394 175.959042207397 1672.61728239525 37.7201560390334 20.9145646829105 122.687060845977 66.6425360005919 28.871868315829 373.266115542724 1586.01556203002 2.90026036729732 30.8141473422959 516.090485908907 75.2316637219014 364.459883401075 205.078770182523 410.94629669331 1288.67605848356 376.211130462129 433.318908269044 219.745722918547 2138.47435952023 5.06671002867058 0.480308761445019 311.508722520466 46.523694902123 48.8287740345872 36.5477207792986 36.6281196589007 767.467840464764 14.9830128185441 14.6512681169001 417.197820012868 197.413948638887 133.440918258703 1612.7922251594 32.6951114942336 56.4318955087331 42.6171880428738 1316.80182959154 16.3605721001871 86.4922081188376
X106 175.781511238162 87.6575790025878 655.389617267238 163.111533033301 37.0623235772642 48.3357847335133 88.7597526099344 33.6289198826347 3.86016656118507 1032.84081420646 157.443255676424 639.671849940907 78.4367856277207 291.623619629541 58.8552713277179 59.7326886120386 52.0827636862277 3166.29226902014 534.897908805835 3377.96669419531 10.0635807205654 88.2970832063398 487.129812534601 41.9750785827848 34.081151618993 51.7296586985851 86.4575855080117 22.5481674923348 74.7775312066413 128.26352583678 95.6563672043972 3216.15145416749 45.573470397501 107.834918201592 417.463347666795 1548.5466479493 296.412018814973 290.955294908025 281.300576434627 262.666941846944 1064.27701577334 3161.92108030125 2139.21283564449 82.3515718752568 88.4982475213861 457.897266222519 35.2112896880302 41.2137903400433 76.7895013253997 81.0241310460829 30.4851511385011 483.360527282979 58.6844674839952 540.047956750928 59.3023517915 454.83203374766 46.2104329946282 1162.85297580125 120.929091991886 125.157473617098 64.9855262480276 172.426418509284 1027.58277919111 218.601302791485 38.5061417204899 304.446542234337 2711.24960718339 58.7696540340426 73.6452163069146 264.032215581017 621.226399308549 0.511987691284275 347.962997798363 17.2801490433903 2163.94257116769 31.7414242848017 275.985156098105 30.7145532753344 27.5499134965744 2190.25030087982 776.557288518793 728.654035653082 129.588628697792 27.5926494565127 94.7189575111196 67.0886326295767 55.1103647515786 1077.88962305969 1224.4560422715 1799.88181363892 172.797877877963 1548.29171024088 36.7733066432972 20.965793296029 107.235831584047 62.9588623302035 29.276094676815 381.191174913578 1734.21080869739 2.90022500963465 31.6522300453488 560.867877877472 75.4732551317757 361.004908076275 205.314998264809 384.613823112354 1314.31569647924 465.643253490089 441.272252967291 212.464893828568 2124.22246736267 5.06670599120921 0.480308761445019 315.267241727327 45.0973396209127 48.518891871532 34.9929038769782 34.8546916284172 729.70810206678 15.3636000472698 13.5870097581256 398.75306464393 196.475665260045 129.932028447576 1594.18888960609 33.3445743480542 56.4780084140188 42.2391511822171 1327.81049611443 16.3605710744731 88.9477568267907
X107 175.781475271478 84.275386440529 661.787388514172 166.111480028025 38.3278399698525 48.5165094386957 83.2655214411892 33.6289229952671 3.89871584892156 1037.29847223556 157.443218987985 652.076476763964 79.0681559324887 292.91381741965 59.5216300031012 60.7331076966698 54.6760496413103 3185.54332035793 522.963925369249 3299.13316106156 10.0595710514385 88.974358504281 478.019779868817 43.1776365182463 33.3381420707818 46.6309792242999 86.2796069574167 22.5481665143065 83.4494819401946 134.592366604562 95.6563548435316 3241.51764146105 45.6060776652773 106.801326689174 413.850182258216 1571.83139986564 304.631582271076 311.018748062287 291.591562381341 261.796120028744 1077.00345849732 3166.9606051702 2122.32835482721 78.504353072529 85.7161105637539 471.141065440449 35.2979210999546 40.2474937110426 78.66017853819 80.7360028717155 29.784321587076 485.986227361287 60.4270416102617 547.291850740898 58.9941289288238 466.684017129145 47.4254673552878 1144.36409365323 121.806646595364 124.943782077361 66.0333264048819 169.918412371117 1033.51466656093 228.227177044345 37.5851927203138 313.264153371151 2758.78227689219 58.9037785770456 69.0539594774089 264.943725560554 625.850363555892 0.511987686331752 349.477310978662 17.2620153468446 2209.29626977796 31.741426025112 272.920316667338 30.7145539704798 27.5499132582422 2245.38741648372 774.692599378468 740.224926024872 131.244261835607 27.1390060660171 94.7189582894173 67.2300107710357 55.3879891257996 1091.2482932213 1231.38335184097 1819.43999256779 167.174018993615 1578.2100908686 37.65566223842 20.9828697242006 108.365622693117 60.8589151180293 29.5338355409956 387.019373856435 1695.61495005414 2.90031608522851 31.0613588075143 543.056797268201 76.4987147863166 365.27031163483 201.482541007157 393.538973506227 1245.52395969304 442.645392504662 430.305331826801 211.176187403239 2039.70074071415 5.06670560339804 1.59654122548095 309.908206671178 45.2703149361728 50.0542492094013 36.1515493006382 36.561461105285 737.080606279719 15.2941164619234 13.8292158292745 413.729724014496 199.326210532057 131.636849909361 1603.74686786248 32.6331780312362 57.2619279885091 42.1129158822074 1294.34821057663 16.3605726115643 93.136920433379
