Pseudomonadaceae CCD24 Steroidobacteraceae PLTA13 Woeseiaceae Erwiniaceae Enterobacteriaceae KI89A_clade Moraxellaceae Xanthomonadaceae Rhodanobacteraceae SC.I.84 A21b Nitrosomonadaceae Methylophilaceae TRA3.20 Sutterellaceae Comamonadaceae Burkholderiaceae Oxalobacteraceae X0319.6G20 Haliangiaceae Myxococcaceae Sandaracinaceae mle1.27 BIrii41 Polyangiaceae Bacteriovoracaceae Oligoflexales Geminicoccaceae Inquilinaceae Sphingomonadaceae Reyranellaceae Dongiaceae Azospirillaceae Methyloligellaceae Hyphomicrobiaceae Rhizobiales_Incertae_Sedis Devosiaceae Caulobacteraceae Beijerinckiaceae Xanthobacteraceae Rhizobiaceae Rhodobacteraceae Geobacteraceae bacteriap25 RCP2.54 WD2101_soil_group Gemmataceae Isosphaeraceae Pirellulaceae Rokubacteriales WX65 Nitrospiraceae Thermoanaerobaculaceae Subgroup_7 Subgroup_25 Vicinamibacteraceae Subgroup_11 AKAU4049 Subgroup_5 Rubrobacteriaceae MB.A2.108 Streptosporangiaceae Glycomycetaceae Propionibacteriaceae Nocardioidaceae Catenulisporaceae Actinospicaceae Micromonosporaceae Pseudonocardiaceae Nakamurellaceae Geodermatophilaceae Sporichthyaceae Streptomycetaceae Thermomonosporaceae Microbacteriaceae Cellulomonadaceae Promicromonosporaceae Micrococcaceae Intrasporangiaceae Mycobacteriaceae Nocardiaceae X0319.7L14 Ilumatobacteraceae Iamiaceae IMCC26256 Solirubrobacteraceae X67.14 Gaiellaceae Blastocatellaceae Pyrinomonadaceae X11.24 Fibrobacteraceae Nostocaceae Entotheonellaceae Microscillaceae Sphingobacteriaceae Chitinophagaceae Bacteroidaceae Hymenobacteraceae Bryobacteraceae Solibacteraceae Opitutaceae Pedosphaeraceae Xiphinematobacteraceae Chthoniobacteraceae Rubritaleaceae Alicyclobacillaceae Planococcaceae Bacillaceae Lactobacillaceae Enterococcaceae Clostridiaceae Gracilibacteraceae S085 Anaerolineaceae Gitt.GS.136 KD4.96 Herpetosiphonaceae AKYG1722 Roseiflexaceae JG30.KF.CM45 TK10 Gemmatimonadaceae S0134_terrestrial_group Thermoactinomycetaceae Desulfitobacteriaceae Paenibacillaceae Limnochordia Lachnospiraceae
X1 6.21642677919686 0.170443339955481 5.73793764043571 0.724705940279299 0.0112332065789383 9.21448502235425 20.755047649547 0.0066798571304329 0.843709178959318 55.4358147342277 20.5107901702279 4.74745767102059 0.364829530292621 3.12754426458322 0.520204880070648 0.19350349980015 0.711334733420458 121.115465341045 25.2940208277849 984.37447269284 0 4.26326145069744 1.49236452766481 1.59078331381037 0.0955062248832318 9.18131534230996 4.57083282767019 0.109949736685068 0.398130472314496 0.202684359180715 1.57366335885968 68.7850103147688 0.10006845679714 0.209973811927785 1.35561458659537 5.6015195012932 0.739170642694905 1.06644696834013 4.0864024721363 10.0580156779563 6.81006488459999 24.7494904238541 54.6182174383161 0.141496515156649 0.0234725697804503 1.7657167631602 0.0766992950787197 0.222090232317019 0.0156475393251818 0.327916194154568 0.0261254361544271 1.60497454955259 0.00741170652183243 2.09508191335359 0.337794974741952 5.18980934869174 1.0207529194063 4.04460427357568 0.461015247642603 0.229983447454974 0.0451215160518083 0.538386334901372 10.1063584879965 64.6116466061939 57.0988531343854 0.85363131800443 438.428337864469 16.9238960337041 29.9421954573024 53.5690806933381 1180.922130692 3.21961726183696 7.54128581501867 0.540540135354415 4343.56561890566 24.460276792793 26.9789570038526 0.763912795228901 16.4694825384464 48.8489866630403 43.6179321395415 40.6322328998375 39.2559012619364 0.204397573384417 1.13707017771214 1.39602684412495 0.185720393683869 22.6708912069573 9.4883924895883 8.7492960471535 2.17057594402314 11.1616743997161 0.197946064949562 0.83609260554281 1.47646400101989 0.0113525423939892 1.2882839173999 6.84282316875855 309.298827461005 9.44330900872119 0.166215154005377 0.749373039939364 0.204123157818029 1.09072323438108 0.616923091111689 0.895792367460425 7.31161862253487 5.31593896491524 1.10525088096145 0.144493675903068 4.37796131518219 7.6132123556832 13.1294923577697 0.215511048162802 0.0305839528607535 0.187658760119791 0.0143396273443995 0.26308102953109 4.57767574369007 1.3676148143634 0.136754536153426 1.4304461731059 0.953900254082879 0.191474859082093 4.80732598206424 0.146832418748402 0.817601755384344 0.00685592491437227 1.75849038079061 0.00611531994876472 0.0235171854128862
X10 6.58476545323396 0.170443378080839 5.73794009562295 0.724705422810679 0.0112332041788473 9.21448725602301 20.7550007486896 0.00667986199361171 0.691842385870474 55.4358296890884 20.5107918684963 4.74744900475223 0.364829354808057 3.12754418014202 0.520205028843033 0.19350353811286 0.925284973590485 121.115465032519 24.7979968754428 991.199531667088 0 4.27501967334385 1.4923645530963 1.59078341513027 0.0955061104501849 9.18132034793266 4.57083301908988 0.109949732454161 0.398130450681962 0.235022956161262 1.57366375402985 68.7850112964471 0.100068467266139 0.209973711181992 1.35561457513881 5.60151813953699 0.739170291229438 1.06644664140588 4.2839155242253 10.3411466715178 6.80866240744131 24.686267279746 54.6182179403096 0.141496492877609 0.0234726213770448 1.79240900616945 0.0766992781314064 0.16410764678483 0.0156475393251718 0.32791619415463 0.0261254360293788 1.6049745575185 0.00741170652183403 2.0950818717585 0.337794949794072 5.18981190665547 1.02075185745866 4.04460440549635 0.461014639264666 0.229983738185463 0.177085978608041 0.53838203775129 10.1063585024641 63.8318076404125 57.0707113444628 0.853631196362906 443.185132985333 15.0180335395548 29.9421938055462 54.3941000631236 1082.34850261607 3.21961745660291 7.54128561087852 0.540539777698171 4361.28984263646 26.2016472112016 26.9789554736118 0.763912076590953 17.179259474828 48.437711713615 43.6179335830948 40.6322361573784 38.9363261767204 0.204397565348625 1.13706813109155 1.39602670505352 0.185635692005513 22.6708946765027 9.48839536448286 8.74929701670169 2.17057570221223 11.1616745936665 0.197946062626724 0.836092300963826 1.47646589970871 0.0113525399524545 1.28828391082971 6.84282329382867 309.298903525008 9.44336940609013 0.169777346919833 0.749372818972205 0.204123189787817 1.09072190395276 0.616922783390851 0.539088281127928 7.31162725050188 5.31593932793498 1.09634922792659 0.144493673502539 4.37796186239219 7.61326101347606 13.1294972515313 0.535102207393206 0.0305841392983988 0.18765880641499 0.0143396273547647 0.263081055624196 4.57767838114535 1.36761486923534 0.136754568545988 1.43044626258222 0.953900150001236 0.191474704829618 4.80732506065323 0.146832535891869 1.04098279492306 0.00685613913970034 1.75849007460517 0.00611532380650105 0.0235178415012351
X100 7.10913422668108 0.170443339955481 5.73794044636117 0.724706529219175 0.0112332065789383 9.2144846596413 20.7549793307277 0.0066798571304329 0.669811200036807 55.4358849872183 20.5107981244217 4.74747476536931 0.364829442550326 3.12754418014176 0.520204543877203 0.193504040027238 0.711334733420458 121.115469351775 25.8727115232993 978.384970321263 0 4.27095212724618 1.49236484406993 1.5907836584978 0.0955061039044521 9.18131721941962 4.57083292547114 0.109949736685068 0.398130472314496 0.202684359180715 1.57366381048269 68.7850225805171 0.10006845679714 0.209973811927785 1.35561472343249 5.60151277258298 0.739170304190125 1.06644657917798 4.45893620114145 10.0677723719259 6.81006488459999 24.4829388748345 54.6182266836333 0.141496515156649 0.0234725697804503 1.74569756335843 0.0766992950787197 0.160579187217729 0.0156475393251818 0.327916194154568 0.0261254361544271 1.60497436655227 0.00741170652183243 2.09508221934263 0.337794974741952 5.18981085362807 1.0207529194063 4.04460519490225 0.461016740612802 0.229983447454974 0.0451215160518083 0.538383629372811 10.1063578658988 64.904085528595 57.4668644165942 0.85363131800443 454.347210241922 15.1801640779547 29.9421964581418 54.1322826224852 1375.95074170095 3.21961866496319 7.54128608920976 0.540541630549898 4112.74906897703 24.1437381955452 26.9789777037095 0.763912201585843 21.7577687102317 48.0709681235749 43.6179284039063 40.6322423104774 47.191493684307 0.204397573384417 1.13706852122566 1.39602706170653 0.185720393683869 22.6708938954623 9.48839454573443 8.74929584303812 2.17057564276473 11.1616767644693 0.197946064949562 0.836092266526172 1.47646400101989 0.0113525423939892 1.2882839173999 6.84282248907763 309.298758539365 9.44330900872119 0.166215154005377 0.749372655409045 0.204123157818029 1.09072156590735 0.616923091111689 0.542924921119318 7.31162774503817 5.31593996692779 0.908603078813046 0.144493675903068 4.37796099154774 7.6132123556832 13.1294923577697 0.131961354137405 0.0305839528607535 0.187658760119791 0.0143396273443995 0.26308102953109 4.5776777939622 1.3676148143634 0.136754536153426 1.43044603889155 0.953900150001106 0.191474797761917 4.80732516054864 0.146832418748402 0.587224984679025 0.00685592491437227 1.75848985364647 0.00611531994876472 0.0235171854128862
X101 7.00147263135604 0.170443460685454 5.73793413303164 0.724706324885336 0.0112332065738408 9.21448485579475 20.7549737225787 0.00667986685445484 0.724189603706104 55.4358651633939 20.5107850834838 4.74745450520247 0.364829354808156 3.12754434902526 0.520204552173893 0.193503538112815 0.724920332821076 121.115471996216 27.195433733113 1279.38992912033 0 4.26393105300743 1.49236473860173 1.59078323092535 0.0955061080047005 9.18132222503723 4.57083289640554 0.109949736685103 0.398130486422692 0.203256258552854 1.57366369757692 68.7850229351521 0.100068468761671 0.209973711182005 1.35561421815694 5.60152612617217 0.739170306005941 1.06644666500937 3.91124501473967 10.3459205476431 6.68838464004441 25.1744924132036 54.6182113070316 0.141496511282038 0.02347269276401 1.74569756274197 0.0766992915085706 0.162051374232238 0.0156475360002442 0.327916194154778 0.026125436152853 1.60497441633957 0.00741171033040943 2.09508188786332 0.337794998502239 5.189809609839 1.02075291275206 4.04460445373094 0.461015249244601 0.229983452401032 0.0451226809467738 0.538382481482128 10.1063580270932 67.1948561061176 57.1118420720425 0.853631249740857 451.631506613733 16.1950861910939 29.9422245829793 57.4680329670121 1434.78431550648 3.21961594499207 7.54128633198211 0.54054024513042 5298.76233477569 31.4312754422381 26.9789723537654 0.76391286070261 17.0905179868817 48.2048599209556 43.6179349592912 40.6322353329783 49.0403411687995 0.204397712687198 1.13706849138716 1.39602766523923 0.186472798692989 22.6708931327298 9.48840195071312 8.74929528172274 2.17057573268776 11.1616740995379 0.197946087403622 0.836092100491152 1.47646400101774 0.0113525423995291 1.28828392468561 6.84282221237927 309.298914247408 9.44336806413374 0.171377730537523 0.749372867853692 0.204123194147326 1.09072143709175 0.616922900113043 0.542551889193215 7.31162801779246 5.31594181812904 0.902775098945071 0.144493660676921 4.37796083509173 7.61320837149506 13.1294855080159 0.407352860111901 0.0305839559404436 0.187658806415196 0.014339627349626 0.263081027109157 4.57767271575926 1.3676148570952 0.136754598724451 1.43044603889155 0.953900150001235 0.191474695592178 4.8073240537516 0.14683241874839 1.13110927181557 0.0068559405132855 1.75849000622586 0.00611532118153915 0.0235171745538604
X102 6.25754975845252 0.170443460685454 5.73793202858755 0.724706324885336 0.0112332065738408 9.21448473489043 20.7549742088337 0.00667986685445484 0.724189603706104 55.435840122724 20.5107834377885 4.7474554914149 0.364829354808156 3.12754418014235 0.520204552173893 0.193503538112815 0.724920332821076 121.115466090305 27.8981295776662 1158.73541742897 0 4.27546706783053 1.49236452766499 1.59078348944092 0.0955061080047005 9.18130783386315 4.5708326030027 0.109949736685103 0.398130486422692 0.203256258552854 1.57366381048268 68.7850083797974 0.100068468761671 0.209973711182005 1.35561421815694 5.60151022194803 0.739170306005941 1.06644666500937 3.6983685981653 10.3589294729359 6.75503188448471 24.0194357007853 54.6182110268704 0.141496511282038 0.02347269276401 1.74569756274197 0.0766992915085706 0.162051374232238 0.0156475360002442 0.327916194154778 0.026125436152853 1.60497441633957 0.00741171033040943 2.09508188786332 0.337794998502239 5.18980840588994 1.02075291275206 4.0446041627857 0.461015249244601 0.229983452401032 0.0451226809467738 0.538382481482128 10.1063577160444 72.3125372481378 57.2352340901949 1.09648795952126 470.575552155167 15.5896237064586 29.9421970042935 65.296539782157 1434.1662981787 3.2196209962465 7.54128594811458 0.54054024513042 5156.0424334129 29.9277171053114 26.9789658169685 0.763912267059552 18.4852308233965 48.3076170865454 43.6179310742306 40.632234632186 50.8236203648379 0.204397571080119 1.13706915398175 1.39602679491288 0.186472798692989 22.6708917094036 9.48838652961715 8.74929528172274 2.17057573268776 11.1616730713844 0.197946087403622 0.836092100491152 1.47646400101774 0.0113525423995291 1.28828392468561 6.8428239601302 309.299119706994 9.44336806413374 0.18888311856474 0.749372579455952 0.204123194147326 1.09072143709175 0.616922900113043 0.542551889193215 7.31162193612359 5.31594025248444 0.902775098945071 0.144493660676921 4.37796083509173 7.61320837149506 13.1294855080159 0.128853880027246 0.0305839559404436 0.187658806415196 0.014339627349626 0.263081027109157 4.57767203233521 1.36761435105352 0.136754598724451 1.43044603889155 0.953900150001235 0.191474695592178 4.80732436181996 0.14683241874839 0.593563473503158 0.0068559405132855 1.75848980347812 0.00611532118153915 0.0235171745538604
X103 6.27384699865684 0.17044330674022 5.73793343154806 0.724705892048327 0.0112332065461302 9.21448645067942 20.7549807306955 0.00667986684082543 0.74154729839339 55.4358481217997 20.510793381023 4.74745503731092 0.364829354808117 3.12754418014191 0.520204554810188 0.193503525965888 0.704037592749016 121.11546547326 25.2526838372446 952.975422057036 0 4.26247694264398 1.49236449160016 1.5907833980093 0.0955061102582225 9.18131158806407 4.57083256099786 0.109949675113042 0.39813048294626 0.201269115171499 1.57366347176541 68.7850005462448 0.100068468613037 0.209973711181976 1.35561431012398 5.60151348292438 0.739170261563369 1.06644668261101 3.78662565169612 10.3142143214175 6.281350375279 23.4941679470133 54.618212625153 0.141496507087697 0.0234727242950878 1.74569757124517 0.0766992947960599 0.160694984112392 0.0156475356548068 0.327916194154592 0.0261254359561333 1.60497441089473 0.00741171031003569 2.09508184057695 0.337795012748388 5.18980820332207 1.02075290703958 4.04460378918672 0.461015253823358 0.229983453093807 0.041807905916112 0.538382330952274 10.1063579506962 64.2217263443233 57.3716145901201 0.853631229739582 442.070298344627 15.1769631701675 29.9421942874702 57.1320543856637 1157.97248987204 3.21961715914253 7.54128553604018 0.540540249088692 4198.9725437024 21.3992140648288 26.978961519645 0.763912220550816 17.1399966966642 47.9262217042249 43.6179260878779 40.632237664542 38.8005410363086 0.204397566832591 1.13706849440784 1.39602687548768 0.186233397320193 22.6708922155705 9.4883857518329 8.7492951286357 2.17057569251304 11.1616727232285 0.197946078294598 0.836092211808461 1.4764640010194 0.0113525423764116 1.28828395421672 6.84282139450673 309.298909753151 9.44336842920001 0.169037579237168 0.749372579800879 0.204122996405212 1.09072155693065 0.616922956376774 0.528055243162497 7.3116188716238 5.3159389538683 0.907149850476329 0.144493665775048 4.37796125313669 7.61321242276364 13.1294803654357 0.137776045905562 0.0305839579423223 0.187658805298489 0.0143396241533643 0.26308089968543 4.57767215231727 1.3676147001003 0.136754602801648 1.43044603889144 0.95390015000135 0.191474703527192 4.80732387870496 0.14683241874845 0.576268444130012 0.00685594050189949 1.75848978662336 0.00611532378685794 0.0235171460694603
X104 6.25754975845252 0.170443460685454 5.73795131932509 0.724706913825212 0.0112332065738408 9.21448993377609 20.7549734794513 0.00667986685445484 0.724189603706104 55.4358422094465 20.5107944090904 4.7474568063648 0.364829354808156 3.12754426458381 0.520204648229164 0.193503538112815 0.724920332821076 121.115493989125 27.0300935343946 1052.90029304873 0 4.28508041351645 1.49236616242475 1.59078353252685 0.0955061080047005 9.18142546606872 4.57083338541027 0.109949736685103 0.398130486422692 0.203256258552854 1.573666407315 68.7850397801132 0.100068468761671 0.209973711182005 1.35561421815694 5.60151266875174 0.739170306005941 1.06644666500937 4.23055963960122 10.5280455017422 6.63506684449217 28.6100457116784 54.6182687400626 0.141496511282038 0.02347269276401 1.74569756274197 0.0766992915085706 0.162051374232238 0.0156475360002442 0.327916194154778 0.026125436152853 1.60497469084006 0.00741171033040943 2.09508188786332 0.337794998502239 5.18980930885173 1.02075291275206 4.04460396882221 0.461015249244601 0.229983452401032 0.0451226809467738 0.538382481482128 10.1063580270932 71.3864806605342 57.1053477552977 0.853631249740857 454.803532843927 15.9771196966252 29.9421960590562 64.5643772742657 1387.10869307785 3.21961650624256 7.54128638682033 0.54054024513042 4471.33662891684 33.1722377271007 26.9789791629289 0.763912267059552 17.7878744051391 48.1388017430765 43.6179333156117 40.6322369347894 48.5945213697899 0.204397571080119 1.13706849138716 1.39602675139656 0.186472798692989 22.6708920256984 9.48839012787287 8.74929548583811 2.17057612002 11.1616732770151 0.197946087403622 0.836103288040181 1.47646589970809 0.0113525423995291 1.28828607709756 6.84282245512246 309.299245280133 9.44336806413374 0.171377730537523 0.749372579455952 0.204123194147326 1.09072811098667 0.616923283289839 0.542551889193215 7.31164727641053 5.31594576355345 0.902775098945071 0.144493660676921 4.37796126660433 7.61320837149506 13.1294855080159 0.128853880027246 0.0305839559404436 0.187658806415196 0.014339627349626 0.263081027109157 4.57767203233521 1.36763433969996 0.136754598724451 1.43044662048707 0.953900150001235 0.191474695592178 4.80732446450941 0.14683241874839 0.593563473503158 0.0068559405132855 1.75848980347812 0.00611532118153915 0.0235171745538604
X105 6.19792555932413 0.170443378080839 5.73793588673476 0.724705422810679 0.0112332041788473 9.21448217804167 20.754984945404 0.00667986199361171 1.56133228048303 55.4358397749137 20.5107828171723 4.74744736106486 0.364829354808057 3.12754443346639 0.520204548566683 0.19350353811286 0.710106130247093 121.115465429185 25.707367968394 964.030654930036 0 4.26348365852074 1.49236465856467 1.59078332895841 0.0955061104501849 9.181312839494 4.57083326359225 0.109949732454161 0.398130450681962 0.235022956161262 1.57366358467122 68.7850090068407 0.100068467266139 0.209973811927843 1.35561436988314 5.60150957572399 0.739170291229438 1.06644664140588 3.85816269107656 10.3509033654874 6.67536791856071 24.034696826587 54.6182095354758 0.141496492877609 0.0234726213770448 1.74569753996533 0.0766992781314064 0.16410764678483 0.0156475393251718 0.327916321321317 0.0261254360293788 1.60497437451817 0.00741170652183403 2.0950818717585 0.337794949794072 5.18980769283376 1.02075185745866 4.04460392058762 0.461014639264666 0.229983453814176 0.0407898867598616 0.53838203775129 10.1063583987812 64.1242465628137 57.2352340353326 0.853631196362906 446.827089027407 16.6648914977626 29.9421966412578 55.8584250789061 1215.22222808844 3.21961745660291 7.54128566571674 0.540539777698171 4395.67917709552 26.2016472112016 26.9789625551418 0.76391267023401 16.8693232889358 48.3422943455674 43.6179337325202 40.6322334543222 45.0886394030527 0.204397565348625 1.13706879368614 1.39602657450457 0.185635692005513 22.6708922515766 9.48838868200794 8.74929512863447 2.17057596043373 11.1616743880358 0.197946062626724 0.836092300963826 1.47646400101835 0.0113525399524545 1.28828411582132 6.84282203156411 309.299175817699 9.44336940609013 0.169777346919833 0.749372578640755 0.204123189787817 1.0907216258738 0.616922553484774 0.539088281127928 7.31163130494779 5.31593932793498 0.973444351583838 0.144493673502539 4.37796105330606 7.61321856429976 13.1294972515313 0.117353737266223 0.0305839528607352 0.18765880641499 0.0143396273547647 0.263081055624196 4.57767188861694 1.36761486923534 0.136754568545988 1.43044612836786 0.953900150001236 0.191474704829618 4.80732413644817 0.146832418748427 0.580229253512421 0.00685593531493382 1.75848979075833 0.00611532380650105 0.0235170448587711
X106 6.40622396373711 0.170443378080839 5.73793273006861 0.724705422810679 0.0112332041788473 9.21448471703234 20.7549839728941 0.00667986199361171 0.796181173223981 55.4358213421984 20.5107861085629 4.74744670358991 0.364829354808057 3.12754418014202 0.520204548566683 0.19350353811286 0.710106130247093 121.115465429185 25.914043216792 988.667886334772 0 4.26732899679511 1.4923645530963 1.59078332895841 0.0955061104501849 9.18131784511977 4.57083257898563 0.109949732454161 0.398130450681962 0.20030269691562 1.57366335885972 68.7850058995178 0.100068467266139 0.209973711181992 1.35561436988314 5.60150957572399 0.739170516899291 1.06644664140588 3.5920671703586 10.3476511341642 6.54207342968011 23.353509534648 54.6182008504809 0.141496492877609 0.0234726213770448 1.74569753996533 0.0766992781314064 0.16410764678483 0.0156475393251718 0.32791619415463 0.0261254360293788 1.60497446601834 0.00741170652183403 2.09508176976215 0.337794949794072 5.18980739184649 1.02075185745866 4.04460372662413 0.461014639264666 0.229983453814176 0.0407898867598616 0.53838203775129 10.106357724842 64.465425305615 57.0750408889594 0.853631196362906 434.697025758241 14.4610080536904 29.9421926379002 54.7320212206119 1084.37913097877 3.21961745660291 7.54128561087852 0.540539777698171 3936.62735900154 24.4606849263391 26.9789505710141 0.763912076590953 16.7530972192262 47.7037319594024 43.6179232727415 40.6322302507001 35.7264236238514 0.204397565348625 1.13706813109155 1.39602657450457 0.185635692005513 22.6708923042924 9.48838919604447 8.74929558789406 2.1705758743599 11.1616731542515 0.197946062626724 0.836092300963826 1.47646400101835 0.0113525399524545 1.28828391082971 6.8428218859182 309.298899609005 9.44336940609013 0.169777346919833 0.749372578640755 0.204123189787817 1.0907216258738 0.61692286002621 0.627305142713205 7.31162370286171 5.31593920268341 0.875120450509637 0.144493673502539 4.37796116118422 7.61321130803031 13.1294972515313 0.117353737266223 0.0305839528607352 0.18765880641499 0.0143396273547647 0.263081055624196 4.57767393888907 1.36761486923534 0.136754568545988 1.43044603889163 0.953900150001236 0.191474827469969 4.80732413644817 0.146832418748427 0.580229253512421 0.00685593531493382 1.75848979075833 0.00611532380650105 0.0235170448587711
X107 6.00603476441157 0.17044330674022 5.73793623747352 0.724705892048327 0.0112332065461302 9.21448596706215 20.7549807306955 0.00667986684082543 0.74154729839339 55.4358182121106 20.5107906381975 4.74745405109849 0.364829354808117 3.12754418014191 0.520204554810188 0.193503525965888 0.704037592749016 121.115467412515 27.484776519943 975.94547238927 0 4.31054367107358 1.49236459706853 1.59078318257966 0.0955061102582225 9.18131596798662 4.57083285440069 0.109949675113042 0.39813048294626 0.288069763285604 1.57366352821828 68.7849979295518 0.100068468613037 0.209973711181976 1.35561431012398 5.60150981271881 0.739170543650686 1.06644668261101 3.89306385998331 10.3467366346495 6.25469147750288 24.2345889165121 54.6182087028972 0.141496829580749 0.0234727242950878 1.74569757124517 0.0766992947960599 0.160694984112392 0.0156475356548068 0.327916194154592 0.0261254359561333 1.60497441089473 0.00741171031003569 2.09508184057695 0.337795012748388 5.18980820332207 1.02075290703958 4.04460378918672 0.461015253823358 0.229983453093807 0.041807905916112 0.538382330952274 10.1063578470132 65.2452625727273 57.0295805748908 0.853631229739582 436.049322629908 14.8379041787718 29.9421932310286 55.8930101415401 1282.98856646266 3.21961715914253 7.54128515217266 0.540540697647337 4107.87827760503 26.3846969714805 26.9789547104815 0.763912220550816 16.5394953364981 47.8601635263458 43.6179214556902 40.6322352618254 47.4494451370945 0.204397566832591 1.13706849440784 1.39602665790609 0.186233397320193 22.6708908449602 9.48838472375984 8.74929528172223 2.17057569251304 11.1616727232285 0.197946078294598 0.836093635678337 1.4764640010194 0.0113525423764116 1.28828410796043 6.84282129740946 309.299008436408 9.44336842920001 0.169037579237168 0.749372579800879 0.204122996405212 1.09072197404908 0.616922956376774 0.528055243162497 7.31163610301891 5.31593958012614 0.956311801013429 0.144493665775048 4.37796109131946 7.61321314839058 13.1294803654357 0.137776045905562 0.0305839579423223 0.187658805298489 0.0143396241533643 0.26308089968543 4.57767146889322 1.3676147001003 0.136754602801648 1.43044603889144 0.95390015000135 0.191474703527192 4.80732387870496 0.14683241874845 0.883437471737103 0.00685594050189949 1.75848978662336 0.00611532378685794 0.0235171460694603
