Pseudomonadaceae CCD24 Steroidobacteraceae PLTA13 Woeseiaceae Erwiniaceae Enterobacteriaceae KI89A_clade Moraxellaceae Xanthomonadaceae Rhodanobacteraceae SC.I.84 A21b Nitrosomonadaceae Methylophilaceae TRA3.20 Sutterellaceae Comamonadaceae Burkholderiaceae Oxalobacteraceae X0319.6G20 Haliangiaceae Myxococcaceae Sandaracinaceae mle1.27 BIrii41 Polyangiaceae Bacteriovoracaceae Oligoflexales Geminicoccaceae Inquilinaceae Sphingomonadaceae Reyranellaceae Dongiaceae Azospirillaceae Methyloligellaceae Hyphomicrobiaceae Rhizobiales_Incertae_Sedis Devosiaceae Caulobacteraceae Beijerinckiaceae Xanthobacteraceae Rhizobiaceae Rhodobacteraceae Geobacteraceae bacteriap25 RCP2.54 WD2101_soil_group Gemmataceae Isosphaeraceae Pirellulaceae Rokubacteriales WX65 Nitrospiraceae Thermoanaerobaculaceae Subgroup_7 Subgroup_25 Vicinamibacteraceae Subgroup_11 AKAU4049 Subgroup_5 Rubrobacteriaceae MB.A2.108 Streptosporangiaceae Glycomycetaceae Propionibacteriaceae Nocardioidaceae Catenulisporaceae Actinospicaceae Micromonosporaceae Pseudonocardiaceae Nakamurellaceae Geodermatophilaceae Sporichthyaceae Streptomycetaceae Thermomonosporaceae Microbacteriaceae Cellulomonadaceae Promicromonosporaceae Micrococcaceae Intrasporangiaceae Mycobacteriaceae Nocardiaceae X0319.7L14 Ilumatobacteraceae Iamiaceae IMCC26256 Solirubrobacteraceae X67.14 Gaiellaceae Blastocatellaceae Pyrinomonadaceae X11.24 Fibrobacteraceae Nostocaceae Entotheonellaceae Microscillaceae Sphingobacteriaceae Chitinophagaceae Bacteroidaceae Hymenobacteraceae Bryobacteraceae Solibacteraceae Opitutaceae Pedosphaeraceae Xiphinematobacteraceae Chthoniobacteraceae Rubritaleaceae Alicyclobacillaceae Planococcaceae Bacillaceae Lactobacillaceae Enterococcaceae Clostridiaceae Gracilibacteraceae S085 Anaerolineaceae Gitt.GS.136 KD4.96 Herpetosiphonaceae AKYG1722 Roseiflexaceae JG30.KF.CM45 TK10 Gemmatimonadaceae S0134_terrestrial_group Thermoactinomycetaceae Desulfitobacteriaceae Paenibacillaceae Limnochordia Lachnospiraceae
X1 14.1342993408684 1.73160460798774 36.5434713026922 2.57509952696378 0.50122230626558 22.9262091809773 25.5644203796923 0.295609559819109 3.08726253509387 74.2781659952943 68.3761528748041 10.4892689278193 1.11326326201379 5.0747329599045 4.4974487399084 0.697038388577603 1.07251007793405 405.697296421239 86.0080340864379 2500.64283737299 0.0219432723442222 18.8396103381649 13.1000364504792 3.07651691236941 1.38889414486419 105.442709059446 18.652933587345 0.0666617196449817 0.825692008199299 1.71740570179666 6.56384238638935 206.645512925448 0.743581155001697 2.07192267850753 6.12464982688744 26.5360595457857 4.61158199704233 5.43842327199759 17.859380683457 20.7627001400798 18.6919476185972 96.147846117488 142.291035326243 0.917824068152803 1.21389698323288 7.68465053556626 0.433199167924157 0.237116955797461 0.064991862235634 0.74613261954884 0.0506390489757874 7.30970013825156 0.814436936824217 7.47952748227513 1.17748477604332 8.78224839584142 0.846548215343135 20.5011479098639 1.61131411952583 2.72290707771278 0.184428895190139 3.23436317903474 24.5102625488854 52.2558028643416 23.5402605013879 4.90412055786842 519.461600881136 16.2880472715285 37.723032029833 90.051035669137 1699.88094655385 1.53124620785791 10.8060707235073 0.544546899971329 5352.19537879867 83.5906227954279 44.7428313741637 0.82767587680034 21.4775897199046 54.7022111353061 47.5562539209734 84.7123950214409 58.0912175800591 1.1898666621071 1.50226569365209 3.75708782647642 1.75752322264814 41.3198688372049 24.3568657537197 24.9609653714638 4.21890631394941 25.8676407335663 0.897170525334441 26.7981870528519 2.67911884001945 0.983316857866273 13.1153565433111 11.2136731941258 1165.5114690085 7.28067136514054 0.612815019928259 5.87634082341948 0.159684036910762 22.5486038043899 5.16606017274127 4.02676564919619 33.8065945618736 26.4825142165048 6.99805397656366 1.95915516810038 32.6322154758542 3.46228199061002 7.85284765676953 2.96265596707504 0.546478830073956 1.52875007929543 0.0229546246685512 0.302325770817238 12.1559066978137 3.69981393923887 0.254314451565594 8.13724739422837 2.59567632869592 1.18102569617117 21.8945587217676 0.528848676273294 0.799687260943392 0.480936532123958 17.096452600223 0.236241340642959 1.52895383002751
X10 14.1342803580375 1.73160409298709 36.5434344096985 2.58281531233108 0.446893129894474 22.9262173086051 25.5992315045747 0.307034580336406 2.66528205953207 74.2764557562096 68.3761788245323 10.3286753938681 1.11326390279096 5.07473090643737 4.03764329669695 0.697038417176514 1.09252817293623 361.97802696002 75.1702918439575 1276.98492302499 0.0219432723537542 18.5210694709046 13.1000372903353 3.0765168076864 1.35566061223255 95.863970950099 18.6529291067743 0.0666617961207361 0.825692022530572 1.74740240821804 5.19858592568939 206.645513291092 0.74358114792738 2.07192210696643 6.12465243074153 26.5360638513337 4.58872166407999 5.45896234104561 19.1203579687695 20.762683755464 18.9465898652385 95.5493260555014 142.145056625411 0.917824143236616 1.23769381807217 7.77869135041777 0.4331993494133 0.226676970038742 0.0649926385394411 0.746132698121455 0.0506391784154848 7.46702403750607 0.814436990861132 7.56942715968168 1.17816805719805 8.7822455764394 0.846548267760809 20.5011533686755 1.64114573950425 2.72922873596314 0.184429324340257 3.23436334461407 24.5312464194134 51.3511061878773 23.5402520469606 4.90412053050598 513.656706985139 15.7378060111578 37.723021736932 85.8624709999959 1606.14005868687 1.53124738414115 10.8060706941968 0.544546773825041 5018.74648166481 72.9667403369994 44.7428424705416 0.827675908932027 23.1256691691747 59.8929791896736 48.4278410405849 84.5914020563065 58.0911569555074 1.08273217646307 1.4734357100585 3.75276686817417 1.40075956542349 41.3198710371021 24.3568842912175 25.3685036613462 4.17599208570807 25.88058182645 0.809431575507208 26.7981800326644 2.67911890050523 0.98331687929089 9.97968253523139 11.2136746768938 1165.50956364452 7.2806558624244 0.631170253871003 5.85781569752319 0.174670146863354 16.0441461346214 4.68294953607766 4.02676574408205 33.8222671745467 26.4071841270457 6.99805472342853 1.95915574034038 32.8567912554643 3.46228052098785 7.85284659497531 3.19912386657501 0.564151464041575 1.53804950962408 0.0229547046057699 0.30212507476109 12.1559047530981 4.08318520372198 0.254314449209425 7.3172591682503 2.59539919226477 1.18835106727683 21.8945594164656 0.528848771751324 0.799687035504589 0.506432473823514 17.5250718521623 0.236241382130146 1.53821637095174
X100 14.1342744774289 1.73160471204469 36.5434785493257 2.61938001798709 0.441919372113531 22.9262190797993 25.6925253557218 0.295609559819109 4.17235571257351 74.2116466114473 68.3762062385011 11.6650447995995 1.11326326201379 5.0747329599045 4.38489744153226 0.697039851196656 1.324262787727 386.05620171353 109.525951726401 1645.10797897073 0.0219432723442222 18.6498690243768 13.1000376045703 3.07651696215112 1.32373321136731 117.099569173253 18.6529332673042 0.0666617196449818 0.825692008199299 1.71740570179666 5.42846547065108 206.645536432898 0.743581299382549 2.07192219364073 6.1246532749532 26.536074623122 4.58534055843189 5.44562495249938 21.2609840304068 20.7626879914946 19.0250668467454 96.5217010972911 142.502492252926 0.917824068152803 1.21389698323288 7.83769092354646 0.433199167924157 0.237116955797461 0.064991862235634 0.746132989978155 0.0506390489757874 7.59678651587734 0.814436936824217 7.55579652609865 1.17184483171869 8.78223798921036 0.846548215343135 20.5011419882808 1.61962897096204 2.71952267458973 0.184428895190139 3.23436393702136 24.6188714310083 85.7188913490616 23.5402600710706 4.90412334769223 511.669674372941 15.7141527904888 37.7230256485541 87.5845988175374 1670.74800702177 1.53124444343273 10.8060745128842 0.544546631746011 5285.44004363399 71.2520768447107 44.7428510484247 0.827676370862659 20.1913797546081 57.7555515980136 47.5562539209734 85.6004869622858 58.0912627729242 1.11870631951791 1.4299973026475 3.7601105465597 1.38214376993747 41.3198811909332 24.3568839191615 25.7609366757214 4.15989915519708 25.8650059075418 0.867924189728577 26.798211051678 2.72770481609868 0.983316857866273 14.2931865845653 11.2136774996364 1165.51114941528 7.28065561207494 0.612815019928259 5.87634082341948 0.159684036910762 19.496011503312 4.37697261469101 4.02676652384429 35.2958728518393 32.6157736868095 6.99805483889505 1.95915516810038 32.7253076867374 3.46228037482623 7.85284765676953 3.32812592260985 0.546478830073956 1.54696407747819 0.0229546246685512 0.338547654064647 12.1559151104092 3.83650810850816 0.254314596296996 8.99628645896746 2.59620572217906 1.18102569617117 21.894562979163 0.528848676273294 0.799686855071194 0.588843551591767 17.2438140953675 0.236241340642959 1.52895383002751
X101 14.1342723851302 1.73160517419611 36.5434947631024 2.63790106955838 0.44716193236168 22.9262106836484 25.5467237712102 0.304221345427611 3.50924322300184 74.4390523545623 68.3762468561988 18.9148169730591 1.11326486395298 5.07474282329484 5.44805699903321 0.697038405254794 1.54223108638352 543.104032063069 109.580146718166 2072.88694283706 0.0219432422846667 19.4476509374011 13.100038825052 3.0765172139486 1.56381377022232 136.407864937109 18.6529310270154 0.0666617808623643 0.825692020297796 1.75201894568245 4.7633119642607 206.645685465417 0.743581142058457 2.07192303014725 6.12465983972032 26.5360981800813 4.92800809710553 5.51625828243681 20.8602497820406 20.7627000313489 20.4381370417119 99.4326803998265 143.803372198092 0.917824106992677 1.33200537650761 7.98054055525354 0.43319932080575 0.555504377910366 0.0649924996504294 0.746133365734353 0.050640555159375 7.83663894501976 0.814437201591342 7.64394096841224 1.18208243633859 8.78226148924114 0.846548658820342 20.5011802846551 1.66787574226056 2.73258949290001 0.184429294474871 3.23436528787839 24.7577239241806 48.0656827424587 23.5402545265918 4.90412240578693 532.318075129524 16.1378303142621 37.7230313978168 83.4320723883004 1629.96785909137 1.53124444343193 10.8060904106608 0.544547044143454 5441.6177082979 91.2259039662743 44.742850986765 0.827676280859724 19.6367188197704 63.8056989611123 48.9367330595104 85.9321571784786 58.0911911257274 1.11294367043431 1.76439883324222 3.75780531284234 1.39632972525105 41.3198995445688 24.3569323164009 26.1910697561268 4.65877788323027 25.9634666172578 0.85330095503101 26.7982234386617 2.78438853850992 1.04773889612965 23.0523911512915 11.213675355128 1165.51074789848 7.28065261579449 0.612244853921626 6.00436035163727 0.218947825344268 124.853664265113 6.68348072968741 4.02676794620243 37.0915238322824 52.7226460449306 6.99805620127066 1.95915570262096 33.3920804880121 3.46228066114707 7.85284334676073 3.93165081308544 0.561227773422355 1.56689648171329 0.0229549123160293 0.306668016633271 12.1559289124027 8.69055486254733 0.254314446706692 9.26961913907454 2.59620814030942 1.2815668206362 21.8945676053438 0.528848755327398 0.799687525157963 0.502282179200729 18.004079095736 0.236241711361361 1.56997439556649
X102 14.1342734661493 1.73160486202526 36.5434858441689 2.70432180609335 0.44716193236168 22.9262129462363 25.5659395176146 0.372030157710746 3.20782845147972 74.3436660682912 68.3762543860456 13.8094743719083 1.11326486395298 5.07474861023608 4.02240721960212 0.697038405254794 1.44153000246634 394.514880796054 87.3627590859423 1262.54083120163 0.0219432422846667 19.1404507150775 13.1000402869008 3.0765172139486 1.44978213660277 105.42632417836 18.6529346114731 0.0666617808623643 0.825692441764134 1.75201894568245 5.71702857348084 206.645595001354 0.743581575201013 2.07192254528045 6.12465426976795 26.5361016067487 5.11169816737864 5.66749357297447 20.9574384490963 20.7626972979172 20.8496372647185 97.842212604393 143.036573847795 0.917824996194485 1.56886683045682 8.1505854307871 0.43319932080575 0.230108674504548 0.0649924996504294 0.746132686613943 0.050639263858912 7.99613137703408 0.814437348866022 7.80341260549778 1.1783224734555 8.78225610650094 0.84654858416701 20.5011754733688 1.68034801941487 2.74781930695372 0.184429873847867 3.23436498468375 24.7529323558517 55.7689719884808 23.5402530742707 4.90412463764597 540.180199173829 16.2992381370545 37.7230252257602 116.035284520383 1847.79477743292 1.53124885449488 10.8060926211306 0.544546668628008 5394.2828566802 112.818359380029 44.7428994383034 0.827676774922043 20.6755807148175 72.1154230051899 48.9449250242308 86.9134742401856 58.0912754490001 1.1663139273762 1.76439883324222 3.76687347309219 1.77170917796173 41.3199064542812 24.3569407345325 26.4749305415085 4.28327778207907 25.9546838638425 0.955663129651533 26.7981836511343 2.83702334592909 0.983316801922184 10.0121299802621 11.213676460597 1165.51111295685 7.28065212351119 0.69422354232963 6.00830494741126 0.214234130554715 17.7076744972798 6.10959886928722 4.0267671340292 37.5569232978967 30.0261208864584 6.99805675562655 1.95915570262096 33.6604050958519 3.46228076539118 7.85284334676073 3.96487535449769 0.633681424390888 1.5608251489857 0.0229546912817452 0.306668016633271 12.1559440550747 3.68413091305958 0.254314953266599 9.66009144122867 2.59750221326819 1.2815668206362 21.8945744475864 0.528848755327398 0.799687051640398 0.691119463269396 18.0907623281739 0.236241364028947 1.57336494432487
X103 14.1342283170051 1.73160551046265 36.5435164580616 2.71502062876648 0.444929373999282 22.9262096027961 25.5192574046809 0.341022979907701 3.44896007678428 74.3687770768845 68.3762355190945 14.4651072369485 1.11326582511788 5.07474406777856 4.41985542972341 0.6970410367153 1.55428696139748 415.760575816273 86.3873605128459 1287.3268835271 0.0219432723129729 18.84128031715 13.1000385780372 3.07651727052469 1.40203764834122 134.962493992358 18.6529334593279 0.0666617955055669 0.825692798555282 1.74309640332777 6.06535677560579 206.645585562931 0.74358135152711 2.07192277731469 6.12466151443193 26.5361171101075 4.86640139617734 5.66784383954191 29.4550248992943 20.7627123453934 21.9429911812116 97.9908196328417 142.905502452373 0.917825153183748 1.6073988427155 8.19707946350366 0.433199302179211 0.234385946394324 0.0649923672175548 0.7461333620061 0.0506393092200084 8.1559673896551 0.814437550149337 7.8887722714128 1.1774146771897 8.78225393646294 0.846548870953889 20.5011867494441 1.65537582889225 2.74880763572716 0.184429227736633 3.23436552041236 24.7317336396562 55.5834659787998 23.5402586095566 4.90412400732777 512.316924973392 15.52506426621 37.7230202020259 93.6147047335675 1621.47884379832 1.53124444343097 10.8060922443013 0.544546702751049 4835.9732693025 75.9183780083735 44.7429032526069 0.827677672179525 26.6914701664062 64.3158510349742 48.1294689539561 85.3258115598176 58.0912352163149 1.2454365279327 1.92116971598167 3.77383371956744 1.40137495411114 41.3199030281341 24.3569553226143 26.6468639320009 4.25109209355015 25.9862058969196 0.897170623517431 26.7982934564691 2.93419530200426 1.10295784611821 13.6783534747823 11.2136775337013 1165.51028388127 7.28065606251831 0.700303932364236 5.99589885908179 0.175096669771527 25.0140174129409 7.19237651264346 4.02676705789957 41.2253685409724 29.0167505124428 6.99805557947813 1.95915552484822 33.563276656058 3.46228502942357 7.85283784223676 3.51683415786799 0.549612486074767 1.57248931804582 0.0229548398943319 0.306558180044521 12.1559376853998 3.85338015987714 0.254314812847112 13.0572019093868 2.59692985175621 1.19126342889462 21.8945728609251 0.528848913176048 0.799687024320557 0.548317385468361 18.2729757316574 0.236241359867337 1.57701148352255
X104 14.1342734661493 1.73160402956965 36.5434629894016 2.58255045577925 0.44716193236168 22.926218602706 26.4306481058135 0.304221345427611 4.29292162895935 74.2294535413087 68.3761969300405 10.4368541081177 1.11326326201216 5.07473161109618 4.24750981635439 0.697038405254794 1.08907620875621 425.58591021661 93.5402766227069 3113.24522853003 0.0219432422846667 18.9958859045723 13.100037517082 3.0765171143852 1.48236260335121 114.290856584297 18.6529328192443 0.0666617808623643 0.825692020297796 1.75201894568245 5.03580242403788 206.645558419535 0.743581142058457 2.0719222422387 6.12465214788133 26.5360632280744 4.66559371100109 5.42983811641529 23.6301267931282 20.7626869716197 18.9488981394023 96.7459937653093 142.934049277281 0.917824106992677 1.23726079492792 7.76798446083659 0.43319932080575 0.230108674504548 0.0649924996504294 0.746132686613943 0.050639263858912 7.43259145058348 0.814436980679321 7.56073837515022 1.1783224734555 8.78224821181531 0.846548285553685 20.501154377729 1.64293118795193 2.72751288821544 0.184429294474871 3.2343634687105 24.5421033493778 52.687656290072 23.5402542038538 4.90412041305564 511.539604441004 18.8279606941357 37.72302428426 100.080521136598 1712.95793986496 1.53124591378625 10.8060667270553 0.544547151433581 5207.17000246319 82.2441683109729 44.7428988510121 0.827675885609869 28.2444316644465 55.6119245548591 47.7570901397747 87.0753915553672 58.0911734894874 1.07736349913971 1.4391910737216 3.75720076882569 1.39632972525105 41.319884887603 24.3568751617183 25.3652929259254 4.1598991774151 25.8765173584465 0.809431451622215 26.7982104919266 2.6791189236716 1.01092627086824 12.620182214468 11.21367494785 1165.51049215704 7.28065212351119 0.612244853921626 5.88207788264358 0.171810877448738 25.2628404424475 5.17704084613691 4.02676575958219 35.1368460767024 26.5610025416535 6.99805478458338 1.95915570262096 32.9047153839765 3.4622808696353 7.8530146941584 3.16748636060356 0.561227773422355 1.53653981807534 0.0229546912817452 0.306668016633271 12.1559047962954 4.26508113245406 0.254314446706692 9.73818590165949 2.59544346083378 1.19011285865966 21.8945624356493 0.528848755327398 0.799687051640398 0.502282179200729 17.5186529940838 0.236241364028947 1.53606890798265
X105 14.1342796373581 1.7316059660122 36.5434700854328 2.68244641713353 0.535847531122548 22.9262238135453 25.5479895141629 0.307034580336406 2.84613092244535 74.1672635600835 68.3762333340755 13.2990565436286 1.11326326201463 5.07473669337861 4.60039978857764 0.697038417176514 1.89813684427366 381.619121667729 74.4116493394425 1180.35946771971 0.0219432723537542 18.8011637912584 13.1000378289112 3.0765167579047 1.33937037885832 105.52631127257 18.6529312830521 0.0666617961207361 0.825692233263741 1.74740240821804 5.19858592568939 206.645530459455 0.743581581069936 2.07192271304992 6.12466118352384 26.5361087406759 4.68056669921654 5.56698754857251 21.1127256434115 20.7626852740372 20.5142097624065 97.0574190248765 142.040396126345 0.917824587837521 1.3798106904417 8.28032373324178 0.4331993494133 0.284099741228004 0.0649926385394411 0.746132698121455 0.0506391784154848 7.8817043607433 0.814436990861132 7.90223753272975 1.17816805719805 8.78224880608352 0.846548566374134 20.5011811260962 1.67440514524909 2.74615075157838 0.18442968644838 3.23436455739267 24.7580473203171 50.6732167342274 23.5402590934077 4.90412363916679 519.588398786422 15.3970561630405 37.7230206908207 91.0265731580326 1626.27917306074 1.53124444343251 10.8060931146767 0.544546773825041 5143.26847808071 77.321521260782 44.7428785889612 0.827676600619273 21.2458238352799 63.5260678415028 48.4196490758645 85.4893071677685 58.0911409726649 1.31400328987795 1.61797249206766 3.77211227670717 2.52689792355552 41.3198965820997 24.3569379014237 26.6759836424983 4.28864211605343 25.9534786797968 0.955663253536526 26.798187295467 2.78438851534356 1.04773897349836 11.4940354454154 11.2136758987279 1165.50943059211 7.2806558624244 0.631170253871003 6.0116549327088 0.174670146863354 19.8598865109687 5.90244848942806 4.02676705605419 37.3593031132153 27.3774172635911 6.99805638649621 1.95915574034038 33.3113002850705 3.46228052098785 7.85284659497531 3.96328831905689 0.618491702267975 1.55626350780685 0.0229548519619592 0.30212507476109 12.1559283083658 4.15153228835663 0.254314449209425 10.5581792761296 2.59639915773291 1.28996658058409 21.8945679312564 0.528849142546085 0.799687035504589 0.506432473823514 17.9931613073269 0.236241382130146 1.56534076101882
X106 14.1342857631331 1.7316057578983 36.5435018591337 2.72119184677892 0.446893129894474 22.9262091067241 25.5672052605673 0.307034580336406 2.66528205953207 74.2287626130741 68.3763410436235 13.3918809545586 1.11326838822525 5.07476201124655 4.46908994047215 0.697040172319377 3.15690039323841 373.210893832991 80.8059218774971 1038.10936133795 0.0219432723537542 18.8282696932281 13.1000399062753 3.07651725572171 1.27420944536144 103.930695439501 18.6529313470603 0.0666617961207361 0.825692022530572 1.95540205957075 5.24400100231892 206.645538119186 0.743581653260362 2.07192295548332 6.12466330541046 26.5361152513438 5.42844769961419 5.72542451961197 19.8006786381594 20.7626877037543 21.1608529699883 98.1409648137973 142.296707552628 0.917824587837521 1.52192756281123 8.31433270834849 0.4331993494133 0.226676970038742 0.0649926385394411 0.746133500718303 0.0506391784154848 8.92372158323686 0.814437432685173 8.00624077430728 1.23268751900279 8.78226854279759 0.846548864987459 20.5012144350011 1.69519227383961 2.75291955782447 0.184429324340257 3.23436531537929 24.9880426001067 49.3790641408957 23.5402502181117 4.90412650869985 502.881385192274 16.0426874542102 37.7230190693482 92.4139438870574 1479.55637832291 1.53124444343251 10.8060858517044 0.544546773825041 4701.54525039741 73.9647109653663 44.7428741842759 0.827676600619273 22.3341553443769 68.3573027508503 48.0346267340063 87.0250683693399 58.0911382170024 1.17168260469956 1.76250927407683 3.7606259403907 2.15151847084484 41.3198957445588 24.3569609405205 26.7706039042923 4.29937069037204 26.0281320838266 0.955663253536526 26.7981790853423 2.91395111822149 0.98331687929089 10.4844668386261 11.2136760150931 1165.50916950183 7.2806558624244 0.631170253871003 6.01559952848279 0.221807094758885 18.7151643980645 5.83071325687803 4.02676699357933 36.8318503855191 27.7239290980716 6.9980566944717 1.95915574034038 33.6836691286033 3.46228052098785 7.85289758796086 3.99651286046914 0.654718527752242 1.5805488387172 0.0229549256400539 0.30212507476109 12.1559546678319 3.82688363634206 0.254314883403632 8.56677053514352 2.5972814802048 1.31028968324555 21.8945706681535 0.528848771751324 0.799687238440689 0.506432473823514 18.0278346003021 0.236241382130146 1.57551240729397
X107 14.1342319204021 1.73160488612095 36.5434952755943 2.65413495360943 0.444929373999282 22.9262141279719 27.2422693322772 0.302275087174481 4.59433620856834 74.2796662041838 68.3763564877206 13.2274484245483 1.11326550472972 5.07475057808746 4.36357978053534 0.697039866620058 1.4535858774803 380.94525743806 91.643669294128 1224.8472658109 0.0219432723129729 18.8141744151803 13.1000385780372 3.0765176687783 1.35316694821856 108.856446056875 18.6529318591236 0.0666617955055669 0.825692306844555 1.74309640332777 5.65662108594001 206.645587279767 0.74358135152711 2.07192265609799 6.12465859683783 26.5361044314384 4.82703923826167 5.5670203125168 22.4574408712834 20.7626889593668 20.8064667557648 97.5092437266546 142.563753883995 0.917824115781638 1.37053738876629 8.18857721972698 0.433199302179211 0.425795183691864 0.0649923672175548 0.746132682885689 0.0506393092200084 7.86888101202932 0.814437181962636 7.8749051725358 1.18681458439742 8.78225106566816 0.846548273727238 20.5011830484547 1.66369068032846 2.74034662791954 0.184429227736633 3.2343648382244 24.8738835000818 54.289313385468 23.540256081442 4.90412400732777 546.432927522786 16.9239320637442 37.7230220850262 99.7807968625666 1557.67559002891 1.5312482663522 10.8060909811756 0.544546702751049 5318.22799449468 92.7931540880308 44.7429273315533 0.827676881679815 28.571315500301 63.8134026044021 49.251768120649 86.7241883727501 58.0912313583874 1.2454365279327 1.83083422722594 3.75267467898447 1.96444413317716 41.3199208258782 24.3569513350783 26.5006326183194 4.25109209355015 25.9581010859907 0.80943161669984 26.7982397748845 2.80463269912632 1.08455153348751 12.8370463024578 11.2136810246559 1165.51031029117 7.28065606251831 0.754956391302905 5.97617588021184 0.175096669771527 26.311369140899 6.11634802439311 4.02676730779902 35.3303086431914 28.7395410448584 6.99805594904872 1.95915552484822 33.3935202715063 3.46228049480456 7.85283784223676 3.81585503057829 0.640179549785434 1.55123965349926 0.0229546925381425 0.306558180044521 12.155925907766 3.8704669310358 0.25431466811571 9.23057334827635 2.59692985175621 1.26239428820971 21.8945672350811 0.528849358129762 0.799687362547389 0.683201159803123 17.7182030440549 0.236241359867337 1.57023038600578
