Pseudomonadaceae CCD24 Steroidobacteraceae PLTA13 Woeseiaceae Erwiniaceae Enterobacteriaceae KI89A_clade Moraxellaceae Xanthomonadaceae Rhodanobacteraceae SC.I.84 A21b Nitrosomonadaceae Methylophilaceae TRA3.20 Sutterellaceae Comamonadaceae Burkholderiaceae Oxalobacteraceae X0319.6G20 Haliangiaceae Myxococcaceae Sandaracinaceae mle1.27 BIrii41 Polyangiaceae Bacteriovoracaceae Oligoflexales Geminicoccaceae Inquilinaceae Sphingomonadaceae Reyranellaceae Dongiaceae Azospirillaceae Methyloligellaceae Hyphomicrobiaceae Rhizobiales_Incertae_Sedis Devosiaceae Caulobacteraceae Beijerinckiaceae Xanthobacteraceae Rhizobiaceae Rhodobacteraceae Geobacteraceae bacteriap25 RCP2.54 WD2101_soil_group Gemmataceae Isosphaeraceae Pirellulaceae Rokubacteriales WX65 Nitrospiraceae Thermoanaerobaculaceae Subgroup_7 Subgroup_25 Vicinamibacteraceae Subgroup_11 AKAU4049 Subgroup_5 Rubrobacteriaceae MB.A2.108 Streptosporangiaceae Glycomycetaceae Propionibacteriaceae Nocardioidaceae Catenulisporaceae Actinospicaceae Micromonosporaceae Pseudonocardiaceae Nakamurellaceae Geodermatophilaceae Sporichthyaceae Streptomycetaceae Thermomonosporaceae Microbacteriaceae Cellulomonadaceae Promicromonosporaceae Micrococcaceae Intrasporangiaceae Mycobacteriaceae Nocardiaceae X0319.7L14 Ilumatobacteraceae Iamiaceae IMCC26256 Solirubrobacteraceae X67.14 Gaiellaceae Blastocatellaceae Pyrinomonadaceae X11.24 Fibrobacteraceae Nostocaceae Entotheonellaceae Microscillaceae Sphingobacteriaceae Chitinophagaceae Bacteroidaceae Hymenobacteraceae Bryobacteraceae Solibacteraceae Opitutaceae Pedosphaeraceae Xiphinematobacteraceae Chthoniobacteraceae Rubritaleaceae Alicyclobacillaceae Planococcaceae Bacillaceae Lactobacillaceae Enterococcaceae Clostridiaceae Gracilibacteraceae S085 Anaerolineaceae Gitt.GS.136 KD4.96 Herpetosiphonaceae AKYG1722 Roseiflexaceae JG30.KF.CM45 TK10 Gemmatimonadaceae S0134_terrestrial_group Thermoactinomycetaceae Desulfitobacteriaceae Paenibacillaceae Limnochordia Lachnospiraceae
X1 24.4198138694021 0.562440575397828 29.2969569335714 0.927927258425018 0.074018260795826 36.3080030111729 27.2637082897516 0.078742597263591 5.09959387133371 87.1316833534077 36.2033150993526 7.99512763868171 0.719134069633418 2.20601592411943 5.8743267548565 0.397062230569671 1.12809487555159 601.732803957877 132.648601456947 1477.49338324047 0.00651046169055491 35.6319831161073 9.88428613572888 4.24967043975691 2.18403371711212 165.411401673146 24.0017035946992 0.0763891135101202 1.14973814338457 0.221703192810246 6.36466929971652 230.569758548604 0.29291795898749 1.08766962630764 1.17187852111433 9.2939179851102 1.33491026690405 1.7525757031014 27.5325089430479 31.7440848154956 15.2037606178341 121.908747969161 180.197006992411 0.0780230902337082 0.125251467217464 2.34924214294031 0.0570016102613371 0.320947933001048 0.0617871536607854 0.0580669734252734 0.138797173629855 1.97813996830484 0.101648694854891 1.44586918818778 0.611925029723684 7.31006838250357 0.0765336512260043 1.69483023730299 0.103894087813444 0.398853495837482 0.0793640314687126 1.32444901327115 3.17271015880289 39.2873242796009 14.2448396528842 1.66682054328759 418.563054444413 159.115040591648 76.0657797361733 93.1689932945079 1681.12298870119 1.4666250686581 6.99159625717381 0.446827760903089 5373.90942645772 106.543518029217 34.2344357399788 0.951428244950098 14.1155430749195 37.8892402315431 47.4660670430386 76.7311797649282 73.6278158108792 0.480976512217307 0.337430976006074 2.56172554625267 0.531229046179791 57.2232020778994 13.6147652892087 13.5971128319485 2.45379068720148 13.148530332451 0.0978260679775165 32.0836207833251 0.242915722718957 0.0613785061764738 20.8162581014379 9.79708900806445 1172.97641633494 3.00969348213319 0.103423768496352 2.38402986025483 0.0527550528611582 22.8485966548582 3.30232898879113 0.818407329576109 60.1545427001587 30.926258526104 0.974465139916812 0.214984538617364 4.96578888892201 15.6867834662847 30.0808883959517 0.280832126270464 0.0230038056529609 0.356327372962515 0.0545457210645046 0.185321856738166 6.86207141221842 6.96450494773503 0.142801640077537 16.0816879234489 1.975787790937 0.56982333379291 15.7569715833146 0.373282564093663 0.595131838479985 0.234037847939884 2.58456599656504 0.00672462438410756 0.176006929039708
X10 24.6056184022867 0.562439470567853 26.247336219742 0.927927067669465 0.0740182828777277 37.749105401689 25.583308690747 0.0787425883079163 5.09959373706891 85.1193403337191 36.203193625009 7.74300563255555 0.539803574787929 2.20601896070071 5.87432225859306 0.39706223869434 1.13967779391787 590.094737717535 128.199729383971 1477.49331273591 0.00651046169595669 35.627557025574 9.38258167360459 4.24967120631189 2.18403301639571 165.05876465636 24.0016831446401 0.0763871394524575 1.14973622456289 0.221703435423089 6.36466961095236 230.569733433974 0.299985412880424 1.08766945758963 1.17187876712107 9.29391776609018 1.33491037959763 1.75257646876808 27.6993853109525 24.1921695389846 12.6326281039684 99.0139083843887 180.069054414054 0.0780232237347391 0.125251775053476 2.34927205245863 0.0570018282321561 0.320947942023529 0.0617871912432454 0.141858092053167 0.13888916775555 1.97814030217259 0.101648722946929 1.44586996465539 0.608119298231786 7.15611627042261 0.0765337032518987 4.02932297832399 0.103893658116271 0.398853615359971 0.0793641202528562 1.32444939337163 4.51014477383074 39.939102044665 17.9033373733954 1.69752047624734 480.346815560548 140.118529538519 83.3234752701145 93.372437468129 2011.25836661234 2.23253553134696 6.90452223158783 0.446827998479859 5829.95820937058 139.256465157426 34.2344333433727 0.924613107717766 14.1684482075311 37.8892382254897 57.2457916233188 76.731174782109 77.1369907756614 0.480974974901641 0.411965690716832 2.5649889164467 0.542167617157356 45.9587959694282 13.644542402747 10.0457001369723 4.5426143356953 13.2988276818567 0.097826131883686 32.0987118045245 0.359521487118883 0.0613786006994932 20.8162531484557 9.79709349291356 1172.9770395346 3.24936165265563 0.103423897943961 2.47358056631602 0.0527557160558855 25.5443962174406 4.20418324173057 0.826799748426557 27.8403421796594 34.8199730549557 0.974462992563386 0.234029295187792 4.96138891711087 15.6867795060669 30.0809045445514 0.354254073524922 0.0387770965250693 0.360789122935745 0.0545460101911131 0.176847812016849 6.86207025919985 6.96450446862578 0.142983304999558 11.057281955896 1.97578735525945 0.569822319376615 13.2514557591397 0.37328256613441 0.498089353511949 0.234037883367625 2.58410096544097 0.00672464705046442 0.176007504995342
X100 24.2908406148614 0.56243943438623 25.2943283255295 0.92792702126405 0.074018260795826 36.2686444083776 27.328055420405 0.078742597263591 5.09959246611365 83.4996621949939 36.2031923584372 7.64314491828586 0.533643058907072 2.20601628474112 5.87432535730351 0.397062230569671 1.06596847229189 564.314208296866 127.674467563518 1477.49325947846 0.00651046169055491 35.3309999433685 9.27198364695266 4.24967066585769 2.18403308734103 165.089182180134 24.0016794640811 0.0763871014644696 1.14973518126864 0.221703572247117 6.36466924493814 230.569720851932 0.29291795898749 1.08766952121223 1.17187852111433 9.2939171836646 1.33491026690405 1.7525757031014 27.9146730408587 23.6449287141467 10.3264484252987 92.9406875263446 175.334461172687 0.0780230902337082 0.125251467217464 2.34924214294031 0.0570016102613371 0.320947933001048 0.0617871536607854 0.0580669734252734 0.138797173629855 1.97813996830484 0.101648694854891 1.44587016634943 0.611925029723684 7.35850768596715 0.0765336512260043 0.82687931829704 0.103893214134194 0.398853495837482 0.0793640314687126 1.32444954857071 3.01953259845346 41.2752448768518 18.6491717798318 1.66682054328759 423.612417629332 98.4507630009699 65.8732813920379 91.5414456553156 1617.53579404982 1.31220217628614 6.75234171443704 0.446827760903089 5141.43477400085 97.9023612141465 34.2344333793845 0.923686697334206 12.8588308983537 37.8891900664245 38.2111150561196 76.7311473764294 71.0934100445889 0.48097491306608 0.337430976006074 2.59361004050367 0.531229046179791 41.6220726596386 13.6252643366652 8.37074407201881 2.1030989808509 12.1559402191895 0.0978260679775165 32.0765190869197 0.242915722718957 0.0613785061764738 20.8162544610472 9.79709310885045 1172.97605926736 3.00969348213319 0.103423768496352 2.38402986025483 0.0527550528611582 25.3921390843683 3.45725124194671 0.812173481361782 26.7931130553819 20.3192607120673 0.97446152315618 0.214984538617364 4.77730560316866 15.6867806959336 30.0808883959517 0.280832126270464 0.102885337506341 0.356327372962515 0.0545457210645046 0.185321856738166 6.86207032890444 6.96450446862706 0.142801640077537 10.1909977902981 1.975787790937 0.56982204673794 13.0474282816307 0.373282564093663 0.655729841574831 0.234037847939884 2.41632619184329 0.00672462438410756 0.176006929039708
X101 24.4044271821866 0.562439578160383 29.0428246546128 0.9279276951268 0.0740182684335699 36.7919158758146 27.4225600748992 0.0787426104701611 5.09959313102948 84.0209909954528 36.2031918739737 7.81899943918716 0.81760825951431 2.20602183669389 5.87432786188542 0.397062246389904 1.15598925075267 605.194687378754 128.781075797235 1477.49340162468 0.00651046169331403 35.7205075683051 9.86750975445072 4.24967022992182 2.18403335488935 165.42896271844 24.0016803231625 0.0763871459393718 1.14973624376072 0.221705015185434 6.36466931336072 230.569754756096 0.302596766100891 1.08766973999391 1.17187931705526 9.29392026383224 1.33491083173666 1.75257934672614 27.9245583160873 26.3264075015832 14.2861372365825 103.427040454813 179.397252186497 0.0780232941986885 0.125251779373264 2.34933951739859 0.0570019871267947 0.320947939421411 0.0617872155291389 0.17022752134072 0.144712557895121 1.97814144635567 0.101648725417357 1.44587436234082 0.610474307716774 7.7875179250684 0.0765338993494118 5.19396628659961 0.103895286738961 0.398853926202802 0.0793643393608292 1.32445161511158 9.95705233440931 40.2324020419349 19.8000309004313 1.71854082067114 431.782181106248 125.793289114621 82.490624130835 91.8872991693191 1613.10746725435 1.32110957846915 6.93451278433128 0.446827838590037 5528.30923844322 105.555961826375 34.2344373529332 0.930208506671314 13.6312142898524 37.8892229728522 51.4937555371377 76.7311580216216 71.6392891702356 0.480974973337595 0.413226358411913 2.63238895367493 0.608396259681651 43.3719503558648 13.6482531059143 20.4713013667783 1.66441016117685 17.8505761243378 0.0978262764088694 32.160851493002 0.857727013629343 0.0613786036061894 20.8162526569906 9.7970924081885 1172.97656548424 3.25604441294759 0.103423870058334 3.40902865830354 0.0527556466136774 23.1025037305942 3.56558580998378 0.841114013475984 29.0371669131565 19.5136733341195 0.974466906315287 0.230173749657487 5.27379471678064 15.6867267019899 30.0809048782733 0.549190795340346 0.0395588046618826 0.362516195186235 0.0545460643880937 0.187204001215624 6.86207270496455 6.96450470817981 0.143008638495309 8.97821364819966 1.97578762334859 0.569822439699181 16.2153741015063 0.373282330074567 0.555238223282705 0.234037888024098 2.77085265373882 0.00672464704907996 0.176008300637196
X102 24.4587317104143 0.56243949039026 26.8191420945895 0.92792710222438 0.0740182684335699 37.6840442058422 28.2590727733941 0.0787426104701611 5.09959313102948 82.8103172759816 36.2031925579136 8.06228161357841 0.53937174342479 2.20601660767937 5.87432856066192 0.397062246389904 1.07833124667805 659.554773201245 129.477115010991 1477.49329293018 0.00651046169331403 35.4195243955663 9.19397701679688 4.2496703994974 2.18403306422577 166.914866622518 24.0016992296261 0.0763871459393718 1.14973624376072 0.221703497437948 6.36466969680941 230.569723659664 0.302596766100891 1.0876696348985 1.17187883417234 9.29391886130243 1.33491045842014 1.75257672118387 29.1347446258215 27.1472679172605 14.5675206323057 104.585762872525 180.580898208404 0.0780232941986885 0.125251779373264 2.34933139947497 0.0570019871267947 0.320947939421411 0.0617872155291389 0.17022752134072 0.142718663942171 1.97814051925571 0.101648725417357 1.44587175390976 0.610474307716774 7.25468558696895 0.0765337109941209 4.49960555139484 0.103893830606878 0.398853637227257 0.0793641035428471 1.32444965234654 6.35737966619762 38.0163594089339 11.4807368828635 1.71854082067114 416.804294804916 106.4853568219 71.6239138339748 94.3082762826176 1634.41460869469 1.32110957846915 6.89101195837913 0.446827838590037 5121.3674710928 125.800957793112 34.2344323593683 0.924660197148136 15.348720931159 37.8891975687216 34.9670555604965 76.7311423936048 67.9351576656575 0.480974973337595 0.413226358411913 2.60688135827414 0.543615229927442 41.2200704361047 13.6313379739011 9.6452517926382 2.71648528022862 16.8579860110763 0.0978262764088694 32.4440316371664 0.435376561480298 0.0613786036061894 20.8162534410747 9.79710849588741 1172.9772889566 3.25604441294759 0.103423870058334 2.52016037885114 0.0527556466136774 62.1927347525378 3.51394505893192 0.825529392940167 66.4378727929511 39.2507452159346 0.974463289554655 0.230173749657487 4.99831914529498 15.6867267019899 30.0809048782733 0.364939411459856 0.0395588046618826 0.379480130939241 0.0545460643880937 0.187204001215624 6.86207232580466 6.96450704383116 0.143008638495309 16.7747152950169 1.97578730464907 0.569822439699181 13.6503397759122 0.373282330074567 0.514839554552807 0.234037888024098 2.61146757558137 0.00672464704907996 0.17600763263672
X103 24.1966464700848 0.562439494093842 24.2777886337527 0.927927095039321 0.0740182871091027 37.1066845992502 27.0965687429044 0.0787426069144475 5.09959320446904 80.9029261302879 36.2031952303703 7.68120806740507 0.516031737436153 2.20601680113592 5.87432317010997 0.397062430327926 1.12430899996366 559.968364826929 126.853815529568 1477.49321219112 0.00651045223773253 35.2911638775103 9.30947558750593 4.2496700998022 2.18403321830934 164.996196801855 24.0016814981652 0.0763871382552945 1.14973635796864 0.221703603960489 6.36466898035458 230.569724011624 0.302399493560796 1.08766957837384 1.17187887486318 9.29391744710269 1.33491048849391 1.75257702786045 27.2604530489247 22.7693423812217 10.8350627339198 91.4159683074956 172.679259399812 0.0780233818974289 0.125251816263703 2.34928538828355 0.0570019867573886 0.320947949580358 0.0617871840558531 0.156702729537387 0.139067890062453 1.97814047709182 0.10164873488154 1.44587131745301 0.611194012787797 7.2749808586237 0.0765337151017698 3.18614380871411 0.103894032484879 0.398853672763398 0.0793641021692562 1.32444949437508 4.70851966871913 38.6355471522997 15.1105887665327 1.70992377919072 397.741530715494 103.122041470798 67.4993226990981 90.442849909121 1467.6339122062 1.28646706854721 6.77723156929821 0.446827835591262 4982.29846599447 87.6563987140407 34.2344320457648 0.928787196626662 12.7992062349407 37.8892084937603 31.314630297127 76.731114761459 68.2860680170587 0.480974976613427 0.411359464865001 2.54451576562927 0.539562426190445 31.5252590178658 13.6263534712208 9.66683100001999 2.77630653372416 13.8475371426568 0.0978261916897473 32.0969364031143 0.412481664299454 0.0613786094435209 20.8162526164423 9.79709085731935 1172.97638542831 3.22506632250857 0.103423908912377 2.36369571834069 0.0527557438986435 25.6508231198265 3.8435683728874 0.824008776797193 26.3443102186748 17.6339488018934 0.974463286822693 0.232602119197597 4.95722151236082 15.6867810339409 30.0809044956713 0.377569018284605 0.0476515565306758 0.376595866812068 0.0545460433381597 0.186756338073622 6.86207047800923 6.96450446862755 0.142917689789288 7.93867786997663 1.97578734371489 0.569822459506876 13.729435172864 0.373282591860513 0.54778100963822 0.234037887636545 2.63525053712874 0.00672464086614323 0.176007662296605
X104 24.3569107199874 0.56243949039026 25.2943311962878 0.92792710222438 0.0740182684335699 37.2510995750935 29.7605058219745 0.0787426104701611 5.09959423076692 86.7217246773502 36.2031941888474 7.67406537784769 0.53937174342479 2.20601660767937 5.87432390215196 0.397062246389904 1.07833124667805 612.560552666354 128.764099231046 1477.49333249422 0.00651046169331403 35.5124750812651 9.74504925669547 4.24967085169894 2.18403340333328 165.27503620904 24.0016925128562 0.0763877495530669 1.14973920587664 0.221703497437948 6.36466936813911 230.569728045058 0.302596766100891 1.0876696874462 1.17187901525343 9.29391852736676 1.33491045842014 1.75257791461218 29.1028976176706 26.5453036124305 11.6598922098327 95.3159835308242 180.676869507478 0.0780232941986885 0.125251779373264 2.34929080985686 0.0570019871267947 0.320947939421411 0.0617872155291389 0.17022752134072 0.138730876036272 1.97814051925571 0.101648725417357 1.44587110180199 0.610474307716774 8.32035026316784 0.0765337109941209 3.89203990809068 0.103893830606878 0.398853637227257 0.0793641035428471 1.32444965234654 4.51924894200442 39.9553967128098 27.5076121225897 1.71854082067114 413.967573914512 109.661823102316 68.014896910565 94.0437997912489 1624.63839085736 1.32110957846915 6.81851058179223 0.446827838590037 5200.84446508761 95.3100187456486 34.2344344929824 0.924660197148135 14.9717072781893 37.8892126825715 42.522118406961 76.7311385432238 70.0016731366326 0.480974973337595 0.413226358411913 2.54948926862234 0.592201002243098 38.3957280414195 13.6202556460304 9.64525179263819 2.54113942705332 13.9905034616543 0.0978262764088694 32.0978239374043 0.502063474977516 0.0613786036061894 20.8162543371709 9.79709051551804 1172.97608381328 3.40013929670832 0.103423870058334 2.32263409452839 0.0527556466136774 26.1815287768432 3.92707106734679 0.825529392940167 27.3915358544455 19.9164707194627 0.974463691416947 0.230173749657487 4.99831914529498 15.6867267019899 30.0810144162814 0.364939411459856 0.119440336515262 0.362516195186235 0.0545460643880937 0.187204001215624 6.86207032167379 6.96450518728778 0.143008638495309 14.5223925970475 1.97578730464907 0.569822725711397 13.6142125318898 0.373282330074567 0.615836226377552 0.234037888024098 2.62917702870997 0.00672464704907996 0.17600763263672
X105 24.8975052415104 0.562439558337976 34.8243975226891 0.927927067669465 0.0740182828777277 36.922574742987 26.7415570425091 0.0787430541666868 5.09960357360936 90.3035072863268 36.2031951507212 7.75853428198478 0.539803574787929 2.20602491095861 5.87432621832653 0.397063359081587 1.07755139065818 622.136251718597 128.250659082539 1477.49337878654 0.00651046169595669 35.6806717031161 9.26012117584934 4.24967092368593 2.18403805456443 165.647790098998 24.0016975732571 0.0763871394524575 1.14973859425563 0.221703435423089 6.36466988484427 230.569743577967 0.34018483775097 1.08766945758963 1.17187955180583 9.29392184010534 1.33491037959763 1.75257646876808 28.5592545310268 30.7590528644026 20.980335510423 126.021053966461 181.028767404789 0.0780240315615951 0.125251775053476 2.35004325520272 0.0570018282321561 0.320947942023529 0.0617871912432454 0.141858092053167 0.13888916775555 1.97814207209072 0.101648722946929 1.44587257308646 0.608119298231786 13.0657112929801 0.0765337032518987 7.24074137864601 0.103895696701187 0.398853615359971 0.0793642774648443 1.32444939337163 8.4161725627413 38.7659030036645 36.3770637947591 1.79347329332211 496.629593471465 152.699827355066 82.4509656842352 90.1783752262141 1778.1331720298 1.30599817711523 7.01327429646818 0.446828159145391 5558.54516388269 154.193321937762 34.234433706541 0.930161417240945 13.8333249604469 37.8893015750306 61.0233230465511 76.73117636756 106.458115948743 0.480974974901641 0.411965690716832 3.06876392561247 0.623143904350116 75.8161298560997 13.6602909739317 22.3649979282351 2.26311824441647 16.828036973453 0.0978266645640526 32.1386588468047 0.759642968102189 0.0613786006994932 20.8162538765338 9.79709475469387 1172.97611289755 3.24936165265563 0.10342442423629 3.16492256144566 0.0527557160558855 31.0330930390149 3.68777573121197 0.82056590021223 27.3915337091019 32.1346571526679 0.974463595356825 0.234029295187792 5.22961513145218 15.6867795060669 30.0809045445514 0.477088329445249 0.0387770965250693 0.360789122935745 0.0545460101911131 0.176847812016849 6.86207524244419 6.96450584606119 0.142983304999558 11.9235599166534 1.97578823168311 0.569823749437693 16.5390349651828 0.373282943094198 0.498089353511949 0.234037883367625 2.82317858267715 0.00672464705046442 0.176007504995342
X106 24.3137315630631 0.562439470567853 27.8992146929022 0.927927067669465 0.0740182828777277 37.2243240310846 25.9479424311165 0.0787425883079163 5.09959324829672 87.5406877726616 36.2031980969241 7.73782941607914 0.539803574787929 2.20601661665972 5.87432458784804 0.39706223869434 1.07755139065818 585.159607974843 126.756721257891 1477.49332339688 0.00651046169595669 36.2029660322804 9.32135142472696 4.24967041495919 2.1840331617275 165.697046582007 24.001687871256 0.0763871394524575 1.14973622456289 0.221703435423089 6.36466895361176 230.569746634453 0.299985412880424 1.08766945758963 1.17187876712107 9.29391769930305 1.33491080624507 1.75257718482506 32.7949066150962 32.4554977234689 23.6065805371728 116.9295396121 182.500327323917 0.0780232237347391 0.125251775053476 2.34927205245863 0.0570018282321561 0.320947942023529 0.0617871912432454 0.300248876183155 0.13888916775555 1.97814080786349 0.101648722946929 1.44587094281704 0.608119298231786 7.54363069813129 0.0765337032518987 3.33496224311922 0.103893658116271 0.398853615359971 0.0793641202528562 1.32445028553756 4.89308867470432 38.8962584526646 14.3554031600209 1.69752047624734 466.503617615377 101.502664953077 62.4625642622733 96.1392684547559 1570.32587492343 1.30599817711523 6.87552168095307 0.446828052035036 5292.8661968206 123.702382890298 34.2344376106008 0.924613107717766 13.4563113074772 37.8891922407976 46.8575802094301 76.7311661753751 80.3342411269814 0.480974974901641 0.411965690716832 2.60325030954789 0.542167617157356 93.3001542041505 13.6952877987865 12.2855724626564 2.61380995076706 17.7103392963521 0.097826131883686 32.1004872286258 0.359521487118883 0.0613786006994932 20.8162524763835 9.79709002301772 1172.97640428272 3.24936165265563 0.103423897943961 9.58452680193517 0.0527557160558855 25.2766549090711 5.54684276907891 0.82056590021223 27.3915337091019 21.9304567239744 0.974478866123939 0.234029295187792 4.96138891711087 15.6867795060669 30.0809045445514 0.354254073524922 0.0387770965250693 0.360789122935745 0.0545460101911131 0.209361245672021 6.86207015086845 6.96450548673022 0.142983304999558 11.5770487323505 1.97578735525945 0.569822319376615 13.0708195390275 0.37328256613441 0.498089353511949 0.234037883367625 2.58410096544097 0.00672464705046442 0.176007504995342
X107 24.1898584040563 0.562439494093842 24.0236534840358 0.927927095039321 0.0740182871091027 36.8967720510085 27.182364917109 0.0787426069144475 5.09959320446904 84.2555610457467 36.2031928628859 7.84167077817377 4.22585195196309 2.20601680113592 5.87432596521595 0.397062430327926 1.07771419751889 606.446974791688 127.414042213811 1477.49333922249 0.00651045223773253 35.3442785550524 9.20742517270989 4.2496700998022 2.18403389652436 165.932069979009 24.0016844833963 0.0763871382552945 1.14973635796864 0.221703603960489 6.36466908991134 230.569729105769 0.302399493560796 1.08766947327844 1.17187887486318 9.29391811497403 1.33491048849391 1.75257774391743 27.2604530489247 23.8638229354581 12.1481852472947 94.9812680543038 181.316676316428 0.0780233818974289 0.125251816263703 2.34928538828355 0.0570019867573886 0.320947949580358 0.0617871840558531 0.156702729537387 0.139067890062453 1.97814047709182 0.10164873488154 1.44587131745301 0.611194012787797 7.71093458979598 0.0765337151017698 3.3597339925153 0.103894032484879 0.398853672763398 0.0793641021692562 1.32445074340738 4.93828600924328 38.3748362542996 11.4403119940764 2.00516321634385 419.754484825027 98.949036749468 66.9044297996349 92.2738410032123 1453.93049575045 1.28646706854721 6.86423322120249 0.446827835591262 5156.81003110837 128.516725939589 34.2344337254184 0.928787196626662 18.2449590000594 37.8891927367679 49.1634662718994 76.7311602865516 79.4764442466789 0.480974976613427 0.411359464865001 2.54451576562927 0.539562426190445 49.1437758609017 13.6345193970202 15.6398238685111 2.42561482737357 13.4063859812073 0.0978261916897473 32.1422097176986 0.412481664299454 0.0613786094435209 20.816256312839 9.79708928009397 1172.97587542376 3.22506632250857 0.103423908912377 2.36369571834069 0.0527557438986435 24.4459872321639 3.43044236447253 0.8489441696545 41.3045925705926 28.7780097963876 0.974463286822693 0.232602119197597 4.95722151236082 15.6867804183073 30.0809044956713 0.377569018284605 0.0476515565306758 0.359631931059062 0.0545460433381597 0.186756338073622 6.86207123632902 6.96450548673199 0.142917689789288 10.7107673444005 1.97578734371489 0.569823031531307 13.4042899766619 0.373282591860513 0.507382340908322 0.234037887636545 2.61754108400013 0.00672464086614323 0.176007662296605
