Genotype Germplasm Treatment Compartment Block Plot Pseudomonas CCD24 Acidibacter Steroidobacter PLTA13 JTB255_marine_benthic_group Pantoea KI89A_clade Acinetobacter Arenimonas Lysobacter Luteimonas Stenotrophomonas Dyella Luteibacter Dokdonella SC.I.84 A21b Nitrosospira Methylotenera MND1 TRA3.20 Ellin6067 mle1.7 Noviherbaspirillum Ralstonia Ramlibacter Variovorax Rhizobacter Burkholderia.Caballeronia.Paraburkholderia X.Aquaspirillum._arcticum_group Massilia X0319.6G20 Haliangium P3OB.42 Cystobacter Myxococcus mle1.27 BIrii41 Aetherobacter Sorangium Pajaroellobacter Peredibacter Oligoflexus Candidatus_Alysiosphaera Inquilinus Sphingobium Sphingomonas Ellin6055 Reyranella Dongia Skermanella Hyphomicrobium Pedomicrobium Nordella Devosia Rhodoplanes Pseudolabrys Phenylobacterium Caulobacter Microvirga alphaI_cluster Bosea Methylobacterium.Methylorubrum Bradyrhizobium Afipia Rhodopseudomonas Methyloligellaceae Mesorhizobium Phyllobacterium Amaricoccus Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium bacteriap25 RCP2.54 WD2101_soil_group Gemmata Singulisphaera Pirellula Rokubacteriales WX65 Nitrospira Subgroup_10 Subgroup_7 Subgroup_25 Vicinamibacteraceae Luteitalea Subgroup_11 AKAU4049 Subgroup_5 Rubrobacter MB.A2.108 Nonomuraea Streptosporangium Glycomyces Marmoricola Nocardioides Aeromicrobium Microlunatus Kribbella Catenulispora Actinospica Micromonospora Catellatospora Rhizocola Actinoplanes Dactylosporangium Amycolatopsis Saccharothrix Kibdelosporangium Lechevalieria Pseudonocardia Saccharopolyspora Umezawaea Geodermatophilus Nakamurella Blastococcus Streptomyces Kitasatospora Actinocorallia Leifsonia Agromyces Microbacterium Cellulomonas Promicromonospora Paenarthrobacter Terrabacter Phycicoccus Nocardia Mycobacterium Rhodococcus X0319.7L14 Ilumatobacter Iamia IMCC26256 Conexibacter Solirubrobacter X67.14 Gaiella Aridibacter RB41 X11.24 possible_genus_04 Nostoc_PCC.7524 Nostoc_PCC.73102 Entotheonellaceae Chryseolinea Mucilaginibacter Pedobacter Arcticibacter Niastella Flavitalea Puia Segetibacter Terrimonas Flavisolibacter Flaviaesturariibacter Chitinophaga Aurantisolimonas Bacteroides Adhaeribacter Bryobacter Candidatus_Solibacter Ellin517 Pedosphaeraceae LD29 Candidatus_Xiphinematobacter Candidatus_Udaeobacter Chthoniobacter Luteolibacter Tumebacillus Psychrobacillus Lysinibacillus Solibacillus Bacillus Lactobacillus Enterococcus Clostridium_sensu_stricto_13 Clostridium_sensu_stricto_1 Lutispora S085 Anaerolinea Gitt.GS.136 KD4.96 Herpetosiphon AKYG1722 JG30.KF.CM45 TK10 Roseisolibacter Gemmatimonas S0134_terrestrial_group Shimazuella Planifilum Desulfosporosinus Cohnella Paenibacillus Thermobacillus Hydrogenispora Herbinix
CK_R1_1 X1 Landrace CK Root 1 P11 0 15 0 34 14 0 0 0 8 11 33 0 25 5 0 14 0 0 0 0 25 0 29 0 0 0 48 19 0 0 0 145 0 0 0 0 7 0 6 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 34 21 0 11 0 0 61 41 0 8 11 0 0 0 12 8 0 0 0 0 0 7 0 19 0 0 0 43 0 0 0 0 0 24 5 0 0 27 0 0 0 0 0 5 0 0 0 0 29 13 5 0 31 0 0 0 0 0 18 182 0 16 0 0 0 0 0 0 0 35 0 0 0 8 12 0 22 0 14 52 16 14 52 0 0 0 0 0 5 0 0 0 18 14 0 0 0 0 0 0 0 232 5 0 0 0 0 0 0 20 7 0 6 0 0 0 62 477 138 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CK_R1_2 X1 Landrace CK Root 2 P11 20 0 41 31 4 0 315 0 21 13 47 25 0 0 105 0 2 0 0 6 0 0 0 0 0 57 0 53 90 173 0 2852 0 46 7 0 0 11 158 0 27 18 0 0 0 26 119 289 0 0 2 0 0 0 0 34 0 0 36 4 8 6 0 6 218 0 0 0 119 13 0 141 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 8 202 28 22 125 58 103 0 311 156 357 0 16 0 14 104 4615 545 49 2143 102 36 111 0 0 6 11342 0 148 33 17 14 0 43 0 15 16 109 129 0 0 0 0 0 25 0 8 3 0 9 0 0 0 0 0 25 6 0 0 2654 0 65 0 6 11 6 94 0 0 0 0 0 14 0 0 0 0 35 20 0 0 0 0 0 0 8 0 0 0 0 0 0 6 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0
CK_R1_3 X1 Landrace CK Root 3 P11 170 66 138 260 83 11 5 13 0 34 694 285 0 0 19 0 280 27 64 25 42 20 0 33 34 0 263 62 46 194 0 3632 0 86 16 0 42 0 46 64 20 18 0 20 61 577 381 1684 26 16 58 394 128 84 150 65 22 50 80 8 811 41 31 46 587 13 4 127 169 106 34 334 289 12 18 52 25 6 188 31 328 14 226 31 441 24 31 126 41 144 817 185 70 206 327 861 321 58 594 26 48 0 28 21 0 80 928 1061 7 601 168 14 26 33 0 313 4787 0 72 42 176 31 16 33 57 185 17 43 481 0 37 17 47 33 146 596 998 1127 27 622 0 16 19 49 33 0 17 90 12 724 51 25 0 0 139 256 18 21 0 42 394 29 40 41 0 204 217 125 33 465 16 0 29 1485 0 0 64 90 30 45 32 18 522 13 22 163 71 47 301 28 9 17 27 30 845 22 0 59
CK_R10_1 X10 Landrace CK Root 1 P05 0 0 3 5 0 0 0 0 0 4 13 17 0 0 95 0 10 0 0 0 0 0 4 0 0 4 0 0 55 36 0 1063 0 10 3 0 0 0 90 0 8 10 0 0 0 0 37 61 0 0 0 0 0 0 6 0 0 0 19 0 3 0 0 3 43 0 0 0 26 0 0 39 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 14 0 5 14 30 46 6 68 80 18 0 0 2 28 0 511 38 11 146 29 0 0 0 6 23 4871 0 85 14 13 0 0 0 0 13 0 22 80 3 0 0 0 0 25 0 11 8 0 0 0 0 0 0 0 6 5 0 0 746 0 9 0 0 14 7 2 0 0 0 0 0 0 0 0 0 0 44 57 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 2 2 0 3 0 2 0 0 0 0 0 0 2
CK_R10_2 X10 Landrace CK Root 2 P05 0 0 0 14 0 0 121 0 42 0 107 27 0 0 24 0 0 24 0 0 0 0 17 0 0 16 0 0 88 77 0 1303 0 73 0 0 0 3 70 0 36 0 0 0 0 4 54 123 0 0 0 0 0 0 0 28 0 0 34 0 0 0 0 4 34 0 0 0 30 0 0 183 0 0 0 0 0 0 0 0 0 0 20 0 3 0 0 0 0 0 11 172 0 92 131 530 175 0 247 127 61 0 31 0 0 43 1391 772 0 1699 109 0 106 0 0 30 12048 0 155 0 0 0 6 25 0 56 0 118 49 0 0 0 16 0 32 5 18 12 0 11 0 23 0 0 0 0 4 0 0 1054 0 0 0 0 17 6 33 0 0 0 2 0 0 0 0 0 4 110 6 0 0 0 0 0 0 4 0 0 0 0 0 0 9 0 0 0 0 0 8 0 13 0 0 0 11 0 0 0
CK_R10_3 X10 Landrace CK Root 3 P05 110 0 0 0 0 0 0 0 0 34 55 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 43 165 0 0 1917 0 56 0 0 0 0 447 0 57 0 0 0 91 0 150 934 0 0 0 0 47 0 0 0 0 0 3 65 0 0 0 0 230 0 0 0 518 146 0 440 0 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0 0 0 0 75 0 8 192 290 199 0 920 0 0 0 0 0 7 25 3336 1454 0 1250 89 0 60 0 0 0 11061 0 344 0 135 0 0 0 0 20 0 157 62 0 0 0 0 0 110 0 0 72 0 0 0 43 0 0 0 0 16 0 0 870 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 184 0 0 0 0 0 0 0 0 0 0 0 0 0 71 80 0 0 0 0 0 0 27 0 0 0 0 0 0 0
CK_R100_1 X100 Inbred_line CK Root 1 P11 0 0 0 5 0 0 0 0 0 150 5 4 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 64 0 0 0 0 0 0 15 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 4 0 0 0 0 0 0 0 0 630 0 0 0 7 0 0 9 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 3 0 16 0 236 17 8 22 0 0 0 0 8 26 6 0 29 30 11 0 0 0 0 427 0 0 0 0 0 0 5 0 4 0 0 0 6 0 0 0 0 9 0 0 0 0 483 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CK_R100_2 X100 Inbred_line CK Root 2 P11 0 0 65 25 0 0 16 0 0 30 54 40 0 0 30 0 2 0 0 23 0 0 0 0 0 0 37 60 295 332 0 2863 0 25 29 0 0 0 644 0 113 12 0 0 0 73 341 151 0 0 0 0 0 3 5 116 0 0 62 34 0 0 3 0 62 0 6 0 100 50 0 129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 36 0 7 16 51 58 0 52 10 15 0 0 0 0 14 714 260 0 1108 0 0 0 0 0 0 3370 0 96 0 5 0 0 9 0 29 0 13 3 0 2 0 0 0 20 7 9 6 16 13 0 111 0 0 0 12 0 0 0 857 0 0 0 0 0 0 86 0 0 0 0 0 0 4 0 0 0 33 66 0 0 0 0 0 0 63 0 0 0 0 0 0 0 29 0 0 0 0 4 0 0 0 0 0 0 0 0 0
CK_R100_3 X100 Inbred_line CK Root 3 P11 23 0 23 23 0 0 71 0 0 3 39 17 0 8 154 0 0 0 0 9 0 0 3 0 0 0 95 50 170 43 0 1688 0 52 13 0 0 5 394 0 34 13 0 0 0 9 77 386 0 0 4 0 0 0 6 45 0 0 20 11 10 0 0 10 197 0 0 0 91 35 0 477 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 3 0 3 149 0 109 76 202 140 0 900 39 90 0 11 0 0 47 5295 203 43 1245 289 17 11 0 10 6 6355 0 210 58 22 0 0 82 7 24 0 61 390 7 0 0 0 0 35 8 9 0 4 8 0 51 0 0 0 0 18 0 0 4116 0 12 0 0 23 0 545 0 0 3 0 0 0 0 0 0 0 27 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 3 0 0 0 0 0 0 0 0 0 0
CK_R101_1 X101 Inbred_line CK Root 1 P14 30 0 0 13 0 0 0 0 0 24 9 17 0 0 0 6 0 0 0 3 0 0 3 0 0 0 0 78 160 162 0 3202 0 48 7 0 0 0 59 0 28 26 0 0 0 23 35 228 0 0 0 0 0 0 0 4 8 0 7 0 0 0 0 0 52 0 0 0 102 12 0 190 0 0 0 0 0 0 46 0 4 0 66 0 12 0 0 3 0 0 54 118 0 91 136 36 93 0 97 24 193 0 36 0 0 211 1550 598 0 2006 0 0 102 0 40 42 9474 0 8 0 0 0 0 90 0 55 0 257 179 0 0 0 0 0 0 18 6 23 0 33 16 0 0 0 0 6 0 0 0 2147 0 0 0 0 0 0 818 0 0 0 0 0 0 0 0 0 0 0 56 5 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 16 0 0 0
