X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X20 X22 X23 X24 X25 X26 X27 X28 X29 X30 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50 X51 X52 X53 X54 X55 X56 X57 X58 X59 X60 X61 X62 X63 X64 X65 X66 X67 X68 X69 X70 X71 X72 X73 X74 X75 X76 X77 X78 X79 X80 X81 X82 X83 X84 X85 X86 X87 X88 X89 X90 X91 X92 X93 X94 X95 X96 X97
X1 1.25454140762613 0.7702283223415 0.813429450014368 0.478357200751889 0.0465778549638191 0.116788945919121 0.35307717388843 1.30158144921492 0.664515952856077 0.212870490115891 0.26964958104919 0.269932175688154 -0.0088276325671298 0.841129958623766 0.0971278198422044 -0.281478175773376 0.131667830273323 0.0858220246679445 -0.0880274139113779 0.366757145779833 0.411997585183218 0.00488456043558896 0.368131120766247 0.387299199271304 -0.104627561845336 0.751166651186073 0.257489790515437 -0.174275804048086 0.0868344777046421 0.37016389076176 -0.271295936437434 -0.254000798968989 0.0434719001815565 0.56050590351282 0.563072879634674 0.563861999349173 0.563878678509862 0.553617853329518 0.555434337790695 0.557154796994396 0.563894331769794 0.552903203634311 0.553399948511025 0.553934914346476 0.559966103897899 -0.473068800976584 0.298483809707793 -0.322051333257114 -0.455523769651635 -0.38677431552755 -0.701323712868656 -0.654342271007396 -0.396323913822682 -0.500973161404882 -0.338456144017418 -0.105040069279816 -0.0461086285832532 -0.629791714230486 -0.557831958255059 -0.391748992662195 -0.210471007827241 -0.346254387551063 0.171423176258092 -0.0882408815202493 -0.0616112917799154 -0.590461509528334 -0.512078082814615 -0.235902450523648 -0.330675283205484 -0.349071142738337 -0.53615102391798 -0.591677255903925 -0.355452912881 -0.454575138141627 -0.188011023436802 -0.622356717691694 -0.547136118062827 -0.656230682507106 -0.686735251617927 -0.840297608016308 -0.845847621178182 -0.552487064501318 -0.792804401977141 -0.97020997961846 -0.822450197249426 0.166356066849996 0.144563363377485 0.362494589188983 0.273280927302774 0.275078446148956 -0.33679861490137 0.220584993736172 0.232161546791562 0.0643339279236057
X2 0.7702283223415 0.840772214834706 0.715094414071742 0.627714032168724 0.298547590407161 0.392992150627961 0.607019595510917 1.23235570244486 0.838347499919124 0.315375589067453 0.596554067218117 0.579412256873647 0.399860974570997 0.991560118990706 0.375418462943582 -0.023397782028411 0.168470859700445 0.11566635458918 -0.013049403014564 0.352962091886811 0.338253970467143 0.106604015263021 0.288811674068265 0.370530601455696 -0.186307110921341 0.594905999333537 0.0935254569299205 0.0166734452046219 0.105200167845172 0.200044799107701 -0.227837945695707 -0.143595428939593 -0.0578268029071829 0.138962418864449 0.138899778944381 0.149828166141149 0.144614353171783 0.141306761577029 0.14912220614707 0.143120963786372 0.139721231079501 0.152020935910665 0.145358190571387 0.13714104252159 0.159083836174253 -0.400973326374548 0.151197294665098 -0.274950995825968 -0.313838179087502 -0.216128871761696 -0.498290257509943 -0.471194754862164 -0.293787945264296 -0.368902601795015 -0.186810267025746 -0.0597440891955384 -0.00478341785927205 -0.357159834439554 -0.385936748642357 -0.224453418896137 -0.121353226000549 -0.199656120358546 -0.000244112250140986 0.027510203130315 -0.0467767360181497 -0.478023925488582 -0.454202813934123 -0.387176075279074 -0.228402202410978 -0.374192696824698 -0.362711397971866 -0.484310109350954 -0.273977241655447 -0.272730312740363 -0.319129972603884 -0.345214799022985 -0.46701513226706 -0.385708646849087 -0.4274996049602 -0.558290249502082 -0.581204279043813 -0.377112207011246 -0.54483052811826 -0.658409623446161 -0.553706617886656 -0.0966499103784889 -0.0988895816427097 0.0868866469308635 0.0127227011271725 -0.0284861867606929 -0.35881769097077 -0.0712338026413362 -0.0358606538970693 -0.0496135192532784
X3 0.813429450014368 0.715094414071742 1.39295762700363 0.536669870830355 0.159158045817069 0.249681833251401 0.59007775688855 0.959576203277949 0.599341824545013 0.271758574987897 0.532691686996536 0.509351511976921 0.324687776957751 0.702298326152451 0.236678760797911 0.0116113632249714 0.0924759769284625 0.0888548772340305 -0.162140163954577 0.149985687972916 0.193219536399093 0.21203048014764 0.16001886131051 0.30041246494978 -0.251755249667269 0.422218279174512 0.0425164745383165 -0.305008668587575 -0.003316759558434 0.0829238694648058 -0.187094310259952 -0.178481782222915 -0.147782487658847 0.360413377728939 0.35797272696855 0.367964012840979 0.363233617545581 0.356897358176746 0.372924115294006 0.359765542236477 0.35879417910367 0.377236902639327 0.363771757707175 0.361315198040676 0.386089324802584 -0.280733244906962 0.280557196961558 -0.172516506905985 -0.220011956399538 -0.25233549635343 -0.467953682561867 -0.449177318080004 -0.249870571517234 -0.355976461624213 -0.163688629133111 -0.010318789731122 -0.0238385395476607 -0.431896581205629 -0.197570529369148 -0.207879327691461 -0.130922631781782 -0.178663893477326 0.130690831749211 -0.000934269970448967 -0.179014123101965 -0.342242231490904 -0.339931114531201 -0.360238426611492 -0.0164662145376192 -0.268584623172532 -0.19100832916955 -0.357858096383843 -0.170287230249205 -0.265385251790026 -0.163313031651693 -0.370261282385602 -0.327696899035195 -0.337313023233081 -0.526261769968829 -0.52479051731833 -0.554857497275269 -0.391698446154392 -0.526466965356033 -0.664237822229995 -0.608869793913652 -0.252745520351765 -0.296083297762064 -0.112562869157859 -0.267555161139417 -0.249423754060583 -0.582147722855537 -0.244685904653186 -0.256729742816467 -0.368763162186281
X4 0.478357200751889 0.627714032168724 0.536669870830355 0.855390594638282 0.538027408008097 0.619749208942089 0.748982659659691 0.893271425183473 0.786131317490787 0.434305630367224 0.755823168412812 0.735159314566104 0.693145731749647 0.875835383982792 0.497652039304156 0.329035814245382 0.109846909652234 0.0391107969951761 -0.079602449342797 0.189376021302956 0.258114405356363 0.129862251093698 0.257021549848958 0.248196659342066 -0.221067443575321 0.247115807121305 -0.116943028397771 0.201320364590641 -0.12409828229917 0.143313204292407 -0.12865285410768 -0.0818651868368847 -0.180997193818638 -0.104821494504108 -0.10447740315357 -0.122002201511169 -0.117517175201907 -0.114521885658148 -0.114926839737072 -0.113092268279387 -0.113308013606112 -0.118083876062396 -0.116303726272888 -0.114737870735943 -0.118179063397485 -0.27741370947433 -0.117056962225248 -0.193895345249906 -0.200050954891612 -0.185447448212604 -0.22763067493037 -0.232345731728362 -0.169379555531394 -0.210677423266234 -0.0964311410788073 -0.0689651040124375 -0.0143270681324941 -0.161608331305178 -0.233447891929314 -0.158737207264511 -0.0983598872048668 -0.156969726329406 -0.163990173236785 0.0180630416070441 -0.00793512929887161 -0.323900447007425 -0.338184853644574 -0.377947582849128 -0.151660434760132 -0.265080817033356 -0.100229189175719 -0.322458007346089 -0.186906745926628 -0.100727788944131 -0.338670825888992 -0.177745796292986 -0.323184463546526 -0.287547657241298 -0.234956899596276 -0.253359808066934 -0.299111606693942 -0.202618191265234 -0.270905908110132 -0.350261041978961 -0.278330219879096 -0.236083696848425 -0.245244209847496 -0.1948700917671 -0.139626737224957 -0.201156215210661 -0.282541028989462 -0.207742348121289 -0.185547100064084 -0.0901243763821454
X5 0.0465778549638191 0.298547590407161 0.159158045817069 0.538027408008097 1.14589504518654 1.06719154013704 0.697204335705329 0.559780981242739 0.802165069604769 0.766634400121904 0.659052516363538 0.60904286075489 0.603928680506181 0.593563705088315 0.916376793904529 0.762562856751837 0.198735156389238 0.117831789567394 0.211371094537312 0.241780354634599 0.294796918310181 0.29327065090834 0.312339504346189 0.191285954331426 0.0696890926325141 0.0874869400580923 -0.0497555299350301 0.435827651117462 -0.0416287427612714 0.130944052006664 0.0667221891683797 0.0807659394708766 -0.0393955186533341 -0.496451207009323 -0.49680321019358 -0.50815419592413 -0.50187486257275 -0.498986778742307 -0.507947030559613 -0.501439984031388 -0.49598175805846 -0.511065199938867 -0.503617562338873 -0.4915277281211 -0.520107996772302 -0.154397094637224 -0.43329562155368 -0.145424098948793 -0.0435457656241822 -0.122081585783282 0.135453610406654 0.0421684815680442 -0.0865646239969091 -0.00387505193077127 0.0718344779655353 -0.0357206031227145 -0.0129490732811726 0.0406176423437675 -0.0583569568906653 -0.079653100056604 -0.0538838463842317 -0.100044496022551 -0.402151642299607 -0.0885080735409916 0.0324762522741117 -0.144116711024684 -0.135243451025526 -0.345416183658267 -0.134134895829783 -0.18429367220003 -0.0280091517432158 -0.139123748761845 -0.0683421132755124 0.00617552650291475 -0.391803190599083 0.00824901857439924 -0.13940459373995 -0.203620509677034 0.0145418877536294 -0.0523250878717282 -0.0372454807828477 -0.0347784762313014 -0.0285286943947005 0.121399192917195 -0.00568068180220076 -0.460675627936131 -0.436967470690374 -0.44164243836998 -0.419703902861113 -0.43919322836369 -0.138029784488737 -0.477191370996532 -0.437399893634694 -0.123413762704003
X6 0.116788945919121 0.392992150627961 0.249681833251401 0.619749208942089 1.06719154013704 1.13620945851902 0.840541623426737 0.958561547376874 1.00968456918335 0.734515069746759 0.816525912295682 0.775522859112893 0.723318846437708 0.912612722676084 0.957919862941984 0.637252126762862 0.0873941758671657 0.011800608120704 0.0809589382030169 0.266594661022767 0.332144718254705 0.322335183786885 0.398010914726817 0.328001010693437 -0.134273058568922 0.216580999935027 -0.134300731678458 0.398742711343874 -0.125738818551685 0.150939466351298 -0.0650530005398447 -0.0441799914335776 -0.210420203900923 -0.530072081648136 -0.530596235706144 -0.538696915041462 -0.534094300649342 -0.52897724518655 -0.537717606680103 -0.53198270314872 -0.529774783571024 -0.53961894732162 -0.53291023982293 -0.524658395806773 -0.548661744155054 -0.308460534693605 -0.396359747555552 -0.213416887301996 -0.13426806223636 -0.185142033965115 -0.00690113500900398 -0.0969534613963909 -0.153379196978847 -0.122180888899719 0.0357532838450614 -0.036845391835677 -0.00865260868859075 -0.0805055282749048 -0.129664638813351 -0.132197354896001 -0.06142997735363 -0.154977983290415 -0.408829161212281 -0.00132445376152737 0.0538741456466263 -0.25712427296979 -0.257358145940606 -0.436873310276581 -0.12910140497237 -0.290330999646316 -0.0252153559976581 -0.271037243139598 -0.0916837062772256 0.0178672129916513 -0.457484557257359 0.026724415161181 -0.205529884542089 -0.19964583314573 0.0520590736607306 -0.0586737782123452 -0.0630144177900111 0.00665486066665548 -0.0500944402270527 0.130683105422715 0.0169743149931411 -0.361689297973296 -0.340847960458544 -0.366236757938138 -0.330457510344241 -0.325520713138139 -0.0208203225088275 -0.329891248398125 -0.309474639605192 0.0481597722824498
X7 0.35307717388843 0.607019595510917 0.59007775688855 0.748982659659691 0.697204335705329 0.840541623426737 1.22917753636724 1.39705709610523 1.03995543781411 0.463527069402113 1.00481343724847 0.992207121564278 0.886050837074961 1.15601950902856 0.773443622718217 0.235066903917911 -0.131182272613402 -0.186936593427177 -0.263869486640347 0.270318424028288 0.500549820093146 0.318960318944687 0.484668747724909 0.515467584420129 -0.476201836954717 0.38338303970705 -0.206169874205688 0.166896363516084 -0.323995554191395 0.209658527326 -0.248647875134852 -0.201913580225716 -0.529924346993655 -0.352971313397229 -0.351777814236365 -0.339678935146118 -0.343006983675589 -0.348875417559361 -0.348227020588185 -0.348229632295276 -0.346130330807414 -0.347265038583528 -0.347864314431237 -0.350410126248044 -0.343781182119278 -0.52263847279966 -0.114122456950829 -0.216747861275191 -0.247287401482901 -0.298555713230217 -0.201858712447974 -0.239444375308824 -0.198182895430006 -0.377155178563912 -0.0354596008120963 0.0217888514377001 0.0439210807259378 -0.347187466997477 -0.131220992988565 -0.180666871184182 -0.0730785520780033 -0.163473402735185 -0.224651648608912 0.165909925765256 0.0168345471483024 -0.323078849109225 -0.274535317514191 -0.406692565086674 0.0045773250955193 -0.334264019173317 0.0644725967583208 -0.272711335583276 -0.0913019185197642 0.0227492471678543 -0.381337213762604 0.00759709105742766 -0.329759969633802 -0.257376546456993 -0.0800520723715259 -0.274686841120674 -0.321570975510287 -0.115735611317733 -0.281167240144739 -0.179786664124692 -0.376742669901138 -0.323103799487764 -0.295103823524971 -0.369707950010332 -0.179115029478606 -0.26032441324462 0.0994828276739647 -0.210178273341467 -0.260012773784787 0.195678969660371
X8 1.30158144921492 1.23235570244486 0.959576203277949 0.893271425183473 0.559780981242739 0.958561547376874 1.39705709610523 4.58548586642903 2.56714343051777 0.64758270014466 1.2455380746945 1.20702586383236 0.370800029691903 3.11064391334093 1.11499284811294 -0.68646116892835 -0.363643892644971 -0.568257709888113 -0.927029336239661 1.32629484039639 1.48601621261977 0.591634384372416 1.62696870278772 1.60239907265679 -1.25230520471949 2.0265444260625 -0.111726313328237 -0.270601754719658 -0.350930180113536 0.90670331090369 -1.16814939068336 -1.06730940339239 -1.2079246582244 -0.173012424460702 -0.170988428137033 -0.175340702174992 -0.172671758478746 -0.172142236316544 -0.181269682387892 -0.173100295031423 -0.170166976001913 -0.184304634647226 -0.17622766901837 -0.173875008102391 -0.187978865781653 -1.67208186690673 0.299200758236008 -0.901149023784243 -0.972076619329385 -0.978494149881717 -1.38453690327292 -1.40950168619158 -0.932333704854108 -1.20940970142193 -0.322307835005649 0.081703465634222 0.290217271224485 -1.41271321256023 -0.9702822617741 -0.723119612831365 -0.179145074822412 -0.647077125230663 -0.155391671343366 0.385963177614593 0.274893425722135 -1.37471172519666 -1.35982530000402 -1.2304346300604 -0.28182255895482 -1.1498577759615 -0.488275010213027 -1.40188335718815 -0.190943947774203 -0.328306500093849 -0.838461150400842 -0.35700782936032 -0.945943746030443 -0.90114864464514 -0.443745737977986 -0.93545466454685 -0.971321022079557 -0.0969779067264137 -0.825435505983883 -0.629604996038697 -0.601607507063877 0.489593867172406 0.481660791791213 0.534670484984132 0.636522819568255 0.614709774684958 0.690927780804536 0.667523396970298 0.722564710677124 1.41969785243832
X9 0.664515952856077 0.838347499919124 0.599341824545013 0.786131317490787 0.802165069604769 1.00968456918335 1.03995543781411 2.56714343051777 1.88988354136139 0.669362315871959 1.0128756162969 0.998181739509385 0.60061713024173 1.99922206973455 1.05192911561718 0.0403744553453769 -0.163936542419997 -0.298318478815147 -0.355288558024393 0.859067138319745 0.859839659996362 0.452858760994786 0.929440704674356 0.918378269144848 -0.633144384009502 1.12649298778553 -0.148602312809321 0.152932580153341 -0.165750343634363 0.49997172028593 -0.586409019078996 -0.518325390518566 -0.59744892312864 -0.322369164919157 -0.318717767877937 -0.321992415919424 -0.317389801527304 -0.333800981755255 -0.33836579214958 -0.330543113068583 -0.313070284448986 -0.344442683890325 -0.337733976391636 -0.324656101081648 -0.340958827426075 -0.953778534875394 -0.0675651287659682 -0.573031962684065 -0.528731128591791 -0.582521461272277 -0.65953537930867 -0.729031376811863 -0.520604681609326 -0.623721868915991 -0.152050097362943 0.0118852950919551 0.093585107789795 -0.662897122174086 -0.557233678995563 -0.405088456594832 -0.152081802521016 -0.388846772415745 -0.278690183713247 0.169747094446131 0.140109921991493 -0.791051754355213 -0.768346538800872 -0.831231799703671 -0.250101308708857 -0.735324452356874 -0.309302554046145 -0.759856249140197 -0.151701786746382 -0.180806381040282 -0.608147983089065 -0.175991015601897 -0.520364467261347 -0.521094242432221 -0.194508122966931 -0.492253212410343 -0.512476020815028 -0.0905833903282262 -0.432008333425989 -0.3067689657703 -0.210005713158846 -0.0163336404543851 -0.00845693131940355 0.110724703194259 0.104016341186998 0.0703056463587325 0.236539543181591 0.0371969202808789 0.133694814709212 0.636871067944672
X10 0.212870490115891 0.315375589067453 0.271758574987897 0.434305630367224 0.766634400121904 0.734515069746759 0.463527069402113 0.64758270014466 0.669362315871959 0.828986288852638 0.463217171247888 0.429266584333568 0.341920525567275 0.659568129378472 0.766151321855302 0.580282640317354 0.356657330335559 0.309113768715297 0.31865757581731 0.33205264694036 0.288564890473818 0.28261206095866 0.39278581738631 0.282783064240785 0.239263859577618 0.336433389564486 0.155374827108016 0.215276839529057 0.102527188091345 0.242411788867679 0.059892675918729 0.0614072669637543 0.117966683701395 -0.274013289195237 -0.272299319438101 -0.285870644342536 -0.278445915961844 -0.284238567884124 -0.291962827311936 -0.283630237198967 -0.27147786730298 -0.297825793402477 -0.289504874773668 -0.275037711496096 -0.301500024536904 -0.251119221258661 -0.269167127075174 -0.247333928890833 -0.174155035367846 -0.19818461041676 -0.155974967316093 -0.195133100332116 -0.231493209258147 -0.16766995907891 -0.0900557027267152 -0.146250039712147 -0.101477308785571 -0.148815063253622 -0.253674381849789 -0.172901205137559 -0.0987028540134928 -0.173295222209146 -0.278443404450429 -0.12247937558807 -0.0816180524790347 -0.282256409714626 -0.289228824530049 -0.353455276329471 -0.201078942337306 -0.246794301350777 -0.188819418957635 -0.294544747513549 -0.152452374456963 -0.133205982024574 -0.356296653370693 -0.219028623471242 -0.279598691568742 -0.226557899922746 -0.17451145092936 -0.12325862792298 -0.100728170715589 -0.0302579292230228 -0.102215787335211 0.0231899353346386 0.0207063974873728 -0.227957678818419 -0.235773735898944 -0.220434541958717 -0.256425290152043 -0.225909274528187 -0.244859130793232 -0.257745036700905 -0.223197925726204 -0.112658940094371
