Hybrid Inbred_line Landrace
X1 0 0 1
X10 0 0 1
X100 0 1 0
X101 0 1 0
X103 0 1 0
X104 0 1 0
X105 0 1 0
X106 0 1 0
X107 0 1 0
X108 0 1 0
X11 0 0 1
X110 1 0 0
X117 1 0 0
X119 0 0 0
X12 0 0 1
X120 0 0 0
X121 0 0 0
X122 0 0 0
X123 0 0 0
X124 0 0 0
X125 0 0 0
X126 0 0 0
X127 0 0 0
X128 0 0 0
X129 0 0 0
X13 0 0 1
X14 0 0 1
X15 0 0 1
X16 0 0 1
X17 0 0 1
X19 0 0 1
X2 0 0 1
X21 0 0 1
X23 0 0 1
X24 0 0 1
X25 0 0 1
X26 0 0 1
X27 0 0 1
X28 0 0 1
X29 0 0 1
X3 0 0 1
X30 0 0 1
X31 0 0 1
X32 0 0 1
X33 0 0 1
X34 0 0 1
X35 0 0 1
X36 0 0 1
X37 0 0 1
X38 0 0 1
X39 0 0 1
X4 0 0 1
X40 0 0 1
X41 0 0 1
X42 0 0 1
X43 0 0 1
X44 0 0 1
X45 0 0 1
X46 0 0 1
X47 0 0 1
X48 0 0 1
X49 0 0 1
X50 0 0 1
X51 0 0 1
X52 0 0 1
X53 0 0 1
X54 0 0 1
X55 0 0 1
X56 0 0 1
X57 0 0 1
X58 0 0 1
X6 0 0 1
X61 0 0 1
X62 0 0 1
X63 0 0 1
X64 0 0 1
X65 0 0 1
X66 0 0 1
X67 0 0 1
X68 0 0 1
X69 0 0 1
X7 0 0 1
X70 0 0 1
X71 0 0 1
X72 0 0 1
X73 0 0 1
X74 0 0 1
X75 0 0 1
X76 0 0 1
X77 0 0 1
X78 0 0 1
X79 0 0 1
X8 0 0 1
X80 0 0 1
X81 0 0 1
X82 0 0 1
X83 0 0 1
X84 0 0 1
X85 0 0 1
X86 0 0 1
X87 0 0 1
X88 0 0 1
X89 0 0 1
X9 0 0 1
X90 0 0 1
X91 0 0 1
X92 0 0 1
X93 0 0 1
X94 0 0 1
X95 0 0 1
X96 0 0 1
X97 0 0 1
X99 0 1 0
X102 0 1 0
X109 1 0 0
X111 1 0 0
X112 1 0 0
X113 1 0 0
X114 1 0 0
X115 1 0 0
X116 1 0 0
X118 1 0 0
X18 0 0 1
X20 0 0 1
X22 0 0 1
X5 0 0 1
X59 0 0 1
X60 0 0 1
X98 0 1 0
