Genotype Germplasm Treatment Compartment Block Plot fASV113 fASV149 fASV249 fASV115 fASV159 fASV122 fASV154 fASV537 fASV97 fASV145 fASV126 fASV476 fASV44 fASV269 fASV216 fASV180 fASV300 fASV215 fASV121 fASV123 fASV280 fASV236 fASV242 fASV339 fASV297 fASV293 fASV95 fASV3 fASV70 fASV60 fASV12 fASV94 fASV316 fASV395 fASV176 fASV186 fASV125 fASV329 fASV11 fASV21 fASV19 fASV455 fASV311 fASV68 fASV34 fASV148 fASV417 fASV499 fASV62 fASV36 fASV588 fASV196 fASV88 fASV197 fASV224 fASV559 fASV273 fASV65 fASV35 fASV228 fASV323 fASV509 fASV508 fASV105 fASV120 fASV128 fASV26 fASV810 fASV510 fASV327 fASV378 fASV112 fASV590 fASV257 fASV255 fASV337 fASV291 fASV84 fASV158 fASV100 fASV99 fASV325 fASV246 fASV310 fASV391 fASV23 fASV163 fASV178 fASV248 fASV464 fASV367 fASV517 fASV374 fASV37 fASV22 fASV57 fASV39 fASV25 fASV49 fASV9 fASV31 fASV78 fASV42 fASV183 fASV422 fASV411 fASV41 fASV331 fASV440 fASV165 fASV187 fASV58 fASV80 fASV271 fASV147 fASV332 fASV160 fASV106 fASV111 fASV140 fASV185 fASV127 fASV91 fASV376 fASV67 fASV222 fASV138 fASV87 fASV24 fASV86 fASV76 fASV119 fASV598 fASV90 fASV166 fASV245 fASV136 fASV13 fASV167 fASV10 fASV77 fASV29 fASV45 fASV436 fASV43 fASV102 fASV66 fASV153 fASV109 fASV162 fASV64 fASV50 fASV239 fASV320 fASV71 fASV130 fASV15 fASV17 fASV85 fASV6 fASV53 fASV81 fASV114 fASV135 fASV124 fASV150 fASV506 fASV108 fASV152 fASV101 fASV20 fASV7 fASV243 fASV8 fASV5 fASV2 fASV1 fASV485 fASV319 fASV371 fASV220 fASV74 fASV375 fASV14 fASV93 fASV400 fASV170 fASV288 fASV258 fASV386 fASV451 fASV569 fASV301 fASV98 fASV191 fASV214 fASV203 fASV175 fASV267 fASV318 fASV270 fASV61 fASV322 fASV40 fASV30 fASV27 fASV103 fASV155 fASV59 fASV16 fASV82 fASV380 fASV104 fASV523 fASV131 fASV32 fASV28 fASV192 fASV268 fASV206 fASV349 fASV359 fASV360 fASV252 fASV33 fASV139 fASV223 fASV189 fASV132 fASV4 fASV47 fASV213 fASV56 fASV194 fASV157 fASV96 fASV202 fASV79 fASV18 fASV83 fASV231 fASV72 fASV55 fASV46 fASV173 fASV69 fASV305 fASV133
CK_S1_1 X1 Landrace CK Rhizosphere 1 P11 60 0 0 9 230 0 15 0 46 0 33 0 20 11 0 0 0 16 21 54 0 6 10 0 6 14 134 5392 43 0 269 0 0 21 21 53 6 0 249 79 112 0 6 0 0 18 3 0 0 139 0 0 43 37 26 0 0 10 354 10 5 5 0 0 32 42 456 0 0 3 0 12 0 7 8 0 0 0 13 42 26 0 19 0 0 1420 0 18 12 0 19 0 0 0 538 637 69 140 0 66 94 0 118 0 0 0 76 21 44 24 0 0 0 0 31 0 0 0 32 0 0 0 0 4 0 0 101 573 0 0 32 0 0 61 18 0 15 9830 21 777 0 3 39 0 335 0 9 0 0 16 21 2271 0 0 0 20 877 1385 23 2270 60 0 28 9 0 0 0 12 0 0 0 327 9 239 0 4164 34286 5 7 2 11 75 0 957 48 0 0 0 0 0 3 3 10 47 8 16 0 47 0 0 8 6 0 53 0 57 88 0 0 13807 24 0 25 0 28 906 0 16 0 0 21 4 0 30 401 0 0 0 0 3600 283 0 143 10 7 34 38 91 37 26 0 0 0 26 21 0 12 0
CK_S1_2 X1 Landrace CK Rhizosphere 2 P11 0 16 0 10 0 0 27 0 41 20 19 0 100 152 0 27 0 4 12 0 24 4 0 0 0 7 7 7349 163 0 422 0 0 0 13 0 0 0 203 124 135 0 7 0 21 11 3 0 10 25 0 0 0 34 0 2 0 11 101 0 0 0 0 0 4 5 318 0 0 0 2 5 2 0 6 0 0 0 10 12 25 0 20 0 0 211 0 136 0 0 0 0 0 16 0 0 0 0 0 1128 40 0 29 0 0 0 0 0 0 23 0 0 2 0 0 0 0 0 34 0 18 0 0 5 0 3 20 404 132 8 39 0 0 37 4 0 14 1029 9 533 0 123 755 0 195 207 119 8 0 78 33 212 0 0 21498 49 963 565 66 321 271 82 29 244 218 125 2 35 0 0 0 861 0 35851 461 9730 12519 0 0 0 6 0 0 522 26 0 0 0 0 0 3 3 4 36 0 0 23 0 0 0 10 26 0 198 0 116 39 0 0 885 6 0 12 0 14 109 26 7 0 10 6 0 0 11 242 17 0 0 0 1376 79 0 84 9 24 19 16 42 462 35 0 0 0 174 13 7 0 66
CK_S1_3 X1 Landrace CK Rhizosphere 3 P11 11 0 0 0 3 0 32 0 0 0 36 0 21 0 0 19 0 0 15 0 0 6 0 0 0 17 4 584 120 380 77 0 0 0 3 0 8 0 68 21 43 0 0 8 15 8 0 0 0 47 0 0 31 0 0 2 0 8 106 0 0 0 3 0 0 29 412 0 6 13 0 2 3 13 14 0 0 4 0 11 154 0 0 0 0 596 0 7 0 3 0 0 0 60 46 0 0 0 0 214 0 16 0 0 3 0 51 0 0 28 0 0 0 0 5 0 0 5 0 3 0 0 2 0 0 0 0 0 68 0 130 0 0 50 10 0 25 257 7 1030 0 17 0 0 118 0 47 0 7 0 100 145 0 50 108 46 587 905 0 1711 73 14 21 0 29 32 0 19 0 679 39 941 0 1763 378 36735 68237 0 0 4 10 98 0 743 40 3 0 0 0 0 0 0 14 38 0 0 30 0 0 0 14 3 0 57 9 61 6 0 16 252 0 0 10 0 0 0 33 0 0 0 0 0 0 0 244 0 10 0 0 782 62 0 32 0 11 7 4 73 197 26 0 0 73 12 8 0 0 2
CK_S10_1 X10 Landrace CK Rhizosphere 1 P05 67 0 0 121 76 0 47 0 136 0 36 0 9 0 0 16 0 0 80 61 0 65 18 0 9 15 0 4687 54 0 359 0 13 0 7 0 0 0 234 63 83 0 2 7 23 9 0 0 11 136 0 0 244 59 91 8 8 43 331 5 6 0 3 0 0 30 434 0 0 2 8 2 0 26 8 4 0 0 11 42 33 0 0 14 0 1356 72 20 27 0 0 0 3 0 0 6 35 0 0 29 0 0 6 0 0 3 5 9 0 57 33 0 166 0 17 9 2 26 7 27 0 0 0 3 0 21 12 35 32 0 27 0 0 100 3 6 30 3937 25 291 0 241 4 0 17 0 22 14 0 0 14 71 0 0 0 15 729 671 0 1440 77 0 68 11 9 0 3 29 0 6 0 423 12 1668 0 472 69700 0 8 0 8 113 0 1922 87 4 6 0 0 0 0 0 6 70 14 17 49 0 0 0 10 0 0 16 2 32 33 0 11 336 6 28 0 0 0 143 0 15 0 0 10 4 5 0 449 0 37 0 0 2292 237 0 137 21 5 42 7 37 60 66 0 0 0 34 17 68 0 0
CK_S10_2 X10 Landrace CK Rhizosphere 2 P05 0 34 5 11 0 0 47 0 44 0 0 0 65 6 0 9 5 0 21 23 0 15 0 0 0 0 5 1897 48 67 797 0 0 0 2 0 0 0 219 71 82 0 0 0 12 0 0 0 0 11 0 8 12 0 0 0 0 7 265 0 0 0 0 0 0 0 152 0 0 0 0 0 0 4 2 13 0 0 0 31 0 0 0 0 0 66 0 10 0 0 0 0 0 16 0 0 0 0 0 2234 5 0 0 0 0 2 0 0 0 17 0 0 6 0 0 0 5 0 0 2 0 0 0 0 0 6 0 37715 189 0 21 0 0 36 9 0 7 1061 12 386 39 87 449 13 499 143 35 0 0 0 8 70 0 0 197 0 3124 348 48 881 45 70 48 8 871 716 0 34 0 0 0 828 0 4925 2287 1026 2620 0 0 0 5 63 0 795 30 0 0 0 0 0 0 0 0 16 6 0 0 0 0 0 0 18 0 47 0 80 22 0 0 1273 17 8 0 0 28 45 0 0 6 8 0 3 0 0 119 20 0 0 0 1166 126 0 59 6 14 11 6 48 169 14 0 4 0 59 9 5 0 11
CK_S10_3 X10 Landrace CK Rhizosphere 3 P05 23 0 6 4 0 12 7 0 0 0 26 0 54 0 0 0 0 7 0 0 0 0 0 0 18 0 65 932 0 0 254 0 0 0 0 0 0 0 28 0 20 0 0 0 2 0 0 0 19 18 0 4 18 0 0 0 0 0 32 5 0 0 0 0 0 6 118 0 0 0 0 24 0 4 2 0 0 2 0 9 14 0 0 0 0 82 0 5 0 2 0 0 0 0 0 0 4 0 0 482 0 19 0 6 0 4 0 0 0 10 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 4 15 151 5347 4 9 0 0 35 7 0 5 130 0 15434 3 259 8 7 344 0 55 7 0 0 98 273 0 86 61 39 2416 1442 88 1077 213 29 11 15 155 64 0 28 0 1767 229 1552 0 792 630 12228 50738 0 2 0 6 0 0 303 0 0 0 0 0 0 0 0 6 13 0 0 0 0 0 0 0 3 0 1019 11 68 6 0 83 54 0 0 0 0 0 35 0 0 0 0 0 0 0 0 114 0 0 36 0 466 39 0 39 5 9 15 0 11 202 12 0 0 58 9 9 7 0 3
CK_S100_1 X100 Inbred_line CK Rhizosphere 1 P11 0 9 29 42 31 3 34 0 44 0 19 4 0 5 0 0 0 0 28 0 32 0 0 0 0 0 8 6250 0 0 692 0 0 0 11 0 0 0 126 18 29 0 8 0 6 7 0 2 6 60 0 0 242 20 0 0 0 5 189 0 0 0 0 40 0 29 306 0 0 4 0 0 0 13 2 0 0 0 22 201 28 0 0 0 13 1320 87 11 26 12 0 0 0 0 0 0 0 11 0 1006 4 0 0 0 6 8 2 14 0 71 37 0 0 4 5 0 0 0 20 0 11 0 0 3 0 0 0 0 526 19 0 22 0 79 13 0 16 5643 21 1304 0 188 0 0 19 0 112 0 20 0 0 106 0 0 8 9 431 439 0 26 238 0 48 226 0 0 0 0 29 0 6 9096 5 10279 41 68 806 0 4 3 13 63 0 792 35 6 36 0 0 0 0 3 30 55 18 0 50 0 0 0 10 3 0 523 0 38 28 0 0 268 0 0 18 0 28 254 31 0 9 0 0 0 3 0 396 0 32 116 0 691 64 0 74 19 23 30 0 20 1204 119 0 0 0 35 10 0 10 9
CK_S100_2 X100 Inbred_line CK Rhizosphere 2 P11 10 0 0 0 0 0 47 15 27 122 26 9 9 5 0 17 0 0 0 38 0 18 0 0 0 0 0 9396 0 609 6570 0 0 0 0 0 0 0 50 59 52 0 2 0 12 26 0 0 0 38 0 0 36 23 0 0 0 6 137 0 6 0 0 0 0 13 418 0 0 0 0 9 2 0 13 98 0 483 26 9 8 0 0 0 0 860 0 9 0 0 35 0 0 0 4 0 0 0 0 3586 8 0 0 0 0 0 0 0 0 102 34 0 0 0 0 3 0 0 0 6 0 0 0 2 0 6 0 0 97 0 36 36 0 55 16 0 23 877 10 1447 0 15 0 10 72 0 0 0 0 0 629 234 0 0 9 0 180 205 14 213 37 0 41 0 78 79 0 66 0 3 74 54282 12 202 764 2626 4606 0 0 0 0 86 0 1642 98 0 4 0 0 0 0 0 0 28 16 0 0 30 0 0 11 183 0 354 0 78 10 0 12 795 0 0 17 0 17 0 68 17 0 0 0 0 0 0 300 0 0 0 0 630 75 0 56 0 11 33 5 18 2276 46 0 0 0 33 7 0 0 4
CK_S100_3 X100 Inbred_line CK Rhizosphere 3 P11 0 0 0 0 0 0 20 0 18 0 12 0 37 0 0 0 0 0 0 21 0 0 7 0 18 0 39 410 0 55 409 0 0 4 2 0 0 0 24 16 8 0 3 0 11 0 0 0 0 0 0 0 17 0 0 0 0 0 55 0 0 0 0 0 45 8 92 0 0 3 0 0 0 0 0 0 0 0 0 18 7 0 0 0 0 296 0 5 0 0 0 0 0 0 0 0 0 0 3 206 0 0 0 34 0 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 7 0 51 0 14 0 0 45 6 0 6 136 11 7002 0 142 0 0 123 102 30 0 33 0 68 136 0 5 221 11 527 484 66 3278 327 9 15 0 11 0 0 0 31 38 0 300 0 1139 882 6441 78877 0 0 0 0 0 0 4134 59 0 0 0 0 0 0 2 0 12 0 0 0 0 15 0 0 0 0 5 13013 29 5 0 0 284 0 0 0 13 0 15 0 0 0 0 0 0 0 0 103 0 66 0 0 545 20 0 11 0 6 5 0 14 305 15 0 0 4 55 4 2 0 70
CK_S101_1 X101 Inbred_line CK Rhizosphere 1 P14 20 0 0 0 0 0 30 0 22 0 36 0 0 6 0 0 21 32 46 0 0 6 0 0 0 0 4 165 0 0 41 0 0 6 35 21 0 0 213 39 71 4 5 0 0 0 2 0 14 287 2 0 151 36 0 0 0 0 1355 4 0 5 0 0 0 30 794 0 20 11 0 0 0 8 16 4 0 3 22 19 40 0 0 0 23 873 0 6 43 2 0 0 0 0 0 0 138 145 0 10 0 0 0 0 0 0 0 0 0 97 47 0 0 7 24 6 0 0 9 36 0 0 0 13 0 2 12 0 3778 0 92 0 0 113 40 0 15 6487 28 348 0 35 0 8 120 0 28 0 13 0 0 107 0 0 11 98 1019 1504 0 732 166 0 79 5 0 0 0 22 0 0 0 1448 13 574 38 420 6951 4 0 3 7 93 0 1740 71 4 0 7 0 6 0 3 8 41 28 14 0 32 0 0 15 3 0 38 0 57 56 106 23 2110 0 0 36 0 493 628 407 24 0 17 0 0 8 23 450 42 439 0 0 5296 565 0 343 26 18 37 19 82 76 30 0 0 0 1924 16 16 0 52
