Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_S1_1 X1 Landrace CK Rhizosphere 1 P11 196 125 5392 0 21 21 249 27 139 0 0 106 10 354 10 5 0 498 15 0 0 12 1520 30 19 0 0 1384 66 212 0 0 108 71 37 5 0 32 0 40 9931 1570 7363 0 39037 7 2 1080 0 10 0 0 148 14842 4550 0 144 12 0
CK_S1_2 X1 Landrace CK Rhizosphere 2 P11 104 359 7349 0 0 13 203 21 35 0 2 34 11 101 0 0 0 323 6 0 0 5 278 136 0 0 0 16 1128 69 0 0 4 23 2 0 0 34 18 49 1275 1723 26038 2 59457 0 0 548 0 4 0 0 158 1089 1877 0 233 7 66
CK_S1_3 X1 Landrace CK Rhizosphere 3 P11 68 469 584 0 0 3 68 8 47 0 2 31 8 106 0 0 3 447 27 0 0 6 761 7 3 0 0 106 214 16 0 0 51 41 13 0 5 0 3 144 332 1372 3993 0 108791 0 4 881 3 14 0 9 134 336 1152 73 80 0 2
CK_S10_1 X10 Landrace CK Rhizosphere 1 P05 452 228 4687 13 0 7 234 11 147 0 8 394 51 331 5 6 3 464 34 4 0 2 1528 47 0 0 3 41 29 6 0 3 5 92 183 9 26 7 27 43 3995 774 3162 3 72310 8 0 2128 4 6 0 2 69 579 3236 0 184 68 0
CK_S10_2 X10 Landrace CK Rhizosphere 2 P05 123 229 1897 0 0 2 219 0 11 0 8 12 7 265 0 0 0 152 6 13 0 0 97 10 0 0 0 16 2234 5 0 2 0 17 6 0 0 0 2 21 1147 38630 7573 0 11720 0 0 888 0 0 0 0 128 1392 1530 4 81 5 11
CK_S10_3 X10 Landrace CK Rhizosphere 3 P05 58 99 932 0 0 0 28 0 37 0 4 18 0 32 5 0 0 124 6 0 0 26 105 5 2 0 0 4 482 19 6 4 0 10 0 0 0 0 3 9 1161 21457 6488 0 67964 2 0 303 0 6 0 11 79 177 723 61 22 7 3
CK_S100_1 X100 Inbred_line CK Rhizosphere 1 P11 140 109 6250 0 0 11 126 15 66 0 0 262 5 189 0 0 0 335 15 0 0 0 1671 37 12 0 0 11 1006 4 0 8 42 112 9 0 0 20 11 32 6200 3333 1682 0 20330 4 3 926 6 30 0 0 58 624 1448 0 158 10 9
CK_S100_2 X100 Inbred_line CK Rhizosphere 2 P11 83 869 9396 0 0 0 50 28 38 0 0 59 6 137 0 6 0 431 13 98 0 492 903 9 35 0 0 4 3586 8 0 0 0 136 0 3 0 0 6 83 1431 3906 1801 0 62635 0 0 1830 0 0 0 0 96 949 1110 0 107 0 4
CK_S100_3 X100 Inbred_line CK Rhizosphere 3 P11 46 142 410 0 4 2 24 3 0 0 0 17 0 55 0 0 0 100 0 0 0 0 321 5 0 0 0 3 206 0 34 0 45 7 0 2 0 0 0 14 156 7558 5446 0 87708 0 0 4193 0 0 0 13013 43 318 756 4 82 2 70
CK_S101_1 X101 Inbred_line CK Rhizosphere 1 P14 125 94 165 0 6 35 213 7 301 2 0 187 0 1355 4 0 0 844 24 4 0 3 977 49 2 0 0 283 10 0 0 0 0 155 31 10 0 9 36 107 6572 4402 3890 0 9466 0 3 1904 4 8 0 0 139 3753 7266 0 2045 16 52
