Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_R1_1 X1 Landrace CK Root 1 P11 160 268 14208 0 0 0 2747 19 178 0 0 0 320 1937 0 0 0 0 0 0 0 0 3 3 0 0 0 11417 0 18 0 0 138 0 2602 0 0 4 0 0 1453 315 2779 0 1999 0 0 37 0 0 0 0 376 17988 19715 0 37 127 0
CK_R1_2 X1 Landrace CK Root 2 P11 22 236 7399 0 0 0 2376 0 1600 0 0 0 74 35 0 0 0 0 0 0 0 0 7 0 0 0 0 71 0 3 6 0 0 0 311 0 0 15 0 0 105 3007 809 0 23595 0 0 0 0 0 0 0 17 6 2648 0 2 0 0
CK_R1_3 X1 Landrace CK Root 3 P11 330 242 2127 0 6 19 1283 29 69 2 7 125 34 36 6 10 0 239 0 7 5 20 174 8 0 0 0 31 30 0 0 6 29 0 3 3 0 5 7 18 503 1532 1129 4 41627 16 0 752 6 0 3 4 170 525 4813 2 74 0 24
CK_R10_1 X10 Landrace CK Root 1 P05 35 188 25799 0 0 0 4898 7 906 0 0 0 316 105 0 0 0 0 0 0 0 0 0 0 0 0 0 392 2 20 0 0 0 0 598 0 2 0 0 149 154 294 4512 0 25683 0 0 0 0 0 0 85 13 249 2414 0 60 13 0
CK_R10_2 X10 Landrace CK Root 2 P05 75 3 16539 0 0 0 1011 0 101 0 0 0 25 43 0 0 0 0 0 0 0 0 4 0 0 0 0 49 7 18 0 0 3 0 43 0 0 0 0 0 217 2642 1237 0 9116 0 0 0 0 0 0 0 186 92 3360 0 62 264 6
CK_R10_3 X10 Landrace CK Root 3 P05 85 73 11579 0 0 0 1789 0 168 0 0 0 185 39 0 0 0 0 0 0 0 0 0 3 0 0 0 890 21 33 0 0 0 0 114 0 0 0 0 2 201 36603 1346 0 28352 0 0 0 0 0 0 16 65 49 2419 0 169 13 16
CK_R100_1 X100 Inbred_line CK Root 1 P11 48 12 50640 0 0 0 3174 0 129 0 0 0 399 105 331 0 0 0 0 0 0 0 18 0 0 0 0 619 0 25 0 0 0 0 111 0 24 0 0 0 568 2092 448 0 8971 0 0 0 0 0 0 0 2 209 4686 4 30 40 0
CK_R100_2 X100 Inbred_line CK Root 2 P11 15 5 24535 0 0 0 3976 58 520 0 0 0 86 58 0 0 0 0 0 0 0 205 0 4 0 0 0 28 0 49 0 0 2 0 20 0 492 6 0 0 237 993 170 0 1820 0 0 0 0 0 0 0 18 2 2228 0 56 0 7
CK_R100_3 X100 Inbred_line CK Root 3 P11 77 200 3748 0 0 0 6361 12 274 0 0 0 166 39 0 0 0 0 0 0 0 0 0 0 0 0 0 6177 7 76 0 0 0 0 55 0 31 0 0 0 287 10535 1360 0 37926 0 0 0 0 0 0 34 242 76 3390 16 783 363 0
CK_R101_1 X101 Inbred_line CK Root 1 P14 172 59 3031 0 0 0 4059 36 1523 0 0 0 202 100 0 0 0 0 0 0 0 0 7 0 0 0 0 19505 0 728 0 0 143 0 106 0 6 0 0 16 884 9061 1101 0 1102 0 0 0 0 0 0 0 22 421 9849 0 31 46 0
