Genotype Germplasm Treatment Compartment Block Plot Apodus Schizothecium Dichotomopilus Trichocladium Humicola Chaetomium Botryotrichum Botryoderma Gelasinospora Nigrospora Truncatella Ophiosphaerella Fusidium Chaetosphaeria Chloridium Myrmecridium Seychellomyces Cephalotrichum Phaeoacremonium Kernia Periconia Exophiala Cladosporium Mycosphaerella Neobulgaria Minimedusa Solicoccozyma Phlyctochytrium Scutellinia Byssonectria Ochroconis Mortierella Udeniozyma Mrakia Tausonia Rhizophydium Geastrum Waitea Thanatephorus Rhizopus Clitopilus Tubaria Ganoderma Sistotrema Syncephalis Setophoma Paraphoma Setophaeosphaeria Leucothecium Setosphaeria Paraphaeosphaeria Neoroussoella Simplicillium Sarocladium Paramyrothecium Achroiostachys Monocillium Clonostachys Acremonium Aspergillus Penicillium Arachnomyces Talaromyces Gymnoascus Ciliolarina Pseudeurotium Chrysosporium Pseudogymnoascus Remersonia Tetracladium Colletotrichum Striatibotrys Hydropisphaera Gliomastix Metacordyceps Trichoderma Volutella Fusicolla Fusarium Nectria Thelonectria Metarhizium Emericellopsis Lecanicillium Scytalidium Valsonectria Niesslia Purpureocillium
CK_S1_1 X1 Landrace CK Rhizosphere 1 P11 60 136 15 46 33 20 11 5392 0 21 21 0 249 6 18 139 0 0 106 0 10 354 10 5 0 32 498 12 7 8 0 1520 18 0 19 0 0 1175 209 66 212 0 0 76 71 0 0 31 0 0 32 0 0 674 32 0 15 9851 841 39 7324 0 39037 5 2 1080 0 0 10 118 0 8 6 53 57 14827 4 431 4036 7 38 91 37 0 26 21 12 0
CK_S1_2 X1 Landrace CK Rhizosphere 2 P11 16 88 27 41 39 100 152 7349 0 0 13 0 203 7 11 35 0 0 34 2 11 101 0 0 0 4 323 5 0 6 0 278 136 0 0 0 0 16 0 1128 69 0 0 0 23 2 0 0 0 0 34 0 0 564 39 0 14 1038 693 755 25283 2 59457 0 0 548 0 0 4 59 0 10 26 198 116 1075 0 253 1548 24 16 42 462 0 174 13 7 66
CK_S1_3 X1 Landrace CK Rhizosphere 3 P11 11 57 32 0 36 21 0 584 0 0 3 0 68 0 8 47 0 0 31 2 8 106 0 0 3 0 447 2 13 14 0 761 7 3 0 0 0 106 0 214 16 0 0 51 41 0 0 5 0 5 0 3 0 68 130 0 25 264 1097 0 3993 0 108791 0 4 881 3 0 14 68 0 14 3 57 61 311 0 244 876 11 4 73 197 73 12 8 0 2
CK_S10_1 X10 Landrace CK Rhizosphere 1 P05 67 385 47 136 36 9 0 4687 13 0 7 0 234 2 9 147 0 0 394 8 51 331 5 6 3 0 464 2 26 8 0 1528 20 0 0 0 3 6 35 29 6 0 3 5 92 166 0 17 9 26 7 27 0 79 27 6 30 3962 632 4 3158 3 72310 0 0 2122 4 6 6 150 0 10 0 16 32 549 4 449 2687 5 7 37 60 0 34 17 68 0
CK_S10_2 X10 Landrace CK Rhizosphere 2 P05 34 89 47 44 0 65 6 1897 0 0 2 0 219 0 0 11 0 8 12 0 7 265 0 0 0 0 152 0 4 2 0 97 10 0 0 0 0 16 0 2234 5 0 2 0 17 6 0 0 0 0 0 2 0 37904 21 0 7 1073 548 462 7111 0 11720 0 0 888 0 0 0 22 0 0 18 47 80 1385 3 119 1357 14 6 48 169 4 59 9 5 11
CK_S10_3 X10 Landrace CK Rhizosphere 3 P05 23 35 19 0 26 54 0 932 0 0 0 0 28 0 0 37 0 4 18 0 0 32 5 0 0 0 124 24 4 2 0 105 5 2 0 0 0 0 4 482 19 6 4 0 10 0 0 0 0 0 0 3 3 5517 9 0 5 130 15731 15 6473 0 67964 0 0 303 0 0 6 13 0 0 3 1019 68 172 0 114 585 9 0 11 202 58 9 9 7 3
CK_S100_1 X100 Inbred_line CK Rhizosphere 1 P11 9 131 37 44 19 0 5 6250 0 0 11 0 126 8 7 66 0 0 262 0 5 189 0 0 0 40 335 0 13 2 0 1671 11 12 0 0 0 0 11 1006 4 0 8 2 112 0 4 5 0 0 20 0 0 545 0 0 16 5664 1571 0 1682 0 20330 0 3 890 6 36 30 123 0 10 3 523 38 608 0 396 964 23 0 20 1204 0 35 10 10 9
CK_S100_2 X100 Inbred_line CK Rhizosphere 2 P11 10 73 62 27 148 9 5 9396 0 0 0 0 50 2 26 38 0 0 59 0 6 137 0 6 0 0 431 9 0 13 0 903 9 0 35 0 0 4 0 3586 8 0 0 0 136 0 0 0 3 0 0 6 0 97 36 0 23 887 1517 10 1791 0 62635 0 0 1826 0 4 0 74 0 11 183 354 78 926 0 300 761 11 5 18 2276 0 33 7 0 4
CK_S100_3 X100 Inbred_line CK Rhizosphere 3 P11 0 46 20 18 12 37 0 410 0 4 2 0 24 3 0 0 0 0 17 0 0 55 0 0 0 45 100 0 0 0 0 321 5 0 0 0 0 0 0 206 0 34 0 0 7 0 0 0 2 0 0 0 0 58 14 0 6 147 7189 0 5446 0 87708 0 0 4193 0 0 0 27 0 0 0 5 29 312 0 103 576 6 0 14 305 4 55 4 2 70
CK_S101_1 X101 Inbred_line CK Rhizosphere 1 P14 20 105 30 22 36 0 6 165 0 6 35 0 213 5 0 301 2 0 187 0 0 1355 4 0 0 0 844 0 8 16 0 977 6 2 0 0 0 0 283 10 0 0 0 0 155 0 7 24 6 0 9 36 0 3790 92 0 15 6515 496 8 3882 0 9466 4 3 1904 4 0 8 115 0 15 3 38 57 3738 0 473 6230 18 19 82 76 0 1924 16 16 52
