Genotype Germplasm Treatment Compartment Block Plot Apodus Schizothecium Dichotomopilus Trichocladium Humicola Chaetomium Botryotrichum Botryoderma Gelasinospora Nigrospora Truncatella Ophiosphaerella Fusidium Chaetosphaeria Chloridium Myrmecridium Seychellomyces Cephalotrichum Phaeoacremonium Kernia Periconia Exophiala Cladosporium Mycosphaerella Neobulgaria Minimedusa Solicoccozyma Phlyctochytrium Scutellinia Byssonectria Ochroconis Mortierella Udeniozyma Mrakia Tausonia Rhizophydium Geastrum Waitea Thanatephorus Rhizopus Clitopilus Tubaria Ganoderma Sistotrema Syncephalis Setophoma Paraphoma Setophaeosphaeria Leucothecium Setosphaeria Paraphaeosphaeria Neoroussoella Simplicillium Sarocladium Paramyrothecium Achroiostachys Monocillium Clonostachys Acremonium Aspergillus Penicillium Arachnomyces Talaromyces Gymnoascus Ciliolarina Pseudeurotium Chrysosporium Pseudogymnoascus Remersonia Tetracladium Colletotrichum Striatibotrys Hydropisphaera Gliomastix Metacordyceps Trichoderma Volutella Fusicolla Fusarium Nectria Thelonectria Metarhizium Emericellopsis Lecanicillium Scytalidium Valsonectria Niesslia Purpureocillium
CK_R1_1 X1 Landrace CK Root 1 P11 4 156 0 0 0 30 7 14208 0 0 0 0 2747 0 19 178 0 0 0 0 320 1937 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 11324 93 0 18 0 0 138 0 2543 0 23 0 0 4 0 0 71 0 0 0 1423 231 0 2779 0 1999 0 0 0 0 37 0 0 0 0 18 3 310 17988 0 16 19543 0 4 66 13 0 37 9 127 0
CK_R1_2 X1 Landrace CK Root 2 P11 0 22 2 0 0 12 0 7399 0 0 0 0 2376 0 0 1600 0 0 0 0 74 35 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 71 0 0 3 6 0 0 0 295 0 0 0 0 15 0 0 990 0 0 0 62 1997 2 807 0 23595 0 0 0 0 0 0 2 0 0 27 16 17 6 0 0 2648 0 0 0 20 0 0 0 0 0
CK_R1_3 X1 Landrace CK Root 3 P11 117 213 28 46 84 79 0 2127 0 6 19 0 1283 19 10 69 2 5 125 2 34 36 6 10 0 29 239 20 0 0 5 174 8 0 0 0 0 28 0 30 0 0 6 0 0 3 0 0 0 0 5 7 0 282 11 3 46 180 853 14 1115 4 41627 3 0 752 6 0 0 41 3 4 242 72 115 479 0 171 4541 23 29 55 331 2 28 9 0 24
CK_R10_1 X10 Landrace CK Root 1 P05 0 35 0 0 0 188 0 25799 0 0 0 0 4898 0 7 906 0 0 0 0 316 105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 352 2 20 0 0 0 0 561 5 0 0 2 0 0 0 20 0 149 0 141 269 0 4512 0 25683 0 0 0 0 0 0 6 0 0 9 2 11 249 0 0 2410 0 0 2 5 0 54 2 13 0
CK_R10_2 X10 Landrace CK Root 2 P05 19 56 0 0 0 3 0 16539 0 0 0 2 1011 0 0 101 0 0 0 0 25 43 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 45 4 7 18 0 0 3 0 0 0 0 0 0 0 0 0 1355 0 0 17 90 1244 0 1237 0 9116 0 0 0 0 0 0 0 0 0 88 39 184 75 0 2 3351 0 0 2 43 0 62 0 264 6
CK_R10_3 X10 Landrace CK Root 3 P05 14 71 0 0 0 0 0 11579 0 0 0 3 1789 0 0 168 0 0 0 0 185 39 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 884 6 21 33 0 0 0 0 19 9 0 0 0 0 0 0 128 0 0 0 177 36343 0 1346 0 28352 0 0 0 0 0 0 0 0 2 16 8 65 49 0 0 2413 0 0 0 132 0 169 0 13 16
CK_R100_1 X100 Inbred_line CK Root 1 P11 28 20 0 0 0 12 0 50640 0 0 0 6 3174 0 0 129 0 0 0 0 399 105 331 0 0 0 0 0 0 0 0 18 0 0 0 0 0 3 616 0 25 0 0 0 0 41 8 4 0 24 0 0 0 64 0 0 0 552 2001 0 448 0 8971 0 0 0 0 0 0 3 0 0 16 0 0 209 0 0 4667 0 0 2 27 4 27 0 40 0
CK_R100_2 X100 Inbred_line CK Root 2 P11 0 15 0 0 0 5 0 24535 0 0 0 0 3976 0 58 520 0 0 0 0 86 58 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 28 0 0 49 0 0 2 0 7 0 0 0 492 6 0 0 95 0 0 0 194 855 0 170 0 1820 0 0 0 0 0 0 4 0 0 36 7 15 2 0 0 2228 0 0 3 43 0 52 0 0 7
CK_R100_3 X100 Inbred_line CK Root 3 P11 0 77 0 0 0 19 48 3748 0 0 0 0 6361 0 12 274 0 0 0 0 166 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 353 7 76 0 0 0 0 38 0 2 0 31 0 0 16 57 0 0 0 154 9357 0 1360 0 37926 0 0 0 0 0 0 0 0 0 84 49 242 76 0 6 3332 0 0 0 1121 0 783 0 363 0
CK_R101_1 X101 Inbred_line CK Root 1 P14 31 141 0 0 0 59 0 3031 0 0 0 0 4059 0 18 1523 0 0 0 0 202 100 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 5 19500 0 728 0 0 143 0 82 0 3 0 6 0 0 0 8910 0 16 0 853 123 0 1101 0 1102 0 0 0 0 0 0 0 0 0 22 9 18 421 0 22 9797 0 0 4 28 0 31 0 46 0
CK_R101_2 X101 Inbred_line CK Root 2 P14 0 52 0 3 0 7 0 3609 0 0 0 0 1204 0 7 180 0 0 0 0 19 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 0 0 57 0 0 16 0 0 0 0 0 0 0 0 0 143 0 0 0 161 1192 0 387 0 32164 0 0 0 0 9 0 0 0 0 363 26 67 20 0 0 2032 0 0 3 14 0 568 0 36 0
CK_R101_3 X101 Inbred_line CK Root 3 P14 18 56 0 0 5 11 0 1670 0 0 0 0 1578 0 2 1691 0 0 0 0 355 33 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 40 33 0 58 0 0 127 0 9 0 0 0 111 0 0 0 41 0 0 0 221 2388 0 697 0 39316 0 0 0 0 0 0 0 0 0 9 16 92 89 0 7 7875 4 0 0 137 0 241 0 4 0
CK_R102_1 X102 Inbred_line CK Root 1 P14 0 34 0 0 0 13 0 1150 0 0 0 2 9425 0 125 1590 0 0 0 0 277 288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 896 444 0 77 0 0 0 0 6200 0 37 0 0 0 0 0 106 2 0 0 693 1631 0 1386 0 28490 0 0 0 0 0 0 2 0 0 39 0 14 1240 0 8 8545 0 0 0 33 2 81 0 69 0
CK_R102_2 X102 Inbred_line CK Root 2 P14 0 30 0 0 0 0 0 2351 0 0 0 0 1024 0 0 187 0 0 0 0 21 15 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 111 0 5 39 0 0 12 0 7 0 0 0 2 8 0 4 23 0 0 0 1404 7068 0 1066 0 45932 0 0 0 0 0 0 4 0 0 71 121 10 88 0 0 5262 0 0 0 84 0 52 0 29 5
CK_R102_3 X102 Inbred_line CK Root 3 P14 22 61 0 0 0 13 0 1702 0 0 0 0 1998 0 3 332 0 0 0 0 101 17 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 43 24 0 198 0 0 38 0 421 0 0 0 17 0 0 0 44 0 0 0 92 8879 0 1816 0 53732 0 0 0 0 0 0 0 0 0 14 215 94 71 0 0 1876 0 4 12 43 36 336 0 75 0
CK_R103_1 X103 Inbred_line CK Root 1 P08 0 58 0 0 0 14 0 1249 0 0 0 0 4833 0 5 329 0 0 0 0 442 171 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 544 0 359 0 0 0 2 809 3 20 0 0 0 7 0 514 0 0 0 2575 302 0 1202 0 18649 0 0 0 0 0 0 4 0 0 1115 26 19 13 0 12 25570 0 11 0 28 0 67 0 74 0
CK_R103_2 X103 Inbred_line CK Root 2 P08 0 38 0 0 0 53 0 1670 0 0 0 3 1112 0 63 43 0 0 0 0 29 195 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 9 153 0 0 7 0 27 16 0 0 0 0 0 4 34 0 0 0 117 9506 0 365 0 60691 0 0 0 0 0 0 4 0 0 16 6 95 36 0 0 2208 0 0 0 123 0 9 0 13 0
CK_R103_3 X103 Inbred_line CK Root 3 P08 14 140 3 0 0 0 0 8660 0 0 0 0 3604 0 12 3413 0 0 0 0 147 58 0 0 0 0 0 0 0 0 0 0 59 0 0 0 0 56 6363 0 69 0 0 17 0 67 0 0 0 29 2 0 0 262 0 0 0 210 4377 0 1002 0 31443 0 0 0 0 0 0 0 0 0 25 108 143 101 0 28 5089 5 0 5 68 4 647 0 19 0
CK_R104_1 X104 Inbred_line CK Root 1 P14 0 38 0 0 0 56 0 2598 0 0 0 4 18972 0 5 71 0 0 0 0 413 172 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 12801 0 27 0 0 0 0 33 0 0 0 0 0 0 0 113 48 0 0 931 116 0 455 0 1699 0 0 5 0 0 0 0 0 0 15 0 0 93 0 2 18757 0 5 0 16 0 117 0 27 0
CK_R104_2 X104 Inbred_line CK Root 2 P14 4 19 0 0 0 8 0 10618 0 0 0 2 1093 0 0 35 0 0 0 0 15 29 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 20 0 0 7 0 0 12 0 0 0 0 0 0 0 0 0 87 0 0 0 74 4344 0 590 0 46757 0 0 0 0 0 0 0 0 0 17 0 52 24 0 0 2897 0 0 0 8 0 281 0 27 0
CK_R104_3 X104 Inbred_line CK Root 3 P14 8 55 0 0 0 0 0 1616 0 0 0 15 5391 0 11 150 0 0 0 0 368 31 0 0 0 0 0 38 0 0 0 10 4 0 0 0 0 249 65 12 154 0 0 8 0 172 0 0 0 50 38 0 19 132 0 8 0 536 10936 0 1729 0 39522 0 0 0 0 0 0 0 0 0 6 2 337 159 0 11 6175 2 0 6 120 0 8151 0 22 0
CK_R105_1 X105 Inbred_line CK Root 1 P05 0 23 0 4 0 19 0 4337 0 0 0 20 8823 0 9 70 0 0 0 0 912 231 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 4 738 0 6 24 0 4 0 0 20 7 0 36 0 0 0 179 0 0 0 695 738 0 984 0 29243 0 0 0 0 0 0 22 0 0 61 3 43 56 0 7 8893 0 0 17 27 2 338 0 60 0
CK_R105_2 X105 Inbred_line CK Root 2 P05 0 26 0 0 0 21 0 2983 0 0 0 7 311 0 0 32 0 0 0 0 31 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 195 0 16 3154 5 0 20 0 0 0 0 0 0 9 0 0 37 0 0 0 712 3252 0 16328 0 18123 0 0 0 0 5 0 0 0 0 57 0 189 42 0 0 3303 0 0 0 552 0 55 0 5 2
CK_R105_3 X105 Inbred_line CK Root 3 P05 26 44 0 0 3 0 0 1126 0 0 0 0 1216 0 2 221 0 0 0 0 71 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 41 172 11673 0 0 0 0 9 5 0 0 13 0 0 3 79 0 3 0 2055 2273 0 2262 0 49256 0 0 0 0 0 0 0 0 0 280 0 1106 69 0 6 3916 0 0 33 53 7 459 0 9 0
CK_R106_1 X106 Inbred_line CK Root 1 P05 3 47 0 0 0 25 10 2890 0 0 0 0 7691 0 3 2169 0 0 0 0 366 499 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 856 0 510 0 0 0 0 37 0 12 0 0 0 0 0 129 0 0 0 27652 542 0 1976 0 1246 0 0 0 3 10 0 0 2 0 14 3 102 48 0 0 13090 4 0 10 31 0 27 0 58 0
CK_R106_2 X106 Inbred_line CK Root 2 P05 0 61 0 0 0 436 0 11541 0 0 0 0 1398 0 0 48 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 12404 0 0 44 0 0 21 0 0 0 0 0 0 2 0 0 87 0 0 0 87 729 0 1107 0 31751 0 0 0 0 0 0 0 0 0 33 26 39 9 0 0 553 0 0 0 58 0 30 0 5 0
CK_R106_3 X106 Inbred_line CK Root 3 P05 0 83 0 0 0 0 0 7398 0 0 0 4 1121 0 5 150 0 0 0 0 208 51 0 0 0 0 0 0 0 0 0 17 2 0 0 0 0 31 19 190 3789 0 0 0 0 382 0 0 0 46 0 0 32 22 0 0 0 408 1981 0 1041 0 42922 0 0 0 0 0 0 3 0 0 17 38 2411 95 0 0 12688 0 0 17 27 26 264 0 24 0
CK_R107_1 X107 Inbred_line CK Root 1 P08 0 56 0 0 0 8 0 3099 0 0 0 9 4056 0 9 69 0 0 0 0 149 109 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 17475 179 0 1727 0 0 12 0 217 2 4 0 0 0 0 0 44 0 0 0 526 525 0 3393 0 36302 0 0 0 0 0 0 0 0 0 78 82 8 91 0 15 8709 0 0 11 0 0 74 0 184 20
CK_R107_2 X107 Inbred_line CK Root 2 P08 5 25 0 0 15 15 0 10417 0 0 0 5 1461 0 0 133 0 0 0 0 40 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 24 2 12 0 0 9 0 0 0 0 0 0 0 0 22 130 0 3 0 68 1560 0 275 0 38563 0 0 0 0 5 0 7 0 0 27 21 7 18 0 14 701 2 0 0 18 0 15 0 0 0
CK_R107_3 X107 Inbred_line CK Root 3 P08 21 143 0 0 0 0 0 4041 0 0 0 4 1413 0 0 196 0 0 0 0 271 26 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 193 13 42 83 0 0 0 0 14 0 0 0 2039 0 0 6 136 0 0 0 267 10015 0 638 0 59970 0 0 0 0 0 0 0 0 0 144 21 317 180 0 6 6167 3 0 23 260 0 1232 0 31 0
CK_R108_1 X108 Inbred_line CK Root 1 P05 0 44 0 0 0 0 0 4699 0 0 0 0 5148 0 7 319 0 0 2 0 227 484 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 202 50 0 2230 0 0 0 0 9 0 0 0 0 6 0 0 28 0 0 0 2177 658 0 4510 0 5146 0 0 0 0 0 0 0 0 0 255 2625 0 64 0 9 19517 0 0 4 0 0 137 0 129 28
CK_R108_2 X108 Inbred_line CK Root 2 P05 0 0 0 0 0 46 0 9893 0 0 0 0 476 0 0 18 0 0 0 0 28 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 29 0 18 0 0 5 0 0 0 0 0 0 2 0 326 15 0 0 0 162 22710 0 4695 0 23999 0 0 0 0 0 0 0 0 0 407 2 0 0 0 0 1360 0 0 0 8 0 8 0 0 2
CK_R108_3 X108 Inbred_line CK Root 3 P05 19 61 0 0 0 6 0 2062 0 0 0 0 1557 0 8 1544 0 0 0 0 124 40 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 47 21 66 86 0 0 23 0 25 4 0 0 26 0 2 4 34 0 2 0 239 5607 0 510 0 18473 0 0 0 0 0 0 0 0 0 7 7 112 65 0 0 4582 3 0 3 71 7 409 0 30 0
CK_R109_1 X109 Hybrid CK Root 1 P08 9 55 0 0 0 7 0 39718 0 0 0 10 2519 0 10 369 0 0 3 0 746 75 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 105 135 0 54 0 0 0 0 5 12 0 0 0 0 0 0 186 0 0 0 377 1986 0 669 0 15748 0 0 35 0 0 0 8 0 0 42 2372 19 45 0 10 10420 2 23 0 12 0 101 0 24 0
CK_R109_2 X109 Hybrid CK Root 2 P08 0 64 0 0 0 63 0 15829 0 0 0 0 1099 0 3 24 0 0 0 0 27 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 10 0 0 2638 0 47 0 0 0 0 0 0 0 127 0 0 0 406 16920 0 331 0 2456 0 0 0 0 26 0 0 0 0 2754 289 31 23 0 0 613 0 0 0 268 0 0 0 9 3
CK_R109_3 X109 Hybrid CK Root 3 P08 0 223 0 0 0 5 0 3589 0 0 0 36 2887 0 6 488 0 0 0 0 189 79 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0 40 29 8 77 0 0 25 0 0 0 0 0 23 0 19 0 199 0 0 0 180 6090 0 948 0 44137 0 0 0 0 0 0 5 0 0 29 11 131 70 0 10 6908 3 0 6 25 15 347 0 15 0
CK_R11_1 X11 Landrace CK Root 1 P05 19 47 0 22 0 28 0 1077 5 0 6 4 3026 0 4 1087 0 0 6 0 112 202 0 0 0 0 11 0 0 0 0 111 0 0 0 0 0 12 97 1897 30 0 0 3714 0 0 0 0 0 46 0 0 0 38 14 31 0 875 1646 0 19194 0 9989 0 0 95 0 0 0 29 0 0 6 38 27 235 0 82 4697 3 0 23 34 0 7 2 25 0
CK_R11_2 X11 Landrace CK Root 2 P05 8 51 0 0 0 0 0 1110 0 0 0 0 3357 0 6 28 0 0 0 0 46 28 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 158 0 7 670 0 0 8 0 22 0 0 0 42 0 0 0 527 0 0 0 88 6754 0 19583 0 16864 0 0 2 0 0 0 0 0 0 45 72 48 521 0 4 3763 0 0 7 79 0 26 0 5 11
CK_R11_3 X11 Landrace CK Root 3 P05 0 108 0 0 17 6 0 4575 0 0 0 0 1875 0 0 192 0 0 0 0 162 15 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 35 77 19 52 0 0 0 0 0 0 0 0 30 0 0 0 31 0 0 0 207 10624 0 2252 0 62385 0 0 0 0 0 0 0 0 0 65 9 145 21 0 0 4481 0 0 0 72 0 6705 0 5 0
