Genotype Germplasm
1 X1 Landrace
2 X10 Landrace
3 X100 Inbred_line
4 X101 Inbred_line
5 X103 Inbred_line
6 X104 Inbred_line
7 X105 Inbred_line
8 X106 Inbred_line
9 X107 Inbred_line
10 X108 Inbred_line
11 X11 Landrace
12 X110 Hybrid
13 X117 Hybrid
14 X119 Teosinte
15 X12 Landrace
16 X120 Teosinte
17 X121 Teosinte
18 X122 Teosinte
19 X123 Teosinte
20 X124 Teosinte
21 X125 Teosinte
22 X126 Teosinte
23 X127 Teosinte
24 X128 Teosinte
25 X129 Teosinte
26 X13 Landrace
27 X14 Landrace
28 X15 Landrace
29 X16 Landrace
30 X17 Landrace
31 X19 Landrace
32 X2 Landrace
33 X21 Landrace
34 X23 Landrace
35 X24 Landrace
36 X25 Landrace
37 X26 Landrace
38 X27 Landrace
39 X28 Landrace
40 X29 Landrace
41 X3 Landrace
42 X30 Landrace
43 X31 Landrace
44 X32 Landrace
45 X33 Landrace
46 X34 Landrace
47 X35 Landrace
48 X36 Landrace
49 X37 Landrace
50 X38 Landrace
51 X39 Landrace
52 X4 Landrace
53 X40 Landrace
54 X41 Landrace
55 X42 Landrace
56 X43 Landrace
57 X44 Landrace
58 X45 Landrace
59 X46 Landrace
60 X47 Landrace
61 X48 Landrace
62 X49 Landrace
63 X50 Landrace
64 X51 Landrace
65 X52 Landrace
66 X53 Landrace
67 X54 Landrace
68 X55 Landrace
69 X56 Landrace
70 X57 Landrace
71 X58 Landrace
72 X6 Landrace
73 X61 Landrace
74 X62 Landrace
75 X63 Landrace
76 X64 Landrace
77 X65 Landrace
78 X66 Landrace
79 X67 Landrace
80 X68 Landrace
81 X69 Landrace
82 X7 Landrace
83 X70 Landrace
84 X71 Landrace
85 X72 Landrace
86 X73 Landrace
87 X74 Landrace
88 X75 Landrace
89 X76 Landrace
90 X77 Landrace
91 X78 Landrace
92 X79 Landrace
93 X8 Landrace
94 X80 Landrace
95 X81 Landrace
96 X82 Landrace
97 X83 Landrace
98 X84 Landrace
99 X85 Landrace
100 X86 Landrace
101 X87 Landrace
102 X88 Landrace
103 X89 Landrace
104 X9 Landrace
105 X90 Landrace
106 X91 Landrace
107 X92 Landrace
108 X93 Landrace
109 X94 Landrace
110 X95 Landrace
111 X96 Landrace
112 X97 Landrace
113 X99 Inbred_line
114 X102 Inbred_line
115 X109 Hybrid
116 X111 Hybrid
117 X112 Hybrid
118 X113 Hybrid
119 X114 Hybrid
120 X115 Hybrid
121 X116 Hybrid
122 X118 Hybrid
123 X18 Landrace
124 X20 Landrace
125 X22 Landrace
126 X5 Landrace
127 X59 Landrace
128 X60 Landrace
129 X98 Inbred_line
