Genotype	Sample.ID	Germplasm	Treatment	Block	Plot	Biomass	Leaf.area	SPAD
X1	CK_S1_1	Landrace	CK	1	P11	0.48	67.5	53
X1	CK_S1_2	Landrace	CK	2	P11	0.48	98.6	58.7
X1	CK_S1_3	Landrace	CK	3	P11	0.62	94.3	51.1
X10	CK_S10_1	Landrace	CK	1	P05	0.75	105.9	32.7
X10	CK_S10_2	Landrace	CK	2	P05	0.52	88.9	92.8
X10	CK_S10_3	Landrace	CK	3	P05	0.54	121.8	64.7
X100	CK_S100_1	Inbred_line	CK	1	P11	0.27	53.3	39.4
X100	CK_S100_2	Inbred_line	CK	2	P11	0.36	110.7	61.6
X100	CK_S100_3	Inbred_line	CK	3	P11	0.42	72.5	58.2
X101	CK_S101_1	Inbred_line	CK	1	P14	0.39	79.9	53.6
X101	CK_S101_2	Inbred_line	CK	2	P14	0.45	124.4	80.6
X101	CK_S101_3	Inbred_line	CK	3	P14	0.37	69	79.3
X102	CK_S102_1	Inbred_line	CK	1	P14	0.55	130.3	72.4
X102	CK_S102_2	Inbred_line	CK	2	P14	0.47	114.8	69.7
X102	CK_S102_3	Inbred_line	CK	3	P14	0.63	105.4	48.7
X103	CK_S103_1	Inbred_line	CK	1	P08	0.44	114	71.4
X103	CK_S103_2	Inbred_line	CK	2	P08	0.46	126	71
X103	CK_S103_3	Inbred_line	CK	3	P08	0.5	120.5	50
X104	CK_S104_1	Inbred_line	CK	1	P14	0.45	93.9	82.8
X104	CK_S104_2	Inbred_line	CK	2	P14	0.63	144	76.5
X104	CK_S104_3	Inbred_line	CK	3	P14	0.56	113	76.2
X105	CK_S105_1	Inbred_line	CK	1	P05	0.41	101.3	73.8
X105	CK_S105_2	Inbred_line	CK	2	P05	0.27	76.5	90.4
X105	CK_S105_3	Inbred_line	CK	3	P05	0.36	74.9	78
X106	CK_S106_1	Inbred_line	CK	1	P05	0.43	123.5	79.6
X106	CK_S106_2	Inbred_line	CK	2	P05	0.36	111	72.2
X106	CK_S106_3	Inbred_line	CK	3	P05	0.32	86.3	68.5
X107	CK_S107_1	Inbred_line	CK	1	P08	0.43	137	81.9
X107	CK_S107_2	Inbred_line	CK	2	P08	0.43	124.3	62.5
X107	CK_S107_3	Inbred_line	CK	3	P08	0.43	110.6	74.2
X108	CK_S108_1	Inbred_line	CK	1	P05	0.4	77.8	81
X108	CK_S108_2	Inbred_line	CK	2	P05	0.55	138.5	51
X108	CK_S108_3	Inbred_line	CK	3	P05	0.45	98.3	65.6
X109	CK_S109_1	Hybrid	CK	1	P08	0.54	132.6	79.7
X109	CK_S109_2	Hybrid	CK	2	P08	0.59	120.4	50.2
X109	CK_S109_3	Hybrid	CK	3	P08	0.41	113.4	66.8
X11	CK_S11_1	Landrace	CK	1	P05	0.58	145.9	263.3
X11	CK_S11_2	Landrace	CK	2	P05	0.45	133	69
X11	CK_S11_3	Landrace	CK	3	P05	0.61	115.2	73.9
X110	CK_S110_1	Hybrid	CK	1	P11	0.51	101.3	40.4
X110	CK_S110_2	Hybrid	CK	2	P11	0.57	108.4	40.4
X110	CK_S110_3	Hybrid	CK	3	P11	0.49	79.5	40.9
X111	CK_S111_1	Hybrid	CK	1	P11	0.43	98.2	73.7
X111	CK_S111_2	Hybrid	CK	2	P11	0.61	124.2	61.8
X111	CK_S111_3	Hybrid	CK	3	P11	0.6	111.1	45.6
X112	CK_S112_1	Hybrid	CK	1	P08	0.56	97.6	31.4
X112	CK_S112_2	Hybrid	CK	2	P08	0.64	101.3	39.6
X112	CK_S112_3	Hybrid	CK	3	P08	0.6	90	43.3
X113	CK_S113_1	Hybrid	CK	1	P05	0.65	124.1	38.2
X113	CK_S113_2	Hybrid	CK	2	P05	0.63	81	37
X113	CK_S113_3	Hybrid	CK	3	P05	0.46	119.3	69.4
X114	CK_S114_1	Hybrid	CK	1	P14	0.66	142.2	57.4
X114	CK_S114_2	Hybrid	CK	2	P14	0.58	135	72.8
X114	CK_S114_3	Hybrid	CK	3	P14	0.57	101.4	66.2
X115	CK_S115_1	Hybrid	CK	1	P11	0.57	110.3	54.6
X115	CK_S115_2	Hybrid	CK	2	P11	0.52	129.6	70.8
X115	CK_S115_3	Hybrid	CK	3	P11	0.5	112.9	47.7
X116	CK_S116_1	Hybrid	CK	1	P08	0.72	158.6	78.6
X116	CK_S116_2	Hybrid	CK	2	P08	0.53	124.2	79.1
X116	CK_S116_3	Hybrid	CK	3	P08	0.75	141	82.6
X117	CK_S117_1	Hybrid	CK	1	P14	0.37	150.2	69.6
X117	CK_S117_2	Hybrid	CK	2	P14	0.37	102.8	78.6
X117	CK_S117_3	Hybrid	CK	3	P14	0.5	88	80.2
X118	CK_S118_1	Hybrid	CK	1	P08	0.7	148.4	42.7
X118	CK_S118_2	Hybrid	CK	2	P08	0.48	139.9	62.4
X118	CK_S118_3	Hybrid	CK	3	P08	0.52	79.7	72
X119	CK_S119_1	Teosinte	CK	1	P08	0.13	50.6	77.9
X119	CK_S119_2	Teosinte	CK	2	P08	0.34	88.6	80
X119	CK_S119_3	Teosinte	CK	3	P08	0.28	59.2	93.7
X12	CK_S12_1	Landrace	CK	1	P14	0.68	117.3	46.8
X12	CK_S12_2	Landrace	CK	2	P14	0.45	93	43.5
X12	CK_S12_3	Landrace	CK	3	P14	0.7	96.1	74.3
X120	CK_S120_1	Teosinte	CK	1	P05	0.25	61.5	50
X120	CK_S120_2	Teosinte	CK	2	P05	0.19	31	35
X120	CK_S120_3	Teosinte	CK	3	P05	0.31	60.3	85
X121	CK_S121_1	Teosinte	CK	1	P14	0.15	46.3	75.8
X121	CK_S121_2	Teosinte	CK	2	P14	0.22	24.7	46.8
X121	CK_S121_3	Teosinte	CK	3	P14	0.26	51	72.7
X122	CK_S122_1	Teosinte	CK	1	P05	0.14	28.6	87.7
X122	CK_S122_2	Teosinte	CK	2	P05	0.15	22.5	48
X122	CK_S122_3	Teosinte	CK	3	P05	0.18	29.4	75.8
X123	CK_S123_1	Teosinte	CK	1	P08	0.21	37.5	59.8
X123	CK_S123_2	Teosinte	CK	2	P08	0.2	48	50.7
X123	CK_S123_3	Teosinte	CK	3	P08	0.29	67.6	68.5
X124	CK_S124_1	Teosinte	CK	1	P11	0.37	38.2	44.4
X124	CK_S124_2	Teosinte	CK	2	P11	0.21	53.1	34.6
X124	CK_S124_3	Teosinte	CK	3	P11	0.3	61.8	81.9
X125	CK_S125_1	Teosinte	CK	1	P11	0.33	63	39.9
X125	CK_S125_2	Teosinte	CK	2	P11	0.27	52.4	47.5
X125	CK_S125_3	Teosinte	CK	3	P11	0.35	42.8	47.8
X126	CK_S126_1	Teosinte	CK	1	P08	0.27	71	83.3
X126	CK_S126_2	Teosinte	CK	2	P08	0.25	58.1	50.8
X126	CK_S126_3	Teosinte	CK	3	P08	0.28	57.9	52.2
X127	CK_S127_1	Teosinte	CK	1	P14	0.26	57.6	79
X127	CK_S127_2	Teosinte	CK	2	P14	0.23	32.3	49.7
X127	CK_S127_3	Teosinte	CK	3	P14	0.32	88.6	83
