Genotype	Sample.ID	Germplasm	Treatment	Block	Plot	Mg_conc	Mn_conc	Fe_conc	Zn_conc	Al_conc	P_conc	B_conc	K_conc	Na_conc	S_conc	Ca_conc	Mg_cont	Mn_cont	Fe_cont	Zn_cont	Al_cont	P_cont	B_cont	K_cont	Na_cont	S_cont	Ca_cont	Shoot_N_concentration	Shoot_dry_biomass	Shoot_N_accumulation
X1	CK_R1_1	Landrace	CK	1	P11	2950.026834	61.00146651	122.6748455	26.45529481	47.02282583	3025.666282	11.75109378	30886.03909	308.6827235	1746.527196	8480.910502	1416.01288	29.28070393	58.88392585	12.69854151	22.5709564	1452.319815	5.640525012	14825.29876	148.1677073	838.3330542	4070.837041	1.71	0.48	8.208
X1	CK_R1_2	Landrace	CK	2	P11	2328.833679	46.90835688	331.7230652	14.35490794	159.2520007	3395.052691	7.076252863	28343.71964	135.952566	1094.895122	8369.522229	1117.840166	22.5160113	159.2270713	6.89035581	76.44096032	1629.625291	3.396601374	13604.98543	65.2572317	525.5496586	4017.37067	1.047	0.48	5.0256
X1	CK_R1_3	Landrace	CK	3	P11	2066.847089	54.54525474	84.91079667	15.84388501	30.00782143	3651.509507	8.411019505	37292.08899	191.3878925	837.8287864	7197.289775	1281.445195	33.81805794	52.64469393	9.823208706	18.60484929	2263.935895	5.214832093	23121.09518	118.6604934	519.4538475	4462.31966	1.1	0.62	6.82
X10	CK_R10_1	Landrace	CK	1	P05	2375.398882	77.9282705	100.5586849	17.83626269	46.28130118	3613.427685	8.400657151	33051.03721	358.3404772	1330.63877	7344.971243	1781.549162	58.44620288	75.4190137	13.37719702	34.71097589	2710.070764	6.300492863	24788.27791	268.7553579	997.9790777	5508.728432	1.178	0.75	8.835
X10	CK_R10_2	Landrace	CK	2	P05	1565.321054	58.94852828	137.1140024	17.06740457	52.3855755	4262.280928	8.700149653	42546.00594	165.511249	1317.785624	7661.940226	813.9669481	30.65323471	71.29928124	8.875050374	27.24049926	2216.386083	4.52407782	22123.92309	86.0658495	685.2485245	3984.208918	1.789	0.52	9.3028
X10	CK_R10_3	Landrace	CK	3	P05	1472.729533	54.4679464	114.4495184	12.21887839	37.47161756	4456.709929	8.221366417	36546.67407	148.120203	915.3273348	5796.031966	795.2739481	29.41269106	61.80273995	6.598194329	20.23467348	2406.623362	4.439537865	19735.204	79.98490964	494.2767608	3129.857262	1.193	0.54	6.4422
X100	CK_R100_1	Inbred_line	CK	1	P11	1831.828215	50.06829074	181.0358871	26.9169858	57.16100372	4567.460637	14.89872449	42780.54548	53.0290129	1624.33878	9970.406736	494.5936181	13.5184385	48.87968952	7.267586166	15.433471	1233.214372	4.022655612	11550.74728	14.31783348	438.5714705	2692.009819	1.724	0.27	4.6548
X100	CK_R100_2	Inbred_line	CK	2	P11	1562.891064	36.31597883	135.3663741	20.76646594	48.95702282	3885.179381	13.04188724	46286.41508	173.9213922	1304.066489	8638.849465	562.640783	13.07375238	48.73189466	7.475927737	17.62452821	1398.664577	4.695079407	16663.10943	62.61170118	469.4639359	3109.985807	1.379	0.36	4.9644
X100	CK_R100_3	Inbred_line	CK	3	P11	2182.455438	59.45327969	144.4455594	23.18755594	51.39886578	4552.278209	15.98218287	45224.40489	395.5202138	1698.072681	10777.05945	916.631284	24.97037747	60.66713493	9.738773493	21.58752363	1911.956848	6.712516805	18994.25005	166.1184898	713.190526	4526.364968	1.715	0.42	7.203
X101	CK_R101_1	Inbred_line	CK	1	P14	2635.252267	69.3427084	311.1403448	20.20927384	157.8839552	3733.036577	16.15761579	36722.90039	67.09257214	1773.7526	9650.06536	1027.748384	27.04365628	121.3447345	7.881616798	61.57474254	1455.884265	6.301470159	14321.93115	26.16610313	691.7635139	3763.525491	1.953	0.39	7.6167
