CK	D	LN	LP	
Mg_conc	0.583340805	0.609106726	0.535255476	0.272998364
Mn_conc	0.644024323	0.665329904	0.731829661	0.664429835
Fe_conc	0.034187216	0.14266443	0.249852068	0.295323457
Zn_conc	0.363513794	0.630458671	0.585374542	0.251324825
Al_conc	1.49E-07	0.110462785	0.141015676	0.18681993
P_conc	0.340821705	0.495135891	0.483854057	0.254827643
B_conc	0.67563247	0.498068826	0.595724292	0.172841429
K_conc	0.621708583	0.678070601	0.592193945	0.530485179
Na_conc	3.04E-07	0.561842409	3.04E-07	0.440596938
S_conc	0.522871819	0.52890323	0.761717491	0.559753246
Ca_conc	0.463977047	0.621685059	0.660686262	0.5781284
Mg_cont	0.758478023	0.614687101	0.767220035	0.76359226
Mn_cont	0.749095992	0.652885139	0.793792893	0.774007193
Fe_cont	0.103857792	0.088752257	1.04E-06	0.318578305
Zn_cont	0.651377395	0.624520799	0.714229144	0.53716555
Al_cont	0.094260059	0.131784892	0.019349724	0.319390483
P_cont	0.719520434	0.63127276	0.739806018	0.784480837
B_cont	0.733215703	0.611752746	0.750220477	0.721603785
K_cont	0.686759372	0.407193431	0.66344644	0.628714887
Na_cont	1.64E-06	7.04E-07	0.328489459	0.078801352
S_cont	0.606760674	0.68274293	0.733556624	0.718691316
Ca_cont	0.619613789	0.624692337	0.736859541	0.746899572
Shoot_N_concentration	0.472316854	0.295583471	0.409772996	0.358313311
Shoot_dry_biomass	0.489590623	0.284885911	0.495988644	0.489925937
Shoot_N_accumulation	0.551543754	0.458741746	0.584908503	0.461594087
