CK	D	LN	LP	
ASV183	6.97E-07	3.76E-07	0.070114522	1.68E-07
ASV813	0.163034021	0.17894793	1.09E-06	0.100745478
ASV418	8.17E-07	1.53E-07	0.124496017	0.017885407
ASV1061	0.004991731	0.146546785	0.187687943	9.36E-07
ASV236	3.04E-07	1.49E-06	1.59E-06	0.169862171
ASV724	8.26E-07	7.29E-07	2.30E-07	0.056357363
ASV430	3.04E-07	1.41E-07	0.232749088	0.117917416
ASV1065	8.27E-07	0.170843232	0.13207645	0.05496316
ASV759	3.04E-07	1.30E-07	0.259058954	1.11E-06
ASV341	1.73E-06	0.222445717	0.173731994	0.033039792
ASV61	0.040354143	0.291249435	0.317737355	0.143998933
ASV823	0.00870784	1.54E-07	0.208480139	0.005344785
ASV497	4.64E-07	0.038235289	2.76E-07	1.49E-07
ASV52	3.04E-07	0.1503331	0.318126637	0.106345134
ASV925	6.94E-07	0.287512471	0.151528469	0.150613032
ASV929	2.44E-07	0.027075521	0.196047629	0.303861888
ASV1453	0.083155423	0.119846575	1.27E-07	0.009746534
ASV229	3.04E-07	9.41E-07	1.56E-06	0.170641913
ASV394	3.04E-07	0.026756987	0.371150395	0.183953571
ASV723	1.68E-07	0.082013744	0.342127225	0.131520769
ASV202	1.07E-06	1.38E-07	0.199595457	0.090076896
ASV193	0.017658619	0.148027947	1.57E-07	0.028083833
ASV681	1.46E-07	0.328201028	0.331194633	9.83E-07
ASV1551	4.77E-07	0.132885576	0.257020746	0.051124705
ASV248	0.233691365	4.27E-07	0.165819578	1.24E-06
ASV108	0.193681747	1.84E-06	1.21E-07	0.104054695
ASV295	0.1633601	1.01E-06	1.51E-07	0.215891787
ASV275	0.1919662	0.07416144	1.15E-06	0.287727662
ASV442	3.06E-07	0.119241191	1.23E-06	0.126012884
ASV64	0.257071479	0.076127362	7.25E-07	1.02E-06
ASV1012	1.75E-06	0.213567527	0.105491305	0.14670017
ASV314	0.083206579	0.170744259	0.381619569	0.105335681
ASV35	0.274999027	0.14852562	1.83E-06	1.30E-07
ASV539	0.089966929	0.070950396	5.32E-07	0.147653237
ASV1214	9.46E-07	1.39E-07	0.001413845	9.13E-07
ASV939	0.366909375	0.06506646	0.318235249	0.307315169
ASV1245	1.31E-07	1.81E-06	0.129274672	0.250252471
ASV107	1.21E-07	1.80E-06	1.50E-07	1.46E-07
ASV750	0.16959407	0.292734685	0.108580927	0.101721661
ASV703	1.32E-07	1.59E-07	0.151383448	1.59E-07
ASV728	9.35E-07	1.47E-06	0.106435445	2.99E-07
ASV646	0.122010771	1.25E-07	0.046762929	0.193860257
ASV667	3.92E-07	2.59E-07	0.265975302	0.155811319
ASV136	0.135968708	0.22378412	0.059900053	0.138311041
ASV440	1.44E-06	0.047757571	0.297028791	0.193326782
ASV129	1.52E-06	0.057550455	0.129585574	0.11094
ASV393	1.40E-07	2.05E-07	0.126578394	0.088126361
ASV561	0.202177376	0.14487947	1.56E-07	0.334190898
ASV624	1.89E-06	8.14E-07	0.268966259	0.180576334
ASV726	1.31E-07	0.080185716	0.176797697	0.298311877
ASV553	0.302382594	0.161608051	0.051616091	6.16E-07
ASV435	4.30E-07	0.117332723	0.138658951	0.070158286
ASV453	0.282595864	0.064717177	1.64E-06	0.230893009
ASV407	0.436102017	0.113597636	0.197575035	0.07343716
ASV587	0.133788354	0.207748883	0.011285391	1.46E-07
ASV436	0.149615746	1.35E-07	1.70E-07	0.266008606
ASV441	4.74E-07	1.33E-07	0.096707067	0.207614316
ASV542	0.107431227	0.136013634	2.99E-07	0.015377808
ASV787	0.25783468	0.10879441	8.61E-07	1.14E-06
ASV580	1.48E-07	0.027770438	0.174863918	0.100988875
ASV1328	1.40E-06	0.126471655	0.182973521	0.020055333
ASV319	0.048923071	0.183591429	1.60E-06	0.254691964
ASV629	9.37E-07	0.300379488	0.157656645	0.157796903
ASV237	0.023242216	0.320319634	0.158964829	0.397944902
ASV310	1.48E-07	1.31E-07	0.073734707	0.363961803
ASV300	0.268127976	0.204369223	0.34940536	0.256445761
ASV335	0.447349602	0.099503309	0.148326735	0.269817905
ASV156	1.87E-07	0.021772255	0.20619348	1.37E-06
ASV1386	2.98E-07	1.58E-07	3.39E-07	0.062329511
ASV263	0.170544801	1.38E-07	0.290622912	7.02E-07
ASV134	0.109651076	0.085464395	1.68E-06	0.224607748
ASV434	0.265735632	0.211021776	0.066196284	0.073645014
ASV675	0.014351451	0.189548729	0.118805114	0.055579018
ASV32	0.395649551	4.06E-07	0.287521507	0.358044808
ASV272	0.027519383	3.53E-07	0.300902439	1.89E-06
ASV445	0.024674681	0.114894782	0.090001206	0.358600107
ASV161	0.246849333	1.15E-06	0.089037141	0.263650145
ASV648	0.003047506	0.03934156	0.190958979	0.240935364
ASV144	0.239882101	6.52E-07	1.64E-07	0.411249795
ASV563	0.067858327	0.298143761	0.002806	0.28262006
ASV19	1.30E-07	0.093943666	0.175610534	0.095100249
ASV286	1.36E-07	0.113444704	0.028304622	0.15247035
ASV36	3.04E-07	0.16659355	0.367943833	0.104954933
ASV162	1.45E-07	0.195291906	0.076092037	0.208443842
ASV163	0.14587191	0.193682799	0.121492765	0.310429482
ASV113	0.132753549	0.210273476	0.116110059	1.85E-07
ASV80	0.249106043	0.155991111	1.79E-06	0.037351485
ASV688	1.53E-06	0.247146903	0.085315764	0.13205299
ASV1396	0.137350417	1.77E-06	4.93E-07	0.131893922
ASV1211	0.052827766	7.26E-07	1.35E-06	0.341909032
ASV105	1.72E-06	0.101271707	0.359477693	1.85E-06
ASV409	0.310880865	0.229765134	0.182700104	0.352350616
ASV984	0.00023053	0.151937921	0.160403779	0.067610185
ASV82	0.122996538	1.32E-07	1.20E-07	7.82E-07
ASV88	0.129910456	0.0250108	0.459699541	1.02E-06
ASV585	0.090755589	6.68E-07	9.55E-07	0.017960908
ASV1220	0.250717866	0.062273587	1.75E-07	0.109869094
ASV42	0.029445857	0.542317469	0.006706733	0.074170993
ASV692	0.263101781	1.57E-07	0.084137245	1.49E-06
ASV51	0.058899097	0.20634081	3.04E-07	8.32E-07
ASV18	0.326064058	0.203171891	0.19100709	0.310736994
ASV1751	0.206642632	0.153685263	1.74E-07	0.054869303
ASV79	0.451813438	0.188517269	0.268889269	0.156211178
ASV56	1.49E-06	0.194294635	0.093906409	1.90E-06
ASV824	0.118401526	0.050634887	0.094011211	0.163690871
ASV10	0.320263868	0.135758215	0.273651135	0.275663978
ASV111	0.16087975	0.213553067	0.019606781	0.02778012
ASV49	0.453896969	0.13774712	0.237242176	0.04122592
ASV7	0.309813603	1.53E-07	0.111454505	1.34E-07
ASV37	0.374484123	1.81E-06	1.73E-06	6.39E-07
ASV1589	0.156079856	1.29E-07	1.21E-07	0.115995579
ASV2507	1.21E-07	0.036283747	0.040687795	0.008782427
ASV1107	1.78E-06	1.67E-07	1.76E-06	6.38E-07
ASV2234	1.30E-06	1.54E-07	1.47E-07	1.42E-07
ASV443	3.04E-07	1.64E-07	0.183342139	0.137402943
ASV1324	1.33E-07	0.28163339	0.273375447	0.121490281
ASV789	0.149969211	0.079430845	0.060473366	0.175660242
ASV43	1.22E-07	1.49E-07	0.330202203	0.411627391
