CK	D	LN	LP	
ASV183	1.43E-06	7.19E-07	2.04E-07	3.55E-07
ASV813	0.613414316	1.07E-06	1.04E-06	1.61E-07
ASV418	0.048614915	0.083248626	0.058634279	1.11E-06
ASV1061	1.98E-07	1.99E-07	2.08E-07	2.03E-07
ASV236	0.339172979	9.64E-07	3.12E-07	1.32E-07
ASV724	1.30E-07	1.43E-07	1.35E-07	1.52E-07
ASV430	0.27941097	4.85E-07	1.64E-07	0.146621365
ASV1065	0.191590087	0.160310923	1.12E-06	1.84E-07
ASV759	0.079555503	1.47E-07	0.12187736	0.151768653
ASV341	3.90E-07	1.43E-07	0.155017972	0.255275985
ASV61	0.072155822	1.51E-07	0.064950096	8.35E-07
ASV823	9.40E-07	1.15E-06	1.99E-07	1.80E-07
ASV497	0.076079568	7.69E-07	1.87E-07	0.093207238
ASV52	0.040023528	1.38E-07	1.75E-07	0.057567931
ASV925	9.09E-07	1.49E-07	0.027272806	0.038967881
ASV929	1.54E-07	1.21E-07	5.99E-07	0.098602857
ASV1453	1.39E-07	0.003052522	0.135178553	0.233739034
ASV229	0.059809451	0.269191037	2.32E-07	0.014702309
ASV394	0.322592241	3.59E-07	0.044663146	1.11E-06
ASV723	0.074997775	1.80E-07	0.088954189	4.68E-07
ASV202	0.023054735	3.63E-07	8.48E-07	0.03936097
ASV193	0.033264539	7.29E-07	0.019219971	0.064347144
ASV681	8.13E-07	2.03E-07	0.029060495	1.75E-07
ASV1551	0.066615018	0.104339054	0.180849627	1.83E-07
ASV248	0.111998955	8.65E-07	7.45E-07	0.106897443
ASV108	0.160020276	1.79E-06	1.54E-07	7.64E-07
ASV295	0.034504177	0.108997163	0.038858652	0.000970245
ASV275	0.155976787	1.57E-07	0.223497796	0.098976926
ASV442	0.090346078	1.92E-07	7.72E-07	0.651125376
ASV64	0.024011549	1.58E-06	1.73E-07	0.282572229
ASV1012	0.117646011	0.042631486	1.50E-07	1.40E-06
ASV314	0.184537838	1.52E-06	0.00062815	2.35E-07
ASV35	0.074862249	9.20E-07	0.088535838	0.024810224
ASV539	1.60E-07	0.043259309	0.154222783	1.61E-07
ASV1214	2.54E-07	5.06E-07	1.16E-06	6.55E-07
ASV939	0.248161163	2.00E-07	1.77E-06	0.239006933
ASV1245	0.043980587	1.18E-06	0.100581058	0.053428005
ASV107	1.33E-06	1.69E-07	1.63E-07	1.97E-07
ASV750	1.70E-07	7.97E-07	0.207459053	9.71E-07
ASV703	7.24E-07	9.85E-07	1.86E-07	7.83E-07
ASV728	1.45E-06	1.35E-06	0.020934302	6.32E-07
ASV646	1.82E-07	1.77E-07	7.63E-07	2.06E-07
ASV667	0.002109403	1.90E-07	5.05E-07	0.071840929
ASV136	0.10601898	3.71E-07	7.73E-07	0.185650775
ASV440	1.99E-07	4.29E-07	1.86E-07	0.057341353
ASV129	2.01E-07	1.28E-07	8.32E-07	0.065174574
ASV393	7.29E-07	9.52E-07	6.25E-07	0.217582721
ASV561	0.000659019	5.87E-07	0.113166292	1.31E-07
ASV624	1.61E-07	4.68E-07	6.04E-07	4.58E-07
ASV726	1.15E-06	3.98E-07	0.014471999	0.497423638
ASV553	5.17E-07	1.48E-07	0.004672757	9.47E-07
ASV435	7.00E-07	0.070068217	1.89E-07	1.66E-07
ASV453	0.002849928	6.91E-07	7.30E-07	1.27E-07
ASV407	0.00197641	1.44E-07	0.056337441	6.99E-07
ASV587	0.023850088	1.44E-07	0.127500254	1.86E-07
ASV436	0.418044676	0.008421647	0.068188114	5.02E-07
ASV441	0.207362771	1.62E-07	8.78E-07	8.40E-07
ASV542	0.053806789	1.52E-07	1.26E-07	0.013539833
ASV787	6.58E-07	0.231464359	2.05E-07	4.48E-07
ASV580	7.65E-07	2.03E-07	2.12E-07	1.77E-07
ASV1328	0.005470305	1.35E-06	1.77E-07	2.08E-07
ASV319	0.005749661	0.092329341	0.151051566	0.046594173
ASV629	0.444781838	1.90E-07	1.94E-07	7.36E-07
ASV237	0.120882394	1.39E-07	8.20E-07	0.114425565
ASV310	0.054505045	1.43E-07	0.045503633	0.340156663
ASV300	0.217182381	0.188177575	0.313410452	0.137062072
ASV335	0.014518121	4.36E-07	0.014294487	0.412493992
ASV156	1.42E-07	1.62E-07	1.42E-07	0.06030208
ASV1386	4.91E-07	1.42E-07	0.081660283	1.27E-07
ASV263	0.029563666	0.075516218	0.077711676	0.042533177
ASV134	2.95E-07	8.21E-07	0.277356718	1.42E-07
ASV434	0.501161242	0.118956672	0.136950474	7.73E-07
ASV675	1.99E-07	1.02E-07	0.224105861	2.68E-07
ASV32	0.033111018	1.38E-07	0.284868542	0.096968355
ASV272	1.53E-07	4.07E-07	0.186370054	0.365001257
ASV445	0.334327525	1.58E-06	3.34E-07	1.72E-07
ASV161	0.111230086	4.14E-07	0.040320033	0.108382844
ASV648	1.74E-06	1.95E-07	1.11E-06	1.87E-07
ASV144	0.259654031	1.42E-07	0.530369877	0.393258
ASV563	2.86E-07	2.00E-07	1.85E-07	1.58E-07
ASV19	0.242348546	0.035178806	3.29E-07	0.356234299
ASV286	0.031555674	1.78E-07	0.007720013	6.11E-07
ASV36	0.095025153	1.79E-07	0.038286735	0.107038539
ASV162	0.22827896	1.52E-07	0.086834727	0.105269947
ASV163	0.258519236	1.20E-07	7.75E-07	0.155415417
ASV113	0.038759692	0.039306759	1.04E-06	0.140129599
ASV80	0.141549544	9.57E-07	0.106208753	0.198143091
ASV688	1.89E-07	NA	2.17E-07	2.00E-07
ASV1396	2.45E-07	0.004178781	0.141306838	1.57E-07
