CK	D	LN	LP	
Pseudomonadaceae	9.33E-07	0.231876111	0.199725542	1.11E-06
CCD24	3.04E-07	1.49E-06	1.59E-06	0.169862171
Steroidobacteraceae	9.94E-07	0.200475707	0.315822648	0.110739963
PLTA13	3.04E-07	1.50E-07	1.81E-07	0.207913237
Woeseiaceae	1.68E-07	0.082013744	0.342127225	0.131520769
Erwiniaceae	1.07E-06	1.38E-07	0.199595457	0.090076896
Enterobacteriaceae	0.017658619	0.148027947	1.57E-07	0.028083833
KI89A_clade	1.46E-07	0.328201028	0.331194633	9.83E-07
Moraxellaceae	4.77E-07	0.132885576	0.257020746	0.051124705
Xanthomonadaceae	0.155388596	0.104294673	6.92E-07	0.043418792
Rhodanobacteraceae	1.38E-07	1.62E-07	8.49E-07	1.38E-06
SC.I.84	0.02247906	0.182175196	0.108900445	0.150111642
A21b	0.117706823	0.195500294	0.011742139	0.162063342
Nitrosomonadaceae	0.064482671	0.189382217	8.50E-07	0.229536848
Methylophilaceae	0.436102017	0.113597636	0.197575035	0.07343716
TRA3.20	4.74E-07	1.33E-07	0.096707067	0.207614316
Sutterellaceae	0.048923071	0.183591429	1.60E-06	0.254691964
Comamonadaceae	0.173020859	0.106739502	3.51E-07	0.247595323
Burkholderiaceae	0.228996966	0.362423843	0.088443334	0.156030477
Oxalobacteraceae	0.281845265	0.173210567	0.18277215	0.179031548
X0319.6G20	0.156079856	1.29E-07	1.21E-07	0.115995579
Haliangiaceae	4.25E-07	0.047553092	0.224231695	0.142404579
Myxococcaceae	1.08E-06	1.31E-06	0.272925647	0.384560967
Sandaracinaceae	1.53E-06	0.074477339	0.080223087	0.412423995
mle1.27	0.21033267	0.135768921	0.049935031	0.185752514
BIrii41	0.005592915	3.04E-07	1.23E-07	0.211009484
Polyangiaceae	1.62E-06	3.90E-07	0.155647468	0.033290621
Bacteriovoracaceae	3.04E-07	0.140128287	8.43E-07	1.60E-07
Oligoflexales	0.302874598	0.338191372	0.32863229	0.139404165
Geminicoccaceae	0.221642349	0.154392759	0.315035266	0.212710952
Inquilinaceae	1.67E-07	1.23E-06	1.81E-06	1.03E-06
Sphingomonadaceae	0.003519401	0.232493467	0.081046401	0.283949821
