CK	D	LN	LP	
Pseudomonadaceae	0.075603029	0.089269537	1.08E-06	0.02036467
CCD24	0.339172979	9.64E-07	3.12E-07	1.32E-07
Steroidobacteraceae	0.158959981	1.05E-06	1.67E-06	0.190601595
PLTA13	0.235574024	8.83E-07	0.016191549	1.78E-07
Woeseiaceae	0.074997775	1.80E-07	0.088954189	4.68E-07
Erwiniaceae	0.023054735	3.63E-07	8.48E-07	0.03936097
Enterobacteriaceae	0.033264539	7.29E-07	0.019219971	0.064347144
KI89A_clade	8.13E-07	2.03E-07	0.029060495	1.75E-07
Moraxellaceae	0.066615018	0.104339054	0.180849627	1.83E-07
Xanthomonadaceae	0.138701633	1.04E-06	0.003795539	0.093131312
Rhodanobacteraceae	5.95E-07	8.23E-07	4.91E-07	1.58E-07
SC.I.84	1.00E-06	9.86E-07	0.09282224	0.015528626
A21b	0.029997198	1.32E-07	9.61E-07	0.278236553
Nitrosomonadaceae	0.183648201	1.27E-07	1.09E-06	5.41E-07
Methylophilaceae	0.00197641	1.44E-07	0.056337441	6.99E-07
TRA3.20	0.207362771	1.62E-07	8.78E-07	8.40E-07
Sutterellaceae	0.005749661	0.092329341	0.151051566	0.046594173
Comamonadaceae	0.229173145	1.32E-07	0.197069548	0.220975958
Burkholderiaceae	0.155131766	0.124005142	0.162566218	0.050164841
Oxalobacteraceae	0.207031121	0.185242442	0.435903578	1.42E-07
X0319.6G20	1.99E-07	NA	2.00E-07	2.00E-07
Haliangiaceae	2.27E-07	0.005768007	0.027105944	0.013278694
Myxococcaceae	1.01E-06	1.58E-07	2.31E-07	0.061230166
Sandaracinaceae	1.66E-07	1.29E-07	1.49E-07	1.70E-07
mle1.27	0.097369151	1.21E-07	0.048930533	1.45E-07
BIrii41	0.242832592	1.88E-06	0.132967715	0.006158648
Polyangiaceae	0.08112972	1.47E-07	1.92E-07	7.46E-07
Bacteriovoracaceae	4.06E-07	2.10E-07	8.59E-07	6.04E-07
Oligoflexales	0.082412865	1.75E-07	2.11E-07	1.78E-06
Geminicoccaceae	0.030015708	0.05207581	0.027123863	5.69E-07
Inquilinaceae	1.24E-07	1.69E-07	0.136245231	1.64E-07
Sphingomonadaceae	0.28279953	4.91E-07	3.96E-07	1.33E-07
Reyranellaceae	5.71E-07	1.38E-07	2.17E-07	0.040199427
Dongiaceae	0.079997577	1.51E-07	1.82E-07	1.58E-07
Azospirillaceae	8.08E-07	2.05E-07	7.96E-07	1.81E-07
Methyloligellaceae	0.043431834	1.84E-06	1.03E-06	2.00E-07
Hyphomicrobiaceae	9.24E-07	1.69E-07	0.039380403	1.60E-07
Rhizobiales_Incertae_Sedis	0.004984662	1.46E-07	0.021616051	7.16E-07
Devosiaceae	0.105328739	0.159657327	0.14578302	0.095539904
Caulobacteraceae	0.121832246	0.009756678	9.11E-07	0.16417212
Beijerinckiaceae	0.141963536	0.039988036	0.058785371	0.281383637
Xanthobacteraceae	0.361353393	0.088850436	0.018990632	0.267397607
Rhizobiaceae	0.236923077	8.40E-07	0.006407847	0.095972671
Rhodobacteraceae	7.85E-07	1.93E-07	2.22E-07	8.08E-07
Geobacteraceae	0.107623796	1.22E-06	0.071058487	9.13E-07
bacteriap25	0.069458179	0.010009562	0.025502541	2.78E-05
RCP2.54	3.69E-07	1.68E-07	2.17E-07	1.18E-06
WD2101_soil_group	0.152712723	0.036906525	0.057422549	1.77E-07
Gemmataceae	8.99E-07	1.99E-07	9.89E-07	4.79E-07
Isosphaeraceae	0.113933774	1.91E-07	1.85E-07	0.158390793
Pirellulaceae	2.03E-07	1.81E-07	7.75E-07	0.005994729
Rokubacteriales	0.065819822	1.37E-07	0.031893496	2.53E-07
WX65	1.87E-07	2.02E-07	2.21E-07	2.00E-07
Nitrospiraceae	0.00415913	1.53E-07	0.020927798	9.78E-07
Thermoanaerobaculaceae	7.15E-07	1.74E-07	0.005639944	0.040058771
Subgroup_7	0.009788164	9.03E-07	1.08E-06	0.145316649
Subgroup_25	0.02646015	2.00E-07	2.24E-07	1.88E-07
Vicinamibacteraceae	0.136183353	1.45E-07	1.11E-06	0.260385244
Subgroup_11	0.023055058	8.96E-07	0.012472274	8.74E-07
AKAU4049	8.69E-07	1.71E-07	0.005077252	2.89E-07
Subgroup_5	0.016206404	0.204444368	2.17E-07	2.36E-07
Rubrobacteriaceae	0.030730906	1.62E-06	2.27E-07	5.35E-07
MB.A2.108	0.104221623	1.56E-07	0.004791568	0.229767377
Streptosporangiaceae	0.168316099	0.146219056	0.184879093	0.048883244
Glycomycetaceae	1.08E-06	0.006494317	1.61E-07	0.367027676
Propionibacteriaceae	1.62E-07	0.14571383	2.39E-07	0.022133057
Nocardioidaceae	0.026327994	0.088111819	0.105296263	0.170203246
Catenulisporaceae	0.071830075	0.072655436	0.053802351	0.186850988
Actinospicaceae	0.221191182	1.67E-07	1.57E-07	0.118978736
Micromonosporaceae	0.291736442	0.168964317	0.231228279	0.061033027
Pseudonocardiaceae	1.77E-07	0.264855941	0.105815157	0.250672318
Nakamurellaceae	0.048562294	8.42E-07	8.82E-07	0.115837146
Geodermatophilaceae	0.120404149	1.65E-07	9.47E-07	0.021750366
Sporichthyaceae	0.310874245	4.49E-07	1.61E-07	1.61E-07
Streptomycetaceae	0.112936845	0.249809274	0.123697456	0.133350649
Thermomonosporaceae	0.355713009	0.237404009	0.272174956	0.370335289
Microbacteriaceae	7.94E-07	8.17E-07	8.81E-07	1.36E-07
Cellulomonadaceae	0.003244118	5.94E-07	2.96E-07	0.005549171
Promicromonosporaceae	0.108362423	0.05811293	0.148408917	0.125671239
Micrococcaceae	0.07483592	0.022019185	0.115949914	9.65E-07
Intrasporangiaceae	7.79E-07	4.48E-07	0.024575966	0.283314864
Mycobacteriaceae	1.34E-07	1.50E-07	0.014719938	6.79E-07
Nocardiaceae	0.051701308	0.267491809	1.65E-06	0.116972549
X0319.7L14	0.132394094	1.42E-07	0.053370233	1.37E-07
Ilumatobacteraceae	0.289854837	9.94E-07	0.054201247	0.102879545
Iamiaceae	1.82E-06	1.31E-07	0.001839797	0.019129159
IMCC26256	0.237965709	0.006827875	0.112613694	0.048586192
