CK	D	LN	LP	
Pseudomonas	8.67E-07	0.201685168	0.13855735	8.09E-07
CCD24	3.04E-07	1.49E-06	1.59E-06	0.169862171
Acidibacter	3.04E-07	0.08379648	0.261751661	0.049013572
Steroidobacter	3.04E-07	0.182181499	0.292811781	0.121861933
PLTA13	3.04E-07	1.50E-07	1.81E-07	0.207913237
JTB255_marine_benthic_group	1.68E-07	0.082013744	0.342127225	0.131520769
Pantoea	1.07E-06	1.38E-07	0.199595457	0.090076896
KI89A_clade	1.46E-07	0.328201028	0.331194633	9.83E-07
Acinetobacter	4.77E-07	0.132885576	0.257020746	0.051124705
Arenimonas	0.233691365	4.27E-07	0.165819578	1.24E-06
Lysobacter	0.182182975	0.029027635	1.02E-06	0.155429947
Luteimonas	0.274999027	0.14852562	1.83E-06	1.30E-07
Stenotrophomonas	9.46E-07	1.39E-07	0.001413845	9.13E-07
Dyella	0.366909375	0.06506646	0.318235249	0.307315169
Luteibacter	1.65E-06	1.29E-07	1.58E-07	1.67E-06
Dokdonella	0.16959407	0.292734685	0.108580927	0.101721661
SC.I.84	0.02247906	0.182175196	0.108900445	0.150111642
A21b	0.117706823	0.195500294	0.011742139	0.162063342
Nitrosospira	0.203993855	0.215110094	0.138867579	0.189370417
Methylotenera	0.436102017	0.113597636	0.197575035	0.07343716
MND1	0.149615746	1.35E-07	1.70E-07	0.266008606
TRA3.20	4.74E-07	1.33E-07	0.096707067	0.207614316
Ellin6067	0.297715116	0.07816119	1.53E-07	1.02E-06
mle1.7	1.22E-07	0.207520292	0.133198825	0.162141101
Noviherbaspirillum	9.37E-07	0.300379488	0.157656645	0.157796903
Ralstonia	2.98E-07	1.58E-07	3.39E-07	0.062329511
Ramlibacter	3.04E-07	0.145263686	0.305874241	0.12170194
Variovorax	0.283855627	0.340164303	0.112650046	0.273272399
Rhizobacter	0.122996538	1.32E-07	1.20E-07	7.82E-07
Burkholderia.Caballeronia.Paraburkholderia	0.228238365	0.363683247	0.087834444	0.151789025
X.Aquaspirillum._arcticum_group	0.263101781	1.57E-07	0.084137245	1.49E-06
Massilia	0.337170545	0.161876619	0.174541833	0.168591748
X0319.6G20	0.156079856	1.29E-07	1.21E-07	0.115995579
Haliangium	4.25E-07	0.047553092	0.224231695	0.142404579
P3OB.42	0.03704647	1.37E-07	0.281922721	5.81E-07
Cystobacter	1.55E-06	1.41E-07	0.036187958	1.25E-07
Myxococcus	1.21E-07	2.24E-07	0.108949573	0.175479467
mle1.27	0.21033267	0.135768921	0.049935031	0.185752514
BIrii41	0.005592915	3.04E-07	1.23E-07	0.211009484
Aetherobacter	9.08E-07	1.01E-06	0.162442343	8.76E-07
Sorangium	0.158734136	1.89E-07	0.35394788	0.262146673
Pajaroellobacter	1.44E-07	1.23E-07	7.29E-07	1.32E-06
Peredibacter	3.04E-07	0.140128287	8.43E-07	1.60E-07
Oligoflexus	0.302874598	0.338191372	0.32863229	0.139404165
Candidatus_Alysiosphaera	0.195973535	0.047508666	0.339947387	0.199333872
Inquilinus	1.67E-07	1.23E-06	1.81E-06	1.03E-06
Sphingobium	1.54E-07	0.311051202	0.25662144	0.145629688
Sphingomonas	0.117289773	0.148573173	1.81E-06	0.282006765
Ellin6055	0.112712105	0.199518792	0.082777285	0.079238287
Reyranella	1.63E-06	0.169792407	0.282116089	0.159335006
