CK	D	LN	LP	
Pseudomonas	0.075322154	0.068312033	1.08E-06	0.020734541
CCD24	0.339172979	9.64E-07	3.12E-07	1.32E-07
Acidibacter	0.00944559	3.03E-07	0.13880481	0.126488319
Steroidobacter	0.17293686	0.01688051	5.76E-07	0.20399745
PLTA13	0.235574024	8.83E-07	0.016191549	1.78E-07
JTB255_marine_benthic_group	0.074997775	1.80E-07	0.088954189	4.68E-07
Pantoea	0.023054735	3.63E-07	8.48E-07	0.03936097
KI89A_clade	8.13E-07	2.03E-07	0.029060495	1.75E-07
Acinetobacter	0.066615018	0.104339054	0.180849627	1.83E-07
Arenimonas	0.111998955	8.65E-07	7.45E-07	0.106897443
Lysobacter	0.084568206	1.18E-06	0.006174846	0.135950398
Luteimonas	0.074862249	9.20E-07	0.088535838	0.024810224
Stenotrophomonas	2.54E-07	5.06E-07	1.16E-06	6.55E-07
Dyella	0.248161163	2.00E-07	1.77E-06	0.239006933
Luteibacter	2.00E-07	8.49E-07	3.97E-07	1.85E-07
Dokdonella	1.70E-07	7.97E-07	0.207459053	9.71E-07
SC.I.84	1.00E-06	9.86E-07	0.09282224	0.015528626
A21b	0.029997198	1.32E-07	9.61E-07	0.278236553
Nitrosospira	3.61E-07	0.038048581	0.004884688	1.53E-07
Methylotenera	0.00197641	1.44E-07	0.056337441	6.99E-07
MND1	0.418044676	0.008421647	0.068188114	5.02E-07
TRA3.20	0.207362771	1.62E-07	8.78E-07	8.40E-07
Ellin6067	0.047232501	1.87E-07	1.35E-07	0.063707501
mle1.7	9.27E-07	6.27E-07	0.044097242	6.83E-07
Noviherbaspirillum	0.444781838	1.90E-07	1.94E-07	7.36E-07
Ralstonia	4.91E-07	1.42E-07	0.081660283	1.27E-07
Ramlibacter	0.119861958	8.48E-07	0.058948948	0.017121708
Variovorax	0.094624744	0.184465115	7.53E-07	0.045929862
Rhizobacter	0.248457207	1.46E-07	0.243740832	0.071073226
Burkholderia.Caballeronia.Paraburkholderia	0.156470663	0.126762481	0.15376913	0.050699977
X.Aquaspirillum._arcticum_group	0.047565334	1.05E-06	0.094095374	0.088635273
Massilia	0.208602766	0.185683349	0.430640035	1.45E-07
X0319.6G20	1.99E-07	NA	2.00E-07	2.00E-07
Haliangium	2.27E-07	0.005768007	0.027105944	0.013278694
P3OB.42	0.132925043	0.206657668	1.34E-07	8.88E-07
Cystobacter	9.71E-07	1.82E-07	2.01E-07	1.96E-07
Myxococcus	0.115411647	0.033757413	0.036364147	4.88E-07
mle1.27	0.097369151	1.21E-07	0.048930533	1.45E-07
BIrii41	0.242832592	1.88E-06	0.132967715	0.006158648
Aetherobacter	1.36E-07	1.53E-07	0.03280767	4.95E-07
Sorangium	0.286129769	0.058240857	1.38E-07	8.85E-07
Pajaroellobacter	1.55E-07	1.51E-07	1.32E-07	1.61E-07
Peredibacter	4.06E-07	2.10E-07	8.59E-07	6.04E-07
Oligoflexus	0.082412865	1.75E-07	2.11E-07	1.78E-06
Candidatus_Alysiosphaera	0.013031353	1.88E-07	0.053162841	1.62E-07
Inquilinus	1.24E-07	1.69E-07	0.136245231	1.64E-07
Sphingobium	0.239877106	0.102077712	0.021137089	1.83E-06
Sphingomonas	0.210315862	1.32E-06	5.72E-07	1.21E-06
Ellin6055	2.49E-07	2.00E-07	1.19E-06	6.59E-07
Reyranella	5.71E-07	1.38E-07	2.17E-07	0.040199427
Dongia	0.079997577	1.51E-07	1.82E-07	1.58E-07
Skermanella	8.08E-07	2.05E-07	7.96E-07	1.81E-07
Hyphomicrobium	8.02E-07	1.27E-07	0.026080583	1.57E-07
Pedomicrobium	1.16E-06	8.94E-07	0.065255089	0.030839526
Nordella	0.000161096	1.28E-07	0.019344053	0.042401474
Devosia	0.105328739	0.159657327	0.14578302	0.095539904
Rhodoplanes	5.94E-07	6.63E-07	0.217428516	0.092139532
Pseudolabrys	0.207627395	0.104366549	0.079768524	0.306250693
Phenylobacterium	0.135922891	0.009848586	8.55E-07	0.179201362
Caulobacter	1.71E-07	7.93E-07	0.167412256	0.182659853
Microvirga	0.037512977	6.04E-07	0.012617161	0.289277256
alphaI_cluster	0.35801839	1.11E-06	1.72E-07	1.18E-06
Bosea	1.84E-06	0.072699626	8.46E-07	1.57E-07
Methylobacterium.Methylorubrum	0.156267967	0.003163183	1.28E-07	1.01E-06
Bradyrhizobium	0.336924058	1.29E-07	0.03969973	0.128395443
Afipia	1.99E-07	NA	6.86E-07	1.98E-07
Rhodopseudomonas	0.045991172	1.99E-07	0.112357101	1.18E-06
Methyloligellaceae	0.170522345	1.18E-06	0.024451151	5.00E-07
Mesorhizobium	1.55E-07	0.033882481	0.157478935	0.082830536
Phyllobacterium	8.52E-07	4.03E-07	1.59E-07	0.165905724
Amaricoccus	6.50E-07	1.99E-07	2.18E-07	6.85E-07
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	0.223326871	0.028363224	6.11E-07	0.034501798
bacteriap25	0.069458179	0.010009562	0.025502541	2.78E-05
RCP2.54	3.69E-07	1.68E-07	2.17E-07	1.18E-06
WD2101_soil_group	0.152712723	0.036906525	0.057422549	1.77E-07
Gemmata	8.99E-07	1.99E-07	9.89E-07	4.79E-07
Singulisphaera	0.253945349	1.87E-07	1.89E-07	2.02E-07
Pirellula	2.03E-07	1.81E-07	7.75E-07	0.005994729
Rokubacteriales	0.065819822	1.37E-07	0.031893496	2.53E-07
WX65	1.87E-07	2.02E-07	2.21E-07	2.00E-07
Nitrospira	0.00415913	1.53E-07	0.020927798	9.78E-07
Subgroup_10	7.15E-07	1.74E-07	0.005639944	0.040058771
Subgroup_7	0.009788164	9.03E-07	1.08E-06	0.145316649
Subgroup_25	0.02646015	2.00E-07	2.24E-07	1.88E-07
Vicinamibacteraceae	0.178702375	1.58E-07	0.003551453	0.066172855
Luteitalea	8.46E-07	1.98E-07	5.01E-07	2.00E-07
Subgroup_11	0.023055058	8.96E-07	0.012472274	8.74E-07
AKAU4049	8.69E-07	1.71E-07	0.005077252	2.89E-07
Subgroup_5	0.016206404	0.204444368	2.17E-07	2.36E-07
Rubrobacter	0.030730906	1.62E-06	2.27E-07	5.35E-07
MB.A2.108	0.104221623	1.56E-07	0.004791568	0.229767377
Nonomuraea	0.126369676	0.087928126	0.176597474	0.101887313
Streptosporangium	0.150166945	0.012391503	1.36E-07	1.58E-07
Glycomyces	1.08E-06	0.006494317	1.61E-07	0.367027676
Marmoricola	1.46E-07	0.214849622	0.019973774	8.21E-07
Nocardioides	0.114072048	0.244464666	0.152500171	0.361602687
Aeromicrobium	1.96E-07	0.054563061	8.09E-07	0.353277525
Microlunatus	1.62E-07	0.14571383	2.39E-07	0.022133057
Kribbella	0.011107513	1.39E-07	0.153393049	8.48E-07
Catenulispora	0.071830075	0.072655436	0.053802351	0.186850988
Actinospica	0.221191182	1.67E-07	1.57E-07	0.118978736
Micromonospora	1.64E-07	0.271561158	0.079636093	1.61E-07
Catellatospora	1.37E-07	0.275234227	0.206997445	0.173657187
Rhizocola	3.32E-07	9.69E-07	6.38E-07	9.71E-07
Actinoplanes	0.213849051	0.181658975	1.60E-07	1.45E-07
Dactylosporangium	0.222649765	5.35E-07	0.203134286	6.81E-07
Amycolatopsis	1.58E-07	0.17482196	0.187734632	0.295122218
Saccharothrix	0.263676255	0.323632136	0.111031393	0.402569601
Kibdelosporangium	8.93E-07	0.028675282	0.052279766	0.077270668
Lechevalieria	1.62E-07	0.171984115	1.41E-07	0.178785693
Pseudonocardia	0.001353128	0.141021076	3.35E-07	0.007402713
Saccharopolyspora	8.54E-07	0.040344013	0.095327563	0.029382406
Umezawaea	8.26E-07	0.368337335	0.04804121	1.73E-07
Geodermatophilus	0.010567811	1.41E-07	7.74E-07	7.50E-07
Nakamurella	0.048562294	8.42E-07	8.82E-07	0.115837146
Blastococcus	0.12772538	1.68E-07	0.001674823	8.98E-07
Streptomyces	0.113260344	0.249723384	0.123562842	0.13377478
Kitasatospora	0.027958517	0.01803103	2.05E-07	7.98E-07
Actinocorallia	0.355713009	0.237404009	0.272174956	0.370335289
Leifsonia	0.036452001	0.073161757	7.86E-07	1.78E-06
Agromyces	1.29E-07	1.46E-07	0.076736388	0.178893314
Microbacterium	2.18E-07	1.55E-07	7.23E-07	0.005061054
Cellulomonas	0.003244118	5.94E-07	2.96E-07	0.005549171
Promicromonospora	0.108362423	0.05811293	0.148408917	0.125671239
Paenarthrobacter	4.58E-07	0.121395127	1.30E-07	9.21E-07
Terrabacter	9.53E-07	1.44E-07	1.34E-07	0.067563841
Phycicoccus	9.29E-07	1.58E-07	1.82E-06	1.29E-06
Nocardia	0.067418198	0.267445319	1.80E-06	0.148679981
Mycobacterium	1.34E-07	1.50E-07	0.014719938	6.79E-07
Rhodococcus	0.001928126	1.22E-07	7.27E-07	0.04096689
X0319.7L14	0.132394094	1.42E-07	0.053370233	1.37E-07
Ilumatobacter	0.221922396	7.71E-07	0.129958637	0.289458111
Iamia	1.82E-06	1.31E-07	0.001839797	0.019129159
IMCC26256	0.237965709	0.006827875	0.112613694	0.048586192
Conexibacter	0.112537253	1.24E-07	1.32E-07	0.277691617
Solirubrobacter	0.021914533	8.57E-07	0.047897705	0.222560868
X67.14	0.054540364	1.54E-06	1.33E-06	0.001750756
Gaiella	0.033008032	1.53E-07	0.025807449	0.37331533
Aridibacter	0.059840761	8.98E-07	1.42E-07	0.233395895
RB41	0.138374869	3.08E-07	0.002675079	0.330863349
X11.24	0.074092041	2.02E-07	0.043869386	7.99E-07
possible_genus_04	0.009481865	2.03E-07	9.47E-07	0.002663094
Nostoc_PCC.7524	0.048553956	1.93E-07	1.59E-07	1.06E-06
Nostoc_PCC.73102	0.184217343	1.92E-07	0.052787169	0.115204351
Entotheonellaceae	7.23E-07	1.97E-07	0.02772504	2.04E-07
Chryseolinea	0.074059836	1.49E-07	9.87E-07	1.84E-06
Mucilaginibacter	0.287983327	1.68E-07	1.87E-07	0.029564778
Pedobacter	0.051495705	1.54E-07	1.53E-07	9.26E-07
Arcticibacter	1.78E-07	1.20E-07	1.72E-07	0.09556042
Niastella	0.024075561	5.94E-07	9.75E-07	0.048246063
Flavitalea	0.036884868	1.50E-07	0.060262235	0.464045934
Puia	9.65E-07	1.58E-07	1.83E-06	0.028951615
Segetibacter	0.183861894	3.05E-07	5.54E-07	0.063503353
Terrimonas	0.056439148	1.66E-07	0.268569984	0.226546452
Flavisolibacter	6.40E-07	0.176631573	0.148470685	1.86E-07
Flaviaesturariibacter	5.76E-07	1.46E-07	0.215555787	0.077446414
Chitinophaga	0.193295185	3.79E-07	1.47E-07	4.25E-07
Aurantisolimonas	1.04E-06	4.75E-07	1.99E-07	0.434489613
Bacteroides	0.22768855	1.86E-06	7.38E-07	0.022749141
Adhaeribacter	0.168032403	0.026258284	0.040990375	5.26E-07
Bryobacter	9.78E-07	1.44E-07	0.011833646	0.296289459
Candidatus_Solibacter	0.183111727	2.00E-07	0.011477754	1.34E-06
Ellin517	0.083857114	0.00601839	0.163245049	0.115636396
Pedosphaeraceae	6.59E-07	5.18E-07	0.191742269	1.72E-07
