CK	D	LN	LP	
fASV113	0.050108721	1.49E-07	0.437349721	0.130209099
fASV149	0.083738882	0.006091289	0.075540167	8.58E-07
fASV249	0.09062581	1.69E-07	3.75E-07	0.041905594
fASV115	0.424902993	0.23755095	0.140986694	0.286024978
fASV159	0.001564944	7.75E-07	7.62E-08	2.01E-07
fASV122	5.22E-07	5.81E-07	2.02E-07	1.69E-07
fASV154	0.622602447	0.634448461	0.573255712	0.364371601
fASV537	0.075779524	0.349281192	0.201048351	0.288112484
fASV97	0.645177442	0.516593399	0.610928793	0.673265007
fASV145	0.216211427	0.210963496	0.019945095	9.56E-08
fASV126	0.735788617	0.610355694	0.675068311	0.709076321
fASV476	0.327167211	0.338458021	0.15004379	9.95E-07
fASV44	3.54E-07	1.98E-07	0.247879725	9.66E-07
fASV269	0.035640238	0.226634964	8.32E-07	0.01918246
fASV216	6.28E-07	4.82E-07	1.96E-07	2.00E-07
fASV180	0.527277901	0.062745613	0.206804952	0.186303807
fASV300	0.092560264	0.07540644	0.074695938	0.02096784
fASV215	0.116758595	0.261530382	0.165275936	0.205228006
fASV121	0.089995654	0.197250775	0.687954709	0.002384483
fASV123	0.364280755	0.383148942	0.147402772	0.309536004
fASV280	0.01575667	0.438696031	1.49E-07	1.01E-06
fASV236	0.184590093	0.580816753	0.259515274	0.117343655
fASV242	0.166799485	0.02328441	0.406120749	0.092615893
fASV339	0.104441269	0.243001279	0.614618012	1.46E-07
fASV297	0.166374066	0.220775009	0.276133824	0.347010067
fASV293	0.116918674	0.26595442	0.115691212	0.396511203
fASV95	0.125068886	0.03117032	0.238696559	1.22E-07
fASV3	0.115152612	0.004571169	0.512159348	1.82E-07
fASV70	9.09E-07	0.009016467	1.02E-06	8.61E-07
fASV60	0.059572782	0.086422467	7.48E-07	4.04E-07
fASV12	0.073267728	0.074452287	1.34E-07	0.098655911
fASV94	1.98E-07	7.83E-08	0.023981519	1.02E-06
fASV316	0.075004369	0.174111043	0.255689874	0.139331176
fASV395	0.35532414	0.003163217	0.504278079	0.558451087
fASV176	0.47755402	0.374144929	0.517591436	0.680246605
fASV186	8.00E-07	1.27E-07	1.68E-07	1.26E-06
fASV125	0.273115115	0.199893702	0.36068266	0.292173304
fASV329	4.64E-07	4.98E-07	0.28681014	1.32E-07
fASV11	0.102481483	0.139093362	0.268731791	0.302566768
fASV21	0.072273865	0.359654548	0.035255393	0.264389931
fASV19	0.432063566	0.494087243	0.368354117	0.597329629
fASV455	0.139154267	0.640658368	0.451017614	0.594143166
fASV311	0.345878879	0.070454499	0.318490143	0.133284172
fASV68	0.054513072	0.230733395	0.068874397	0.485461952
fASV34	0.082279589	0.296046366	0.065484025	0.394442751
fASV148	0.27315034	0.01926835	0.481215488	0.139992479
fASV417	1.55E-07	0.214579461	0.143547771	0.339035736
fASV499	0.115787925	3.94E-07	0.049541935	0.548020325
fASV62	0.05480496	0.107970945	8.26E-07	1.28E-07
fASV36	0.041101741	0.082108266	0.064852271	1.02E-06
fASV588	0.062939298	0.245765848	0.282516178	0.715917832
fASV196	0.030532359	1.93E-07	0.032843435	0.039540345
fASV88	0.005944682	0.317530003	0.315242417	9.71E-07
fASV197	0.611692071	0.741079098	6.62E-07	0.216134288
fASV224	0.182361918	0.167906298	4.59E-07	8.34E-07
fASV559	0.285736203	0.499578801	9.43E-07	0.265202954
fASV273	0.059920803	0.509328847	5.14E-07	1.69E-07
fASV65	0.188293989	0.47570515	0.018682491	0.462983684
fASV35	0.192065962	0.427764006	0.161966978	0.634535254
fASV228	1.69E-07	0.038844232	1.54E-07	0.019264325
fASV323	0.204249589	0.392337318	0.162549153	0.440808896
fASV509	0.235354622	0.350184672	0.492926957	0.467089753
fASV508	0.237142823	0.348073232	0.56903594	0.489190978
fASV105	1.62E-07	0.463904845	8.13E-07	0.315470584
fASV120	4.78E-07	0.134437194	4.57E-07	1.55E-07
fASV128	0.827256862	0.597168186	0.711085063	0.641603013
fASV26	0.835780489	0.461851111	0.772428312	0.618525731
fASV810	0.180970908	6.85E-07	7.63E-07	0.264015059
fASV510	0.437202201	0.130802729	1.19E-06	2.60E-07
fASV327	0.462857336	0.305503339	1.26E-06	0.505967976
fASV378	0.417906539	0.190636349	0.208942615	0.013019036
fASV112	2.11E-07	0.130134432	0.377930233	9.82E-07
fASV590	0.320042953	0.478642428	0.517682504	0.512424527
fASV257	0.229915346	0.305640093	1.05E-06	0.328411512
fASV255	0.007851134	0.152689053	0.479623362	0.424329523
fASV337	0.565814938	0.333986032	0.059321044	0.170053565
fASV291	0.645863627	0.385576891	0.620227736	0.676953204
fASV84	0.005377015	7.27E-07	0.063963796	1.03E-06
fASV158	0.273488017	0.266819031	0.166739578	0.088750065
fASV100	0.416534941	0.502331351	0.087994761	0.25368764
fASV99	0.069944242	0.268384307	0.532799202	2.04E-07
fASV325	1.10E-06	2.81E-07	3.93E-07	0.405810225
fASV246	0.055039602	1.58E-07	0.165037268	0.328054799
fASV310	1.30E-07	0.107101667	0.025851348	0.286360448
fASV391	0.17045042	1.32E-07	0.147957133	0.331328485
fASV23	0.321024968	0.54420594	0.457552732	0.739686848
fASV163	0.021561676	0.109184472	3.80E-07	0.222313591
fASV178	0.413773973	0.550811746	0.228335119	0.381276485
fASV248	0.033263735	0.45331189	1.94E-07	0.273999608
fASV464	0.27850513	0.243660061	0.251512362	0.532313558
fASV367	1.46E-07	0.015619182	1.99E-07	0.02727847
fASV517	0.1846126	0.053018156	0.01236209	0.212815302
fASV374	0.065642559	0.005242955	0.414735902	0.315764219
fASV37	0.024539159	6.62E-07	2.01E-07	6.34E-07
fASV22	0.306221737	6.57E-07	1.79E-07	1.56E-07
fASV57	7.71E-07	8.91E-07	1.55E-06	6.79E-07
fASV39	0.022815529	0.144314417	0.006358024	0.685481897
fASV25	1.12E-06	0.147921507	0.093536904	0.732668307
fASV49	1.34E-06	0.000335649	0.493789766	0.000336119
fASV9	0.573598686	0.359154029	0.452062773	0.544713328
fASV31	0.214093121	7.37E-07	1.95E-07	6.91E-07
fASV78	5.97E-07	3.76E-07	7.49E-07	8.50E-07
fASV42	5.15E-07	6.25E-07	1.95E-07	1.51E-06
fASV183	0.055548463	6.20E-07	9.91E-07	0.230282566
fASV422	0.53487279	0.626712806	0.185889203	0.465125445
fASV411	0.623759726	0.66567558	0.296050208	0.433450386
fASV41	5.97E-07	0.116595378	9.78E-07	2.05E-07
fASV331	0.241081165	0.490988973	1.00E-06	0.213809183
fASV440	0.017102823	1.53E-07	1.50E-07	0.340177609
fASV165	0.495930806	0.395953625	0.177420286	0.1550546
fASV187	0.325752652	0.204032004	0.184071508	0.120833785
fASV58	5.95E-07	1.53E-07	1.87E-07	2.01E-07
fASV80	1.78E-07	0.028714919	3.59E-07	0.443434942
fASV271	2.01E-07	0.03769053	0.540025926	0.437251154
fASV147	0.005138308	0.033645793	0.014256787	0.495473746
fASV332	0.048976265	0.489683624	0.158073735	0.504935094
fASV160	0.009695817	0.326566115	0.093779734	0.188559837
fASV106	9.37E-07	0.034871145	1.89E-07	1.62E-07
fASV111	0.067471395	0.005534835	6.15E-07	1.80E-07
fASV140	0.636516998	0.386560199	0.338590281	0.397561555
fASV185	2.00E-07	0.125780899	1.41E-07	0.100943857
fASV127	6.33E-07	2.00E-07	0.046344647	0.047685948
fASV91	1.46E-07	7.64E-07	0.0372172	0.281270058
fASV376	0.510443942	0.550048349	0.60048455	0.48223577
fASV67	0.050190877	0.004450999	1.91E-07	9.30E-07
fASV222	0.781120997	0.639881557	0.707827978	0.634259359
fASV138	0.113489303	1.52E-06	0.000680186	4.23E-07
fASV87	0.013976102	0.018064477	0.130223163	0.22720187
fASV24	0.106740863	0.197752672	0.067129617	0.045596144
fASV86	4.53E-07	0.666849209	0.016995172	1.13E-06
fASV76	0.007643963	0.288093366	0.217126178	0.055446177
fASV119	6.42E-07	0.261731448	5.44E-07	0.069388886
fASV598	0.691184409	0.228039817	0.044872852	0.442509311
fASV90	0.876317737	0.810281877	0.836351935	0.717365831
fASV166	0.500173713	0.604623763	0.44956275	0.502276117
fASV245	0.002203351	0.03925225	4.30E-07	7.42E-07
fASV136	0.041459677	0.601556363	0.483703791	0.378246893
fASV13	0.142484183	0.203617529	0.149228727	0.329836356
fASV167	8.19E-07	1.64E-07	0.147250298	0.029891078
fASV10	0.180628112	7.75E-07	1.67E-07	0.028938672
fASV77	0.08011394	8.22E-07	0.020332768	0.003752442
fASV29	4.56E-07	1.56E-07	0.123761497	1.71E-07
fASV45	0.044955202	1.19E-06	0.707463545	3.47E-07
fASV436	0.289042922	0.277006658	0.156194075	0.022024216
fASV43	5.01E-07	0.031221041	0.085491979	6.02E-07
fASV102	0.026116264	9.30E-07	8.86E-07	0.027940355
fASV66	0.02078179	0.011810577	0.072556903	0.247061031
fASV153	0.05499697	1.33E-07	0.079104505	1.57E-07
fASV109	1.74E-07	1.66E-07	0.07656744	1.96E-07
fASV162	1.10E-06	1.92E-07	1.12E-06	1.99E-07
fASV64	1.12E-06	0.155747348	9.23E-07	3.17E-07
fASV50	7.85E-07	0.065036729	5.76E-07	6.53E-07
