CK	D	LN	LP	
fASV113	1.45E-07	0.120743905	0.015418847	8.61E-07
fASV149	0.03465848	1.46E-07	1.34E-07	0.209736859
fASV249	0.13571152	8.06E-07	0.375570152	5.55E-07
fASV115	0.409912941	0.124581228	0.028359383	0.195391077
fASV159	1.63E-07	2.24E-07	1.04E-06	2.00E-07
fASV122	1.79E-07	0.510541357	9.72E-07	1.86E-06
fASV154	9.79E-07	1.95E-07	0.465087107	0.000370437
fASV537	NA	NA	0.000336119	0.000336124
fASV97	1.56E-07	0.1101343	1.91E-07	0.090321758
fASV145	0.010252592	0.201593626	7.02E-07	5.01E-07
fASV126	0.003829703	0.148585789	1.03E-06	0.011720067
fASV476	0.000336119	0.000336124	NA	NA
fASV44	1.02E-06	0.250323139	0.073782374	0.119936571
fASV269	9.04E-07	1.11E-06	2.05E-07	2.11E-07
fASV216	1.95E-07	8.49E-07	0.000330268	0.000336119
fASV180	0.175300457	0.251715901	0.079025121	1.56E-07
fASV300	0.0501254	1.18E-06	0.072761027	0.08002236
fASV215	0.004835118	1.58E-07	0.076385217	0.135349093
fASV121	0.058008852	0.350062833	0.13803042	0.210044543
fASV123	2.76E-07	0.339685778	0.047980362	0.173629104
fASV280	0.072580194	0.071391969	0.068170931	3.73E-07
fASV236	9.29E-07	0.101700117	1.55E-07	0.205763124
fASV242	3.36E-07	2.56E-07	0.008957891	1.27E-07
fASV339	5.47E-07	0.063394166	1.99E-07	8.28E-07
fASV297	1.57E-07	2.74E-07	1.57E-07	0.085951606
fASV293	0.159525536	0.450559096	0.478872261	0.005763325
fASV95	3.90E-07	1.00E-06	1.07E-06	2.05E-07
fASV3	0.149127556	0.423625745	6.95E-07	1.48E-07
fASV70	0.238044672	0.355597869	0.072323395	1.97E-07
fASV60	6.41E-07	9.10E-07	0.026234563	1.62E-07
fASV12	1.88E-06	0.135019766	0.018692563	6.98E-07
fASV94	1.05E-06	0.24986877	9.37E-07	8.88E-07
fASV316	1.29E-06	9.43E-07	0.000326044	2.02E-07
fASV395	1.93E-07	0.000336124	0.511957986	0.000336119
fASV176	2.44E-07	0.138515137	0.033054789	1.49E-06
fASV186	0.005293464	0.30682324	2.74E-07	2.04E-07
fASV125	0.067834319	0.37179498	0.423209103	0.381717721
fASV329	0.108815889	0.040657434	0.058531382	0.302941439
fASV11	1.25E-07	1.31E-07	0.035512626	0.247946124
fASV21	0.108491307	0.168048811	1.37E-07	0.167514793
fASV19	0.135432262	0.173201298	0.082563393	0.0755921
fASV455	1.25E-06	0.000336124	1.21E-06	1.91E-07
fASV311	0.000334537	0.000336119	NA	0.0003326
fASV68	0.514289205	0.019768193	0.007227074	0.069960781
fASV34	0.017338106	0.390327019	1.52E-07	4.88E-07
fASV148	1.64E-07	0.415236872	1.81E-07	9.51E-07
fASV417	1.60E-07	0.057330209	8.21E-07	6.48E-07
fASV499	0.000336124	2.02E-07	5.43E-07	4.28E-07
fASV62	0.030823964	0.010768243	1.12E-06	0.087557181
fASV36	0.06264201	7.99E-07	0.111284304	2.50E-07
fASV588	0.000332917	NA	1.94E-07	0.000336119
fASV196	9.84E-08	0.478936994	2.01E-07	0.001096898
fASV88	2.02E-07	1.02E-06	7.58E-07	2.03E-07
fASV197	9.38E-07	0.000336119	2.02E-07	2.02E-07
fASV224	1.92E-07	0.000332849	1.96E-07	1.80E-07
fASV559	1.25E-06	NA	0.667221462	0.000336124
fASV273	0.337807847	0.350397717	0.160005864	1.59E-07
fASV65	0.342394366	0.168494136	0.18447487	0.017295358
fASV35	0.145835808	1.35E-07	0.178617949	1.44E-07
fASV228	1.19E-06	1.07E-06	7.73E-07	1.43E-07
fASV323	3.53E-07	2.01E-07	9.34E-07	8.75E-07
fASV509	1.28E-06	NA	NA	NA
fASV508	2.01E-07	8.94E-07	0.002406012	1.82E-07
fASV105	2.00E-07	0.013323104	2.02E-07	2.03E-07
fASV120	8.07E-07	2.06E-07	0.059702263	1.29E-07
fASV128	3.94E-07	0.1153678	6.94E-07	6.95E-07
fASV26	7.79E-07	0.024398021	0.000365218	0.017926566
fASV810	NA	NA	NA	NA
fASV510	0.000336119	0.000336119	0.000330459	NA
fASV327	1.97E-07	NA	NA	0.000336119
fASV378	NA	2.01E-07	NA	0.000332849
fASV112	4.43E-07	0.027404285	9.08E-07	1.38E-06
fASV590	NA	NA	NA	0.000336119
fASV257	0.000336124	NA	1.93E-07	0.000336119
fASV255	NA	NA	0.000336124	0.000336075
fASV337	0.000336119	NA	0.000336119	0.000336119
fASV291	4.66E-07	8.67E-07	2.01E-07	9.10E-07
fASV84	0.039642058	0.000336119	6.38E-07	1.95E-07
fASV158	1.65E-07	1.36E-07	0.015018726	1.94E-07
fASV100	0.106410089	1.06E-06	1.39E-07	0.122461497
fASV99	7.09E-07	0.093096005	3.35E-07	9.54E-07
fASV325	8.59E-07	2.05E-07	1.99E-07	1.96E-07
fASV246	1.97E-07	1.74E-07	1.56E-07	0.190693281
fASV310	1.02E-06	0.252407626	1.88E-07	1.96E-07
fASV391	2.00E-07	0.000368083	2.03E-07	0.000336119
fASV23	5.49E-07	0.397239112	0.225601165	0.01048199
fASV163	9.10E-07	0.000336007	NA	0.000336119
fASV178	0.346549101	0.075872911	4.80E-07	6.13E-07
fASV248	1.29E-06	NA	0.000335356	0.000336124
fASV464	0.000335129	NA	NA	0.000336119
fASV367	1.86E-07	9.86E-07	2.01E-07	1.96E-07
fASV517	NA	0.000336124	0.000336119	NA
fASV374	0.000332649	NA	0.000336119	NA
fASV37	8.92E-07	1.40E-06	6.28E-07	8.42E-07
fASV22	6.29E-07	0.086078741	0.044938428	1.47E-07
fASV57	5.90E-07	1.77E-07	1.96E-07	4.99E-07
fASV39	1.59E-07	1.78E-07	2.73E-07	9.00E-07
