CK	D	LN	LP	
Lasiosphaeriaceae	0.56997761	0.296907817	0.562689285	0.622443148
Chaetomiaceae	0.476385843	0.275788892	0.47852665	0.086351469
Pezizomycotina_fam_Incertae_sedis	0.106266745	0.005544762	0.50975772	1.82E-07
Sordariaceae	0.075004369	0.174111043	0.255689874	0.139331176
Trichosphaeriaceae	0.35532414	0.003163217	0.504278079	0.558451087
Bartaliniaceae	0.47755402	0.374144929	0.517591436	0.680246605
Xylariales_fam_Incertae_sedis	0.102481483	0.139093362	0.268731791	0.302566768
Chaetosphaeriaceae	0.437268275	0.187258749	0.511783677	0.346023099
Myrmecridiaceae	0.034950583	0.13979687	0.01860917	0.015977034
Microascales_fam_Incertae_sedis	0.062939298	0.245765848	0.282516178	0.715917832
Microascaceae	0.030877556	0.262148773	0.029692042	0.042062595
Togniniaceae	0.014813661	0.464296008	0.340553375	0.010293942
Periconiaceae	0.178199435	0.52943307	0.016554213	0.466242414
Herpotrichiellaceae	0.192065962	0.427764006	0.161966978	0.634535254
Cladosporiaceae	1.69E-07	0.038844232	1.54E-07	0.019264325
Mycosphaerellaceae	0.204249589	0.392337318	0.162549153	0.440808896
Leotiaceae	0.237142823	0.348073232	0.56903594	0.489190978
Piskurozymaceae	0.83982166	0.481659819	0.775099246	0.626384879
Pyronemataceae	0.229217209	0.396730534	0.588177265	0.518925997
Sanchytriaceae	0.565814938	0.333986032	0.059321044	0.170053565
Sympoventuriaceae	0.645863627	0.385576891	0.620227736	0.676953204
Chytridiaceae	1.55E-07	0.117164607	0.190906547	1.02E-06
Mortierellaceae	0.350657025	0.583379151	0.540931788	0.635411539
Chrysozymaceae	0.307892732	0.690858624	0.270485495	0.42033631
Mrakiaceae	0.190348989	0.273062556	0.063176314	0.305819439
Rhizophydiaceae	0.1846126	0.053018156	0.01236209	0.212815302
Geastraceae	0.065642559	0.005242955	0.414735902	0.315764219
Ceratobasidiaceae	0.297592113	0.175263862	0.262611841	0.562222854
Rhizopodaceae	0.573598686	0.359154029	0.452062773	0.544713328
Entolomataceae	0.22744461	2.42E-07	1.19E-06	6.46E-07
Strophariaceae	0.055548463	6.20E-07	9.91E-07	0.230282566
Ganodermataceae	0.623759726	0.66567558	0.296050208	0.433450386
Cantharellales_fam_Incertae_sedis	1.37E-07	0.503598661	4.18E-07	0.001556769
Piptocephalidaceae	0.571518944	0.562272764	0.268857361	0.367857793
Phaeosphaeriaceae	1.96E-07	0.372395859	0.012348772	0.499039757
Gymnoascaceae	0.072436471	0.65800064	0.364961008	0.635141696
Pleosporaceae	9.37E-07	0.034871145	1.89E-07	1.62E-07
Didymosphaeriaceae	0.067471395	0.005534835	6.15E-07	1.80E-07
Thyridariaceae	0.166244419	0.335377243	0.337057523	0.44164503
Stachybotryaceae	0.007002953	0.525036165	0.206408852	0.07928032
Bionectriaceae	0.121552948	0.181286001	0.155459554	0.231798107
Hypocreales_fam_Incertae_sedis	0.352961904	8.33E-07	0.36390606	0.35371386
Aspergillaceae	1.11E-06	0.380794415	0.38852599	0.211126649
Arachnomycetaceae	0.302032986	0.155445035	0.318499244	1.31E-06
Trichocomaceae	0.50559593	0.474161867	0.579308939	0.611660763
Myxotrichaceae	0.683835288	0.614659596	0.507931202	0.759749305
Hyaloscyphaceae	0.240214524	0.483746366	0.260324414	0.745341586
Pseudeurotiaceae	0.691756109	0.769979447	0.743759404	0.803572592
Onygenales_fam_Incertae_sedis	0.18670747	0.406556779	0.469192658	0.2455989
Sordariales_fam_Incertae_sedis	0.402090953	8.96E-07	0.020641286	0.00468843
Glomerellaceae	0.093111704	0.033259776	0.155019228	0.175519129
Pezizaceae	0.004715327	9.58E-07	1.08E-06	0.367557622
Clavicipitaceae	0.106122002	0.236512241	0.309429149	0.066496643
Hypocreaceae	0.044597675	0.108801191	1.54E-07	1.56E-07
Nectriaceae	0.354177995	0.218990221	0.395268911	0.165679251
Cordycipitaceae	0.001765463	1.99E-07	0.000444823	1.35E-07
Helotiaceae	0.183371023	0.141635881	0.493600637	0.706611987
Niessliaceae	0.124062521	1.47E-07	0.26647144	0.072772496
Ophiocordycipitaceae	1.50E-07	0.04151121	0.012761675	0.472128518
