CK	D	LN	LP	
Lasiosphaeriaceae	0.229196305	0.511772921	0.129795575	0.485122466
Chaetomiaceae	0.065834358	0.007819553	0.123990498	7.81E-07
Pezizomycotina_fam_Incertae_sedis	0.149475584	0.42030327	5.88E-07	1.44E-07
Sordariaceae	1.29E-06	9.43E-07	0.000326044	2.02E-07
Trichosphaeriaceae	1.93E-07	0.000336124	0.511957986	0.000336119
Bartaliniaceae	2.44E-07	0.138515137	0.033054789	1.49E-06
Xylariales_fam_Incertae_sedis	1.25E-07	1.31E-07	0.035512626	0.247946124
Chaetosphaeriaceae	1.58E-07	0.396342636	1.66E-07	0.034631807
Myrmecridiaceae	0.052347252	1.60E-07	1.05E-06	0.174922933
Microascales_fam_Incertae_sedis	0.000332917	NA	1.94E-07	0.000336119
Microascaceae	1.52E-06	0.478936994	2.01E-07	0.000936095
Togniniaceae	9.10E-07	8.32E-07	9.80E-07	7.92E-07
Periconiaceae	0.36625594	0.18018767	0.22057614	0.005850964
Herpotrichiellaceae	0.145835808	1.35E-07	0.178617949	1.44E-07
Cladosporiaceae	1.19E-06	1.07E-06	7.73E-07	1.43E-07
Mycosphaerellaceae	3.53E-07	2.01E-07	9.34E-07	8.75E-07
Leotiaceae	2.01E-07	8.94E-07	0.002406012	1.82E-07
Piskurozymaceae	7.33E-07	0.14010635	1.84E-07	0.021201987
Pyronemataceae	0.000336124	NA	1.95E-07	0.000332849
Sanchytriaceae	0.000336119	NA	0.000336119	0.000336119
Sympoventuriaceae	4.66E-07	8.67E-07	2.01E-07	9.10E-07
Chytridiaceae	5.11E-07	0.018081644	0.02702593	1.94E-07
Mortierellaceae	0.137515057	0.018019995	3.80E-07	0.050412475
Chrysozymaceae	0.342822905	0.075872911	7.16E-07	6.12E-07
Mrakiaceae	1.92E-07	9.86E-07	2.01E-07	1.89E-07
Rhizophydiaceae	NA	0.000336124	0.000336119	NA
Geastraceae	0.000332649	NA	0.000336119	NA
Ceratobasidiaceae	0.076836574	8.41E-07	0.308744133	6.90E-07
Rhizopodaceae	0.274642242	0.362095642	8.54E-07	0.038946764
Entolomataceae	1.67E-07	0.03331879	1.63E-07	7.16E-07
Strophariaceae	7.13E-07	0.431223221	2.02E-07	8.98E-07
Ganodermataceae	0.000336119	NA	NA	0.000336124
Cantharellales_fam_Incertae_sedis	7.54E-07	0.302998708	5.72E-07	4.14E-07
Piptocephalidaceae	1.94E-07	NA	1.19E-06	1.84E-07
Phaeosphaeriaceae	0.01778497	0.439384604	3.48E-07	0.003327018
Gymnoascaceae	1.82E-07	0.000336119	0.043713293	1.84E-07
Pleosporaceae	0.000183309	1.13E-06	9.97E-07	9.79E-07
Didymosphaeriaceae	3.74E-07	7.30E-07	2.01E-07	1.47E-07
Thyridariaceae	0.291125874	8.34E-07	0.712195713	1.74E-07
Stachybotryaceae	1.90E-07	0.552943345	5.19E-07	0.059428358
Bionectriaceae	1.51E-07	0.130952626	4.35E-07	1.07E-06
Hypocreales_fam_Incertae_sedis	7.74E-07	1.94E-07	0.297485028	0.011401234
Aspergillaceae	0.137157754	7.88E-07	0.321785222	0.301914397
Arachnomycetaceae	0.000370437	0.276446194	1.26E-06	NA
Trichocomaceae	0.217977036	0.47644492	0.35807209	0.228358979
Myxotrichaceae	1.36E-06	1.92E-07	6.15E-07	5.55E-07
Hyaloscyphaceae	2.01E-07	0.000336119	0.000364841	0.000336119
Pseudeurotiaceae	0.096032968	0.032159272	1.06E-06	7.47E-07
Onygenales_fam_Incertae_sedis	1.95E-07	1.07E-06	0.000334001	1.89E-07
Sordariales_fam_Incertae_sedis	0.000333349	2.01E-07	1.00E-06	NA
Glomerellaceae	8.61E-07	1.96E-07	6.40E-07	6.77E-07
Pezizaceae	1.77E-06	9.50E-07	0.005176109	1.62E-07
Clavicipitaceae	0.372415231	0.377763565	7.41E-07	0.227542106
Hypocreaceae	8.73E-07	0.362465136	6.57E-07	1.54E-07
Nectriaceae	1.26E-06	0.407975414	0.099938492	1.39E-07
Cordycipitaceae	0.00665079	0.283819182	0.416348496	1.71E-07
Helotiaceae	3.59E-07	0.199472388	0.021137586	1.58E-07
Niessliaceae	1.56E-07	9.63E-07	7.53E-07	1.59E-07
Ophiocordycipitaceae	1.52E-06	0.157535161	9.47E-07	0.033134719
