CK	D	LN	LP	
Apodus	0.12165127	9.39E-07	0.449683705	0.167041079
Schizothecium	0.600704394	0.503756061	0.515769485	0.638760998
Dichotomopilus	0.617172943	0.414274335	0.028315361	0.107049649
Trichocladium	0.645177442	0.516593399	0.610928793	0.673265007
Humicola	0.591823502	0.597139393	0.057301934	0.079837182
Chaetomium	3.54E-07	1.98E-07	0.247879725	9.66E-07
Botryotrichum	0.158647402	0.323281052	1.15E-06	8.09E-07
Botryoderma	0.106266745	0.005544762	0.50975772	1.82E-07
Gelasinospora	0.075004369	0.174111043	0.255689874	0.139331176
Nigrospora	0.35532414	0.003163217	0.504278079	0.558451087
Truncatella	0.47755402	0.374144929	0.517591436	0.680246605
Ophiosphaerella	4.64E-07	4.98E-07	0.28681014	1.32E-07
Fusidium	0.102481483	0.139093362	0.268731791	0.302566768
Chaetosphaeria	0.345878879	0.070454499	0.318490143	0.133284172
Chloridium	0.27315034	0.01926835	0.481215488	0.139992479
Myrmecridium	0.034950583	0.13979687	0.01860917	0.015977034
Seychellomyces	0.062939298	0.245765848	0.282516178	0.715917832
Cephalotrichum	0.030532359	1.93E-07	0.032843435	0.039540345
Phaeoacremonium	0.014813661	0.464296008	0.340553375	0.010293942
Kernia	0.285736203	0.499578801	9.43E-07	0.265202954
Periconia	0.178199435	0.52943307	0.016554213	0.466242414
Exophiala	0.192065962	0.427764006	0.161966978	0.634535254
Cladosporium	1.69E-07	0.038844232	1.54E-07	0.019264325
Mycosphaerella	0.204249589	0.392337318	0.162549153	0.440808896
Neobulgaria	0.237142823	0.348073232	0.56903594	0.489190978
Minimedusa	2.81E-07	0.51996612	0.087211739	0.170879241
Solicoccozyma	0.83982166	0.481659819	0.775099246	0.626384879
Phlyctochytrium	2.11E-07	0.130134432	0.377930233	9.82E-07
Scutellinia	0.229915346	0.305640093	1.05E-06	0.328411512
Byssonectria	0.007851134	0.152689053	0.479623362	0.424329523
Ochroconis	0.645863627	0.385576891	0.620227736	0.676953204
Mortierella	0.350657025	0.583379151	0.540931788	0.635411539
Udeniozyma	0.413773973	0.550811746	0.228335119	0.381276485
Mrakia	0.27850513	0.243660061	0.251512362	0.532313558
Tausonia	1.46E-07	0.015619182	1.99E-07	0.02727847
