CK	D	LN	LP	
Apodus	2.42E-07	8.46E-07	0.014554145	0.402621673
Schizothecium	0.259337263	0.514297664	0.161248809	0.39899815
Dichotomopilus	6.91E-07	0.510506875	9.70E-07	1.85E-06
Trichocladium	1.56E-07	0.1101343	1.91E-07	0.090321758
Humicola	0.043235886	0.199407798	6.99E-07	6.32E-07
Chaetomium	1.02E-06	0.250323139	0.073782374	0.119936571
Botryotrichum	0.021284785	1.92E-07	0.040688474	2.12E-07
Botryoderma	0.149475584	0.42030327	5.88E-07	1.44E-07
Gelasinospora	1.29E-06	9.43E-07	0.000326044	2.02E-07
Nigrospora	1.93E-07	0.000336124	0.511957986	0.000336119
Truncatella	2.44E-07	0.138515137	0.033054789	1.49E-06
Ophiosphaerella	0.108815889	0.040657434	0.058531382	0.302941439
Fusidium	1.25E-07	1.31E-07	0.035512626	0.247946124
Chaetosphaeria	0.000334537	0.000336119	NA	0.0003326
Chloridium	1.64E-07	0.415236872	1.81E-07	9.51E-07
Myrmecridium	0.052347252	1.60E-07	1.05E-06	0.174922933
Seychellomyces	0.000332917	NA	1.94E-07	0.000336119
Cephalotrichum	9.84E-08	0.478936994	2.01E-07	0.001096898
Phaeoacremonium	9.10E-07	8.32E-07	9.80E-07	7.92E-07
Kernia	1.25E-06	NA	0.667221462	0.000336124
Periconia	0.36625594	0.18018767	0.22057614	0.005850964
Exophiala	0.145835808	1.35E-07	0.178617949	1.44E-07
Cladosporium	1.19E-06	1.07E-06	7.73E-07	1.43E-07
Mycosphaerella	3.53E-07	2.01E-07	9.34E-07	8.75E-07
Neobulgaria	2.01E-07	8.94E-07	0.002406012	1.82E-07
Minimedusa	8.64E-07	0.007972355	1.46E-07	1.24E-06
Solicoccozyma	7.33E-07	0.14010635	1.84E-07	0.021201987
Phlyctochytrium	4.43E-07	0.027404285	9.08E-07	1.38E-06
Scutellinia	0.000336124	NA	1.93E-07	0.000336119
Byssonectria	NA	NA	0.000336124	0.000336075
Ochroconis	4.66E-07	8.67E-07	2.01E-07	9.10E-07
Mortierella	0.137515057	0.018019995	3.80E-07	0.050412475
Udeniozyma	0.346549101	0.075872911	4.80E-07	6.13E-07
Mrakia	0.000335129	NA	NA	0.000336119
Tausonia	1.86E-07	9.86E-07	2.01E-07	1.96E-07
Rhizophydium	NA	0.000336124	0.000336119	NA
Geastrum	0.000332649	NA	0.000336119	NA
Waitea	7.58E-07	0.107634545	2.14E-07	1.46E-07
Thanatephorus	1.59E-07	1.72E-07	4.28E-07	9.10E-07
Rhizopus	0.274642242	0.362095642	8.54E-07	0.038946764
Clitopilus	1.67E-07	0.03331879	1.63E-07	7.16E-07
Tubaria	7.13E-07	0.431223221	2.02E-07	8.98E-07
Ganoderma	0.000336119	NA	NA	0.000336124
Sistotrema	8.23E-07	0.303845808	6.11E-07	1.71E-07
Syncephalis	1.94E-07	NA	1.19E-06	1.84E-07
Setophoma	0.008549855	0.474868891	1.65E-07	6.44E-07
Paraphoma	0.080204843	0.002798511	0.095247364	1.54E-07
Setophaeosphaeria	1.16E-06	0.038197319	0.012355769	1.45E-06
Leucothecium	0.000332649	NA	0.000336119	NA
Setosphaeria	0.000183309	1.13E-06	9.97E-07	9.79E-07
Paraphaeosphaeria	3.74E-07	7.30E-07	2.01E-07	1.47E-07
Neoroussoella	0.32570755	1.02E-06	0.704559418	5.87E-07
Simplicillium	0.103401678	0.826187959	0.280155511	1.87E-07
Sarocladium	0.186879912	0.053407393	0.223657715	0.056847656
