X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X20 X22 X23 X24 X25 X26 X27 X28 X29 X30 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50 X51 X52 X53 X54 X55 X56 X57 X58 X59 X60 X61 X62 X63 X64 X65 X66 X67 X68 X69 X70 X71 X72 X73 X74 X75 X76 X77 X78 X79 X80 X81 X82 X83 X84 X85 X86 X87 X88 X89 X90 X91 X92 X93 X94 X95 X96 X97
X1 1.43594267318545 0.0950894017061295 0.0115030012190714 0.462291789655789 0.404888098916984 0.050122989576547 0.0408465334940166 0.00200353666673323 0.0561444230441821 0.0608484887558338 0.0694090241675997 0.06496974261709 0.0758187258251009 0.120626431284284 0.0676913060365233 0.0135616827130936 -0.0327839415782656 -0.0360987607709036 0.00797766530744814 -0.0188355706837754 0.00016192494130896 -0.0294728084760198 0.000417493876407582 -0.0431414460649478 -0.027668262437484 -0.017691653959846 -0.0316957257760891 -0.0571674296408497 -0.0435876677873663 -0.0462154406841428 -0.0454253886395825 -0.0439564816111737 -0.0408618039291195 -0.0759173428600679 -0.0678927240373543 -0.050696088360381 -0.0699872425214684 -0.0661021032292632 -0.0787922885971151 -0.0601849042071021 -0.0652526641725387 -0.0668036891039755 -0.0764579694535416 -0.0704414507731092 -0.06412574442106 -0.0427382287306417 -0.0526904680550263 -0.0623173075093205 -0.0560071302928779 -0.0531418093474581 -0.054671536867636 -0.0353009269799301 -0.0468025529733423 -0.0559076058518083 -0.0362593104865472 -0.0347611195176578 -0.0278767313284629 -0.043937232027921 -0.0495599533828762 -0.0581000105145995 -0.0623723940826689 -0.0322254988811382 -0.0657691263955486 -0.0318773681201922 -0.0282348964466403 -0.0666503067863495 -0.0511144596219215 -0.07158106705822 -0.0572819032263634 -0.0413807235457291 -0.0392962394188414 -0.049712311786489 -0.0471508885170952 -0.047216623796067 -0.0494743541722448 -0.0441166217612101 -0.0491626747497864 -0.0200380552886592 -0.0455126261126209 -0.039248729809123 -0.0289999649895295 -0.0229150488537148 -0.0362763074589984 -0.0216664881187044 -0.0457692189617209 0.0361955065277133 0.0354742615041458 -0.000561572693068872 -0.035975686307777 0.02080730776249 0.0222475451988168 0.0539544757750059 0.0307626188288825 0.0291530260164831
X2 0.0950894017061295 1.40482674577169 -0.0127172749514641 0.0758328558383426 0.0707110332135511 0.103478533913858 -0.0273590404086394 0.0496034556115284 0.0671123850593426 0.110373366025883 0.117413184360724 0.116766070710938 0.142591229689477 0.160199274012758 0.126244237852017 0.0246836413942953 -0.0119409433545441 -0.0371425387053589 -0.0218827387560916 -0.0400914110334157 -0.0392270228322563 -0.0321335514036893 -0.0210693414722725 -0.024974139913334 -0.0173355366696808 -0.0411034476337787 -0.00124718550934626 -0.0186725635745308 -0.0533322573519793 -0.0135916975098542 -0.0313774933040104 -0.0375314212436152 -0.036015209388281 -0.036613994297107 -0.04125560125459 -0.0448100163238998 -0.0345338106090401 -0.0218323621871376 -0.0342145542229634 -0.0393034068168603 -0.0482595825993258 -0.0461339371295228 -0.0400228087952204 -0.035681003857758 -0.0287685604248965 -0.0437627570818454 -0.0353123948167688 -0.0264403847653308 -0.0366078508131061 -0.0171878882704767 -0.0189293612064325 -0.0273743991186946 -0.0289239905705198 -0.0460946188318078 -0.0422887304834075 -0.0432159870043492 -0.036832087979713 -0.0231327329707073 -0.0443476167602457 -0.0585278017849652 -0.0521551658143621 -0.0425668255265752 -0.0250413086719043 -0.0396969993595397 -0.0353422931056413 -0.0154699653565837 -0.0260750522491393 -0.0248281297765432 -0.0366314008351569 -0.00575404538405235 -0.0443824298363382 -0.0226324485889402 -0.0378768898281636 -0.028048339315328 -0.0288431013643052 -0.0490103163461742 -0.0376172252370589 0.0169745928672412 -0.0376823461676325 -0.0381365544192664 -0.0534512361591028 -0.0432469092072377 -0.0350486345696502 -0.0403236347292384 -0.0209415570047227 -0.0308358427965446 -0.0274184274207984 -0.0371978300615059 -0.0470677467000729 -0.031998599538127 -0.0248797350422797 -0.0118641498043368 -0.022563027219555 -0.0281187845987151
X3 0.0115030012190715 -0.0127172749514641 1.2490304484998 0.00930158611306454 0.0255275513153754 -0.0182605405798051 0.0956410865708566 0.0710620309337303 -0.027099785383143 -0.0238394384154348 -0.0160103871672691 -0.0332698911639856 -0.0131041096617256 -0.0230999677226321 -0.0153604065582823 0.0573069750029592 -0.0558154535915624 -0.0485815011618049 0.0883356649437004 0.0148806887314983 0.0604041100786122 0.113561834230592 0.124395049162974 0.209423325348753 -0.01312458794179 0.113985734627765 -0.107740590066937 -0.0454149447167498 0.246918032217124 0.201382938250411 0.210700555675854 0.236751180517775 0.243407031101541 -0.0487651913339144 -0.0528100612105512 -0.0739778449559714 -0.0534416113674791 -0.0470925254189314 -0.0505621604088136 -0.0427922913899857 -0.0412381947165499 -0.0634825216445111 -0.0586996145546465 -0.0392853859304159 -0.0486388403459558 -0.0863860444074507 -0.0638449872014883 -0.0586496475513112 -0.072070293168764 -0.089282287555765 -0.0846713980183497 -0.0692084535309463 -0.0836745153452452 -0.0519127029784989 -0.0467208446359177 -0.0417769782648189 -0.0241898217871893 -0.0800007119032249 -0.0401944167821016 -0.0381279535416504 -0.0661543228433973 -0.0167385948060439 -0.0574045681239111 -0.0531764176407656 -0.00926381780283534 -0.0646573605713135 -0.0527019358918626 -0.10223541403952 -0.0573294128360939 -0.0767512184239416 -0.0561293856248218 -0.0502410609775389 -0.0578241680822566 -0.0491120933980668 -0.0907352215257249 -0.0138652873314053 -0.0812222413085377 0.124440306161903 -0.0781304305857142 -0.027688740717545 -0.0373247953978534 -0.0439061050422304 -0.0471805820231744 -0.0379028972438386 -0.0817364509207564 -0.0084532874782243 -0.0315617978245183 -0.00886715351815432 -0.0459174817093276 0.00441690197132426 0.0175801356084848 -0.0189527064456939 -0.00657133354108393 0.0047162944257427
X4 0.462291789655789 0.0758328558383426 0.00930158611306454 1.2870909702461 0.37641100267119 0.0560063994366145 0.0404738287969988 0.0124683473409114 0.0538082608554088 0.0528144499243077 0.0620872199164157 0.0818639140976112 0.0765817465399878 0.0859702188144281 0.08762691167095 -0.0271581484812985 -0.0470163462171348 -0.036009475469856 0.00850969102330271 -0.0409795540394393 -0.00669788931182691 -0.0531567584919063 0.00491493374228887 -0.0325033891414893 -0.0398987104180815 0.00172421292676608 -0.0237526105079986 -0.0232181273985346 -0.0624014732403594 -0.0389268112466318 -0.0743837244666806 -0.060017596659048 -0.0694928968409241 -0.0651637884370976 -0.0525962679667717 -0.0530707497156709 -0.05971492767982 -0.0689195049993591 -0.0750070833115856 -0.0731468363513052 -0.068378059274677 -0.0556843925992081 -0.0692078391825398 -0.0735668458752532 -0.0603405391355263 -0.0448818950868965 -0.0515424556750897 -0.045461635195279 -0.0430206242126096 -0.0471814011543736 -0.0446494666082585 -0.0279737983759282 -0.0391096822875315 -0.0398411664511287 -0.0485282576336521 -0.0334206113051995 -0.0188748889814839 -0.0330874296886865 -0.0238879719391647 -0.0540260614802704 -0.0639770721078536 -0.0281323002635557 -0.0401741432848365 -0.0358304953021757 -0.0280108640628266 -0.0533365577907859 -0.0464052743402548 -0.0526079405864009 -0.0438526567312858 -0.0439286311502948 -0.0380327295393907 -0.0385930152817161 -0.0398815086628436 -0.0519204847249296 -0.020510693992346 -0.0243927615425488 -0.0448192315499214 -0.0304590424435081 -0.048022034550669 -0.0383702115947127 -0.0230780559629654 -0.0340867697554145 -0.0395556992271448 -0.0242913940562721 -0.0325517178824286 0.00891188444360286 0.0356790443047063 0.0200477683552096 -0.0371761230846502 0.0151024685045026 0.0636849353263693 0.0527732885813804 0.0208036216720708 0.0551137512089728
X5 0.404888098916984 0.0707110332135511 0.0255275513153754 0.37641100267119 1.00758415445974 0.0523090459725138 0.0430133403067295 0.0188000267514007 0.0697839814754269 0.0553347118507751 0.0684188993268951 0.0761838535585024 0.0598331756306595 0.0830813478469422 0.0602910699727046 -0.0259853573824934 -0.061955456300736 -0.0108132044718695 0.0154381075146208 -0.0404035000214667 0.00390719758073543 -0.0445536282575989 -0.000187639299247468 -0.0352960121927115 -0.0387451689025348 0.00705491400813004 -0.0399814426695147 -0.037445002901787 -0.0492554413584468 -0.042239173045677 -0.0451257914023624 -0.0411929377176241 -0.0344215896343274 -0.0660507027463197 -0.0360430598491563 -0.0505889869556928 -0.0434119641444827 -0.0570054464456193 -0.062246043094726 -0.0433884141224205 -0.0324212712384696 -0.0646753814577629 -0.0586027522899797 -0.0469268561332846 -0.0390519335377746 -0.0488102435500272 -0.0244019767685728 -0.0444235911792464 -0.048392691419682 -0.0391557584176593 -0.0432456805104307 -0.0532114354996514 -0.0567822331930077 -0.0376481474399388 -0.0507433931873056 -0.0278781648080609 -0.0212440212011539 -0.0331081127515445 -0.0381148474424139 -0.0494268445625131 -0.0575876439476037 -0.0360453124599545 -0.0519563217150207 -0.0400860866805964 -0.0456834149682875 -0.0616538112355075 -0.0347414603688018 -0.0538798465606725 -0.0542296155840298 -0.0399261513133614 -0.0273506443138225 -0.0256587288156101 -0.0442525975407795 -0.0406031632520121 -0.0254592703678552 -0.0250101816862355 -0.0356001146515507 -0.0293632496777134 -0.0445585430448147 -0.0288238517810446 -0.0278726356724502 -0.0127211658246814 -0.00413789952203568 -0.0414057070474058 -0.0425244354868599 0.0428859654047845 0.0492485670181564 0.016273416558103 -0.0341361224103547 0.0399907461704802 0.0444724177607191 0.0505966521942411 0.0472896147480137 0.0405403832071734
X6 0.050122989576547 0.103478533913858 -0.0182605405798051 0.0560063994366145 0.0523090459725138 1.4632119604735 0.0130464491868903 0.00069087891514736 0.0772575297818423 0.134455209023263 0.128463059496102 0.167566335262891 0.0908297146717034 0.0808723557773118 0.19895052814535 -0.0285215923674121 -0.000968066552177414 -0.0323102789605592 -0.0127578219459776 -0.0445951991661152 0.00599086257641919 -0.0672441769079838 -0.0157558421461695 -0.0705565387070283 -0.04139690138698 -0.0283981083386796 -0.0236338364836764 -0.0252745562817532 -0.0947952453296139 -0.0707623454215872 -0.0875471628866232 -0.0925268662478141 -0.0918191368890864 -0.0651412623290349 -0.0503600397846582 -0.0688136322914637 -0.0599426461540351 -0.0638728376623636 -0.0584876643560566 -0.0653667281924547 -0.0630233986056519 -0.0670383701934153 -0.0624479589360858 -0.0557577048418049 -0.0611842442738321 -0.0444166285640247 -0.0324243429804714 -0.0379895203684751 -0.0429595989380442 -0.0336841667695157 -0.0505365625587411 -0.0462191267745523 -0.0403768782573903 -0.0350254941131764 -0.0489677215236545 -0.0188646498414613 -0.0128657424818767 -0.0267702898570322 -0.0388993703513624 -0.0368521566941682 -0.0517888093841594 -0.0175417529498398 -0.0320090434609463 -0.0336712654530822 -0.0158226013391502 -0.0446517192190642 -0.0534665948691525 -0.0437498557654063 -0.026794249444704 -0.0207103572228954 -0.0498294475484132 -0.0432866370705362 -0.0414759475479969 -0.057923078174913 -0.0359070840695907 -0.0121082509026048 -0.0514955604137643 -0.0394453212976493 -0.0429946167969386 -0.0107052839359738 -0.029773634410031 -0.0217060111992092 -0.0355100102193013 -0.0160107967328619 -0.0276205480449607 0.0487425487179693 0.0490607811900474 0.0622846305361457 -0.0241023795313517 0.059206540260942 0.0899638929909394 0.0655005396361324 0.0448688772625973 0.0726341484936137
X7 0.0408465334940166 -0.0273590404086394 0.0956410865708566 0.0404738287969988 0.0430133403067295 0.0130464491868903 1.48612265063454 -0.00448541593458585 0.02093509223003 -0.00872134816416256 -0.00924661604759107 -0.0247351583850782 0.00651838307066674 -0.0189733895085468 -0.039126474477186 0.00137485346901831 -0.0533058403707078 -0.036774339229952 0.0448195246076632 0.0196232536096544 0.0919035956778385 0.0312962828071376 0.103189175816673 0.0434220867766504 -0.0331177375431723 0.107775286635199 -0.0772228332136318 -0.0352247477781164 0.0312336192701668 0.0150156405970658 -0.00332839311142677 0.0026834155645867 0.0357304447876497 -0.0821560508790956 -0.0788283303700171 -0.0719879704829318 -0.0656386797515963 -0.0796556528842743 -0.0718450320881462 -0.0681945738853765 -0.054051249764748 -0.0813197179216117 -0.0939961828418291 -0.0601447667781875 -0.0631458587203864 -0.0895165590795944 -0.057331460664103 -0.0509041476857483 -0.0711968945243785 -0.0863106843368344 -0.0514202003431653 -0.083927217321129 -0.0745237959022597 -0.0526562693273388 -0.0401495693487737 -0.0144739018146692 -0.000621164488033048 -0.0446705592367231 -0.0357790948192342 -0.0287654886828932 -0.0386010018109376 -0.0186563857332888 -0.0459438986905984 -0.0246413678624197 0.00108037580181543 -0.076276941457848 -0.0485946072610436 -0.0842106367171088 -0.0384769034338026 -0.0781685201866149 -0.0185277821345347 -0.0572792410499664 -0.0507139044640306 -0.0491819243330511 -0.0669548188107883 0.000386571673519298 -0.0424079140733445 0.00488831197820992 -0.0614146249244517 0.000191823230188029 -0.00151340315007052 -0.00971167778766355 -0.0124664160207858 -0.0192236340908374 -0.0855792001732373 0.0873398061845801 0.106426382327909 0.0551063790281418 -0.00531294323164628 0.148603447931106 0.0878867810448695 0.0934142783975635 0.107374117128889 0.0913273368770622
X8 0.00200353666673322 0.0496034556115284 0.0710620309337303 0.0124683473409114 0.0188000267514007 0.000690878915147329 -0.00448541593458587 1.44762880848218 0.0170108394229173 0.0342848829984983 0.033470871366274 0.0435842747546837 0.0275415901588758 0.0254380612315378 0.0202996511998959 0.0164884384986901 -0.0310506599543257 -0.0432010378599012 0.00584178069761634 -0.0327714498274287 -0.00395666674353355 0.0151870438011411 -0.00835949695556467 0.0164753323994537 -0.0116517900401561 -0.00277240780790672 -0.0137157958869937 -0.0313721689512079 0.034065970184689 0.0369628276814123 0.0257218901931056 0.0272292963880193 0.0241833570125032 -0.0368206201428819 -0.0280645171565732 -0.0319269255579211 -0.0301205364741861 -0.0280448580077218 -0.0325924696597396 -0.0275175422962802 -0.0192453410676962 -0.0317108797033266 -0.0158787118264903 -0.016715044783987 -0.0246440300388365 -0.0399462200278193 -0.0340945515018376 -0.0233553318749091 -0.0353130091651615 -0.0291752590668056 -0.0249493611944626 -0.0396890128303161 -0.0229515001922173 -0.0355984763891457 -0.0220907980814695 -0.0294089162422448 -0.0316488305147555 -0.0208369129936383 -0.0236106960272019 -0.0277233490108339 -0.0299360271708924 -0.0406367476313054 -0.0278466282567829 -0.0318957985722212 -0.0443074793313405 -0.00870824206491531 -0.0270131622585021 -0.034351553916545 -0.0340853362758193 -0.0128905212007407 -0.0353877548873682 -0.0132720315581852 -0.0325781348637018 -0.00367324734756905 -0.0328996438605751 -0.0491014446924223 -0.0360721390068412 0.015593742443044 -0.042162379495471 -0.0466397506468948 -0.0459002799540886 -0.0372359196624143 -0.0257459662886454 -0.0468633734651079 -0.0267498115769863 -0.0174137636994946 -0.0182697558058334 -0.0215043001406587 -0.0369950950889537 -0.0214254587624458 -0.00681850638136258 -0.0302038830740212 -0.00985318270285198 -0.0461890237028637
X9 0.0561444230441821 0.0671123850593426 -0.027099785383143 0.0538082608554088 0.0697839814754269 0.0772575297818423 0.0209350922300301 0.0170108394229173 1.23419229633688 0.184577437722533 0.160798673269994 0.109698401915239 0.0992765956291731 0.0931691533852903 0.127319142772159 -0.0237321322279454 -0.0363332370775514 -0.0145273501256088 -0.000191530172458226 -0.046004104833973 -0.00377236222303607 -0.0765069125428781 -0.0327569102485824 -0.0800887685074553 -0.0273868908695153 -0.013040626993549 -0.0204035925876578 -0.0316691040120108 -0.0905447735212028 -0.0778691277321974 -0.0837009323265196 -0.101731853132949 -0.0826792709345287 -0.0623922580143459 -0.0459940704767349 -0.0664303700585603 -0.0601195784937209 -0.0596031162707148 -0.0559504054571289 -0.0486425264363727 -0.0497833714182885 -0.0693135071076234 -0.0536160863135588 -0.0418439422406015 -0.0376456900463283 -0.028250664722283 -0.0139291795651679 -0.0438450797676853 -0.0351094550614079 -0.0210601262462495 -0.0354870745456414 -0.0503614732642671 -0.0406500585133315 -0.0506598418046608 -0.0371714130802412 -0.00533587890530757 -0.021108250204383 -0.0228855601304401 -0.0272570585739754 -0.0495028189815221 -0.0414362196846818 -0.0255725152565697 -0.0274120791539905 -0.0392380811034952 -0.0608125634907945 -0.0360700911788318 -0.0234216815022953 -0.0294511014991572 -0.0359607371633287 0.000960987429090078 -0.0134514212914876 -0.0165141528566389 -0.0453487998721864 -0.0242399935733427 -0.00670915236585853 -0.0389073568805857 -0.0133273229143154 -0.0348868561571948 -0.0313715546028094 -0.0294388145311359 -0.0423472983643711 -0.0155498306488007 0.0153629522268152 -0.0275449831915364 -0.00283077090607743 0.0537245046899708 0.0399135430546724 0.0371987374676479 -0.0250492952011375 0.0469408696386529 0.0544254762162898 0.0575467756624096 0.0520067865588881 0.061715948698995
X10 0.0608484887558338 0.110373366025883 -0.0238394384154348 0.0528144499243076 0.055334711850775 0.134455209023263 -0.00872134816416259 0.0342848829984983 0.184577437722533 1.29813449711468 0.167235201474377 0.301643163924505 0.130679833312152 0.130482013126794 0.199704743199835 -0.00980751613831977 -0.0239485876481304 -0.0351172368078311 -0.0140440627162939 -0.0420892720356752 -0.0252477297348863 -0.0484338527626121 -0.0321530057697319 -0.0761739357091708 -0.0321728697013762 -0.0361522090818571 -0.0171047464534456 -0.0475043436308533 -0.0684198349659891 -0.0756867574266351 -0.0635394512630574 -0.0782401941668033 -0.066136711522553 -0.0613263635374086 -0.058999621357463 -0.0517742698053287 -0.059303928599098 -0.0453512572657759 -0.049128885587709 -0.0531397615194598 -0.0465230244505808 -0.0535024318592456 -0.0576320818153117 -0.0419330227588415 -0.049361518849131 -0.0308421910633606 -0.0322861145901019 -0.02162389329618 -0.0410311593051803 -0.028021307985647 -0.0431412412821473 -0.027235556379914 -0.0200458370350764 -0.0306908565737449 -0.0450950739822844 -0.0240200568455285 -0.0329395765066893 -0.0328304272739785 -0.0437660336066543 -0.0409873357858595 -0.0396195914609226 -0.026335331188651 -0.024729219683849 -0.05001068032692 -0.0465414549026268 -0.026399632988028 -0.0279381661686266 -0.0223985866307037 -0.0302941922890609 -0.00528795972998361 -0.0299603963241457 -0.0293657070713215 -0.0342538725206723 -0.0317016644773044 -0.0318419406956929 -0.0365517403257443 -0.025909382963506 -0.0394033408235298 -0.0248195288989037 -0.0298936371311558 -0.0331773293381305 -0.0282473881974698 -0.030251392683749 -0.0183172654155434 -0.0211684563477543 0.00337476229927258 -0.0154795901482014 -0.0141327336689338 -0.031663984441997 -0.0214072330932002 0.00253576716537982 0.00594581036030128 0.00390924540874106 -0.00216625071825292
