biome,pos,trt,Genotype,Massilia
bacteria,rhizosphere,CK,X1,2780.876248
bacteria,rhizosphere,CK,X10,2705.832399
bacteria,rhizosphere,CK,X100,2819.538615
bacteria,rhizosphere,CK,X101,3065.330234
bacteria,rhizosphere,CK,X102,3166.594165
bacteria,rhizosphere,CK,X103,2713.118541
bacteria,rhizosphere,CK,X104,3005.875606
bacteria,rhizosphere,CK,X105,2719.768834
bacteria,rhizosphere,CK,X106,2823.73014
bacteria,rhizosphere,CK,X107,3055.460312
bacteria,rhizosphere,CK,X108,2713.36257
bacteria,rhizosphere,CK,X109,2873.949491
bacteria,rhizosphere,CK,X11,2681.893201
bacteria,rhizosphere,CK,X110,2654.09965
bacteria,rhizosphere,CK,X111,2677.476895
bacteria,rhizosphere,CK,X112,2563.751433
bacteria,rhizosphere,CK,X113,2493.076992
bacteria,rhizosphere,CK,X114,2598.347287
bacteria,rhizosphere,CK,X115,2723.21987
bacteria,rhizosphere,CK,X116,2927.784589
bacteria,rhizosphere,CK,X117,3263.250082
bacteria,rhizosphere,CK,X118,2463.161845
bacteria,rhizosphere,CK,X119,2402.021358
bacteria,rhizosphere,CK,X12,2605.090723
bacteria,rhizosphere,CK,X120,2552.082057
bacteria,rhizosphere,CK,X121,2627.231671
bacteria,rhizosphere,CK,X122,2631.317431
bacteria,rhizosphere,CK,X123,2638.715963
bacteria,rhizosphere,CK,X124,2486.637655
bacteria,rhizosphere,CK,X125,2512.712274
bacteria,rhizosphere,CK,X126,2623.880404
bacteria,rhizosphere,CK,X127,2550.806063
bacteria,rhizosphere,CK,X128,2974.895498
bacteria,rhizosphere,CK,X129,2715.947554
bacteria,rhizosphere,CK,X13,2774.5962
bacteria,rhizosphere,CK,X14,2808.630101
bacteria,rhizosphere,CK,X15,2815.267772
bacteria,rhizosphere,CK,X16,2769.524798
bacteria,rhizosphere,CK,X17,2532.526093
bacteria,rhizosphere,CK,X18,2665.914489
bacteria,rhizosphere,CK,X19,2756.712269
bacteria,rhizosphere,CK,X2,2770.642078
bacteria,rhizosphere,CK,X20,2587.002462
bacteria,rhizosphere,CK,X21,2540.585143
bacteria,rhizosphere,CK,X22,3014.529682
bacteria,rhizosphere,CK,X23,2792.803477
bacteria,rhizosphere,CK,X24,2820.093943
bacteria,rhizosphere,CK,X25,2687.810205
bacteria,rhizosphere,CK,X26,2842.929685
bacteria,rhizosphere,CK,X27,2765.604952
bacteria,rhizosphere,CK,X28,2633.644561
bacteria,rhizosphere,CK,X29,2655.144238
bacteria,rhizosphere,CK,X3,3542.805205
bacteria,rhizosphere,CK,X30,2712.800617
bacteria,rhizosphere,CK,X31,2726.287489
bacteria,rhizosphere,CK,X32,2591.961473
bacteria,rhizosphere,CK,X33,2714.916791
bacteria,rhizosphere,CK,X34,2852.911998
bacteria,rhizosphere,CK,X35,2492.627429
bacteria,rhizosphere,CK,X36,2582.282056
bacteria,rhizosphere,CK,X37,2611.496987
bacteria,rhizosphere,CK,X38,2701.336775
bacteria,rhizosphere,CK,X39,2730.743415
bacteria,rhizosphere,CK,X4,2969.130505
bacteria,rhizosphere,CK,X40,2983.516502
bacteria,rhizosphere,CK,X41,2782.145617
bacteria,rhizosphere,CK,X42,2788.083072
bacteria,rhizosphere,CK,X43,2653.425307
bacteria,rhizosphere,CK,X44,2635.793808
bacteria,rhizosphere,CK,X45,2838.003746
bacteria,rhizosphere,CK,X46,2802.78579
bacteria,rhizosphere,CK,X47,2585.462066
bacteria,rhizosphere,CK,X48,2865.724527
bacteria,rhizosphere,CK,X49,2736.739815
bacteria,rhizosphere,CK,X5,2815.056816
bacteria,rhizosphere,CK,X50,2930.950773
bacteria,rhizosphere,CK,X51,2759.85258
bacteria,rhizosphere,CK,X52,2819.102878
bacteria,rhizosphere,CK,X53,2590.823742
bacteria,rhizosphere,CK,X54,2687.718265
bacteria,rhizosphere,CK,X55,2867.225302
bacteria,rhizosphere,CK,X56,2826.539905
bacteria,rhizosphere,CK,X57,2879.588269
bacteria,rhizosphere,CK,X58,2931.697809
bacteria,rhizosphere,CK,X59,3118.62383
