"","X","Accession","Longitude","Latitude","ASV10_bacteria_rhizosphere_CK_pred","ASV10_bacteria_rhizosphere_D_pred","ASV10_bacteria_rhizosphere_LN_pred","ASV10_bacteria_rhizosphere_LP_pred","ASV10_bacteria_root_CK_pred","ASV10_bacteria_root_LN_pred","ASV111_bacteria_rhizosphere_CK_pred","ASV111_bacteria_rhizosphere_D_pred","ASV111_bacteria_rhizosphere_LP_pred","ASV111_bacteria_root_CK_pred","ASV1751_bacteria_rhizosphere_CK_pred","ASV1751_bacteria_rhizosphere_LN_pred","ASV1751_bacteria_rhizosphere_LP_pred","ASV1751_bacteria_root_D_pred","ASV1751_bacteria_root_LN_pred","ASV18_bacteria_rhizosphere_CK_pred","ASV18_bacteria_rhizosphere_D_pred","ASV18_bacteria_rhizosphere_LN_pred","ASV18_bacteria_rhizosphere_LP_pred","ASV37_bacteria_rhizosphere_CK_pred","ASV37_bacteria_rhizosphere_LN_pred","ASV37_bacteria_rhizosphere_LP_pred","ASV37_bacteria_root_CK_pred","ASV37_bacteria_root_LN_pred","ASV37_bacteria_root_LP_pred","ASV49_bacteria_rhizosphere_CK_pred","ASV49_bacteria_rhizosphere_D_pred","ASV49_bacteria_rhizosphere_LN_pred","ASV49_bacteria_rhizosphere_LP_pred","ASV49_bacteria_root_D_pred","ASV49_bacteria_root_LN_pred","ASV51_bacteria_rhizosphere_CK_pred","ASV51_bacteria_rhizosphere_LP_pred","ASV51_bacteria_root_CK_pred","ASV51_bacteria_root_LN_pred","ASV51_bacteria_root_LP_pred","ASV56_bacteria_rhizosphere_CK_pred","ASV56_bacteria_rhizosphere_D_pred","ASV56_bacteria_root_CK_pred","ASV56_bacteria_root_D_pred","ASV56_bacteria_root_LN_pred","ASV7_bacteria_rhizosphere_CK_pred","ASV7_bacteria_rhizosphere_LN_pred","ASV7_bacteria_root_D_pred","ASV7_bacteria_root_LN_pred","ASV79_bacteria_rhizosphere_CK_pred","ASV79_bacteria_rhizosphere_D_pred","ASV79_bacteria_rhizosphere_LP_pred","ASV79_bacteria_root_CK_pred","ASV824_bacteria_rhizosphere_CK_pred","ASV824_bacteria_rhizosphere_D_pred","ASV824_bacteria_rhizosphere_LP_pred","ASV824_bacteria_root_LN_pred","rhiz_CK.PC1_pred","rhiz_CK.PC2_pred","rhiz_D.PC1_pred","rhiz_D.PC2_pred","rhiz_LP.PC2_pred","root_CK.PC2_pred","root_D.PC2_pred","root_LP.PC2_pred","root_LN.PC1_pred","root_LN.PC2_pred"
"1",1,"CIMMYTMA-000815",-88.51666667,20.85,730.271840746537,1534.44918249529,917.701561189899,696.264680147963,186.645061793082,209.395682970364,99.1346540602901,279.482913850015,109.668496092429,4.18393134165283,3.97651343684067,0.867546992978526,2.32456918028607,1.27986007465698,0.325913874505993,494.255531014557,929.7834771553,282.808105994189,487.931377436344,265.715863985346,384.077618065589,263.3149717684,72.9694578600957,65.5735625284881,86.7276273913424,240.327598238365,245.693201936874,224.155880582208,243.515787810624,29.7072644335324,41.8328898507781,190.352199289977,264.462432832848,3.31122197348252,4.82390978042942,2.68005084881133,141.497586312012,471.313105054958,16.4564120764018,23.0250604100553,8.64605927053884,466.362279427182,807.55432008995,516.602810752592,782.064033027094,181.246023870906,202.393607694112,192.45564347441,24.1827426448369,16.437030606532,30.1003686872593,13.3627731404842,0.240559907297276,0.834054368468334,-0.343222421728804,-1.56494020478444,0.0906828198742251,-0.249667717734695,0.222827305942075,0.0805963864927235,-0.0272305860351318,1.1379003029985,0.181987810934354
"2",2,"CIMMYTMA-002233",-99.570871,19.286184,796.383565628544,1511.50261645069,967.695077179468,694.010131407975,186.175916318615,189.430228519317,97.9429311867751,275.901525448717,113.301679160944,4.18393304479005,4.77398646362861,0.867547032293981,2.44973491809362,1.27986002938109,0.325913852065844,489.718184142406,949.472331707029,283.183441799773,481.630963894024,290.802182660592,384.077566621415,263.31493486189,74.0098637973711,73.8609465987398,85.990836137651,233.146033228047,241.404112373087,222.283098442853,240.558712273363,33.9739078772469,53.4519409832601,189.841272273333,264.462398460355,3.49037914932912,4.79093020648745,2.49656761484449,141.49758450182,461.997550116959,16.4564127205576,23.0250575451696,11.2842503376181,502.14269977429,806.194409527549,546.342328313229,932.357747563688,172.808778439281,198.725651800691,189.679380539178,24.18275038435,16.518803150783,30.2218818785268,12.9538623994063,0.2405599241704,1.38518686965607,-0.704097387565429,-0.535115629754483,0.446047884605063,1.98284972561208,0.426646905111413,-0.257043086409211,0.352049206999722,-0.446134948051914,-0.140193537525945
"3",3,"CIMMYTMA-000579",-105.2166667,21.95,729.343401350534,1525.47796188946,877.689034720396,714.031652912511,189.075640205291,198.162826776463,99.2263786992442,286.570091755328,109.696926564506,4.18393222519746,4.86777905783147,0.867547040884644,2.32124166703988,1.27986109020001,0.325913993883051,485.797217438762,976.540298678806,295.012304501461,520.903597926854,273.736703861461,384.077537952084,263.314930563266,73.8858198542432,84.6507041094427,81.6949222688111,237.188756150527,242.243625622768,219.267397827722,240.937889900867,31.7185458531736,52.2597010254804,189.750901730387,264.462406362745,3.75029662642296,4.96484514956068,2.54352120151355,141.497630348905,484.895555631681,16.4564117990913,23.0250901923717,8.87757833148754,483.500133779254,796.508076352257,508.552244631171,1055.98605299362,184.239342583921,201.544330438415,195.354283919422,24.1827389726609,16.237272104855,30.2011535636719,13.0299888087078,0.240559920572462,0.378480355721415,-0.953430992804578,-1.89559313904858,0.534646983195266,-1.08317305522369,0.345306669745458,-1.58371147263921,0.635406077771298,-0.532538929449464,-0.0188055817367832
"4",4,"CIMMYTMA-002246",-104.449948,21.110878,792.796614867204,1531.46176571974,970.147782266305,723.786287431386,234.382689716978,186.216398840939,101.486586597131,275.748735605147,109.148930290258,4.183932180236,3.32515720952165,0.867546998886206,2.42108603183129,1.27986001016386,0.325914060414739,494.99054847893,973.268225345762,299.247941444793,506.559736017779,286.956562926005,384.077528526403,263.314930387042,72.4294607152271,94.9028834607324,83.2692930835121,238.668748836676,241.762573071965,221.410258009098,241.412945279094,30.950474525226,55.0514636882877,190.049365951162,264.462446578921,3.65134482231631,5.26525756934878,2.51435266666149,141.497588529703,467.076075379207,16.4564124406009,23.0250558065985,9.13482567681543,483.618694500826,792.899019294066,541.774376817482,972.132414096326,185.909703989656,198.19071779575,196.531511653853,24.1827421443921,16.2587953384699,30.0913192290344,13.1008450581735,0.240559919030336,1.73451367026246,-1.04998221436403,-0.29434104189442,-0.308937490139536,-0.994957952416609,0.338065290453194,-0.0147867918674809,0.595415438174816,0.360584952565879,-0.0863315943601397
"5",5,"CIMMYTMA-025027",-95.001338,16.478858,701.579165754215,1556.3188497922,877.694244290287,694.84277984505,177.770086015268,177.175186496215,97.6018622286861,278.321991986687,109.142512668035,4.18393139981847,3.26019045917983,0.867547085198301,2.32249160380011,1.27986117342483,0.325913912460543,470.118245406443,1003.53329228824,276.342713933645,494.473654331778,279.003928245612,384.077490822554,263.315023976873,73.0244900129526,77.4403889403856,81.0695727539474,229.978960629796,241.987800138524,216.730127637618,242.991507862364,29.9806248307967,49.2560515813502,188.917635165437,264.462433579671,3.37493725543231,4.8127586636384,2.53061173027996,141.497593896757,468.242869151122,16.4564118852455,23.0250684861299,8.49172358142404,495.146548387574,787.211238183632,531.8497615388,863.871652160529,173.806040225333,200.041170648647,194.348603798134,24.1827376521142,16.2171129370642,30.3474788001095,13.1129092341792,0.240559921902546,-0.120886184087022,-0.700799298241777,-1.58059214386706,0.297578314831545,-1.05256370885631,0.127621993453693,-0.658966694229105,0.266783851383848,0.82472209409331,-0.19679450824462
"6",6,"CIMMYTMA-007937",-108.25,29.65,758.19679225527,1556.07651109799,921.619401733718,702.279485340638,210.568020317617,178.84544851404,99.0272873572966,280.498389715975,109.409272453017,4.1839322389646,3.40932738879923,0.867546980224099,2.3432965138856,1.27986025428817,0.325913855300542,488.659619081682,929.116708695822,279.166071123308,478.083286520897,258.506191615136,384.077508692778,263.31495195002,73.4484761708685,86.8952911667634,87.9032389597075,225.672418987542,242.252323855925,221.143178998004,242.046568045215,33.2664548986459,57.3075751725953,190.49059547532,264.462404661775,3.77716462714008,5.0475052954713,2.72243975991388,141.497608063678,474.470301306084,16.4564125152932,23.0250755643057,10.4291378151035,448.400262331623,800.371897616802,542.596638162588,977.944355423493,180.584595665977,204.392998782756,193.567746627718,24.182746346253,16.5102642318608,30.0099649514162,13.2518998815331,0.240559909173599,1.0064874930075,-0.667993157463267,-1.27257756746038,0.686496264227413,-0.154876679745451,0.326790132996653,-0.391345774668798,0.45540155818422,0.948034560741863,-0.253761687986779
"7",7,"CIMMYTMA-005582",-101.559319,19.423751,772.765096889818,1508.25576450433,965.41649387787,704.829456600521,208.934077456095,172.731992371572,100.835546164627,276.65205738653,113.018891375724,4.18393346233414,4.30680887613266,0.867546992092431,2.60843106426334,1.27985999886305,0.325913844262099,473.450984523347,954.617921499694,283.164554946581,479.737056558082,294.871530854148,384.077520287008,263.314945102432,76.3141507205765,76.3018059094904,90.5821113234823,231.617846919172,242.684836042819,223.487403895162,240.268172249103,34.263994180982,54.286373378829,190.080290738807,264.462412849746,3.69566039984795,4.79783509924548,2.58566337338687,141.497580515273,467.566551778282,16.4564129338321,23.0250576536229,8.8361358986809,502.593668421238,804.866057097554,552.75946455687,908.060876591181,166.942939377665,200.320708455577,189.675695511634,24.1827446747178,16.5058573939934,30.2016313294407,12.8258583031815,0.240559923105666,1.66156689192407,-0.648533384170253,-0.558461182078142,0.551900847271336,1.94330882434337,0.152029507131199,-0.214927231432439,0.279520268640129,-0.606585147940089,-0.306779755373927
"8",8,"CIMMYTMA-000309",-104.2666667,19.96666667,789.767591748792,1537.34951226877,971.99855333112,765.622418606025,218.38734147191,170.261351024227,100.296850968999,283.535999992859,110.423543098415,4.18393131600756,3.36013625744164,0.867547018477254,2.44551236848332,1.27986001823664,0.325913846393883,495.382307611815,960.634064970245,287.706190756529,515.972067942804,281.087943592457,384.07747114335,263.314962099984,72.3206520372127,78.1849567870427,92.2699164968799,240.211288402054,243.442247371761,221.255540073472,242.604711215238,29.9071035519742,54.2265983030386,189.593183025869,264.462445505281,3.66607061392047,4.95408415251324,2.47934754760758,141.497617410217,475.120772373595,16.4564123920527,23.0250562728084,8.2929198493557,491.983693756568,811.099744263542,535.536297532189,914.20732381777,187.503466814702,202.611746527966,193.645716997943,24.1827385246506,16.1968248618307,30.2263672000107,13.1032697321511,0.240559919462448,2.27839222346748,-0.826510748368402,-1.57406287620319,-0.414563663530203,-0.560767191461399,0.200092551171918,0.270297106313338,0.34159624155783,0.776983601853167,-0.31508386496524
"9",9,"CIMMYTMA-013513",-102.194513,21.942148,778.447377137931,1532.96461676656,931.554718820105,740.88207178148,253.482624491593,174.889123349471,98.5243275265575,280.554110463415,109.780968081808,4.18393128100435,3.89525070322336,0.867546987083943,2.32094009528952,1.27986015144612,0.325913891027461,495.389713894935,932.448853454315,273.345740117346,513.620371795868,293.269662046648,384.077643093028,263.31497940231,74.204155463346,75.8813975294428,88.8328001717295,239.30378737907,241.509228360424,220.988346748558,244.028489305665,34.2135440020769,51.195834850446,190.612131458747,264.46243213592,3.43162818262923,5.25183807504677,2.47993347506389,141.497625475882,467.954928130793,16.4564121494629,23.0250529765459,9.15227466844038,464.872094735678,797.373841246498,566.970005988775,822.736162432392,194.216551400901,205.558132600274,199.34455264711,24.1827409233741,16.3743646699956,30.0741320472127,13.0722427923366,0.240559917292602,0.458693765682065,-1.20243380279514,-1.32127260043441,0.895350804060292,-0.488832147145764,0.48356215353106,-0.35059596389502,0.157476613572679,0.792293567838271,-0.124086511113424
"10",10,"CIMMYTMA-023852",-102.701138,21.858917,776.730791223615,1534.16722384334,928.83268498395,726.285039716361,283.720079889633,169.298601446475,98.7587117476694,271.811437165089,109.675404925854,4.18393136923156,3.47206062637107,0.867547009480663,2.32184314344814,1.27986000779674,0.325913894868702,480.621068821923,934.228910117692,273.632728697157,493.018109305019,297.275563947383,384.077967513566,263.314958455449,73.7502966967486,82.6317572313145,86.7966676081231,232.47903976986,239.66038071091,219.981199950766,244.175879359631,32.063271138761,51.5782213273111,189.970262647913,264.462424847396,3.35304959436651,4.96041100502185,2.47439845572088,141.497572120384,461.550389675366,16.4564112256498,23.0250595486589,9.15227466844038,440.893285987384,821.8056726629,564.33430112639,762.786293032109,197.812400136738,197.598146282669,198.401052151345,24.1827451269013,16.2759209230127,30.0324063534961,13.0232552152901,0.240559923639849,0.504799345575571,-1.24064788251285,0.127303538634774,1.29454346257288,-1.41341205681335,0.856124228959664,-0.231949627628681,0.175615708424784,0.910765495588167,0.145294742438876
