"","X","Accession","Longitude","Latitude","bacteria_rhizosphere_CK_pred","bacteria_rhizosphere_D_pred","bacteria_rhizosphere_LN_pred","bacteria_rhizosphere_LP_pred","bacteria_root_D_pred","bacteria_root_LN_pred"
"1",1,"CIMMYTMA-000815",-88.51666667,20.85,2849.17912177098,4972.72712490116,3493.46921297689,2844.23142902947,1010.0680258707,1150.04557220909
"2",2,"CIMMYTMA-002233",-99.570871,19.286184,2837.87755798199,4900.79672570704,3384.93537079216,2878.22221390869,1108.22665662753,1271.8930306041
"3",3,"CIMMYTMA-000579",-105.2166667,21.95,2830.95688960924,5006.80976767031,3445.26257786235,2834.18366323573,1045.45443225513,1496.93809974709
"4",4,"CIMMYTMA-002246",-104.449948,21.110878,2858.32535919479,4862.09139277513,3459.37156960033,2844.8220164992,1103.02620771531,1462.78948127263
"5",5,"CIMMYTMA-025027",-95.001338,16.478858,2776.07987267038,4936.88207449918,3331.369308352,2823.4716774862,1135.89831370125,1264.16222794389
"6",6,"CIMMYTMA-007937",-108.25,29.65,2850.22085414967,4970.59177489094,3401.54033481084,2849.18322099364,1135.12702146173,1304.21055554129
"7",7,"CIMMYTMA-005582",-101.559319,19.423751,2788.3933195339,4899.57404114597,3399.29210684079,2868.83570970589,1060.6750167349,1236.73632147151
"8",8,"CIMMYTMA-000309",-104.2666667,19.96666667,2858.32535919479,4959.06412766042,3459.37156960033,2790.36944848297,1059.67806814437,1160.72721866194
"9",9,"CIMMYTMA-013513",-102.194513,21.942148,2901.40945458797,4916.13212703169,3386.40631099617,2877.89746034727,1124.22877253454,1247.454205001
"10",10,"CIMMYTMA-023852",-102.701138,21.858917,2818.51517585171,4880.18062217723,3553.09678123378,2843.68563714157,1134.58788993463,1186.85157193196
"11",11,"CIMMYTMA-023854",-102.362002,22.231913,2790.1688272565,4923.49345974329,3399.75339076318,2875.20392347097,1134.98644628892,1214.52144851617
"12",12,"CIMMYTMA-018336",-102.764636,21.851035,2818.51517585171,4873.28713353897,3553.09678123378,2845.03068346013,1120.39328780311,1220.90533301837
"13",13,"CIMMYTMA-024750",-102.411485,22.160244,2790.1688272565,4923.49345974329,3399.75339076318,2875.20392347097,1140.14219876258,1205.26884388204
"14",14,"CIMMYTMA-026975",-102.212362,22.233853,2901.40945458797,4924.02699054879,3386.40631099617,2922.5338803732,1119.05992793123,1218.2289127098
"15",15,"CIMMYTMA-027019",-102.212362,22.233853,2901.40945458797,4924.02699054879,3386.40631099617,2922.5338803732,1119.05992793123,1218.2289127098
"16",16,"CIMMYTMA-024791",-102.243902,22.269581,2901.40945458797,4921.64547219853,3386.40631099617,2894.44034726621,1122.85071259722,1155.77495625428
"17",17,"CIMMYTMA-027023",-102.229694,22.287284,2901.40945458797,4921.64547219853,3386.40631099617,2894.44034726621,1101.71569391944,1208.02291378839
"18",18,"CIMMYTMA-001503",-102.310212,22.199415,2790.1688272565,4930.68556491643,3399.75339076318,2894.44034726621,1122.20684253952,1212.85335389328
"19",19,"CIMMYTMA-023699",-102.4166667,22.13333333,2858.32535919479,4924.38557824479,3459.37156960033,2875.20392347097,1141.99781075333,1208.01789301794
"20",20,"CIMMYTMA-017790",-109.7166667,23.08333333,2790.1688272565,4982.58368979717,3399.75339076318,2812.03351802574,1074.90487973842,1518.9358073285
"21",21,"CIMMYTMA-002109",-89.812671,20.00487,2853.6021853476,4876.9314232376,3422.00929281563,2793.4142253965,1035.49246011283,1170.56696776127
"22",22,"CIMMYTMA-025802",-90.23914,20.054799,2849.17912177098,5035.4150579198,3493.46921297689,2804.9371340043,1144.51824542157,1255.5149965404
"23",23,"CIMMYTMA-000729",-89.966607,19.742201,2853.6021853476,4911.0358962751,3422.00929281563,2796.85013369217,1004.07497624004,1157.7248763864
"24",24,"CIMMYTMA-023152",-90.046207,19.716788,2853.6021853476,4997.28968421576,3422.00929281563,2793.4142253965,1010.82073605041,1205.55080127219
"25",25,"CIMMYTMA-023158",-90.12082,19.746176,2853.6021853476,5003.94932278336,3422.00929281563,2796.87441090217,1050.10515720656,1207.18655451326
"26",26,"CIMMYTMA-005715",-90.740704,18.572773,2765.84191653638,4947.01167064816,3424.29412780652,2809.56710610813,1017.58265198801,1165.67395692979
"27",27,"CIMMYTMA-002107",-91.642471,18.04166,2765.84191653638,4975.20379972344,3424.29412780652,2798.17860315427,1024.59463785579,1282.25674401957
"28",28,"CIMMYTMA-000725",-89.82814,19.744273,2853.6021853476,4843.33885416604,3422.00929281563,2796.51269195657,1010.83689217764,1171.32046807943
"29",29,"CIMMYTMA-002110",-90.233333,19.766667,2853.6021853476,5005.59568392516,3422.00929281563,2799.74982555513,1118.28122908773,1223.89212516801
"30",30,"CIMMYTMA-001767",-89.82814,19.744273,2853.6021853476,4843.33885416604,3422.00929281563,2796.51269195657,1010.83689217764,1171.32046807943
"31",31,"CIMMYTMA-002114",-91.759457,18.658723,2873.0424541934,4954.56607446027,3438.88011029827,2844.00037964837,1134.1731707784,1289.93190738343
"32",32,"CIMMYTMA-002118",-90.740704,18.572773,2765.84191653638,4947.01167064816,3424.29412780652,2809.56710610813,1017.58265198801,1165.67395692979
"33",33,"CIMMYTMA-018338",-108.1166667,29.2,2850.22085414967,4968.31562913251,3401.54033481084,2894.53928918134,1123.8964650112,1305.03446197921
